time,New Orleans,pts.away,score,pts.home,Chicago
0:09.0,D. Miller enters the game for E. Moore,,83-83,,
0:04.0,J. Holiday misses 2-pt shot from 21 ft,,83-83,,
0:02.0,,,83-83,,Defensive rebound by J. Grant
0:02.0,,,83-83,,Chicago full timeout
0:02.0,,,83-83,,D. Valentine enters the game for P. Zipser
0:02.0,T. Allen enters the game for D. Miller,,83-83,,
0:00.0,,,83-83,,R. Lopez misses 2-pt shot from 5 ft (block by D. Cousins)
0:00.0,Defensive rebound by D. Cousins,,83-83,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: R. Lopez vs. A. Davis (D. Cousins gains possession),,,,Jump ball: R. Lopez vs. A. Davis (D. Cousins gains possession)
4:48.0,Shooting foul by L. Markkanen (drawn by D. Cousins),,83-83,,
4:48.0,D. Cousins makes free throw 1 of 2,1,84-83,,
4:48.0,D. Cousins makes free throw 2 of 2,1,85-83,,
4:32.0,,,85-83,,J. Holiday misses 3-pt shot from 25 ft
4:28.0,Defensive rebound by A. Davis,,85-83,,
4:18.0,J. Nelson makes 2-pt shot from 1 ft,2,87-83,,
4:11.0,,,87-83,,Offensive foul by R. Lopez (drawn by J. Nelson)
4:11.0,,,87-83,,Turnover by R. Lopez (offensive foul)
4:02.0,D. Cousins misses 3-pt shot from 25 ft,,87-83,,
3:58.0,,,87-83,,Defensive rebound by L. Markkanen
3:44.0,,,87-85,2,J. Grant makes 2-pt shot from 21 ft
3:44.0,,,87-85,,Shooting foul by D. Cousins (drawn by J. Grant)
3:44.0,,,87-86,1,J. Grant makes free throw 1 of 1
3:25.0,A. Davis makes 2-pt shot from 1 ft (assist by D. Cousins),2,89-86,,
3:09.0,,,89-86,,R. Lopez misses 2-pt shot from 4 ft
3:07.0,Defensive rebound by D. Cousins,,89-86,,
2:58.0,Turnover by J. Holiday (bad pass),,89-86,,
2:45.0,,,89-86,,Turnover by R. Lopez (traveling)
2:35.0,Shooting foul by R. Lopez (drawn by D. Cousins),,89-86,,
2:35.0,D. Cousins misses free throw 1 of 3,,89-86,,
2:35.0,Offensive rebound by Team,,89-86,,
2:35.0,D. Cousins makes free throw 2 of 3,1,90-86,,
2:35.0,D. Cousins makes free throw 3 of 3,1,91-86,,
2:24.0,,,91-86,,Shooting foul by D. Cousins (drawn by J. Grant)
2:24.0,,,91-87,1,J. Grant makes free throw 1 of 2
2:24.0,,,91-88,1,J. Grant makes free throw 2 of 2
2:08.0,D. Cousins makes 2-pt shot at rim,2,93-88,,
1:54.0,,,93-88,,J. Holiday misses 2-pt shot from 6 ft (block by A. Davis)
1:54.0,Defensive rebound by A. Davis,,93-88,,
1:41.0,D. Miller misses 3-pt shot from 22 ft,,93-88,,
1:35.0,,,93-88,,Defensive rebound by L. Markkanen
1:25.0,,,93-88,,L. Markkanen misses 3-pt shot from 24 ft
1:21.0,,,93-88,,Offensive rebound by R. Lopez
1:15.0,,,93-88,,J. Holiday misses 3-pt shot from 25 ft
1:11.0,,,93-88,,Offensive rebound by J. Grant
1:08.0,,,93-88,,L. Markkanen misses 3-pt shot from 25 ft
1:06.0,Defensive rebound by J. Nelson,,93-88,,
1:00.0,New Orleans full timeout,,93-88,,
0:48.0,J. Nelson makes 3-pt shot from 24 ft,3,96-88,,
0:48.0,,,96-88,,Chicago full timeout
0:48.0,T. Allen enters the game for J. Nelson,,96-88,,
0:48.0,E. Moore enters the game for D. Miller,,96-88,,
0:40.0,,,96-88,,D. Valentine misses 3-pt shot from 25 ft
0:36.0,Defensive rebound by D. Cousins,,96-88,,
0:30.0,,,96-88,,Personal foul by D. Valentine (drawn by J. Holiday)
0:30.0,J. Nelson enters the game for T. Allen,,96-88,,
0:15.0,A. Davis misses 3-pt shot from 24 ft,,96-88,,
0:11.0,,,96-88,,Defensive rebound by D. Valentine
0:06.0,,,96-90,2,J. Holiday makes 2-pt shot from 1 ft
