time,Indiana,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. D. Sabonis (K. Love gains possession),,,,Jump ball: T. Thompson vs. D. Sabonis (K. Love gains possession)
11:37.0,,,0-0,,J. Smith misses 3-pt shot from 22 ft
11:34.0,,,0-0,,Offensive rebound by K. Love
11:31.0,,,0-0,,K. Love misses 3-pt shot from 25 ft
11:27.0,Defensive rebound by V. Oladipo,,0-0,,
11:21.0,T. Young misses 3-pt shot from 25 ft,,0-0,,
11:18.0,,,0-0,,Defensive rebound by T. Thompson
11:05.0,,,0-2,2,K. Love makes 2-pt shot at rim (assist by I. Thomas)
10:45.0,B. Bogdanovic makes 2-pt shot from 14 ft,2,2-2,,
10:34.0,,,2-2,,I. Thomas misses 2-pt shot from 14 ft
10:32.0,Defensive rebound by D. Sabonis,,2-2,,
10:30.0,B. Bogdanovic misses 3-pt shot from 25 ft,,2-2,,
10:30.0,Offensive rebound by V. Oladipo,,2-2,,
10:17.0,B. Bogdanovic misses 2-pt shot at rim,,2-2,,
10:15.0,,,2-2,,Defensive rebound by T. Thompson
10:10.0,,,2-4,2,L. James makes 2-pt shot from 1 ft
10:02.0,V. Oladipo makes 2-pt shot at rim (assist by B. Bogdanovic),2,4-4,,
9:52.0,,,4-4,,T. Thompson misses 2-pt shot from 2 ft
9:52.0,,,4-4,,Offensive rebound by T. Thompson
9:42.0,,,4-6,2,T. Thompson makes 2-pt shot at rim
9:40.0,V. Oladipo misses 2-pt shot from 11 ft,,4-6,,
9:30.0,Offensive rebound by T. Young,,4-6,,
9:30.0,T. Young makes 2-pt shot at rim,2,6-6,,
9:12.0,,,6-6,,J. Smith misses 2-pt shot from 6 ft
9:12.0,,,6-6,,Offensive rebound by T. Thompson
9:08.0,,,6-8,2,T. Thompson makes 2-pt shot from 1 ft
8:51.0,Turnover by T. Young (bad pass; steal by L. James),,6-8,,
8:45.0,,,6-11,3,J. Smith makes 3-pt shot from 25 ft (assist by L. James)
8:25.0,D. Sabonis misses 2-pt shot from 18 ft,,6-11,,
8:22.0,,,6-11,,Defensive rebound by K. Love
8:14.0,,,6-13,2,I. Thomas makes 2-pt shot at rim
