time,Dallas,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. M. Kleber (T. Gibson gains possession),,,,Jump ball: K. Towns vs. M. Kleber (T. Gibson gains possession)
11:43.0,,,0-0,,K. Towns misses 2-pt shot from 2 ft
11:41.0,Defensive rebound by H. Barnes,,0-0,,
11:26.0,H. Barnes makes 2-pt shot from 1 ft (assist by W. Matthews),2,2-0,,
11:12.0,,,2-2,2,J. Butler makes 2-pt shot from 18 ft (assist by K. Towns)
10:51.0,M. Kleber makes 2-pt shot from 2 ft (assist by Y. Ferrell),2,4-2,,
10:29.0,,,4-2,,A. Wiggins misses 2-pt shot from 10 ft
10:26.0,,,4-2,,Offensive rebound by K. Towns
10:25.0,,,4-2,,Shooting foul by M. Kleber (drawn by K. Towns)
10:25.0,,,4-3,1,K. Towns makes free throw 1 of 2
10:25.0,,,4-4,1,K. Towns makes free throw 2 of 2
10:03.0,W. Matthews makes 2-pt shot from 1 ft,2,6-4,,
9:52.0,,,6-4,,Turnover by J. Teague (bad pass)
9:38.0,Y. Ferrell makes 2-pt shot from 21 ft (assist by W. Matthews),2,8-4,,
9:27.0,,,8-4,,Offensive charge foul by A. Wiggins (drawn by M. Kleber)
9:27.0,,,8-4,,Turnover by A. Wiggins (offensive foul)
9:08.0,H. Barnes misses 2-pt shot from 6 ft (block by A. Wiggins),,8-4,,
9:05.0,,,8-4,,Defensive rebound by J. Butler
8:57.0,,,8-4,,J. Butler misses 2-pt shot from 6 ft
8:51.0,,,8-4,,Offensive rebound by K. Towns
8:51.0,,,8-6,2,K. Towns makes 2-pt shot at rim
8:40.0,Y. Ferrell makes 2-pt shot from 1 ft,2,10-6,,
8:25.0,,,10-6,,A. Wiggins misses 3-pt shot from 25 ft
8:22.0,Defensive rebound by D. Nowitzki,,10-6,,
8:18.0,H. Barnes misses 2-pt shot from 1 ft,,10-6,,
8:15.0,,,10-6,,Defensive rebound by J. Butler
8:04.0,,,10-8,2,K. Towns makes 2-pt shot from 5 ft
7:47.0,D. Nowitzki misses 2-pt shot from 20 ft,,10-8,,
7:45.0,,,10-8,,Defensive rebound by T. Gibson
7:39.0,,,10-8,,J. Teague misses 3-pt shot from 25 ft
7:36.0,,,10-8,,Offensive rebound by T. Gibson
7:36.0,,,10-10,2,T. Gibson makes 2-pt shot from 1 ft
7:35.0,Dallas full timeout,,10-10,,
7:35.0,A. Cleveland enters the game for D. Nowitzki,,10-10,,
7:23.0,W. Matthews makes 2-pt shot from 2 ft,2,12-10,,
6:59.0,,,12-10,,Turnover by A. Wiggins (lost ball; steal by A. Cleveland)
6:55.0,W. Matthews misses 3-pt shot from 25 ft,,12-10,,
6:53.0,,,12-10,,Defensive rebound by T. Gibson
6:50.0,,,12-10,,Turnover by T. Gibson (bad pass)
6:26.0,Y. Ferrell misses 2-pt shot from 8 ft,,12-10,,
6:22.0,,,12-10,,Defensive rebound by T. Gibson
6:14.0,,,12-10,,J. Butler misses 2-pt shot at rim
6:10.0,,,12-10,,Offensive rebound by K. Towns
6:10.0,,,12-12,2,K. Towns makes 2-pt shot at rim
5:59.0,W. Matthews misses 3-pt shot from 23 ft,,12-12,,
5:59.0,,,12-12,,Defensive rebound by A. Wiggins
5:46.0,,,12-12,,K. Towns misses 2-pt shot from 4 ft (block by M. Kleber)
5:46.0,,,12-12,,Offensive rebound by Team
5:43.0,,,12-12,,Turnover by K. Towns (traveling)
5:33.0,H. Barnes makes 2-pt shot from 18 ft (assist by Y. Ferrell),2,14-12,,
5:19.0,,,14-14,2,K. Towns makes 2-pt shot from 7 ft (assist by J. Teague)
4:55.0,H. Barnes misses 2-pt shot from 15 ft,,14-14,,
4:54.0,Offensive rebound by Team,,14-14,,
4:54.0,,,14-14,,Loose ball foul by T. Gibson (drawn by M. Kleber)
4:54.0,,,14-14,,G. Dieng enters the game for K. Towns
4:51.0,,,14-14,,Personal foul by J. Teague (drawn by W. Matthews)
4:34.0,H. Barnes makes 2-pt shot from 17 ft,2,16-14,,
4:16.0,,,16-14,,A. Wiggins misses 2-pt shot from 9 ft (block by A. Cleveland)
4:14.0,Defensive rebound by W. Matthews,,16-14,,
4:11.0,A. Cleveland misses 2-pt shot from 2 ft,,16-14,,
4:09.0,,,16-14,,Defensive rebound by G. Dieng
4:05.0,,,16-17,3,J. Teague makes 3-pt shot from 24 ft (assist by J. Butler)
3:50.0,Turnover by Y. Ferrell (bad pass; steal by J. Butler),,16-17,,
3:39.0,,,16-17,,J. Butler misses 2-pt shot from 10 ft
3:37.0,,,16-17,,Offensive rebound by Team
3:37.0,,,16-17,,J. Crawford enters the game for J. Butler
3:37.0,D. Harris enters the game for Y. Ferrell,,16-17,,
3:37.0,J. Barea enters the game for W. Matthews,,16-17,,
3:30.0,,,16-17,,Shooting foul by A. Cleveland (drawn by A. Wiggins)
3:30.0,,,16-17,,A. Wiggins misses free throw 1 of 2
3:30.0,,,16-17,,Offensive rebound by Team
3:30.0,D. Powell enters the game for H. Barnes,,16-17,,
3:30.0,D. Nowitzki enters the game for M. Kleber,,16-17,,
3:30.0,,,16-18,1,A. Wiggins makes free throw 2 of 2
3:16.0,,,16-18,,Personal foul by A. Wiggins (drawn by D. Harris)
3:10.0,D. Nowitzki makes 2-pt shot from 19 ft (assist by D. Harris),2,18-18,,
2:53.0,,,18-18,,Turnover by T. Gibson (lost ball; steal by D. Nowitzki)
2:42.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by D. Powell),2,20-18,,
2:31.0,Personal foul by D. Powell (drawn by J. Crawford),,20-18,,
2:31.0,,,20-18,,Minnesota full timeout
2:31.0,,,20-18,,T. Jones enters the game for J. Teague
2:22.0,,,20-18,,Turnover by A. Wiggins (lost ball; steal by A. Cleveland)
1:58.0,D. Harris misses 2-pt shot from 1 ft,,20-18,,
1:54.0,Offensive rebound by D. Powell,,20-18,,
1:54.0,D. Powell misses 2-pt shot from 2 ft,,20-18,,
1:54.0,,,20-18,,Defensive rebound by T. Jones
1:50.0,,,20-18,,T. Jones misses 2-pt shot from 10 ft
1:46.0,Defensive rebound by A. Cleveland,,20-18,,
1:36.0,A. Cleveland makes 2-pt shot from 22 ft (assist by J. Barea),2,22-18,,
1:21.0,,,22-18,,J. Crawford misses 2-pt shot from 20 ft
1:18.0,,,22-18,,Offensive rebound by G. Dieng
1:16.0,,,22-21,3,J. Crawford makes 3-pt shot from 25 ft (assist by G. Dieng)
1:02.0,D. Powell misses 2-pt shot from 6 ft,,22-21,,
1:01.0,,,22-21,,Defensive rebound by T. Jones
0:55.0,,,22-21,,J. Crawford misses 2-pt shot from 17 ft
0:51.0,Defensive rebound by D. Powell,,22-21,,
0:35.0,J. Barea makes 2-pt shot from 1 ft,2,24-21,,
0:14.0,,,24-21,,J. Crawford misses 2-pt shot from 1 ft
0:12.0,,,24-21,,Offensive rebound by A. Wiggins
0:11.0,,,24-21,,A. Wiggins misses 2-pt shot from 3 ft (block by D. Nowitzki)
0:11.0,,,24-21,,Offensive rebound by T. Gibson
0:11.0,,,24-23,2,T. Gibson makes 2-pt shot at rim
0:00.0,J. Barea misses 3-pt shot from 26 ft,,24-23,,
0:00.0,Offensive rebound by Team,,24-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,A. Cleveland misses 2-pt shot from 1 ft,,24-23,,
11:46.0,,,24-23,,Defensive rebound by K. Towns
11:27.0,,,24-26,3,J. Butler makes 3-pt shot from 24 ft (assist by G. Dieng)
11:11.0,D. Powell misses 2-pt shot from 4 ft,,24-26,,
11:08.0,,,24-26,,Defensive rebound by K. Towns
10:58.0,,,24-26,,J. Butler misses 2-pt shot from 9 ft
10:56.0,Defensive rebound by D. Powell,,24-26,,
10:50.0,D. Harris makes 2-pt shot from 3 ft,2,26-26,,
10:50.0,Shooting foul by G. Dieng (drawn by D. Harris),,26-26,,
10:50.0,D. Harris makes free throw 1 of 1,1,27-26,,
10:31.0,,,27-29,3,K. Towns makes 3-pt shot from 25 ft (assist by J. Crawford)
10:12.0,A. Cleveland misses 2-pt shot from 16 ft,,27-29,,
10:09.0,,,27-29,,Defensive rebound by G. Dieng
10:04.0,,,27-29,,J. Crawford misses 3-pt shot from 25 ft
10:02.0,Defensive rebound by D. Nowitzki,,27-29,,
9:55.0,D. Nowitzki misses 3-pt shot from 25 ft,,27-29,,
9:51.0,,,27-29,,Defensive rebound by G. Dieng
9:38.0,,,27-31,2,J. Butler makes 2-pt shot from 13 ft
9:24.0,J. Barea misses 3-pt shot from 24 ft,,27-31,,
9:20.0,,,27-31,,Defensive rebound by K. Towns
9:10.0,,,27-31,,Offensive charge foul by J. Crawford (drawn by A. Cleveland)
9:10.0,,,27-31,,Turnover by J. Crawford (offensive foul)
9:10.0,Y. Ferrell enters the game for A. Cleveland,,27-31,,
8:57.0,,,27-31,,Personal foul by T. Jones (drawn by J. Barea)
8:48.0,Turnover by J. Barea (bad pass; steal by J. Butler),,27-31,,
8:40.0,Personal block foul by D. Powell (drawn by J. Butler),,27-31,,
8:26.0,,,27-31,,J. Butler misses 3-pt shot from 25 ft
8:22.0,,,27-31,,Offensive rebound by K. Towns
8:16.0,,,27-33,2,T. Jones makes 2-pt shot from 18 ft
8:14.0,Dallas full timeout,,27-33,,
8:14.0,H. Barnes enters the game for J. Barea,,27-33,,
8:14.0,S. Mejri enters the game for D. Powell,,27-33,,
8:14.0,W. Matthews enters the game for D. Harris,,27-33,,
8:14.0,M. Kleber enters the game for D. Nowitzki,,27-33,,
7:53.0,M. Kleber makes 3-pt shot from 23 ft (assist by W. Matthews),3,30-33,,
7:33.0,,,30-33,,Turnover by K. Towns (lost ball; steal by W. Matthews)
7:17.0,Turnover by Y. Ferrell (bad pass; steal by K. Towns),,30-33,,
7:00.0,Personal block foul by S. Mejri (drawn by J. Butler),,30-33,,
7:00.0,,,30-33,,J. Teague enters the game for T. Jones
6:56.0,Personal foul by H. Barnes (drawn by K. Towns),,30-33,,
6:44.0,,,30-35,2,K. Towns makes 2-pt shot from 21 ft (assist by J. Butler)
6:26.0,W. Matthews makes 2-pt shot from 13 ft (assist by Y. Ferrell),2,32-35,,
6:08.0,,,32-35,,Turnover by K. Towns (traveling)
6:02.0,Y. Ferrell misses 3-pt shot from 26 ft,,32-35,,
5:57.0,Offensive rebound by H. Barnes,,32-35,,
5:56.0,W. Matthews misses 3-pt shot from 28 ft,,32-35,,
5:56.0,,,32-35,,Defensive rebound by K. Towns
5:45.0,,,32-38,3,J. Crawford makes 3-pt shot from 25 ft (assist by J. Butler)
5:32.0,,,32-38,,Personal foul by J. Teague (drawn by Y. Ferrell)
5:32.0,,,32-38,,A. Wiggins enters the game for J. Crawford
5:20.0,M. Kleber makes 3-pt shot from 26 ft (assist by H. Barnes),3,35-38,,
5:04.0,,,35-38,,K. Towns misses 3-pt shot from 24 ft
5:01.0,Defensive rebound by M. Kleber,,35-38,,
4:55.0,Y. Ferrell makes 2-pt shot from 2 ft,2,37-38,,
4:39.0,,,37-38,,J. Butler misses 3-pt shot from 24 ft
4:37.0,Defensive rebound by S. Mejri,,37-38,,
4:29.0,Y. Ferrell makes 2-pt shot from 15 ft,2,39-38,,
4:19.0,,,39-38,,Turnover by J. Teague (bad pass; steal by H. Barnes)
4:17.0,Turnover by S. Mejri (traveling),,39-38,,
4:03.0,,,39-40,2,K. Towns makes 2-pt shot from 1 ft (assist by A. Wiggins)
4:03.0,,,39-40,,Shooting foul by M. Kleber (drawn by K. Towns)
4:03.0,,,39-40,,T. Gibson enters the game for G. Dieng
4:03.0,,,39-41,1,K. Towns makes free throw 1 of 1
3:50.0,H. Barnes makes 3-pt shot from 26 ft (assist by M. Kleber),3,42-41,,
3:36.0,,,42-41,,J. Teague misses 2-pt shot from 13 ft
3:33.0,Defensive rebound by Y. Ferrell,,42-41,,
3:19.0,W. Matthews makes 2-pt shot from 18 ft (assist by S. Mejri),2,44-41,,
3:01.0,,,44-41,,A. Wiggins misses 3-pt shot from 24 ft
2:59.0,Defensive rebound by S. Mejri,,44-41,,
2:42.0,Y. Ferrell makes 2-pt shot from 1 ft,2,46-41,,
2:32.0,,,46-41,,Minnesota full timeout
2:21.0,,,46-41,,Turnover by J. Butler (bad pass)
2:00.0,Y. Ferrell misses 3-pt shot from 26 ft,,46-41,,
1:56.0,Offensive rebound by M. Kleber,,46-41,,
1:55.0,Shooting foul by K. Towns (drawn by M. Kleber),,46-41,,
1:55.0,M. Kleber misses free throw 1 of 2,,46-41,,
1:55.0,Offensive rebound by Team,,46-41,,
1:55.0,M. Kleber makes free throw 2 of 2,1,47-41,,
1:45.0,,,47-44,3,K. Towns makes 3-pt shot from 25 ft (assist by J. Butler)
1:23.0,,,47-44,,Def 3 sec tech foul by T. Gibson
1:23.0,H. Barnes makes technical free throw,1,48-44,,
1:13.0,Turnover by H. Barnes (bad pass; steal by K. Towns),,48-44,,
0:57.0,,,48-44,,T. Gibson misses 2-pt shot from 1 ft (block by S. Mejri)
0:56.0,Defensive rebound by M. Kleber,,48-44,,
0:35.0,M. Kleber misses 3-pt shot from 26 ft (block by T. Gibson),,48-44,,
0:30.0,,,48-44,,Defensive rebound by K. Towns
0:16.0,,,48-47,3,J. Butler makes 3-pt shot from 22 ft (assist by J. Teague)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Turnover by Y. Ferrell (bad pass; steal by K. Towns),,48-47,,
11:44.0,,,48-49,2,K. Towns makes 2-pt shot from 1 ft (assist by J. Teague)
11:22.0,W. Matthews misses 2-pt shot from 19 ft,,48-49,,
11:20.0,,,48-49,,Defensive rebound by A. Wiggins
11:15.0,,,48-49,,J. Teague misses 3-pt shot from 25 ft
11:11.0,Defensive rebound by D. Nowitzki,,48-49,,
10:53.0,,,48-49,,Personal foul by J. Teague (drawn by Y. Ferrell)
10:41.0,W. Matthews misses 3-pt shot from 27 ft,,48-49,,
10:38.0,,,48-49,,Defensive rebound by K. Towns
10:31.0,,,48-51,2,J. Teague makes 2-pt shot from 2 ft
10:30.0,Dallas full timeout,,48-51,,
10:07.0,M. Kleber misses 2-pt shot from 16 ft,,48-51,,
10:04.0,,,48-51,,Defensive rebound by T. Gibson
9:57.0,,,48-51,,K. Towns misses 2-pt shot from 11 ft
9:56.0,Defensive rebound by D. Nowitzki,,48-51,,
9:43.0,H. Barnes makes 2-pt shot from 1 ft,2,50-51,,
9:24.0,,,50-53,2,J. Teague makes 2-pt shot from 14 ft
9:08.0,H. Barnes makes 3-pt shot from 24 ft (assist by Y. Ferrell),3,53-53,,
8:42.0,,,53-55,2,J. Butler makes 2-pt shot from 6 ft
8:24.0,H. Barnes misses 3-pt shot from 22 ft,,53-55,,
8:21.0,,,53-55,,Defensive rebound by J. Teague
8:15.0,,,53-57,2,A. Wiggins makes 2-pt shot from 3 ft (assist by J. Teague)
8:00.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by W. Matthews),3,56-57,,
7:50.0,Personal foul by Y. Ferrell (drawn by J. Teague),,56-57,,
7:35.0,,,56-57,,Offensive foul by K. Towns (drawn by W. Matthews)
7:35.0,,,56-57,,Turnover by K. Towns (offensive foul)
7:25.0,W. Matthews misses 2-pt shot from 13 ft,,56-57,,
7:21.0,Offensive rebound by H. Barnes,,56-57,,
7:20.0,M. Kleber makes 2-pt shot from 2 ft (assist by Y. Ferrell),2,58-57,,
7:03.0,Personal foul by Y. Ferrell (drawn by J. Teague),,58-57,,
7:03.0,A. Cleveland enters the game for D. Nowitzki,,58-57,,
6:48.0,,,58-57,,A. Wiggins misses 3-pt shot from 25 ft
6:45.0,Defensive rebound by W. Matthews,,58-57,,
6:33.0,W. Matthews misses 2-pt shot from 17 ft,,58-57,,
6:32.0,,,58-57,,Defensive rebound by J. Butler
6:20.0,,,58-57,,A. Wiggins misses 2-pt shot at rim
6:18.0,Defensive rebound by A. Cleveland,,58-57,,
5:56.0,Turnover by Team (shot clock),,58-57,,
5:44.0,,,58-57,,J. Butler misses 3-pt shot from 26 ft
5:42.0,Defensive rebound by Y. Ferrell,,58-57,,
5:27.0,M. Kleber misses 3-pt shot from 24 ft,,58-57,,
5:23.0,,,58-57,,Defensive rebound by J. Butler
5:17.0,,,58-59,2,K. Towns makes 2-pt shot from 2 ft (assist by J. Butler)
5:17.0,,,58-59,,Shooting foul by M. Kleber (drawn by K. Towns)
5:17.0,,,58-60,1,K. Towns makes free throw 1 of 1
5:05.0,H. Barnes makes 2-pt shot from 18 ft (assist by Y. Ferrell),2,60-60,,
4:47.0,,,60-60,,J. Teague misses 2-pt shot from 10 ft
4:45.0,Defensive rebound by M. Kleber,,60-60,,
4:32.0,H. Barnes misses 2-pt shot from 2 ft,,60-60,,
4:30.0,,,60-60,,Defensive rebound by T. Gibson
4:24.0,,,60-60,,Turnover by K. Towns (lost ball; steal by A. Cleveland)
4:18.0,H. Barnes makes 2-pt shot from 4 ft (assist by Y. Ferrell),2,62-60,,
4:06.0,,,62-60,,Shooting foul by A. Cleveland (drawn by A. Wiggins)
4:06.0,,,62-61,1,A. Wiggins makes free throw 1 of 2
4:06.0,,,62-61,,G. Dieng enters the game for K. Towns
4:06.0,,,62-62,1,A. Wiggins makes free throw 2 of 2
3:44.0,Y. Ferrell misses 3-pt shot from 24 ft,,62-62,,
3:40.0,,,62-62,,Defensive rebound by T. Gibson
3:30.0,,,62-62,,Turnover by G. Dieng (out of bounds lost ball)
3:30.0,,,62-62,,J. Crawford enters the game for J. Butler
3:14.0,Y. Ferrell misses 2-pt shot from 13 ft,,62-62,,
3:10.0,,,62-62,,Defensive rebound by J. Crawford
2:56.0,,,62-62,,T. Gibson misses 2-pt shot from 7 ft
