time,Washington,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. M. Gortat (M. Morris gains possession),,,,Jump ball: J. Embiid vs. M. Gortat (M. Morris gains possession)
11:31.0,M. Morris misses 2-pt shot from 13 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by B. Simmons
11:14.0,,,0-0,,R. Covington misses 2-pt shot from 21 ft
11:14.0,Defensive rebound by O. Porter,,0-0,,
11:06.0,M. Morris misses 2-pt shot from 3 ft,,0-0,,
11:06.0,Offensive rebound by O. Porter,,0-0,,
11:00.0,O. Porter makes 2-pt shot from 2 ft,2,2-0,,
10:50.0,,,2-0,,Turnover by R. Covington (bad pass)
10:42.0,M. Gortat misses 2-pt shot from 9 ft,,2-0,,
10:39.0,,,2-0,,Defensive rebound by R. Covington
10:31.0,,,2-2,2,B. Simmons makes 2-pt shot from 3 ft
10:15.0,M. Gortat misses 2-pt shot from 8 ft,,2-2,,
10:12.0,,,2-2,,Defensive rebound by D. Saric
9:57.0,,,2-2,,B. Simmons misses 2-pt shot from 6 ft
9:55.0,Defensive rebound by O. Porter,,2-2,,
9:40.0,T. Frazier misses 3-pt shot from 26 ft,,2-2,,
9:38.0,,,2-2,,Defensive rebound by B. Simmons
9:32.0,Personal foul by M. Gortat (drawn by J. Embiid),,2-2,,
9:30.0,,,2-4,2,R. Covington makes 2-pt shot from 2 ft (assist by J. Redick)
9:18.0,O. Porter misses 2-pt shot from 20 ft,,2-4,,
9:15.0,,,2-4,,Defensive rebound by J. Embiid
9:04.0,,,2-4,,D. Saric misses 3-pt shot from 25 ft
9:01.0,Defensive rebound by M. Gortat,,2-4,,
8:49.0,Shooting foul by D. Saric (drawn by B. Beal),,2-4,,
8:49.0,B. Beal makes free throw 1 of 2,1,3-4,,
8:49.0,B. Beal makes free throw 2 of 2,1,4-4,,
8:35.0,,,4-4,,R. Covington misses 3-pt shot from 22 ft
8:32.0,Defensive rebound by M. Gortat,,4-4,,
8:24.0,O. Porter misses 2-pt shot from 2 ft,,4-4,,
8:21.0,,,4-4,,Defensive rebound by B. Simmons
8:15.0,,,4-6,2,R. Covington makes 2-pt shot from 3 ft (assist by D. Saric)
8:04.0,M. Morris makes 2-pt shot from 13 ft,2,6-6,,
7:45.0,,,6-9,3,D. Saric makes 3-pt shot from 26 ft (assist by R. Covington)
7:30.0,,,6-9,,Personal foul by J. Embiid (drawn by M. Gortat)
7:30.0,,,6-9,,A. Johnson enters the game for D. Saric
