time,New York,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. K. Porzingis (L. Thomas gains possession),,,,Jump ball: A. Davis vs. K. Porzingis (L. Thomas gains possession)
11:39.0,C. Lee misses 2-pt shot from 14 ft,,0-0,,
11:31.0,,,0-0,,Defensive rebound by R. Rondo
11:28.0,,,0-0,,D. Cousins misses 3-pt shot from 29 ft
11:21.0,Defensive rebound by C. Lee,,0-0,,
11:17.0,J. Jack misses 2-pt shot from 18 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by D. Cousins
11:03.0,,,0-0,,Turnover by A. Davis (out of bounds lost ball)
10:45.0,K. Porzingis misses 3-pt shot from 27 ft,,0-0,,
10:45.0,,,0-0,,Defensive rebound by E. Moore
10:45.0,,,0-0,,Turnover by E. Moore (bad pass)
10:36.0,C. Lee misses 2-pt shot from 16 ft,,0-0,,
10:31.0,,,0-0,,Defensive rebound by J. Holiday
10:30.0,Personal foul by K. Porzingis (drawn by D. Cousins),,0-0,,
10:22.0,,,0-0,,A. Davis misses 2-pt shot from 15 ft
10:19.0,Defensive rebound by E. Kanter,,0-0,,
10:05.0,C. Lee makes 2-pt shot from 8 ft (assist by E. Kanter),2,2-0,,
9:53.0,,,2-0,,J. Holiday misses 3-pt shot from 26 ft
9:49.0,Defensive rebound by L. Thomas,,2-0,,
9:45.0,J. Jack misses 2-pt shot from 16 ft,,2-0,,
9:42.0,,,2-0,,Defensive rebound by D. Cousins
9:36.0,,,2-0,,Turnover by R. Rondo (bad pass; steal by K. Porzingis)
9:30.0,K. Porzingis makes 2-pt shot from 6 ft (assist by J. Jack),2,4-0,,
9:14.0,,,4-2,2,D. Cousins makes 2-pt shot from 6 ft
9:02.0,L. Thomas makes 3-pt shot from 22 ft (assist by J. Jack),3,7-2,,
8:47.0,,,7-4,2,J. Holiday makes 2-pt shot from 4 ft
8:23.0,Jump ball: D. Cousins vs. E. Kanter (J. Jack gains possession),,,,Jump ball: D. Cousins vs. E. Kanter (J. Jack gains possession)
8:21.0,J. Jack misses 2-pt shot from 7 ft (block by A. Davis),,7-4,,
8:14.0,,,7-4,,Defensive rebound by A. Davis
8:13.0,,,7-6,2,R. Rondo makes 2-pt shot from 3 ft
7:59.0,L. Thomas misses 2-pt shot from 18 ft,,7-6,,
7:56.0,,,7-6,,Defensive rebound by A. Davis
7:53.0,,,7-8,2,D. Cousins makes 2-pt shot from 3 ft (assist by R. Rondo)
7:53.0,,,7-8,,Shooting foul by J. Jack (drawn by D. Cousins)
7:53.0,,,7-9,1,D. Cousins makes free throw 1 of 1
7:42.0,C. Lee misses 2-pt shot from 16 ft,,7-9,,
7:35.0,Offensive rebound by K. Porzingis,,7-9,,
7:35.0,K. Porzingis makes 2-pt shot from 1 ft,2,9-9,,
7:35.0,,,9-9,,Turnover by R. Rondo (bad pass)
7:19.0,Shooting foul by J. Holiday (drawn by K. Porzingis),,9-9,,
7:19.0,K. Porzingis makes free throw 1 of 2,1,10-9,,
7:19.0,K. Porzingis makes free throw 2 of 2,1,11-9,,
7:11.0,,,11-9,,A. Davis misses 2-pt shot from 8 ft
7:07.0,Defensive rebound by K. Porzingis,,11-9,,
7:01.0,Shooting foul by J. Holiday (drawn by J. Jack),,11-9,,
7:01.0,J. Jack makes free throw 1 of 2,1,12-9,,
7:01.0,J. Jack makes free throw 2 of 2,1,13-9,,
6:47.0,,,13-11,2,E. Moore makes 2-pt shot from 8 ft
6:30.0,K. Porzingis misses 2-pt shot from 15 ft,,13-11,,
6:27.0,,,13-11,,Defensive rebound by D. Cousins
6:24.0,,,13-13,2,A. Davis makes 2-pt shot from 2 ft (assist by E. Moore)
6:10.0,,,13-13,,Personal foul by D. Cousins (drawn by E. Kanter)
6:10.0,,,13-13,,New Orleans full timeout
