time,Orlando,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. N. Vucevic (L. Markkanen gains possession),,,,Jump ball: R. Lopez vs. N. Vucevic (L. Markkanen gains possession)
11:45.0,,,0-0,,Shooting foul by M. Hezonja (drawn by L. Markkanen)
11:45.0,,,0-1,1,L. Markkanen makes free throw 1 of 2
11:45.0,,,0-2,1,L. Markkanen makes free throw 2 of 2
11:26.0,Turnover by N. Vucevic (bad pass),,0-2,,
11:13.0,,,0-4,2,L. Markkanen makes 2-pt shot from 13 ft (assist by R. Lopez)
10:57.0,N. Vucevic misses 2-pt shot from 12 ft,,0-4,,
10:54.0,,,0-4,,Defensive rebound by L. Markkanen
10:42.0,,,0-7,3,D. Valentine makes 3-pt shot from 22 ft (assist by J. Holiday)
10:30.0,N. Vucevic misses 3-pt shot from 25 ft,,0-7,,
10:24.0,,,0-7,,Defensive rebound by K. Dunn
10:15.0,,,0-9,2,R. Lopez makes 2-pt shot from 2 ft (assist by K. Dunn)
10:15.0,Orlando full timeout,,0-9,,
9:56.0,N. Vucevic misses 2-pt shot from 16 ft,,0-9,,
9:53.0,,,0-9,,Defensive rebound by D. Valentine
9:44.0,,,0-12,3,D. Valentine makes 3-pt shot from 22 ft (assist by K. Dunn)
9:25.0,M. Hezonja misses 2-pt shot from 2 ft,,0-12,,
9:23.0,,,0-12,,Defensive rebound by D. Valentine
9:18.0,,,0-12,,L. Markkanen misses 3-pt shot from 25 ft
9:15.0,Defensive rebound by M. Hezonja,,0-12,,
9:03.0,M. Hezonja makes 2-pt shot from 2 ft (assist by N. Vucevic),2,2-12,,
9:03.0,Shooting foul by J. Holiday (drawn by M. Hezonja),,2-12,,
9:03.0,M. Hezonja makes free throw 1 of 1,1,3-12,,
8:53.0,Personal foul by W. Iwundu (drawn by L. Markkanen),,3-12,,
8:37.0,,,3-14,2,R. Lopez makes 2-pt shot from 2 ft (assist by K. Dunn)
8:29.0,W. Iwundu makes 2-pt shot at rim (assist by E. Payton),2,5-14,,
8:18.0,,,5-14,,J. Holiday misses 3-pt shot from 25 ft
8:16.0,,,5-14,,Offensive rebound by D. Valentine
8:14.0,,,5-14,,L. Markkanen misses 3-pt shot from 24 ft
8:11.0,Defensive rebound by E. Payton,,5-14,,
8:03.0,N. Vucevic misses 2-pt shot from 10 ft,,5-14,,
7:59.0,,,5-14,,Defensive rebound by J. Holiday
7:51.0,,,5-14,,K. Dunn misses 2-pt shot from 18 ft
7:44.0,,,5-14,,Offensive rebound by L. Markkanen
7:44.0,,,5-14,,L. Markkanen misses 2-pt shot at rim
7:38.0,Defensive rebound by J. Simmons,,5-14,,
7:38.0,E. Payton misses 3-pt shot from 23 ft,,5-14,,
7:35.0,,,5-14,,Defensive rebound by L. Markkanen
7:21.0,,,5-14,,L. Markkanen misses 3-pt shot from 23 ft
7:18.0,Defensive rebound by W. Iwundu,,5-14,,
7:13.0,J. Simmons misses 2-pt shot from 5 ft (block by K. Dunn),,5-14,,
7:09.0,Offensive rebound by J. Simmons,,5-14,,
7:07.0,J. Simmons misses 3-pt shot from 23 ft,,5-14,,
7:07.0,,,5-14,,Defensive rebound by D. Valentine
6:59.0,,,5-14,,Shooting foul by N. Vucevic (drawn by D. Valentine)
6:59.0,,,5-15,1,D. Valentine makes free throw 1 of 2
6:59.0,,,5-15,,D. Valentine misses free throw 2 of 2
6:56.0,Defensive rebound by M. Hezonja,,5-15,,
6:45.0,N. Vucevic makes 2-pt shot from 5 ft,2,7-15,,
6:24.0,,,7-17,2,R. Lopez makes 2-pt shot from 8 ft
6:17.0,,,7-17,,Personal foul by D. Valentine (drawn by N. Vucevic)
6:11.0,N. Vucevic makes 2-pt shot from 3 ft,2,9-17,,
5:47.0,,,9-19,2,R. Lopez makes 2-pt shot from 2 ft (assist by D. Valentine)
5:38.0,N. Vucevic misses 3-pt shot from 26 ft,,9-19,,
5:35.0,Offensive rebound by E. Payton,,9-19,,
5:34.0,,,9-19,,N. Mirotic enters the game for L. Markkanen
5:26.0,E. Payton misses 2-pt shot from 2 ft,,9-19,,
5:24.0,,,9-19,,Defensive rebound by R. Lopez
5:05.0,,,9-19,,N. Mirotic misses 2-pt shot from 18 ft
5:02.0,Defensive rebound by N. Vucevic,,9-19,,
4:51.0,,,9-19,,Def 3 sec tech foul by D. Valentine
4:51.0,N. Vucevic makes technical free throw,1,10-19,,
4:51.0,J. Isaac enters the game for M. Hezonja,,10-19,,
4:51.0,D. Augustin enters the game for W. Iwundu,,10-19,,
4:45.0,N. Vucevic misses 2-pt shot from 11 ft,,10-19,,
4:43.0,,,10-19,,Defensive rebound by Team
4:28.0,,,10-21,2,K. Dunn makes 2-pt shot from 1 ft
4:28.0,Orlando full timeout,,10-21,,
4:10.0,Shooting foul by K. Dunn (drawn by J. Simmons),,10-21,,
4:10.0,J. Simmons makes free throw 1 of 2,1,11-21,,
4:10.0,J. Simmons makes free throw 2 of 2,1,12-21,,
3:55.0,,,12-23,2,K. Dunn makes 2-pt shot from 16 ft (assist by J. Holiday)
3:33.0,,,12-23,,Personal foul by K. Dunn (drawn by J. Isaac)
3:33.0,,,12-23,,D. Nwaba enters the game for K. Dunn
3:33.0,,,12-23,,J. Grant enters the game for D. Valentine
3:28.0,E. Payton makes 2-pt shot from 1 ft (assist by N. Vucevic),2,14-23,,
3:09.0,,,14-23,,N. Mirotic misses 3-pt shot from 25 ft
3:07.0,Defensive rebound by N. Vucevic,,14-23,,
3:03.0,J. Isaac makes 2-pt shot at rim (assist by E. Payton),2,16-23,,
2:53.0,,,16-25,2,J. Grant makes 2-pt shot from 19 ft
2:31.0,E. Payton misses 2-pt shot from 2 ft (block by R. Lopez),,16-25,,
2:31.0,Offensive rebound by E. Payton,,16-25,,
2:26.0,D. Augustin makes 3-pt shot from 22 ft (assist by E. Payton),3,19-25,,
2:18.0,,,19-25,,Turnover by J. Grant (lost ball; steal by E. Payton)
2:16.0,N. Vucevic makes 2-pt shot at rim (assist by E. Payton),2,21-25,,
2:16.0,,,21-25,,Chicago full timeout
1:55.0,,,21-25,,N. Mirotic misses 3-pt shot from 24 ft
1:51.0,Defensive rebound by J. Simmons,,21-25,,
1:49.0,,,21-25,,Violation by D. Nwaba (kicked ball)
1:29.0,D. Augustin misses 2-pt shot from 1 ft,,21-25,,
1:27.0,,,21-25,,Defensive rebound by N. Mirotic
1:20.0,Personal foul by E. Payton (drawn by J. Grant),,21-25,,
1:20.0,S. Mack enters the game for E. Payton,,21-25,,
1:20.0,A. Afflalo enters the game for N. Vucevic,,21-25,,
1:20.0,B. Biyombo enters the game for J. Simmons,,21-25,,
1:02.0,,,21-25,,N. Mirotic misses 2-pt shot from 5 ft
1:00.0,Defensive rebound by S. Mack,,21-25,,
0:54.0,Shooting foul by R. Lopez (drawn by B. Biyombo),,21-25,,
0:54.0,B. Biyombo makes free throw 1 of 2,1,22-25,,
0:54.0,,,22-25,,B. Portis enters the game for R. Lopez
0:54.0,B. Biyombo misses free throw 2 of 2,,22-25,,
0:52.0,,,22-25,,Defensive rebound by N. Mirotic
0:41.0,,,22-25,,J. Holiday misses 2-pt shot from 18 ft
0:40.0,Defensive rebound by Team,,22-25,,
0:31.0,,,22-25,,Personal foul by J. Grant (drawn by D. Augustin)
0:31.0,D. Augustin makes free throw 1 of 2,1,23-25,,
0:31.0,D. Augustin makes free throw 2 of 2,1,24-25,,
0:14.0,,,24-28,3,B. Portis makes 3-pt shot from 24 ft (assist by J. Holiday)
0:06.0,Turnover by D. Augustin (out of bounds lost ball),,24-28,,
0:01.0,,,24-30,2,J. Grant makes 2-pt shot from 1 ft
0:01.0,,,24-30,,Shooting foul by S. Mack (drawn by J. Grant)
0:01.0,,,24-30,,P. Zipser enters the game for J. Holiday
0:01.0,,,24-31,1,J. Grant makes free throw 1 of 1
0:00.0,A. Afflalo misses 3-pt shot from 27 ft,,24-31,,
0:00.0,Offensive rebound by Team,,24-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,A. Afflalo misses 3-pt shot from 25 ft,,24-31,,
11:33.0,,,24-31,,Defensive rebound by N. Mirotic
11:24.0,,,24-31,,B. Portis misses 3-pt shot from 24 ft
11:24.0,,,24-31,,Offensive rebound by Team
11:24.0,Loose ball foul by D. Augustin (drawn by D. Nwaba),,24-31,,
11:13.0,,,24-33,2,J. Grant makes 2-pt shot from 21 ft
11:04.0,S. Mack misses 2-pt shot from 22 ft,,24-33,,
11:01.0,,,24-33,,Defensive rebound by N. Mirotic
10:43.0,,,24-35,2,D. Nwaba makes 2-pt shot from 1 ft (assist by B. Portis)
10:25.0,J. Isaac misses 3-pt shot from 26 ft,,24-35,,
