time,LA Lakers,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Love vs. B. Lopez (L. Ball gains possession),,,,Jump ball: K. Love vs. B. Lopez (L. Ball gains possession)
11:48.0,B. Lopez misses 2-pt shot from 12 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by K. Love
11:34.0,,,0-0,,L. James misses 2-pt shot from 1 ft
11:31.0,Defensive rebound by L. Ball,,0-0,,
11:28.0,J. Hart misses 3-pt shot from 25 ft,,0-0,,
11:25.0,Offensive rebound by L. Nance,,0-0,,
11:21.0,L. Ball makes 3-pt shot from 26 ft (assist by L. Nance),3,3-0,,
11:07.0,,,3-2,2,J. Smith makes 2-pt shot from 1 ft (assist by L. James)
10:45.0,B. Ingram misses 2-pt shot from 13 ft,,3-2,,
10:43.0,,,3-2,,Defensive rebound by L. James
10:37.0,,,3-2,,J. Calderon misses 3-pt shot from 25 ft
10:33.0,Defensive rebound by L. Nance,,3-2,,
10:23.0,L. Nance misses 2-pt shot from 13 ft,,3-2,,
10:21.0,,,3-2,,Defensive rebound by K. Love
10:08.0,,,3-2,,K. Love misses 2-pt shot from 15 ft
10:04.0,Defensive rebound by L. Nance,,3-2,,
9:59.0,Shooting foul by J. Crowder (drawn by B. Ingram),,3-2,,
9:59.0,B. Ingram makes free throw 2 of 2,1,4-2,,
9:59.0,B. Ingram misses free throw 1 of 2,,4-2,,
9:59.0,Offensive rebound by Team,,4-2,,
9:37.0,,,4-2,,K. Love misses 2-pt shot from 14 ft
9:36.0,Defensive rebound by J. Hart,,4-2,,
9:32.0,Turnover by B. Ingram (bad pass; steal by J. Smith),,4-2,,
9:27.0,,,4-2,,Turnover by K. Love (bad pass; steal by J. Hart)
9:15.0,L. Nance misses 2-pt shot from 7 ft,,4-2,,
9:12.0,,,4-2,,Defensive rebound by L. James
9:10.0,,,4-2,,Shooting foul by B. Lopez (drawn by L. James)
9:10.0,,,4-2,,L. James misses free throw 1 of 2
9:10.0,,,4-2,,Offensive rebound by Team
9:10.0,,,4-3,1,L. James makes free throw 2 of 2
8:58.0,L. Ball misses 2-pt shot from 16 ft,,4-3,,
8:58.0,,,4-3,,Defensive rebound by K. Love
8:49.0,,,4-6,3,J. Calderon makes 3-pt shot from 26 ft
8:35.0,B. Lopez makes 2-pt shot from 12 ft,2,6-6,,
8:20.0,,,6-6,,J. Crowder misses 3-pt shot from 27 ft
8:17.0,Defensive rebound by B. Ingram,,6-6,,
8:11.0,B. Ingram makes 2-pt shot at rim (assist by B. Lopez),2,8-6,,
7:55.0,,,8-8,2,J. Crowder makes 2-pt shot from 1 ft (assist by J. Calderon)
7:37.0,B. Lopez misses 2-pt shot from 9 ft,,8-8,,
7:35.0,,,8-8,,Defensive rebound by L. James
7:29.0,,,8-8,,L. James misses 2-pt shot from 6 ft (block by J. Hart)
7:29.0,,,8-8,,Offensive rebound by L. James
7:17.0,,,8-8,,Shooting foul by B. Ingram (drawn by L. James)
7:17.0,,,8-9,1,L. James makes free throw 1 of 2
7:17.0,,,8-9,,L. James misses free throw 2 of 2
7:15.0,Defensive rebound by L. Nance,,8-9,,
7:06.0,B. Ingram makes 2-pt shot from 1 ft (assist by L. Ball),2,10-9,,
6:56.0,,,10-9,,Turnover by J. Calderon (traveling)
6:56.0,,,10-9,,Cleveland full timeout
6:44.0,B. Lopez misses 3-pt shot from 23 ft,,10-9,,
6:41.0,Offensive rebound by L. Nance,,10-9,,
6:36.0,L. Ball misses 3-pt shot from 25 ft,,10-9,,
6:32.0,,,10-9,,Defensive rebound by J. Smith
6:20.0,,,10-9,,J. Crowder misses 3-pt shot from 23 ft
6:18.0,Defensive rebound by L. Nance,,10-9,,
6:11.0,J. Hart misses 3-pt shot from 25 ft,,10-9,,
6:08.0,Offensive rebound by B. Lopez,,10-9,,
6:05.0,J. Hart misses 2-pt shot from 2 ft (block by K. Love),,10-9,,
5:54.0,Offensive rebound by L. Nance,,10-9,,
5:54.0,L. Nance makes 2-pt shot at rim,2,12-9,,
5:53.0,,,12-9,,Turnover by L. James (bad pass; steal by L. Ball)
5:50.0,L. Ball makes 2-pt shot from 1 ft,2,14-9,,
