time,Miami,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Simmons vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: B. Simmons vs. H. Whiteside (G. Dragic gains possession)
11:35.0,J. Johnson makes 2-pt shot from 1 ft (assist by J. Richardson),2,2-0,,
11:20.0,,,2-2,2,J. Redick makes 2-pt shot at rim (assist by D. Saric)
11:10.0,T. Johnson misses 2-pt shot from 15 ft,,2-2,,
11:07.0,,,2-2,,Defensive rebound by E. Ilyasova
11:01.0,,,2-2,,B. Simmons misses 2-pt shot from 2 ft (block by J. Richardson)
10:58.0,Defensive rebound by G. Dragic,,2-2,,
10:45.0,J. Johnson makes 3-pt shot from 25 ft (assist by T. Johnson),3,5-2,,
10:16.0,,,5-4,2,D. Saric makes 2-pt shot from 10 ft (assist by R. Covington)
10:06.0,G. Dragic makes 2-pt shot from 9 ft,2,7-4,,
9:57.0,,,7-4,,D. Saric misses 3-pt shot from 25 ft
9:56.0,,,7-4,,Offensive rebound by Team
9:56.0,Loose ball foul by J. Richardson (drawn by E. Ilyasova),,7-4,,
9:53.0,,,7-6,2,D. Saric makes 2-pt shot from 1 ft (assist by R. Covington)
9:38.0,G. Dragic makes 2-pt shot from 2 ft,2,9-6,,
9:26.0,,,9-8,2,B. Simmons makes 2-pt shot from 1 ft (assist by J. Redick)
9:04.0,J. Richardson misses 2-pt shot from 5 ft,,9-8,,
8:59.0,Offensive rebound by H. Whiteside,,9-8,,
8:59.0,H. Whiteside misses 2-pt shot at rim,,9-8,,
8:59.0,Offensive rebound by J. Johnson,,9-8,,
8:56.0,J. Richardson misses 3-pt shot from 28 ft,,9-8,,
8:54.0,,,9-8,,Defensive rebound by B. Simmons
8:51.0,,,9-8,,R. Covington misses 3-pt shot from 26 ft
8:47.0,Defensive rebound by J. Richardson,,9-8,,
8:43.0,T. Johnson misses 2-pt shot from 2 ft (block by B. Simmons),,9-8,,
8:41.0,Offensive rebound by T. Johnson,,9-8,,
8:34.0,G. Dragic misses 3-pt shot from 26 ft,,9-8,,
8:28.0,,,9-8,,Defensive rebound by B. Simmons
8:28.0,Personal foul by H. Whiteside (drawn by E. Ilyasova),,9-8,,
8:18.0,,,9-8,,J. Redick misses 3-pt shot from 28 ft
