time,Dallas,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. N. Noel (D. Nowitzki gains possession),,,,Jump ball: M. Gasol vs. N. Noel (D. Nowitzki gains possession)
11:45.0,H. Barnes makes 2-pt shot from 16 ft (assist by D. Smith),2,2-0,,
11:21.0,,,2-0,,M. Gasol misses 2-pt shot from 4 ft
11:17.0,,,2-0,,Offensive rebound by J. Martin
11:14.0,,,2-3,3,M. Gasol makes 3-pt shot from 25 ft (assist by J. Martin)
11:01.0,D. Nowitzki misses 2-pt shot from 20 ft,,2-3,,
10:59.0,,,2-3,,Defensive rebound by J. Ennis
10:52.0,,,2-3,,M. Conley misses 3-pt shot from 25 ft
10:48.0,Defensive rebound by D. Nowitzki,,2-3,,
10:37.0,Shooting foul by A. Harrison (drawn by W. Matthews),,2-3,,
10:37.0,W. Matthews makes free throw 1 of 2,1,3-3,,
10:37.0,W. Matthews makes free throw 2 of 2,1,4-3,,
10:26.0,,,4-3,,Turnover by M. Gasol (turnover)
10:26.0,,,4-3,,Loose ball foul by M. Gasol (drawn by N. Noel)
10:09.0,Turnover by D. Nowitzki (bad pass),,4-3,,
10:00.0,,,4-3,,M. Conley misses 2-pt shot from 15 ft
9:56.0,Defensive rebound by H. Barnes,,4-3,,
9:50.0,H. Barnes makes 2-pt shot from 21 ft,2,6-3,,
9:28.0,,,6-3,,J. Ennis misses 3-pt shot from 23 ft
9:26.0,Defensive rebound by N. Noel,,6-3,,
9:12.0,D. Nowitzki misses 2-pt shot from 21 ft,,6-3,,
9:09.0,,,6-3,,Defensive rebound by M. Gasol
9:03.0,,,6-6,3,J. Martin makes 3-pt shot from 25 ft (assist by M. Conley)
8:51.0,D. Smith makes 2-pt shot from 17 ft,2,8-6,,
8:36.0,Personal foul by N. Noel (drawn by M. Conley),,8-6,,
8:21.0,,,8-6,,A. Harrison misses 2-pt shot from 15 ft
8:19.0,Defensive rebound by D. Nowitzki,,8-6,,
8:13.0,D. Smith misses 3-pt shot from 25 ft,,8-6,,
8:08.0,,,8-6,,Defensive rebound by J. Martin
8:04.0,Personal foul by N. Noel (drawn by M. Gasol),,8-6,,
8:04.0,D. Powell enters the game for N. Noel,,8-6,,
7:56.0,,,8-6,,M. Conley misses 2-pt shot from 1 ft (block by D. Smith)
7:53.0,Defensive rebound by D. Powell,,8-6,,
7:42.0,W. Matthews misses 3-pt shot from 25 ft,,8-6,,
7:39.0,,,8-6,,Defensive rebound by J. Ennis
7:32.0,,,8-8,2,M. Gasol makes 2-pt shot from 1 ft (assist by M. Conley)
7:26.0,Turnover by D. Smith (bad pass),,8-8,,
7:10.0,,,8-11,3,J. Martin makes 3-pt shot from 24 ft (assist by M. Conley)
6:55.0,H. Barnes misses 2-pt shot from 20 ft,,8-11,,
6:52.0,,,8-11,,Defensive rebound by M. Gasol
6:44.0,Personal foul by D. Powell (drawn by A. Harrison),,8-11,,
6:44.0,,,8-11,,Memphis full timeout
6:44.0,Y. Ferrell enters the game for W. Matthews,,8-11,,
6:44.0,M. Kleber enters the game for D. Nowitzki,,8-11,,
6:41.0,,,8-11,,Turnover by A. Harrison (traveling)
6:24.0,D. Powell misses 2-pt shot from 1 ft,,8-11,,
6:21.0,,,8-11,,Defensive rebound by Team
6:16.0,,,8-11,,M. Gasol misses 3-pt shot from 26 ft
6:13.0,Defensive rebound by H. Barnes,,8-11,,
5:58.0,D. Smith misses 2-pt shot at rim,,8-11,,
5:53.0,,,8-11,,Defensive rebound by J. Martin
5:47.0,,,8-13,2,M. Conley makes 2-pt shot at rim
5:25.0,D. Smith misses 2-pt shot from 18 ft,,8-13,,
5:22.0,,,8-13,,Defensive rebound by M. Gasol
5:16.0,,,8-13,,J. Ennis misses 3-pt shot from 22 ft
5:13.0,Defensive rebound by D. Powell,,8-13,,
5:02.0,H. Barnes makes 2-pt shot from 1 ft (assist by D. Smith),2,10-13,,
4:48.0,,,10-15,2,M. Gasol makes 2-pt shot at rim (assist by A. Harrison)
4:48.0,,,10-15,,Shooting foul by D. Powell (drawn by M. Gasol)
4:48.0,,,10-15,,M. Chalmers enters the game for A. Harrison
