time,Indiana,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Whiteside vs. M. Turner (T. Young gains possession),,,,Jump ball: H. Whiteside vs. M. Turner (T. Young gains possession)
11:46.0,M. Turner makes 2-pt shot from 19 ft (assist by D. Collison),2,2-0,,
11:22.0,,,2-0,,H. Whiteside misses 2-pt shot from 6 ft
11:21.0,Defensive rebound by T. Young,,2-0,,
10:59.0,M. Turner makes 2-pt shot from 18 ft (assist by D. Collison),2,4-0,,
10:46.0,,,4-0,,Turnover by G. Dragic (bad pass)
10:32.0,Turnover by D. Collison (bad pass; steal by J. Winslow),,4-0,,
10:21.0,,,4-2,2,J. Richardson makes 2-pt shot from 7 ft
10:11.0,M. Turner makes 2-pt shot from 8 ft,2,6-2,,
10:01.0,,,6-4,2,H. Whiteside makes 2-pt shot from 6 ft (assist by G. Dragic)
9:47.0,V. Oladipo misses 3-pt shot from 23 ft,,6-4,,
9:43.0,,,6-4,,Defensive rebound by H. Whiteside
9:32.0,,,6-4,,D. Waiters misses 3-pt shot from 26 ft
9:29.0,,,6-4,,Offensive rebound by D. Waiters
9:29.0,Personal foul by V. Oladipo (drawn by D. Waiters),,6-4,,
9:22.0,,,6-4,,D. Waiters misses 2-pt shot from 11 ft
9:18.0,,,6-4,,Offensive rebound by J. Winslow
9:06.0,,,6-4,,J. Richardson misses 3-pt shot from 24 ft
9:03.0,Defensive rebound by M. Turner,,6-4,,
9:00.0,Shooting foul by G. Dragic (drawn by D. Collison),,6-4,,
9:00.0,D. Collison makes free throw 1 of 2,1,7-4,,
9:00.0,D. Collison makes free throw 2 of 2,1,8-4,,
8:49.0,,,8-4,,Turnover by D. Waiters (bad pass; steal by M. Turner)
8:35.0,T. Young makes 2-pt shot from 5 ft (assist by B. Bogdanovic),2,10-4,,
8:16.0,,,10-4,,D. Waiters misses 3-pt shot from 23 ft
8:13.0,Defensive rebound by D. Collison,,10-4,,
8:05.0,M. Turner makes 2-pt shot from 2 ft (assist by D. Collison),2,12-4,,
7:59.0,,,12-4,,Miami full timeout
7:40.0,,,12-7,3,G. Dragic makes 3-pt shot from 23 ft (assist by J. Winslow)
7:26.0,B. Bogdanovic makes 2-pt shot from 3 ft,2,14-7,,
7:13.0,,,14-7,,D. Waiters misses 2-pt shot from 3 ft (block by M. Turner)
7:09.0,Defensive rebound by T. Young,,14-7,,
7:07.0,T. Young makes 2-pt shot from 3 ft,2,16-7,,
6:51.0,,,16-7,,T. Johnson enters the game for J. Winslow
6:51.0,,,16-7,,J. Johnson enters the game for D. Waiters
6:49.0,,,16-7,,G. Dragic misses 2-pt shot from 2 ft (block by M. Turner)
6:46.0,,,16-7,,Offensive rebound by G. Dragic
