time,Orlando,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Millsap vs. N. Vucevic (A. Gordon gains possession),,,,Jump ball: P. Millsap vs. N. Vucevic (A. Gordon gains possession)
11:43.0,E. Fournier makes 3-pt shot from 26 ft (assist by A. Gordon),3,3-0,,
11:26.0,,,3-0,,W. Chandler misses 2-pt shot from 3 ft (block by A. Gordon)
11:26.0,,,3-0,,Offensive rebound by Team
11:19.0,,,3-0,,J. Murray misses 3-pt shot from 26 ft
11:16.0,,,3-0,,Offensive rebound by N. Jokic
11:13.0,,,3-0,,J. Murray misses 2-pt shot from 4 ft
11:13.0,,,3-0,,Offensive rebound by W. Chandler
11:13.0,,,3-2,2,W. Chandler makes 2-pt shot from 2 ft
10:55.0,A. Gordon misses 3-pt shot from 22 ft,,3-2,,
10:53.0,,,3-2,,Defensive rebound by W. Barton
10:41.0,,,3-5,3,J. Murray makes 3-pt shot from 26 ft (assist by W. Chandler)
10:26.0,N. Vucevic misses 3-pt shot from 27 ft,,3-5,,
10:24.0,,,3-5,,Defensive rebound by W. Barton
10:09.0,,,3-8,3,W. Barton makes 3-pt shot from 25 ft (assist by P. Millsap)
9:51.0,,,3-8,,Personal foul by P. Millsap (drawn by E. Fournier)
9:51.0,E. Fournier makes free throw 2 of 2,1,4-8,,
9:51.0,E. Fournier makes free throw 1 of 2,1,5-8,,
9:34.0,,,5-8,,W. Chandler misses 3-pt shot from 22 ft
9:34.0,Defensive rebound by Team,,5-8,,
9:19.0,T. Ross makes 3-pt shot from 23 ft (assist by S. Mack),3,8-8,,
9:02.0,,,8-10,2,W. Barton makes 2-pt shot from 4 ft
8:50.0,N. Vucevic misses 2-pt shot from 16 ft,,8-10,,
8:48.0,,,8-10,,Defensive rebound by P. Millsap
8:40.0,,,8-12,2,N. Jokic makes 2-pt shot from 4 ft (assist by P. Millsap)
8:25.0,S. Mack misses 3-pt shot from 26 ft,,8-12,,
8:23.0,,,8-12,,Defensive rebound by W. Barton
8:16.0,,,8-15,3,J. Murray makes 3-pt shot from 27 ft (assist by N. Jokic)
8:12.0,Orlando full timeout,,8-15,,
7:59.0,A. Gordon misses 3-pt shot from 25 ft,,8-15,,
7:56.0,Offensive rebound by N. Vucevic,,8-15,,
7:50.0,A. Gordon misses 3-pt shot from 23 ft,,8-15,,
7:46.0,,,8-15,,Defensive rebound by J. Murray
7:28.0,,,8-17,2,J. Murray makes 2-pt shot from 16 ft
7:10.0,N. Vucevic misses 2-pt shot from 2 ft,,8-17,,
7:08.0,,,8-17,,Defensive rebound by N. Jokic
7:00.0,,,8-17,,Turnover by W. Chandler (lost ball; steal by S. Mack)
6:54.0,E. Fournier makes 2-pt shot from 7 ft,2,10-17,,
6:35.0,,,10-17,,W. Chandler misses 3-pt shot from 22 ft
6:32.0,,,10-17,,Offensive rebound by P. Millsap
6:32.0,,,10-17,,Turnover by J. Murray (bad pass)
6:13.0,N. Vucevic makes 2-pt shot from 18 ft (assist by S. Mack),2,12-17,,
5:54.0,,,12-20,3,W. Barton makes 3-pt shot from 22 ft (assist by N. Jokic)
5:41.0,A. Gordon misses 2-pt shot from 2 ft,,12-20,,
5:38.0,,,12-20,,Defensive rebound by W. Chandler
5:34.0,,,12-20,,Offensive charge foul by W. Chandler (drawn by N. Vucevic)
5:34.0,,,12-20,,Turnover by W. Chandler (offensive foul)
5:34.0,J. Simmons enters the game for T. Ross,,12-20,,
5:20.0,E. Fournier makes 2-pt shot from 2 ft,2,14-20,,
5:07.0,,,14-20,,W. Chandler misses 3-pt shot from 22 ft
5:03.0,Defensive rebound by A. Gordon,,14-20,,
4:56.0,Turnover by N. Vucevic (bad pass),,14-20,,
4:56.0,,,14-20,,M. Plumlee enters the game for N. Jokic
4:56.0,,,14-20,,E. Mudiay enters the game for W. Chandler
4:39.0,,,14-22,2,P. Millsap makes 2-pt shot from 11 ft (assist by M. Plumlee)
4:20.0,S. Mack makes 3-pt shot from 25 ft (assist by N. Vucevic),3,17-22,,
4:05.0,,,17-22,,Turnover by E. Mudiay (bad pass; steal by E. Fournier)
4:01.0,A. Gordon makes 2-pt shot from 2 ft (assist by E. Fournier),2,19-22,,
4:00.0,,,19-22,,Denver full timeout
4:00.0,J. Isaac enters the game for S. Mack,,19-22,,
3:45.0,,,19-24,2,J. Murray makes 2-pt shot from 4 ft (assist by P. Millsap)
3:21.0,Turnover by A. Gordon (lost ball; steal by M. Plumlee),,19-24,,
3:17.0,,,19-26,2,E. Mudiay makes 2-pt shot from 3 ft (assist by W. Barton)
3:10.0,N. Vucevic misses 3-pt shot from 26 ft,,19-26,,
3:10.0,,,19-26,,Defensive rebound by M. Plumlee
2:45.0,,,19-29,3,J. Murray makes 3-pt shot from 25 ft (assist by E. Mudiay)
2:28.0,N. Vucevic misses 2-pt shot from 4 ft (block by P. Millsap),,19-29,,
2:25.0,,,19-29,,Defensive rebound by J. Murray
2:22.0,,,19-29,,J. Murray misses 2-pt shot from 3 ft (block by J. Isaac)
2:21.0,,,19-29,,Offensive rebound by Team
