time,Oklahoma City,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Zeller vs. S. Adams (R. Hollis-Jefferson gains possession),,,,Jump ball: T. Zeller vs. S. Adams (R. Hollis-Jefferson gains possession)
11:57.0,,,0-0,,R. Hollis-Jefferson misses 2-pt shot at rim
11:56.0,,,0-0,,Offensive rebound by R. Hollis-Jefferson
11:49.0,,,0-0,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
11:47.0,,,0-0,,Offensive rebound by Team
11:42.0,,,0-0,,A. Crabbe misses 2-pt shot from 12 ft
11:38.0,Defensive rebound by S. Adams,,0-0,,
11:25.0,R. Westbrook misses 2-pt shot from 21 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by D. Carroll
11:15.0,,,0-0,,Turnover by A. Crabbe (step out of bounds)
11:01.0,C. Anthony misses 2-pt shot from 17 ft,,0-0,,
10:57.0,,,0-0,,Defensive rebound by D. Carroll
10:45.0,,,0-0,,Shooting foul by A. Abrines (drawn by D. Carroll)
10:45.0,,,0-0,,D. Carroll misses free throw 1 of 2
10:45.0,,,0-0,,Offensive rebound by Team
10:45.0,,,0-1,1,D. Carroll makes free throw 2 of 2
10:28.0,S. Adams makes 2-pt shot from 5 ft (assist by A. Abrines),2,2-1,,
10:13.0,,,2-1,,S. Dinwiddie misses 3-pt shot from 26 ft
10:11.0,Defensive rebound by A. Roberson,,2-1,,
10:01.0,Turnover by S. Adams (out of bounds lost ball),,2-1,,
9:51.0,,,2-1,,D. Carroll misses 3-pt shot from 24 ft
9:50.0,Defensive rebound by R. Westbrook,,2-1,,
9:45.0,Shooting foul by S. Dinwiddie (drawn by R. Westbrook),,2-1,,
9:45.0,,,2-1,,Technical foul by S. Dinwiddie
9:45.0,R. Westbrook makes technical free throw,1,3-1,,
9:45.0,R. Westbrook makes free throw 1 of 2,1,4-1,,
9:45.0,R. Westbrook makes free throw 2 of 2,1,5-1,,
9:21.0,,,5-1,,R. Hollis-Jefferson misses 3-pt shot from 22 ft
9:19.0,Defensive rebound by R. Westbrook,,5-1,,
9:15.0,C. Anthony misses 3-pt shot from 25 ft,,5-1,,
9:12.0,,,5-1,,Defensive rebound by A. Crabbe
9:06.0,,,5-3,2,R. Hollis-Jefferson makes 2-pt shot from 15 ft (assist by S. Dinwiddie)
8:38.0,A. Abrines misses 3-pt shot from 26 ft,,5-3,,
8:35.0,Offensive rebound by S. Adams,,5-3,,
8:30.0,Offensive charge foul by R. Westbrook (drawn by T. Zeller),,5-3,,
8:30.0,Turnover by R. Westbrook (offensive foul),,5-3,,
8:12.0,,,5-3,,A. Crabbe misses 3-pt shot from 23 ft
8:08.0,Defensive rebound by A. Roberson,,5-3,,
8:02.0,Shooting foul by S. Dinwiddie (drawn by R. Westbrook),,5-3,,
8:02.0,R. Westbrook misses free throw 1 of 2,,5-3,,
8:02.0,Offensive rebound by Team,,5-3,,
8:02.0,,,5-3,,C. LeVert enters the game for S. Dinwiddie
8:02.0,R. Westbrook makes free throw 2 of 2,1,6-3,,
7:56.0,,,6-5,2,R. Hollis-Jefferson makes 2-pt shot from 3 ft
7:56.0,,,6-5,,Shooting foul by C. Anthony (drawn by R. Hollis-Jefferson)
7:56.0,,,6-5,,R. Hollis-Jefferson misses free throw 1 of 1
7:54.0,Defensive rebound by R. Westbrook,,6-5,,
7:49.0,C. Anthony misses 2-pt shot from 9 ft,,6-5,,
7:49.0,Offensive rebound by Team,,6-5,,
7:39.0,C. Anthony makes 2-pt shot from 20 ft (assist by A. Roberson),2,8-5,,
7:24.0,,,8-5,,C. LeVert misses 3-pt shot from 24 ft
7:22.0,Defensive rebound by S. Adams,,8-5,,
7:12.0,R. Westbrook misses 2-pt shot from 17 ft,,8-5,,
7:10.0,,,8-5,,Defensive rebound by D. Carroll
6:52.0,,,8-7,2,T. Zeller makes 2-pt shot from 1 ft (assist by C. LeVert)
6:42.0,R. Westbrook misses 2-pt shot from 1 ft (block by T. Zeller),,8-7,,
6:41.0,Offensive rebound by Team,,8-7,,
