time,Golden State,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. Z. Pachulia (D. Green gains possession),,,,Jump ball: N. Vucevic vs. Z. Pachulia (D. Green gains possession)
11:40.0,K. Durant misses 2-pt shot from 15 ft,,0-0,,
11:36.0,Offensive rebound by S. Curry,,0-0,,
11:30.0,Turnover by D. Green (bad pass; steal by J. Simmons),,0-0,,
11:24.0,,,0-0,,Turnover by J. Simmons (lost ball; steal by D. Green)
11:12.0,K. Durant makes 2-pt shot from 1 ft,2,2-0,,
11:12.0,Shooting foul by N. Vucevic (drawn by K. Durant),,2-0,,
11:12.0,K. Durant makes free throw 1 of 1,1,3-0,,
11:02.0,,,3-0,,E. Payton misses 2-pt shot from 3 ft (block by K. Durant)
11:00.0,Defensive rebound by Z. Pachulia,,3-0,,
10:57.0,S. Curry misses 2-pt shot from 15 ft,,3-0,,
10:57.0,,,3-0,,Defensive rebound by N. Vucevic
10:48.0,,,3-0,,Turnover by A. Gordon (lost ball; steal by D. Green)
10:42.0,Offensive foul by Z. Pachulia (drawn by J. Simmons),,3-0,,
10:42.0,Turnover by Z. Pachulia (offensive foul),,3-0,,
10:29.0,,,3-2,2,A. Gordon makes 2-pt shot from 2 ft (assist by N. Vucevic)
10:16.0,K. Durant makes 2-pt shot from 1 ft (assist by Z. Pachulia),2,5-2,,
10:05.0,,,5-2,,A. Gordon misses 3-pt shot from 26 ft
10:01.0,Defensive rebound by K. Thompson,,5-2,,
9:56.0,S. Curry makes 3-pt shot from 25 ft (assist by K. Thompson),3,8-2,,
9:44.0,,,8-2,,J. Simmons misses 3-pt shot from 22 ft
9:44.0,Defensive rebound by D. Green,,8-2,,
9:35.0,S. Curry makes 2-pt shot from 16 ft,2,10-2,,
9:34.0,,,10-2,,Orlando full timeout
9:21.0,,,10-5,3,E. Fournier makes 3-pt shot from 22 ft (assist by E. Payton)
9:06.0,Z. Pachulia makes 2-pt shot at rim (assist by K. Thompson),2,12-5,,
8:44.0,,,12-7,2,E. Fournier makes 2-pt shot from 1 ft
8:44.0,,,12-7,,Shooting foul by D. Green (drawn by E. Fournier)
8:44.0,,,12-8,1,E. Fournier makes free throw 1 of 1
8:32.0,K. Durant makes 2-pt shot at rim,2,14-8,,
8:32.0,Shooting foul by E. Fournier (drawn by K. Durant),,14-8,,
8:32.0,K. Durant makes free throw 1 of 1,1,15-8,,
8:22.0,,,15-8,,N. Vucevic misses 2-pt shot from 2 ft (block by K. Durant)
8:16.0,Defensive rebound by K. Thompson,,15-8,,
8:15.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by D. Green),2,17-8,,
8:01.0,,,17-8,,Turnover by A. Gordon (discontinued dribble)
7:51.0,Turnover by D. Green (bad pass; steal by E. Payton),,17-8,,
7:45.0,,,17-10,2,J. Simmons makes 2-pt shot from 2 ft (assist by E. Payton)
7:26.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by K. Durant),2,19-10,,
7:13.0,,,19-13,3,E. Fournier makes 3-pt shot from 26 ft (assist by J. Simmons)
7:03.0,S. Curry misses 3-pt shot from 25 ft,,19-13,,
7:01.0,,,19-13,,Defensive rebound by A. Gordon
6:52.0,,,19-15,2,E. Fournier makes 2-pt shot from 1 ft (assist by E. Payton)
6:43.0,Golden State full timeout,,19-15,,
6:39.0,S. Curry makes 2-pt shot from 12 ft,2,21-15,,
6:15.0,,,21-17,2,N. Vucevic makes 2-pt shot from 9 ft
5:53.0,K. Durant misses 3-pt shot from 23 ft,,21-17,,
5:50.0,,,21-17,,Defensive rebound by J. Simmons
5:37.0,,,21-17,,E. Payton misses 2-pt shot from 10 ft
5:35.0,Defensive rebound by Z. Pachulia,,21-17,,
5:32.0,K. Durant makes 2-pt shot at rim (assist by S. Curry),2,23-17,,
5:13.0,,,23-19,2,A. Gordon makes 2-pt shot from 2 ft (assist by J. Simmons)
4:49.0,K. Thompson makes 2-pt shot from 1 ft (assist by Z. Pachulia),2,25-19,,
4:30.0,,,25-21,2,J. Simmons makes 2-pt shot from 1 ft
4:16.0,K. Thompson makes 2-pt shot from 18 ft (assist by D. Green),2,27-21,,
4:03.0,,,27-21,,A. Gordon misses 2-pt shot from 8 ft (block by D. Green)
3:58.0,Defensive rebound by D. Green,,27-21,,
3:55.0,S. Curry makes 3-pt shot from 24 ft (assist by K. Durant),3,30-21,,
3:54.0,,,30-21,,Orlando full timeout
3:54.0,J. Bell enters the game for D. Green,,30-21,,
3:54.0,O. Casspi enters the game for Z. Pachulia,,30-21,,
3:34.0,,,30-24,3,A. Gordon makes 3-pt shot from 23 ft (assist by N. Vucevic)
3:22.0,Offensive foul by S. Curry (drawn by E. Payton),,30-24,,
3:22.0,Turnover by S. Curry (offensive foul),,30-24,,
3:22.0,P. McCaw enters the game for K. Thompson,,30-24,,
3:08.0,,,30-24,,A. Gordon misses 3-pt shot from 26 ft
3:02.0,Defensive rebound by S. Curry,,30-24,,
3:00.0,,,30-24,,A. Afflalo enters the game for J. Simmons
2:52.0,K. Durant makes 2-pt shot from 8 ft,2,32-24,,
2:41.0,,,32-27,3,E. Fournier makes 3-pt shot from 25 ft (assist by E. Payton)
2:33.0,,,32-27,,Personal foul by E. Fournier (drawn by S. Curry)
2:33.0,,,32-27,,D. Augustin enters the game for E. Fournier
2:22.0,J. Bell makes 2-pt shot from 10 ft (assist by K. Durant),2,34-27,,
2:10.0,,,34-27,,N. Vucevic misses 2-pt shot from 8 ft (block by K. Durant)
2:05.0,,,34-27,,Offensive rebound by N. Vucevic
2:04.0,,,34-27,,N. Vucevic misses 2-pt shot from 5 ft
2:04.0,Defensive rebound by O. Casspi,,34-27,,
1:56.0,O. Casspi makes 2-pt shot from 1 ft (assist by K. Durant),2,36-27,,
1:44.0,,,36-27,,Shooting foul by O. Casspi (drawn by A. Afflalo)
1:44.0,D. Green enters the game for K. Durant,,36-27,,
1:44.0,,,36-27,,B. Biyombo enters the game for N. Vucevic
