time,Brooklyn,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. J. Allen (D. Russell gains possession),,,,Jump ball: J. Valanciunas vs. J. Allen (D. Russell gains possession)
11:51.0,Turnover by D. Russell (bad pass; steal by O. Anunoby),,0-0,,
11:48.0,,,0-2,2,O. Anunoby makes 2-pt shot from 1 ft (assist by K. Lowry)
11:34.0,A. Crabbe makes 3-pt shot from 26 ft (assist by D. Russell),3,3-2,,
11:23.0,,,3-4,2,S. Ibaka makes 2-pt shot from 17 ft (assist by K. Lowry)
11:09.0,D. Russell misses 2-pt shot from 12 ft,,3-4,,
11:05.0,,,3-4,,Defensive rebound by J. Valanciunas
10:57.0,,,3-4,,J. Valanciunas misses 2-pt shot from 3 ft
10:55.0,Defensive rebound by D. Russell,,3-4,,
10:52.0,R. Hollis-Jefferson makes 2-pt shot at rim (assist by D. Russell),2,5-4,,
10:33.0,,,5-6,2,S. Ibaka makes 2-pt shot from 2 ft (assist by K. Lowry)
10:22.0,A. Crabbe misses 3-pt shot from 26 ft,,5-6,,
10:18.0,,,5-6,,Defensive rebound by J. Valanciunas
10:11.0,,,5-8,2,J. Valanciunas makes 2-pt shot from 3 ft (assist by K. Lowry)
9:56.0,R. Hollis-Jefferson makes 2-pt shot from 12 ft,2,7-8,,
9:36.0,,,7-8,,Shooting foul by J. Allen (drawn by J. Valanciunas)
9:36.0,,,7-9,1,J. Valanciunas makes free throw 1 of 2
9:36.0,,,7-10,1,J. Valanciunas makes free throw 2 of 2
9:24.0,J. Allen misses 2-pt shot from 2 ft,,7-10,,
9:21.0,,,7-10,,Defensive rebound by S. Ibaka
9:17.0,,,7-10,,K. Lowry misses 3-pt shot from 24 ft
9:17.0,Defensive rebound by Team,,7-10,,
9:04.0,R. Hollis-Jefferson misses 2-pt shot from 14 ft,,7-10,,
9:00.0,,,7-10,,Defensive rebound by K. Lowry
8:51.0,,,7-10,,Offensive charge foul by S. Ibaka (drawn by D. Russell)
8:51.0,,,7-10,,Turnover by S. Ibaka (offensive foul)
8:29.0,D. Russell makes 2-pt shot from 2 ft,2,9-10,,
8:11.0,,,9-10,,J. Valanciunas misses 3-pt shot from 25 ft
8:09.0,Defensive rebound by A. Crabbe,,9-10,,
8:00.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft,2,11-10,,
7:43.0,,,11-10,,D. DeRozan misses 3-pt shot from 25 ft
7:40.0,Defensive rebound by R. Hollis-Jefferson,,11-10,,
7:30.0,D. Russell misses 3-pt shot from 27 ft,,11-10,,
7:26.0,,,11-10,,Defensive rebound by J. Valanciunas
7:16.0,,,11-10,,J. Valanciunas misses 3-pt shot from 25 ft
7:13.0,Defensive rebound by A. Crabbe,,11-10,,
6:57.0,A. Crabbe makes 2-pt shot from 6 ft (assist by J. Allen),2,13-10,,
6:41.0,,,13-12,2,J. Valanciunas makes 2-pt shot from 5 ft (assist by O. Anunoby)
6:30.0,D. Carroll makes 3-pt shot from 26 ft (assist by D. Russell),3,16-12,,
6:14.0,,,16-12,,D. DeRozan misses 2-pt shot from 2 ft (block by A. Crabbe)
6:14.0,,,16-12,,Offensive rebound by Team
6:14.0,,,16-12,,Toronto full timeout
6:14.0,D. Cunningham enters the game for D. Carroll,,16-12,,
6:14.0,S. Dinwiddie enters the game for J. Allen,,16-12,,
6:10.0,,,16-12,,Turnover by D. DeRozan (bad pass; steal by D. Russell)
6:06.0,D. Cunningham makes 2-pt shot from 1 ft (assist by D. Russell),2,18-12,,
5:53.0,Personal foul by D. Russell (drawn by K. Lowry),,18-12,,
5:50.0,,,18-15,3,J. Valanciunas makes 3-pt shot from 25 ft (assist by D. DeRozan)
5:28.0,Turnover by D. Russell (bad pass; steal by O. Anunoby),,18-15,,
5:21.0,,,18-15,,J. Valanciunas misses 2-pt shot at rim
5:20.0,,,18-15,,Offensive rebound by J. Valanciunas
5:20.0,,,18-17,2,J. Valanciunas makes 2-pt shot at rim
5:20.0,Brooklyn full timeout,,18-17,,
5:13.0,Turnover by S. Dinwiddie (bad pass; steal by S. Ibaka),,18-17,,
5:00.0,,,18-19,2,S. Ibaka makes 2-pt shot at rim (assist by D. DeRozan)
4:42.0,D. Cunningham misses 3-pt shot from 22 ft,,18-19,,
4:38.0,,,18-19,,Defensive rebound by K. Lowry
4:31.0,,,18-19,,J. Valanciunas misses 2-pt shot from 2 ft
4:29.0,Defensive rebound by D. Russell,,18-19,,
4:20.0,D. Cunningham makes 3-pt shot from 26 ft (assist by D. Russell),3,21-19,,
3:52.0,,,21-21,2,D. DeRozan makes 2-pt shot from 10 ft
3:38.0,D. Cunningham misses 2-pt shot from 18 ft,,21-21,,
3:36.0,,,21-21,,Defensive rebound by S. Ibaka
3:29.0,,,21-23,2,S. Ibaka makes 2-pt shot from 5 ft (assist by K. Lowry)
3:13.0,,,21-23,,Personal foul by O. Anunoby (drawn by D. Russell)
3:13.0,,,21-23,,P. Siakam enters the game for O. Anunoby
3:13.0,C. LeVert enters the game for D. Russell,,21-23,,
3:13.0,J. Harris enters the game for R. Hollis-Jefferson,,21-23,,
3:13.0,D. Carroll enters the game for A. Crabbe,,21-23,,
3:01.0,D. Carroll misses 2-pt shot from 12 ft,,21-23,,
2:58.0,,,21-23,,Defensive rebound by J. Valanciunas
2:53.0,,,21-25,2,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry)
2:38.0,,,21-25,,Personal foul by J. Valanciunas (drawn by S. Dinwiddie)
2:38.0,,,21-25,,J. Poeltl enters the game for J. Valanciunas
2:25.0,C. LeVert misses 2-pt shot from 9 ft,,21-25,,
2:23.0,,,21-25,,Defensive rebound by S. Ibaka
2:13.0,,,21-28,3,K. Lowry makes 3-pt shot from 26 ft (assist by J. Poeltl)
1:49.0,D. Cunningham makes 2-pt shot from 21 ft (assist by S. Dinwiddie),2,23-28,,
1:40.0,,,23-28,,F. VanVleet enters the game for K. Lowry
1:32.0,,,23-28,,Turnover by D. DeRozan (lost ball; steal by C. LeVert)
1:29.0,C. LeVert makes 2-pt shot at rim,2,25-28,,
1:19.0,,,25-31,3,P. Siakam makes 3-pt shot from 23 ft (assist by F. VanVleet)
1:05.0,C. LeVert makes 3-pt shot from 27 ft,3,28-31,,
0:41.0,,,28-31,,D. DeRozan misses 3-pt shot from 25 ft
0:38.0,Defensive rebound by S. Dinwiddie,,28-31,,
0:37.0,Shooting foul by S. Ibaka (drawn by S. Dinwiddie),,28-31,,
0:37.0,S. Dinwiddie makes free throw 1 of 2,1,29-31,,
0:37.0,,,29-31,,D. Wright enters the game for S. Ibaka
0:37.0,S. Dinwiddie misses free throw 2 of 2,,29-31,,
0:35.0,,,29-31,,Defensive rebound by P. Siakam
0:29.0,,,29-31,,F. VanVleet misses 3-pt shot from 28 ft
0:26.0,Defensive rebound by D. Carroll,,29-31,,
0:04.0,D. Cunningham makes 3-pt shot from 23 ft (assist by S. Dinwiddie),3,32-31,,
0:00.0,,,32-31,,D. Wright misses 3-pt shot from 25 ft (block by D. Carroll)
0:00.0,,,32-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,32-31,,D. Wright misses 3-pt shot from 26 ft
11:46.0,Defensive rebound by C. LeVert,,32-31,,
11:42.0,Shooting foul by P. Siakam (drawn by D. Carroll),,32-31,,
11:42.0,D. Carroll makes free throw 1 of 2,1,33-31,,
11:42.0,D. Carroll makes free throw 2 of 2,1,34-31,,
11:17.0,,,34-31,,F. VanVleet misses 2-pt shot from 2 ft (block by D. Cunningham)
11:14.0,Defensive rebound by C. LeVert,,34-31,,
11:09.0,J. Harris misses 2-pt shot from 2 ft,,34-31,,
11:08.0,Offensive rebound by J. Harris,,34-31,,
10:53.0,S. Dinwiddie misses 2-pt shot from 1 ft,,34-31,,
10:50.0,,,34-31,,Defensive rebound by P. Siakam
10:46.0,,,34-31,,N. Powell misses 3-pt shot from 25 ft
10:44.0,,,34-31,,Offensive rebound by J. Poeltl
10:33.0,,,34-33,2,P. Siakam makes 2-pt shot from 4 ft
10:19.0,J. Harris makes 3-pt shot from 26 ft,3,37-33,,
10:02.0,,,37-33,,N. Powell misses 2-pt shot from 7 ft
10:00.0,Defensive rebound by J. Harris,,37-33,,
9:53.0,J. Harris misses 3-pt shot from 27 ft,,37-33,,
9:49.0,,,37-33,,Defensive rebound by J. Poeltl
9:44.0,,,37-33,,Turnover by D. Wright (bad pass; steal by C. LeVert)
9:21.0,C. LeVert misses 2-pt shot from 3 ft,,37-33,,
9:19.0,,,37-33,,Defensive rebound by J. Poeltl
9:14.0,,,37-33,,F. VanVleet misses 2-pt shot from 2 ft
9:13.0,,,37-33,,Offensive rebound by Team
9:13.0,J. Allen enters the game for D. Cunningham,,37-33,,
9:00.0,,,37-33,,P. Siakam misses 2-pt shot from 4 ft
8:58.0,Defensive rebound by J. Allen,,37-33,,
8:53.0,D. Carroll makes 2-pt shot from 5 ft,2,39-33,,
8:37.0,,,39-36,3,P. Siakam makes 3-pt shot from 22 ft (assist by N. Powell)
8:12.0,Turnover by S. Dinwiddie (traveling),,39-36,,
8:04.0,,,39-39,3,F. VanVleet makes 3-pt shot from 25 ft
7:44.0,J. Harris makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,41-39,,
7:32.0,,,41-39,,J. Poeltl misses 2-pt shot from 4 ft (block by J. Allen)
7:30.0,Defensive rebound by J. Allen,,41-39,,
7:19.0,J. Allen makes 2-pt shot from 1 ft (assist by C. LeVert),2,43-39,,
7:19.0,Shooting foul by F. VanVleet (drawn by J. Allen),,43-39,,
7:19.0,J. Allen makes free throw 1 of 1,1,44-39,,
7:10.0,Personal foul by J. Harris (drawn by N. Powell),,44-39,,
7:10.0,,,44-39,,L. Nogueira enters the game for J. Poeltl
7:00.0,,,44-41,2,P. Siakam makes 2-pt shot from 3 ft
6:41.0,C. LeVert misses 2-pt shot from 1 ft (block by L. Nogueira),,44-41,,
6:39.0,Offensive rebound by J. Allen,,44-41,,
6:38.0,J. Allen makes 2-pt shot from 2 ft,2,46-41,,
6:33.0,Personal foul by S. Dinwiddie (drawn by F. VanVleet),,46-41,,
6:33.0,,,46-41,,Toronto full timeout
6:33.0,,,46-41,,K. Lowry enters the game for N. Powell
6:33.0,R. Hollis-Jefferson enters the game for S. Dinwiddie,,46-41,,
6:33.0,D. Russell enters the game for D. Carroll,,46-41,,
6:24.0,,,46-41,,K. Lowry misses 2-pt shot from 6 ft
6:21.0,Defensive rebound by R. Hollis-Jefferson,,46-41,,
6:17.0,D. Russell misses 3-pt shot from 26 ft,,46-41,,
6:13.0,,,46-41,,Defensive rebound by P. Siakam
6:03.0,,,46-44,3,F. VanVleet makes 3-pt shot from 23 ft (assist by L. Nogueira)
5:39.0,Turnover by J. Allen (lost ball; steal by F. VanVleet),,46-44,,
5:33.0,,,46-44,,D. Wright misses 2-pt shot from 1 ft
5:30.0,Defensive rebound by J. Allen,,46-44,,
5:20.0,D. Russell misses 2-pt shot from 10 ft (block by L. Nogueira),,46-44,,
5:20.0,Offensive rebound by D. Russell,,46-44,,
5:17.0,J. Allen makes 2-pt shot from 2 ft (assist by D. Russell),2,48-44,,
5:05.0,,,48-47,3,K. Lowry makes 3-pt shot from 27 ft (assist by D. Wright)
4:45.0,C. LeVert makes 2-pt shot from 7 ft,2,50-47,,
4:27.0,,,50-50,3,L. Nogueira makes 3-pt shot from 25 ft (assist by D. Wright)
4:04.0,R. Hollis-Jefferson misses 2-pt shot from 5 ft (block by F. VanVleet),,50-50,,
4:01.0,,,50-50,,Defensive rebound by F. VanVleet
3:58.0,,,50-53,3,D. Wright makes 3-pt shot from 23 ft (assist by K. Lowry)
3:57.0,Brooklyn full timeout,,50-53,,
3:57.0,,,50-53,,D. DeRozan enters the game for F. VanVleet
3:57.0,,,50-53,,S. Ibaka enters the game for P. Siakam
3:57.0,D. Cunningham enters the game for J. Harris,,50-53,,
3:57.0,A. Crabbe enters the game for C. LeVert,,50-53,,
3:57.0,S. Dinwiddie enters the game for J. Allen,,50-53,,
3:37.0,R. Hollis-Jefferson misses 2-pt shot from 4 ft (block by S. Ibaka),,50-53,,
3:37.0,Offensive rebound by Team,,50-53,,
3:34.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by D. Russell),2,52-53,,
3:22.0,Personal foul by S. Dinwiddie (drawn by D. DeRozan),,52-53,,
3:08.0,,,52-53,,L. Nogueira misses 2-pt shot from 1 ft
3:08.0,Defensive rebound by Team,,52-53,,
3:08.0,,,52-53,,Loose ball foul by K. Lowry (drawn by D. Cunningham)
3:08.0,,,52-53,,J. Valanciunas enters the game for L. Nogueira
2:53.0,Shooting foul by D. Wright (drawn by A. Crabbe),,52-53,,
2:53.0,A. Crabbe misses free throw 1 of 2,,52-53,,
2:53.0,Offensive rebound by Team,,52-53,,
2:53.0,A. Crabbe makes free throw 2 of 2,1,53-53,,
2:33.0,,,53-53,,D. DeRozan misses 2-pt shot from 15 ft
2:30.0,Defensive rebound by R. Hollis-Jefferson,,53-53,,
2:19.0,D. Russell makes 2-pt shot from 13 ft,2,55-53,,
2:11.0,,,55-53,,Offensive foul by J. Valanciunas (drawn by A. Crabbe)
2:11.0,,,55-53,,Turnover by J. Valanciunas (offensive foul)
2:11.0,,,55-53,,F. VanVleet enters the game for D. Wright
2:00.0,D. Russell misses 3-pt shot from 25 ft,,55-53,,
1:56.0,,,55-53,,Defensive rebound by K. Lowry
1:47.0,,,55-55,2,J. Valanciunas makes 2-pt shot from 4 ft
1:33.0,A. Crabbe makes 3-pt shot from 27 ft (assist by D. Russell),3,58-55,,
1:21.0,,,58-55,,S. Ibaka misses 3-pt shot from 23 ft
1:17.0,Defensive rebound by D. Russell,,58-55,,
1:13.0,,,58-55,,Personal foul by D. DeRozan (drawn by D. Russell)
1:13.0,D. Russell misses free throw 1 of 2,,58-55,,
1:13.0,Offensive rebound by Team,,58-55,,
1:13.0,D. Russell makes free throw 2 of 2,1,59-55,,
0:56.0,,,59-57,2,D. DeRozan makes 2-pt shot from 8 ft
0:44.0,D. Russell makes 2-pt shot from 7 ft,2,61-57,,
0:44.0,Shooting foul by S. Ibaka (drawn by D. Russell),,61-57,,
0:44.0,D. Russell makes free throw 1 of 1,1,62-57,,
0:37.0,,,62-57,,D. DeRozan misses 2-pt shot from 13 ft
