time,Boston,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Maker vs. A. Horford (T. Rozier gains possession),,,,Jump ball: T. Maker vs. A. Horford (T. Rozier gains possession)
11:41.0,J. Brown makes 2-pt shot from 8 ft,2,2-0,,
11:23.0,,,2-0,,Turnover by K. Middleton (bad pass)
11:09.0,J. Brown misses 3-pt shot from 28 ft,,2-0,,
11:06.0,,,2-0,,Defensive rebound by G. Antetokounmpo
11:02.0,,,2-0,,G. Antetokounmpo misses 2-pt shot from 3 ft
10:58.0,Defensive rebound by A. Horford,,2-0,,
10:34.0,A. Horford misses 2-pt shot from 18 ft,,2-0,,
10:32.0,,,2-0,,Defensive rebound by G. Antetokounmpo
10:28.0,,,2-0,,E. Bledsoe misses 2-pt shot from 2 ft
10:25.0,Defensive rebound by A. Horford,,2-0,,
10:11.0,Turnover by A. Horford (lost ball; steal by K. Middleton),,2-0,,
10:06.0,,,2-2,2,M. Brogdon makes 2-pt shot from 6 ft (assist by G. Antetokounmpo)
9:40.0,J. Brown misses 2-pt shot from 8 ft,,2-2,,
9:38.0,,,2-2,,Defensive rebound by G. Antetokounmpo
9:35.0,,,2-4,2,T. Maker makes 2-pt shot from 2 ft (assist by M. Brogdon)
9:34.0,Boston full timeout,,2-4,,
9:22.0,,,2-4,,Personal foul by K. Middleton (drawn by J. Tatum)
9:09.0,T. Rozier makes 3-pt shot from 27 ft (assist by J. Tatum),2,5-4,,
8:54.0,,,5-4,,Turnover by E. Bledsoe (lost ball; steal by T. Rozier)
8:49.0,T. Rozier misses 2-pt shot from 2 ft,,5-4,,
8:46.0,Offensive rebound by T. Rozier,,5-4,,
8:35.0,S. Ojeleye misses 3-pt shot from 26 ft,,5-4,,
8:34.0,,,5-4,,Defensive rebound by K. Middleton
8:32.0,Personal foul by J. Tatum (drawn by G. Antetokounmpo),,5-4,,
8:14.0,,,5-4,,M. Brogdon misses 2-pt shot from 3 ft (block by A. Horford)
8:11.0,Defensive rebound by S. Ojeleye,,5-4,,
7:52.0,J. Tatum makes 2-pt shot from 1 ft (assist by A. Horford),2,7-4,,
7:52.0,Shooting foul by G. Antetokounmpo (drawn by J. Tatum),,7-4,,
7:52.0,J. Tatum makes free throw 1 of 1,1,8-4,,
7:31.0,,,8-4,,K. Middleton misses 2-pt shot from 17 ft
7:29.0,Defensive rebound by J. Tatum,,8-4,,
7:12.0,A. Horford makes 2-pt shot from 1 ft,2,10-4,,
7:11.0,,,10-4,,Milwaukee full timeout
6:53.0,,,10-4,,G. Antetokounmpo misses 2-pt shot from 8 ft
6:50.0,Defensive rebound by T. Rozier,,10-4,,
6:37.0,Turnover by T. Rozier (bad pass; steal by G. Antetokounmpo),,10-4,,
6:30.0,,,10-6,2,K. Middleton makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
6:04.0,A. Horford misses 3-pt shot from 26 ft,,10-6,,
6:02.0,,,10-6,,Defensive rebound by M. Brogdon
5:49.0,,,10-6,,T. Maker misses 3-pt shot from 22 ft
5:49.0,,,10-6,,Offensive rebound by Team
5:49.0,M. Smart enters the game for J. Tatum,,10-6,,
5:49.0,M. Morris enters the game for S. Ojeleye,,10-6,,
5:45.0,,,10-6,,G. Antetokounmpo misses 3-pt shot from 25 ft
5:42.0,Defensive rebound by A. Horford,,10-6,,
5:32.0,T. Rozier makes 2-pt shot from 4 ft (assist by M. Morris),2,12-6,,
5:15.0,,,12-8,2,T. Maker makes 2-pt shot from 2 ft
4:53.0,M. Smart misses 2-pt shot from 21 ft,,12-8,,
4:51.0,,,12-8,,Defensive rebound by G. Antetokounmpo
4:36.0,,,12-8,,T. Maker misses 3-pt shot from 26 ft
4:33.0,Defensive rebound by A. Horford,,12-8,,
4:17.0,Shooting foul by T. Maker (drawn by M. Smart),,12-8,,
