time,Houston,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Durant vs. C. Capela (T. Ariza gains possession),,,,Jump ball: K. Durant vs. C. Capela (T. Ariza gains possession)
11:45.0,J. Harden misses 2-pt shot from 3 ft (block by D. Green),,0-0,,
11:44.0,Offensive rebound by C. Capela,,0-0,,
11:43.0,Turnover by C. Capela (lost ball; steal by K. Looney),,0-0,,
11:27.0,,,0-0,,S. Curry misses 3-pt shot from 27 ft
11:26.0,Defensive rebound by T. Ariza,,0-0,,
11:15.0,Turnover by J. Harden (bad pass; steal by K. Thompson),,0-0,,
10:54.0,,,0-0,,K. Thompson misses 2-pt shot from 20 ft
10:53.0,Defensive rebound by J. Harden,,0-0,,
10:43.0,T. Ariza misses 3-pt shot from 24 ft,,0-0,,
10:39.0,,,0-0,,Defensive rebound by S. Curry
10:22.0,,,0-0,,Turnover by K. Thompson (bad pass; steal by P. Tucker)
10:18.0,T. Ariza misses 2-pt shot from 2 ft,,0-0,,
10:14.0,,,0-0,,Defensive rebound by D. Green
10:06.0,,,0-2,2,K. Durant makes 2-pt shot from 8 ft (assist by S. Curry)
9:50.0,J. Harden misses 2-pt shot from 5 ft,,0-2,,
9:47.0,Offensive rebound by J. Harden,,0-2,,
9:46.0,Turnover by J. Harden (lost ball; steal by D. Green),,0-2,,
9:42.0,,,0-4,2,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green)
9:27.0,E. Gordon makes 3-pt shot from 28 ft,3,3-4,,
9:14.0,,,3-4,,K. Thompson misses 3-pt shot from 23 ft
9:07.0,,,3-4,,Offensive rebound by K. Looney
9:07.0,,,3-4,,K. Looney misses 2-pt shot at rim
9:07.0,Defensive rebound by C. Capela,,3-4,,
9:05.0,E. Gordon makes 3-pt shot from 28 ft,3,6-4,,
8:47.0,,,6-6,2,K. Looney makes 2-pt shot from 2 ft (assist by K. Thompson)
8:33.0,J. Harden misses 3-pt shot from 25 ft,,6-6,,
8:30.0,Offensive rebound by C. Capela,,6-6,,
8:27.0,T. Ariza makes 2-pt shot from 10 ft (assist by C. Capela),2,8-6,,
8:10.0,,,8-6,,Turnover by D. Green (bad pass; steal by C. Capela)
8:04.0,E. Gordon makes 2-pt shot from 1 ft,2,10-6,,
7:51.0,,,10-6,,K. Durant misses 2-pt shot at rim
7:50.0,Defensive rebound by C. Capela,,10-6,,
7:45.0,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden),3,13-6,,
7:33.0,,,13-6,,Golden State full timeout
7:19.0,,,13-8,2,S. Curry makes 2-pt shot from 17 ft
6:58.0,Shooting foul by D. Green (drawn by C. Capela),,13-8,,
6:58.0,C. Capela misses free throw 1 of 2,,13-8,,
6:58.0,Offensive rebound by Team,,13-8,,
6:58.0,G. Green enters the game for E. Gordon,,13-8,,
6:58.0,C. Capela misses free throw 2 of 2,,13-8,,
6:54.0,,,13-8,,Defensive rebound by D. Green
6:36.0,,,13-8,,K. Durant misses 2-pt shot from 13 ft
6:32.0,Defensive rebound by C. Capela,,13-8,,
