time,Utah,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. R. Gobert (D. Favors gains possession),,,,Jump ball: S. Adams vs. R. Gobert (D. Favors gains possession)
11:42.0,Turnover by R. Rubio (bad pass; steal by P. George),,0-0,,
11:37.0,,,0-2,2,R. Westbrook makes 2-pt shot from 1 ft (assist by C. Brewer)
11:15.0,R. Rubio misses 2-pt shot from 17 ft,,0-2,,
11:13.0,,,0-2,,Defensive rebound by C. Anthony
11:04.0,,,0-2,,S. Adams misses 2-pt shot from 1 ft (block by D. Favors)
11:01.0,Defensive rebound by D. Favors,,0-2,,
10:57.0,J. Ingles makes 3-pt shot from 23 ft (assist by D. Mitchell),3,3-2,,
10:37.0,,,3-2,,Turnover by P. George (lost ball; steal by R. Rubio)
10:33.0,D. Mitchell makes 2-pt shot at rim (assist by R. Rubio),2,5-2,,
10:20.0,,,5-2,,P. George misses 3-pt shot from 25 ft
10:18.0,Defensive rebound by D. Mitchell,,5-2,,
10:03.0,R. Gobert makes 2-pt shot at rim (assist by D. Favors),2,7-2,,
9:43.0,,,7-2,,C. Anthony misses 2-pt shot from 16 ft
9:39.0,Defensive rebound by R. Rubio,,7-2,,
9:35.0,R. Rubio misses 2-pt shot from 1 ft (block by C. Brewer),,7-2,,
9:33.0,,,7-2,,Defensive rebound by S. Adams
9:28.0,,,7-2,,R. Westbrook misses 3-pt shot from 24 ft
9:23.0,Defensive rebound by R. Rubio,,7-2,,
9:18.0,D. Mitchell makes 2-pt shot from 6 ft,2,9-2,,
9:00.0,,,9-2,,P. George misses 2-pt shot from 8 ft
8:59.0,Defensive rebound by D. Mitchell,,9-2,,
8:55.0,D. Mitchell makes 2-pt shot from 9 ft,2,11-2,,
8:33.0,,,11-2,,R. Westbrook misses 2-pt shot from 1 ft
8:31.0,Defensive rebound by D. Mitchell,,11-2,,
8:27.0,D. Favors misses 2-pt shot from 1 ft,,11-2,,
8:26.0,,,11-2,,Defensive rebound by C. Anthony
8:21.0,,,11-2,,Shooting foul by R. Rubio (drawn by R. Westbrook)
8:21.0,,,11-3,1,R. Westbrook makes free throw 1 of 2
8:21.0,,,11-4,1,R. Westbrook makes free throw 2 of 2
8:04.0,D. Favors misses 2-pt shot from 1 ft (block by C. Anthony),,11-4,,
8:00.0,Offensive rebound by D. Favors,,11-4,,
7:57.0,Turnover by J. Ingles (lost ball; steal by C. Brewer),,11-4,,
7:54.0,,,11-4,,Turnover by R. Westbrook (bad pass; steal by D. Mitchell)
7:46.0,D. Mitchell makes 3-pt shot from 25 ft,3,14-4,,
7:34.0,,,14-4,,Offensive foul by P. George (drawn by J. Ingles)
7:34.0,,,14-4,,Turnover by P. George (offensive foul)
7:16.0,D. Favors misses 2-pt shot from 11 ft,,14-4,,
7:14.0,,,14-4,,Defensive rebound by R. Westbrook
7:09.0,,,14-4,,C. Anthony misses 3-pt shot from 25 ft
7:05.0,Defensive rebound by D. Mitchell,,14-4,,
6:48.0,R. Gobert makes 2-pt shot at rim (assist by D. Favors),2,16-4,,
6:46.0,,,16-4,,Oklahoma City full timeout
6:34.0,,,16-4,,R. Westbrook misses 2-pt shot from 17 ft
6:32.0,Defensive rebound by R. Gobert,,16-4,,
6:11.0,R. Rubio misses 2-pt shot from 10 ft,,16-4,,
6:10.0,,,16-4,,Defensive rebound by R. Westbrook
6:00.0,,,16-7,3,P. George makes 3-pt shot from 26 ft (assist by C. Anthony)
5:33.0,D. Mitchell misses 2-pt shot from 14 ft,,16-7,,
5:32.0,,,16-7,,Defensive rebound by R. Westbrook
5:17.0,,,16-9,2,C. Anthony makes 2-pt shot from 13 ft
4:56.0,R. Rubio misses 2-pt shot from 17 ft,,16-9,,
4:53.0,,,16-9,,Defensive rebound by P. George
4:42.0,,,16-9,,R. Westbrook misses 2-pt shot from 15 ft
4:40.0,,,16-9,,Offensive rebound by S. Adams
4:37.0,,,16-12,3,P. George makes 3-pt shot from 25 ft (assist by R. Westbrook)
4:34.0,Utah full timeout,,16-12,,
4:34.0,J. Crowder enters the game for J. Ingles,,16-12,,
4:34.0,R. O'Neale enters the game for D. Favors,,16-12,,
4:15.0,D. Mitchell misses 3-pt shot from 24 ft,,16-12,,
4:10.0,,,16-12,,Defensive rebound by S. Adams
3:57.0,,,16-12,,C. Anthony misses 2-pt shot from 16 ft
3:53.0,,,16-12,,Offensive rebound by C. Brewer
3:51.0,,,16-12,,C. Brewer misses 2-pt shot from 6 ft (block by D. Mitchell)
3:49.0,Defensive rebound by R. Gobert,,16-12,,
3:48.0,Turnover by R. Gobert (lost ball; steal by C. Anthony),,16-12,,
3:43.0,,,16-14,2,C. Anthony makes 2-pt shot from 14 ft
3:27.0,J. Crowder misses 3-pt shot from 25 ft,,16-14,,
3:27.0,,,16-14,,Defensive rebound by R. Westbrook
3:18.0,,,16-14,,C. Anthony misses 3-pt shot from 26 ft
3:16.0,,,16-14,,Offensive rebound by S. Adams
3:02.0,,,16-16,2,R. Westbrook makes 2-pt shot from 21 ft
2:47.0,R. Rubio makes 2-pt shot from 10 ft,2,18-16,,
2:47.0,Shooting foul by C. Anthony (drawn by R. Rubio),,18-16,,
2:47.0,,,18-16,,A. Abrines enters the game for C. Brewer
2:47.0,,,18-16,,T. Ferguson enters the game for P. George
2:47.0,D. Favors enters the game for R. Gobert,,18-16,,
2:47.0,R. Rubio makes free throw 1 of 1,1,19-16,,
2:28.0,,,19-16,,Turnover by C. Anthony (bad pass; steal by R. O'Neale)
2:25.0,Shooting foul by T. Ferguson (drawn by R. O'Neale),,19-16,,
2:25.0,R. O'Neale misses free throw 1 of 2,,19-16,,
2:25.0,Offensive rebound by Team,,19-16,,
2:25.0,D. Exum enters the game for R. Rubio,,19-16,,
2:25.0,R. O'Neale makes free throw 2 of 2,1,20-16,,
2:12.0,,,20-18,2,A. Abrines makes 2-pt shot from 1 ft
1:52.0,D. Exum makes 2-pt shot from 1 ft (assist by D. Mitchell),2,22-18,,
1:46.0,,,22-18,,R. Felton enters the game for R. Westbrook
1:46.0,,,22-18,,J. Grant enters the game for S. Adams
1:46.0,J. Jerebko enters the game for D. Mitchell,,22-18,,
1:33.0,,,22-20,2,C. Anthony makes 2-pt shot from 1 ft
1:09.0,D. Exum misses 2-pt shot at rim,,22-20,,
1:08.0,,,22-20,,Defensive rebound by C. Anthony
1:05.0,,,22-22,2,R. Felton makes 2-pt shot at rim
0:43.0,J. Jerebko misses 3-pt shot from 24 ft,,22-22,,
0:41.0,,,22-22,,Defensive rebound by A. Abrines
0:35.0,,,22-25,3,C. Anthony makes 3-pt shot from 25 ft
0:18.0,D. Favors makes 2-pt shot from 1 ft (assist by D. Exum),2,24-25,,
0:18.0,Shooting foul by T. Ferguson (drawn by D. Favors),,24-25,,
0:18.0,J. Ingles enters the game for J. Jerebko,,24-25,,
0:18.0,,,24-25,,P. George enters the game for T. Ferguson
0:18.0,D. Favors makes free throw 1 of 1,1,25-25,,
