time,Sacramento,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Sabonis vs. W. Cauley-Stein (G. Hill gains possession),,,,Jump ball: D. Sabonis vs. W. Cauley-Stein (G. Hill gains possession)
11:43.0,B. Bogdanovic misses 3-pt shot from 26 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by D. Sabonis
11:24.0,Def 3 sec tech foul by Z. Randolph,,0-0,,
11:24.0,,,0-1,1,D. Collison makes technical free throw
11:15.0,,,0-1,,T. Young misses 3-pt shot from 27 ft
11:11.0,Defensive rebound by G. Hill,,0-1,,
10:53.0,G. Hill misses 2-pt shot from 1 ft,,0-1,,
10:50.0,,,0-1,,Defensive rebound by D. Sabonis
10:45.0,,,0-1,,Shooting foul by B. Bogdanovic (drawn by D. Collison)
10:45.0,,,0-2,1,D. Collison makes free throw 1 of 2
10:45.0,,,0-3,1,D. Collison makes free throw 2 of 2
10:31.0,B. Hield misses 2-pt shot from 16 ft,,0-3,,
10:27.0,,,0-3,,Defensive rebound by D. Sabonis
10:15.0,,,0-5,2,T. Young makes 2-pt shot from 5 ft (assist by D. Sabonis)
9:51.0,Turnover by W. Cauley-Stein (lost ball; steal by B. Bogdanovic),,0-5,,
9:46.0,,,0-7,2,T. Young makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
9:22.0,Turnover by B. Bogdanovic (bad pass),,0-7,,
9:05.0,,,0-7,,B. Bogdanovic misses 2-pt shot from 3 ft
9:03.0,,,0-7,,Offensive rebound by D. Sabonis
9:03.0,,,0-9,2,D. Sabonis makes 2-pt shot at rim
8:57.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by G. Hill),2,2-9,,
8:48.0,,,2-9,,Shooting foul by Z. Randolph (drawn by D. Sabonis)
8:48.0,,,2-10,1,D. Sabonis makes free throw 1 of 2
8:48.0,,,2-11,1,D. Sabonis makes free throw 2 of 2
8:31.0,Z. Randolph misses 2-pt shot from 16 ft,,2-11,,
8:29.0,,,2-11,,Defensive rebound by D. Sabonis
8:14.0,,,2-11,,T. Young misses 2-pt shot from 1 ft
8:11.0,Defensive rebound by B. Hield,,2-11,,
7:55.0,Z. Randolph misses 3-pt shot from 22 ft,,2-11,,
7:52.0,,,2-11,,Defensive rebound by D. Sabonis
7:49.0,,,2-11,,Turnover by V. Oladipo (bad pass)
7:34.0,W. Cauley-Stein misses 2-pt shot from 8 ft,,2-11,,
7:32.0,Offensive rebound by Z. Randolph,,2-11,,
7:31.0,Z. Randolph makes 2-pt shot from 1 ft,2,4-11,,
7:09.0,,,4-13,2,D. Sabonis makes 2-pt shot from 5 ft (assist by D. Collison)
7:09.0,,,4-13,,Shooting foul by Z. Randolph (drawn by D. Sabonis)
7:09.0,,,4-13,,D. Sabonis misses free throw 1 of 1
7:07.0,Defensive rebound by B. Bogdanovic,,4-13,,
6:52.0,B. Hield misses 2-pt shot from 6 ft,,4-13,,
6:50.0,,,4-13,,Defensive rebound by D. Sabonis
6:45.0,,,4-13,,Indiana full timeout
6:45.0,D. Fox enters the game for Z. Randolph,,4-13,,
6:45.0,S. Labissiere enters the game for B. Hield,,4-13,,
6:35.0,,,4-15,2,V. Oladipo makes 2-pt shot at rim (assist by D. Sabonis)
6:17.0,S. Labissiere misses 2-pt shot from 3 ft,,4-15,,
6:15.0,,,4-15,,Defensive rebound by V. Oladipo
6:12.0,,,4-15,,D. Collison misses 3-pt shot from 27 ft
6:07.0,,,4-15,,Offensive rebound by B. Bogdanovic
6:01.0,,,4-15,,D. Sabonis misses 2-pt shot from 13 ft
5:59.0,Defensive rebound by G. Hill,,4-15,,
5:41.0,D. Fox misses 2-pt shot from 5 ft (block by V. Oladipo),,4-15,,
5:39.0,Offensive rebound by D. Fox,,4-15,,
5:39.0,K. Koufos enters the game for W. Cauley-Stein,,4-15,,
5:28.0,S. Labissiere misses 2-pt shot from 5 ft,,4-15,,
5:26.0,,,4-15,,Defensive rebound by D. Sabonis
5:16.0,,,4-15,,V. Oladipo misses 2-pt shot from 19 ft
5:14.0,Defensive rebound by S. Labissiere,,4-15,,
5:06.0,G. Hill misses 2-pt shot from 7 ft,,4-15,,
5:04.0,,,4-15,,Defensive rebound by D. Sabonis
4:58.0,,,4-15,,V. Oladipo misses 2-pt shot at rim
4:56.0,Defensive rebound by G. Hill,,4-15,,
4:43.0,D. Fox misses 3-pt shot from 26 ft,,4-15,,
4:39.0,,,4-15,,Defensive rebound by B. Bogdanovic
4:36.0,,,4-17,2,B. Bogdanovic makes 2-pt shot from 8 ft
4:27.0,Sacramento full timeout,,4-17,,
4:27.0,,,4-17,,L. Stephenson enters the game for D. Sabonis
4:27.0,,,4-17,,A. Jefferson enters the game for B. Bogdanovic
4:16.0,B. Bogdanovic misses 2-pt shot from 17 ft,,4-17,,
4:14.0,,,4-17,,Defensive rebound by T. Young
3:56.0,,,4-17,,T. Young misses 2-pt shot from 9 ft
3:53.0,Defensive rebound by K. Koufos,,4-17,,
3:45.0,K. Koufos makes 2-pt shot from 1 ft (assist by D. Fox),2,6-17,,
3:29.0,,,6-17,,A. Jefferson misses 2-pt shot from 17 ft
3:24.0,Defensive rebound by B. Bogdanovic,,6-17,,
3:23.0,,,6-17,,Personal foul by V. Oladipo (drawn by G. Hill)
3:23.0,,,6-17,,C. Joseph enters the game for D. Collison
3:23.0,J. Jackson enters the game for G. Hill,,6-17,,
3:13.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by K. Koufos),2,8-17,,
2:50.0,,,8-19,2,T. Young makes 2-pt shot at rim
2:29.0,Turnover by J. Jackson (traveling),,8-19,,
2:29.0,,,8-19,,T. Leaf enters the game for T. Young
2:19.0,,,8-19,,Turnover by V. Oladipo (lost ball; steal by S. Labissiere)
2:07.0,Shooting foul by A. Jefferson (drawn by S. Labissiere),,8-19,,
2:07.0,S. Labissiere misses free throw 1 of 2,,8-19,,
2:07.0,Offensive rebound by Team,,8-19,,
2:07.0,S. Labissiere misses free throw 2 of 2,,8-19,,
2:04.0,,,8-19,,Defensive rebound by L. Stephenson
1:51.0,,,8-19,,L. Stephenson misses 2-pt shot from 12 ft
1:47.0,Defensive rebound by S. Labissiere,,8-19,,
1:43.0,D. Fox makes 2-pt shot from 15 ft,2,10-19,,
1:28.0,,,10-21,2,C. Joseph makes 2-pt shot from 17 ft (assist by A. Jefferson)
1:14.0,K. Koufos misses 2-pt shot from 6 ft,,10-21,,
1:11.0,,,10-21,,Defensive rebound by A. Jefferson
1:02.0,,,10-23,2,V. Oladipo makes 2-pt shot from 1 ft
0:56.0,,,10-23,,Personal foul by L. Stephenson (drawn by B. Bogdanovic)
0:56.0,M. Richardson enters the game for B. Bogdanovic,,10-23,,
0:46.0,Turnover by K. Koufos (bad pass; steal by V. Oladipo),,10-23,,
0:44.0,,,10-23,,Shooting foul by K. Koufos (drawn by V. Oladipo)
0:44.0,,,10-24,1,V. Oladipo makes free throw 1 of 2
0:44.0,,,10-24,,V. Oladipo misses free throw 2 of 2
0:42.0,Defensive rebound by K. Koufos,,10-24,,
0:29.0,Shooting foul by A. Jefferson (drawn by K. Koufos),,10-24,,
0:29.0,K. Koufos misses free throw 1 of 2,,10-24,,
0:29.0,Offensive rebound by Team,,10-24,,
