time,Brooklyn,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. T. Zeller (J. Green gains possession),,,,Jump ball: M. Gasol vs. T. Zeller (J. Green gains possession)
11:48.0,Personal foul by T. Zeller (drawn by M. Gasol),,0-0,,
11:45.0,Violation by R. Hollis-Jefferson (kicked ball),,0-0,,
11:32.0,,,0-2,2,M. Gasol makes 2-pt shot from 10 ft
11:09.0,J. Harris misses 3-pt shot from 24 ft,,0-2,,
11:07.0,,,0-2,,Defensive rebound by J. Green
10:59.0,,,0-2,,M. Gasol misses 2-pt shot from 11 ft
10:56.0,Defensive rebound by D. Carroll,,0-2,,
10:45.0,S. Dinwiddie misses 3-pt shot from 25 ft,,0-2,,
10:43.0,,,0-2,,Defensive rebound by C. Parsons
10:36.0,,,0-2,,C. Parsons misses 2-pt shot from 21 ft
10:34.0,,,0-2,,Offensive rebound by M. Gasol
10:12.0,,,0-2,,D. Brooks misses 2-pt shot from 18 ft
10:09.0,Defensive rebound by T. Zeller,,0-2,,
10:05.0,R. Hollis-Jefferson makes 2-pt shot at rim,2,2-2,,
9:44.0,Violation by D. Carroll (kicked ball),,2-2,,
9:39.0,,,2-5,3,M. Chalmers makes 3-pt shot from 26 ft (assist by C. Parsons)
9:24.0,Turnover by D. Carroll (bad pass; steal by C. Parsons),,2-5,,
9:09.0,,,2-5,,Shooting foul by T. Zeller (drawn by M. Gasol)
9:09.0,,,2-6,1,M. Gasol makes free throw 1 of 2
9:09.0,,,2-7,1,M. Gasol makes free throw 2 of 2
8:52.0,D. Carroll makes 3-pt shot from 27 ft (assist by R. Hollis-Jefferson),3,5-7,,
8:52.0,Shooting foul by J. Green (drawn by D. Carroll),,5-7,,
8:52.0,D. Carroll makes free throw 1 of 1,1,6-7,,
8:41.0,,,6-7,,M. Gasol misses 2-pt shot from 19 ft
8:38.0,Defensive rebound by D. Carroll,,6-7,,
8:23.0,Offensive charge foul by T. Zeller (drawn by J. Green),,6-7,,
8:23.0,Turnover by T. Zeller (offensive foul),,6-7,,
8:23.0,J. Allen enters the game for T. Zeller,,6-7,,
8:17.0,Personal foul by D. Carroll (drawn by C. Parsons),,6-7,,
