time,Miami,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. B. Adebayo (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. B. Adebayo (R. Westbrook gains possession)
11:44.0,Personal foul by T. Johnson (drawn by R. Westbrook),,0-0,,
11:37.0,,,0-0,,Shooting foul by T. Johnson (drawn by R. Westbrook)
11:37.0,,,0-1,1,R. Westbrook makes free throw 1 of 2
11:37.0,R. McGruder enters the game for T. Johnson,,0-1,,
11:37.0,,,0-2,1,R. Westbrook makes free throw 2 of 2
11:27.0,J. Johnson makes 2-pt shot from 18 ft (assist by J. Richardson),2,2-2,,
11:08.0,,,2-2,,P. George misses 2-pt shot from 9 ft
11:06.0,,,2-2,,Offensive rebound by S. Adams
11:06.0,,,2-2,,Shooting foul by R. McGruder (drawn by S. Adams)
11:06.0,,,2-2,,S. Adams misses free throw 1 of 2
11:06.0,,,2-2,,Offensive rebound by Team
11:06.0,,,2-3,1,S. Adams makes free throw 2 of 2
10:51.0,J. Richardson misses 2-pt shot from 20 ft,,2-3,,
10:49.0,,,2-3,,Defensive rebound by C. Anthony
10:43.0,,,2-3,,C. Anthony misses 3-pt shot from 25 ft
10:40.0,,,2-3,,Offensive rebound by S. Adams
10:39.0,,,2-5,2,S. Adams makes 2-pt shot at rim
10:28.0,J. Richardson misses 2-pt shot from 3 ft,,2-5,,
10:28.0,Offensive rebound by J. Richardson,,2-5,,
10:25.0,J. Johnson makes 2-pt shot from 3 ft (assist by J. Richardson),2,4-5,,
10:02.0,,,4-5,,Offensive foul by C. Anthony (drawn by R. McGruder)
10:02.0,,,4-5,,Turnover by C. Anthony (offensive foul)
9:50.0,R. McGruder misses 2-pt shot from 5 ft,,4-5,,
9:48.0,Offensive rebound by R. McGruder,,4-5,,
9:46.0,G. Dragic makes 3-pt shot from 24 ft (assist by J. Richardson),3,7-5,,
9:37.0,,,7-5,,Turnover by P. George (bad pass)
9:29.0,J. Johnson misses 2-pt shot from 6 ft,,7-5,,
9:27.0,,,7-5,,Defensive rebound by S. Adams
9:18.0,,,7-7,2,R. Westbrook makes 2-pt shot from 14 ft
9:09.0,Turnover by G. Dragic (out of bounds lost ball),,7-7,,
8:48.0,,,7-7,,C. Anthony misses 3-pt shot from 22 ft
8:46.0,,,7-7,,Offensive rebound by P. George
8:42.0,,,7-7,,Turnover by P. George (bad pass)
8:37.0,,,7-7,,Personal foul by S. Adams (drawn by B. Adebayo)
8:23.0,B. Adebayo misses 2-pt shot from 4 ft,,7-7,,
8:21.0,,,7-7,,Defensive rebound by R. Westbrook
8:18.0,,,7-7,,Offensive foul by C. Brewer (drawn by G. Dragic)
8:18.0,,,7-7,,Turnover by C. Brewer (offensive foul)
8:03.0,Offensive charge foul by G. Dragic (drawn by C. Brewer),,7-7,,
8:03.0,Turnover by G. Dragic (offensive foul),,7-7,,
7:53.0,,,7-7,,P. George misses 3-pt shot from 25 ft
7:49.0,,,7-7,,Offensive rebound by C. Brewer
7:47.0,,,7-7,,Turnover by R. Westbrook (bad pass; steal by R. McGruder)
7:26.0,J. Johnson misses 3-pt shot from 22 ft,,7-7,,
7:24.0,,,7-7,,Defensive rebound by R. Westbrook
7:15.0,,,7-9,2,C. Anthony makes 2-pt shot from 16 ft (assist by P. George)
6:57.0,Turnover by B. Adebayo (bad pass; steal by S. Adams),,7-9,,
6:53.0,,,7-9,,Shooting foul by J. Johnson (drawn by P. George)
6:53.0,,,7-9,,Oklahoma City full timeout
6:53.0,,,7-10,1,P. George makes free throw 1 of 2
6:53.0,,,7-11,1,P. George makes free throw 2 of 2
6:39.0,J. Richardson misses 3-pt shot from 25 ft,,7-11,,
6:36.0,,,7-11,,Defensive rebound by R. Westbrook
6:27.0,,,7-11,,P. George misses 2-pt shot from 1 ft
6:23.0,Defensive rebound by G. Dragic,,7-11,,
6:20.0,R. McGruder misses 3-pt shot from 23 ft,,7-11,,
6:18.0,,,7-11,,Defensive rebound by C. Anthony
6:16.0,,,7-13,2,P. George makes 2-pt shot at rim (assist by C. Anthony)
6:03.0,G. Dragic misses 2-pt shot from 17 ft,,7-13,,
6:00.0,,,7-13,,Defensive rebound by R. Westbrook
5:45.0,,,7-15,2,C. Anthony makes 2-pt shot from 14 ft (assist by R. Westbrook)
5:39.0,Miami full timeout,,7-15,,
5:39.0,K. Olynyk enters the game for J. Richardson,,7-15,,
5:39.0,J. Winslow enters the game for B. Adebayo,,7-15,,
5:29.0,Turnover by G. Dragic (bad pass; steal by C. Brewer),,7-15,,
5:15.0,,,7-15,,C. Brewer misses 2-pt shot from 4 ft
5:10.0,Defensive rebound by J. Johnson,,7-15,,
4:48.0,J. Winslow makes 3-pt shot from 23 ft (assist by J. Johnson),3,10-15,,
4:28.0,,,10-17,2,S. Adams makes 2-pt shot at rim
4:06.0,G. Dragic misses 2-pt shot from 7 ft,,10-17,,
4:04.0,,,10-17,,Defensive rebound by R. Westbrook
4:02.0,,,10-17,,Shooting foul by J. Johnson (drawn by S. Adams)
4:02.0,,,10-18,1,S. Adams makes free throw 1 of 2
4:02.0,D. Wade enters the game for G. Dragic,,10-18,,
4:02.0,,,10-19,1,S. Adams makes free throw 2 of 2
3:48.0,J. Johnson makes 3-pt shot from 25 ft (assist by K. Olynyk),3,13-19,,
3:28.0,,,13-19,,P. George misses 2-pt shot from 6 ft
3:24.0,Defensive rebound by K. Olynyk,,13-19,,
3:08.0,Turnover by J. Johnson (bad pass; steal by C. Brewer),,13-19,,
2:59.0,,,13-19,,Turnover by R. Westbrook (lost ball; steal by D. Wade)
2:50.0,D. Wade makes 2-pt shot from 21 ft,2,15-19,,
2:38.0,,,15-19,,Oklahoma City full timeout
2:38.0,,,15-19,,J. Grant enters the game for C. Brewer
2:38.0,,,15-19,,T. Ferguson enters the game for S. Adams
2:38.0,W. Ellington enters the game for J. Johnson,,15-19,,
2:25.0,,,15-21,2,R. Westbrook makes 2-pt shot at rim
2:03.0,R. McGruder misses 2-pt shot from 7 ft,,15-21,,
2:00.0,,,15-21,,Defensive rebound by J. Grant
1:53.0,,,15-21,,R. Westbrook misses 2-pt shot from 6 ft
1:51.0,Defensive rebound by J. Winslow,,15-21,,
1:37.0,D. Wade misses 2-pt shot from 16 ft,,15-21,,
1:32.0,Offensive rebound by R. McGruder,,15-21,,
1:31.0,J. Winslow makes 3-pt shot from 25 ft (assist by R. McGruder),3,18-21,,
1:14.0,Violation by R. McGruder (kicked ball),,18-21,,
1:14.0,,,18-21,,R. Felton enters the game for R. Westbrook
1:14.0,,,18-21,,P. Patterson enters the game for C. Anthony
1:05.0,,,18-24,3,T. Ferguson makes 3-pt shot from 22 ft (assist by P. George)
0:37.0,W. Ellington misses 2-pt shot from 21 ft,,18-24,,
0:37.0,Offensive rebound by Team,,18-24,,
0:37.0,Turnover by Team (shot clock),,18-24,,
0:31.0,,,18-24,,R. Felton misses 3-pt shot from 25 ft
0:29.0,,,18-24,,Offensive rebound by T. Ferguson
0:07.0,,,18-24,,J. Grant misses 2-pt shot from 1 ft
0:05.0,Defensive rebound by R. McGruder,,18-24,,
0:01.0,D. Wade misses 2-pt shot from 3 ft,,18-24,,
0:01.0,,,18-24,,Defensive rebound by P. George
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,K. Olynyk misses 2-pt shot from 14 ft,,18-24,,
11:38.0,,,18-24,,Defensive rebound by J. Grant
11:24.0,,,18-24,,P. George misses 3-pt shot from 24 ft
11:23.0,,,18-24,,Offensive rebound by Team
11:23.0,Loose ball foul by W. Ellington (drawn by J. Grant),,18-24,,
11:12.0,,,18-26,2,P. George makes 2-pt shot at rim
10:55.0,J. Winslow misses 2-pt shot at rim,,18-26,,
10:53.0,,,18-26,,Defensive rebound by P. Patterson
10:46.0,,,18-28,2,R. Felton makes 2-pt shot from 1 ft
10:29.0,W. Ellington misses 3-pt shot from 26 ft,,18-28,,
10:27.0,,,18-28,,Defensive rebound by R. Felton
10:09.0,,,18-28,,J. Grant misses 2-pt shot from 1 ft
10:06.0,Defensive rebound by J. Winslow,,18-28,,
10:02.0,T. Johnson misses 3-pt shot from 23 ft,,18-28,,
9:58.0,Offensive rebound by K. Olynyk,,18-28,,
9:56.0,T. Johnson makes 3-pt shot from 24 ft (assist by K. Olynyk),3,21-28,,
9:55.0,,,21-28,,Oklahoma City full timeout
9:55.0,,,21-28,,A. Abrines enters the game for P. George
9:48.0,,,21-28,,R. Felton misses 2-pt shot from 1 ft
9:44.0,Defensive rebound by W. Ellington,,21-28,,
9:40.0,,,21-28,,Personal foul by A. Abrines (drawn by D. Wade)
9:29.0,,,21-28,,Personal foul by P. Patterson (drawn by J. Winslow)
9:23.0,Shooting foul by R. Felton (drawn by D. Wade),,21-28,,
9:23.0,D. Wade misses free throw 1 of 2,,21-28,,
9:23.0,Offensive rebound by Team,,21-28,,
9:23.0,D. Wade makes free throw 2 of 2,1,22-28,,
9:14.0,,,22-28,,T. Ferguson misses 3-pt shot from 24 ft
9:09.0,Defensive rebound by K. Olynyk,,22-28,,
9:03.0,K. Olynyk misses 3-pt shot from 25 ft,,22-28,,
9:01.0,,,22-28,,Defensive rebound by J. Grant
8:49.0,,,22-30,2,J. Grant makes 2-pt shot at rim (assist by T. Ferguson)
8:29.0,T. Johnson makes 2-pt shot at rim (assist by D. Wade),2,24-30,,
8:12.0,,,24-30,,J. Grant misses 3-pt shot from 25 ft
8:08.0,Defensive rebound by T. Johnson,,24-30,,
8:03.0,Turnover by D. Wade (bad pass; steal by R. Felton),,24-30,,
7:58.0,,,24-30,,P. Patterson misses 2-pt shot from 22 ft
7:54.0,Defensive rebound by W. Ellington,,24-30,,
7:34.0,K. Olynyk makes 2-pt shot from 14 ft,2,26-30,,
7:14.0,,,26-33,3,P. Patterson makes 3-pt shot from 22 ft (assist by A. Abrines)
6:52.0,W. Ellington misses 2-pt shot from 1 ft,,26-33,,
