time,Detroit,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. A. Drummond (B. Griffin gains possession),,,,Jump ball: D. Jordan vs. A. Drummond (B. Griffin gains possession)
11:40.0,,,0-2,2,D. Gallinari makes 2-pt shot from 16 ft (assist by P. Beverley)
11:23.0,A. Drummond makes 2-pt shot from 2 ft,2,2-2,,
11:11.0,,,2-2,,B. Griffin misses 2-pt shot from 2 ft
11:08.0,Defensive rebound by A. Drummond,,2-2,,
10:59.0,T. Harris misses 2-pt shot from 6 ft,,2-2,,
10:55.0,,,2-2,,Defensive rebound by D. Jordan
10:47.0,,,2-5,3,A. Rivers makes 3-pt shot from 24 ft (assist by B. Griffin)
10:31.0,Turnover by A. Drummond (bad pass; steal by A. Rivers),,2-5,,
10:27.0,,,2-7,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
10:09.0,A. Drummond makes 2-pt shot from 1 ft (assist by A. Bradley),2,4-7,,
9:46.0,,,4-7,,Turnover by A. Rivers (lost ball; steal by S. Johnson)
9:42.0,S. Johnson makes 2-pt shot at rim (assist by T. Harris),2,6-7,,
9:23.0,,,6-7,,B. Griffin misses 2-pt shot from 2 ft
9:21.0,,,6-7,,Offensive rebound by D. Jordan
9:21.0,,,6-7,,D. Jordan misses 2-pt shot at rim
9:21.0,,,6-7,,Offensive rebound by D. Jordan
9:21.0,,,6-7,,Turnover by D. Jordan (bad pass)
9:12.0,,,6-7,,Personal foul by P. Beverley (drawn by R. Jackson)
9:02.0,S. Johnson makes 3-pt shot from 24 ft (assist by R. Jackson),3,9-7,,
8:36.0,,,9-7,,Shooting foul by T. Harris (drawn by B. Griffin)
8:36.0,,,9-8,1,B. Griffin makes free throw 1 of 2
8:36.0,,,9-9,1,B. Griffin makes free throw 2 of 2
8:25.0,R. Jackson makes 3-pt shot from 25 ft (assist by A. Drummond),3,12-9,,
8:12.0,,,12-9,,P. Beverley misses 2-pt shot from 1 ft
8:10.0,Defensive rebound by S. Johnson,,12-9,,
8:07.0,A. Drummond makes 2-pt shot at rim (assist by S. Johnson),2,14-9,,
7:45.0,,,14-9,,Shooting foul by S. Johnson (drawn by D. Gallinari)
7:45.0,,,14-10,1,D. Gallinari makes free throw 1 of 2
7:45.0,,,14-11,1,D. Gallinari makes free throw 2 of 2
7:33.0,S. Johnson misses 2-pt shot from 15 ft,,14-11,,
7:28.0,,,14-11,,Defensive rebound by B. Griffin
7:25.0,,,14-11,,A. Rivers misses 3-pt shot from 26 ft
7:20.0,Defensive rebound by S. Johnson,,14-11,,
7:10.0,S. Johnson misses 3-pt shot from 25 ft,,14-11,,
7:06.0,,,14-11,,Defensive rebound by B. Griffin
7:01.0,,,14-11,,D. Gallinari misses 3-pt shot from 22 ft
6:57.0,,,14-11,,Offensive rebound by D. Jordan
6:50.0,,,14-11,,Shooting foul by A. Drummond (drawn by B. Griffin)
6:50.0,,,14-11,,LA Clippers full timeout
6:50.0,,,14-11,,B. Griffin misses free throw 1 of 2
6:50.0,,,14-11,,Offensive rebound by Team
6:50.0,,,14-12,1,B. Griffin makes free throw 2 of 2
6:32.0,R. Jackson makes 2-pt shot from 9 ft,2,16-12,,
6:06.0,,,16-12,,B. Griffin misses 3-pt shot from 24 ft
6:03.0,Defensive rebound by A. Bradley,,16-12,,
5:54.0,A. Bradley misses 2-pt shot from 16 ft,,16-12,,
5:51.0,,,16-12,,Defensive rebound by P. Beverley
5:46.0,,,16-15,3,A. Rivers makes 3-pt shot from 24 ft (assist by B. Griffin)
5:28.0,Turnover by A. Drummond (bad pass),,16-15,,
5:14.0,,,16-15,,Turnover by P. Beverley (bad pass; steal by A. Bradley)
5:09.0,A. Bradley makes 2-pt shot from 20 ft,2,18-15,,
4:47.0,,,18-15,,P. Beverley misses 3-pt shot from 24 ft
4:45.0,Defensive rebound by A. Drummond,,18-15,,
4:41.0,R. Jackson makes 2-pt shot from 4 ft,2,20-15,,
4:24.0,Personal block foul by A. Drummond (drawn by A. Rivers),,20-15,,
4:24.0,,,20-15,,L. Williams enters the game for P. Beverley
4:24.0,J. Leuer enters the game for A. Drummond,,20-15,,
4:12.0,,,20-15,,D. Gallinari misses 2-pt shot from 12 ft
4:09.0,Defensive rebound by R. Jackson,,20-15,,
4:04.0,R. Jackson misses 2-pt shot from 19 ft,,20-15,,
4:00.0,,,20-15,,Defensive rebound by D. Gallinari
