time,Detroit,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. A. Drummond (D. Saric gains possession),,,,Jump ball: J. Embiid vs. A. Drummond (D. Saric gains possession)
11:47.0,,,0-0,,Shooting foul by A. Bradley (drawn by J. Redick)
11:47.0,,,0-1,1,J. Redick makes free throw 1 of 2
11:47.0,,,0-1,,J. Redick misses free throw 2 of 2
11:44.0,Defensive rebound by A. Bradley,,0-1,,
11:30.0,A. Bradley makes 2-pt shot from 3 ft (assist by A. Drummond),2,2-1,,
11:23.0,,,2-3,2,D. Saric makes 2-pt shot from 1 ft (assist by J. Redick)
11:09.0,R. Jackson makes 2-pt shot from 4 ft,2,4-3,,
10:59.0,,,4-3,,Turnover by J. Embiid (palming)
10:47.0,T. Harris makes 3-pt shot from 26 ft (assist by A. Bradley),3,7-3,,
10:35.0,,,7-3,,D. Saric misses 3-pt shot from 24 ft
10:32.0,,,7-3,,Offensive rebound by J. Embiid
10:31.0,,,7-3,,J. Embiid misses 2-pt shot from 6 ft
10:31.0,,,7-3,,Offensive rebound by J. Embiid
10:31.0,,,7-3,,Shooting foul by A. Drummond (drawn by J. Embiid)
10:31.0,,,7-3,,J. Embiid misses free throw 1 of 2
10:31.0,,,7-3,,Offensive rebound by Team
10:31.0,,,7-4,1,J. Embiid makes free throw 2 of 2
10:22.0,S. Johnson misses 3-pt shot from 22 ft,,7-4,,
10:19.0,,,7-4,,Defensive rebound by R. Covington
10:05.0,,,7-4,,J. Embiid misses 2-pt shot from 14 ft
10:02.0,Defensive rebound by A. Drummond,,7-4,,
9:49.0,T. Harris makes 2-pt shot from 2 ft,2,9-4,,
9:32.0,,,9-4,,R. Covington misses 3-pt shot from 25 ft
9:29.0,Defensive rebound by T. Harris,,9-4,,
9:19.0,R. Jackson makes 2-pt shot from 10 ft (assist by A. Drummond),2,11-4,,
9:00.0,,,11-6,2,J. Embiid makes 2-pt shot from 2 ft (assist by R. Covington)
8:42.0,A. Bradley makes 2-pt shot at rim (assist by A. Drummond),2,13-6,,
8:22.0,,,13-6,,D. Saric misses 2-pt shot from 18 ft
8:18.0,Defensive rebound by A. Drummond,,13-6,,
8:07.0,S. Johnson misses 3-pt shot from 25 ft,,13-6,,
8:06.0,,,13-6,,Defensive rebound by Team
7:53.0,,,13-8,2,J. Embiid makes 2-pt shot from 1 ft (assist by D. Saric)
7:45.0,Detroit full timeout,,13-8,,
7:45.0,,,13-8,,A. Johnson enters the game for J. Embiid
7:35.0,T. Harris makes 3-pt shot from 26 ft (assist by R. Jackson),3,16-8,,
7:16.0,,,16-10,2,D. Saric makes 2-pt shot from 2 ft (assist by A. Johnson)
6:54.0,S. Johnson makes 2-pt shot from 7 ft,2,18-10,,
6:54.0,Shooting foul by D. Saric (drawn by S. Johnson),,18-10,,
6:54.0,,,18-10,,J. Bayless enters the game for J. Redick
6:54.0,S. Johnson makes free throw 1 of 1,1,19-10,,
6:45.0,Personal foul by S. Johnson (drawn by B. Simmons),,19-10,,
6:33.0,,,19-13,3,J. Bayless makes 3-pt shot from 23 ft (assist by B. Simmons)
6:21.0,T. Harris misses 3-pt shot from 26 ft,,19-13,,
6:19.0,Offensive rebound by Team,,19-13,,
6:19.0,,,19-13,,T. Luwawu-Cabarrot enters the game for D. Saric
6:17.0,A. Bradley makes 2-pt shot from 12 ft (assist by R. Jackson),2,21-13,,
5:56.0,,,21-15,2,A. Johnson makes 2-pt shot from 1 ft (assist by T. Luwawu-Cabarrot)
5:37.0,T. Harris misses 2-pt shot from 8 ft,,21-15,,
5:33.0,,,21-15,,Defensive rebound by B. Simmons
5:23.0,,,21-17,2,A. Johnson makes 2-pt shot from 3 ft (assist by J. Bayless)
5:07.0,A. Bradley misses 2-pt shot from 5 ft (block by B. Simmons),,21-17,,
5:04.0,,,21-17,,Defensive rebound by A. Johnson
5:01.0,,,21-20,3,R. Covington makes 3-pt shot from 24 ft (assist by B. Simmons)
4:45.0,R. Jackson misses 2-pt shot from 2 ft,,21-20,,
4:43.0,,,21-20,,Defensive rebound by T. Luwawu-Cabarrot
4:35.0,,,21-23,3,R. Covington makes 3-pt shot from 26 ft (assist by B. Simmons)
4:21.0,Detroit full timeout,,21-23,,
4:21.0,E. Moreland enters the game for A. Drummond,,21-23,,
4:21.0,I. Smith enters the game for R. Jackson,,21-23,,
4:12.0,T. Harris misses 2-pt shot from 6 ft,,21-23,,
4:11.0,Offensive rebound by Team,,21-23,,
4:11.0,Offensive foul by T. Harris (drawn by T. Luwawu-Cabarrot),,21-23,,
4:11.0,Turnover by T. Harris (offensive foul),,21-23,,
4:00.0,,,21-23,,R. Covington misses 2-pt shot from 14 ft
3:57.0,,,21-23,,Offensive rebound by J. Bayless
3:56.0,,,21-23,,R. Covington misses 3-pt shot from 26 ft
3:56.0,Defensive rebound by A. Bradley,,21-23,,
3:43.0,A. Bradley misses 3-pt shot from 25 ft,,21-23,,
3:41.0,,,21-23,,Defensive rebound by B. Simmons
3:36.0,,,21-23,,J. Bayless misses 2-pt shot from 5 ft
3:35.0,,,21-23,,Offensive rebound by A. Johnson
3:33.0,,,21-25,2,A. Johnson makes 2-pt shot from 2 ft
3:18.0,Offensive charge foul by T. Harris (drawn by A. Johnson),,21-25,,
3:18.0,Turnover by T. Harris (offensive foul),,21-25,,
3:18.0,,,21-25,,D. Saric enters the game for A. Johnson
3:18.0,,,21-25,,J. Redick enters the game for B. Simmons
3:18.0,,,21-25,,J. Embiid enters the game for R. Covington
3:18.0,L. Kennard enters the game for S. Johnson,,21-25,,
3:18.0,A. Tolliver enters the game for T. Harris,,21-25,,
3:09.0,Personal foul by E. Moreland (drawn by J. Embiid),,21-25,,
3:00.0,,,21-25,,Shooting foul by E. Moreland (drawn by J. Embiid)
3:00.0,,,21-26,1,J. Embiid makes free throw 1 of 2
3:00.0,,,21-27,1,J. Embiid makes free throw 2 of 2
2:45.0,I. Smith misses 2-pt shot from 15 ft,,21-27,,
2:41.0,,,21-27,,Defensive rebound by T. Luwawu-Cabarrot
2:34.0,,,21-27,,Offensive charge foul by J. Embiid (drawn by I. Smith)
2:34.0,,,21-27,,Turnover by J. Embiid (offensive foul)
2:23.0,,,21-27,,Personal foul by J. Bayless (drawn by I. Smith)
2:14.0,A. Tolliver misses 3-pt shot from 25 ft,,21-27,,
2:10.0,,,21-27,,Defensive rebound by J. Embiid
2:06.0,,,21-27,,Shooting foul by L. Kennard (drawn by T. Luwawu-Cabarrot)
2:06.0,,,21-27,,T. Luwawu-Cabarrot misses free throw 1 of 2
2:06.0,,,21-27,,Offensive rebound by Team
