time,New York,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. E. Kanter (T. Satoransky gains possession),,,,Jump ball: M. Gortat vs. E. Kanter (T. Satoransky gains possession)
11:40.0,,,0-0,,M. Morris misses 2-pt shot from 16 ft
11:35.0,Defensive rebound by E. Kanter,,0-0,,
11:18.0,E. Kanter misses 2-pt shot from 2 ft,,0-0,,
11:16.0,,,0-0,,Defensive rebound by M. Gortat
11:08.0,,,0-2,2,M. Morris makes 2-pt shot from 10 ft
10:54.0,E. Kanter makes 2-pt shot from 2 ft (assist by F. Ntilikina),2,2-2,,
10:36.0,,,2-2,,B. Beal misses 3-pt shot from 25 ft
10:34.0,Defensive rebound by T. Hardaway,,2-2,,
10:23.0,Turnover by M. Beasley (bad pass; steal by B. Beal),,2-2,,
10:17.0,,,2-2,,O. Porter misses 2-pt shot from 2 ft
10:14.0,Defensive rebound by F. Ntilikina,,2-2,,
9:58.0,T. Burke makes 2-pt shot from 6 ft,2,4-2,,
9:39.0,,,4-4,2,M. Morris makes 2-pt shot from 6 ft (assist by M. Gortat)
9:25.0,Turnover by T. Hardaway (bad pass),,4-4,,
9:05.0,,,4-4,,M. Morris misses 2-pt shot from 5 ft (block by M. Beasley)
9:03.0,Defensive rebound by M. Beasley,,4-4,,
8:59.0,T. Burke misses 3-pt shot from 27 ft,,4-4,,
8:56.0,,,4-4,,Defensive rebound by M. Gortat
8:49.0,,,4-4,,Turnover by T. Satoransky (bad pass; steal by T. Burke)
8:43.0,T. Hardaway makes 2-pt shot from 1 ft (assist by M. Beasley),2,6-4,,
8:37.0,,,6-6,2,B. Beal makes 2-pt shot from 1 ft (assist by T. Satoransky)
8:37.0,New York full timeout,,6-6,,
8:27.0,Turnover by T. Burke (bad pass; steal by T. Satoransky),,6-6,,
8:02.0,,,6-6,,M. Gortat misses 2-pt shot from 10 ft
7:59.0,Defensive rebound by E. Kanter,,6-6,,
7:50.0,M. Beasley misses 2-pt shot from 12 ft,,6-6,,
7:47.0,,,6-6,,Defensive rebound by T. Satoransky
7:35.0,,,6-6,,B. Beal misses 3-pt shot from 25 ft
7:32.0,Defensive rebound by E. Kanter,,6-6,,
7:16.0,M. Beasley makes 2-pt shot from 8 ft,2,8-6,,
