time,New Orleans,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Powell vs. A. Davis (N. Mirotic gains possession),,,,Jump ball: D. Powell vs. A. Davis (N. Mirotic gains possession)
11:46.0,A. Davis misses 2-pt shot from 3 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by D. Smith
11:26.0,,,0-0,,Turnover by D. Smith (bad pass)
11:14.0,J. Holiday makes 2-pt shot at rim (assist by N. Mirotic),2,2-0,,
10:56.0,,,2-0,,D. Smith misses 3-pt shot from 26 ft
10:54.0,Defensive rebound by A. Davis,,2-0,,
10:42.0,,,2-0,,Personal foul by D. Powell (drawn by A. Davis)
10:38.0,A. Davis makes 2-pt shot from 5 ft,2,4-0,,
10:16.0,,,4-2,2,D. Nowitzki makes 2-pt shot from 17 ft (assist by D. Smith)
10:05.0,N. Mirotic misses 3-pt shot from 25 ft,,4-2,,
10:02.0,,,4-2,,Defensive rebound by H. Barnes
9:50.0,,,4-2,,H. Barnes misses 2-pt shot from 1 ft
9:48.0,Defensive rebound by A. Davis,,4-2,,
9:44.0,N. Mirotic misses 3-pt shot from 23 ft,,4-2,,
9:39.0,,,4-2,,Defensive rebound by H. Barnes
9:28.0,,,4-2,,Shooting foul by J. Holiday (drawn by D. Powell)
9:28.0,,,4-3,1,D. Powell makes free throw 1 of 2
9:28.0,,,4-4,1,D. Powell makes free throw 2 of 2
9:22.0,A. Davis misses 2-pt shot from 1 ft,,4-4,,
9:21.0,,,4-4,,Defensive rebound by D. Powell
9:13.0,,,4-6,2,D. Powell makes 2-pt shot from 1 ft (assist by D. Smith)
9:00.0,,,4-6,,Personal foul by Y. Ferrell (drawn by J. Holiday)
8:52.0,J. Holiday makes 2-pt shot from 1 ft,2,6-6,,
8:34.0,Personal foul by R. Rondo (drawn by H. Barnes),,6-6,,
8:26.0,,,6-8,2,D. Nowitzki makes 2-pt shot from 9 ft (assist by H. Barnes)
8:12.0,E. Moore misses 2-pt shot from 5 ft,,6-8,,
8:08.0,Offensive rebound by E. Moore,,6-8,,
8:07.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,8-8,,
7:52.0,,,8-8,,Turnover by D. Nowitzki (bad pass; steal by A. Davis)
7:47.0,R. Rondo misses 3-pt shot from 23 ft,,8-8,,
