time,Atlanta,pts.away,score,pts.home,Toronto
1:45.0,,,23-20,,Shooting foul by M. Muscala (drawn by S. Ibaka)
1:45.0,,,23-21,1,S. Ibaka makes free throw 1 of 2
1:45.0,,,23-21,,D. Wright enters the game for D. DeRozan
1:45.0,,,23-22,1,S. Ibaka makes free throw 2 of 2
1:34.0,I. Taylor misses 2-pt shot from 2 ft (block by J. Poeltl),,23-22,,
1:30.0,Offensive rebound by J. Morris,,23-22,,
1:30.0,T. Dorsey makes 2-pt shot from 2 ft (assist by J. Morris),2,25-22,,
1:30.0,Shooting foul by S. Ibaka (drawn by T. Dorsey),,25-22,,
1:30.0,,,25-22,,P. Siakam enters the game for S. Ibaka
1:30.0,T. Dorsey makes free throw 1 of 1,1,26-22,,
1:18.0,,,26-22,,C. Miles misses 3-pt shot from 24 ft
1:15.0,Defensive rebound by M. Muscala,,26-22,,
1:09.0,T. Dorsey misses 2-pt shot from 15 ft,,26-22,,
1:07.0,,,26-22,,Defensive rebound by D. Wright
1:01.0,,,26-25,3,F. VanVleet makes 3-pt shot from 25 ft (assist by D. Wright)
0:55.0,I. Taylor makes 2-pt shot from 5 ft,2,28-25,,
0:45.0,,,28-25,,D. Wright misses 2-pt shot from 12 ft
0:43.0,,,28-25,,Offensive rebound by D. Wright
0:42.0,,,28-27,2,D. Wright makes 2-pt shot from 2 ft
0:34.0,T. Dorsey misses 3-pt shot from 26 ft,,28-27,,
0:31.0,,,28-27,,Defensive rebound by Team
0:11.0,,,28-27,,F. VanVleet misses 3-pt shot from 24 ft
0:09.0,Defensive rebound by J. Morris,,28-27,,
0:07.0,Turnover by J. Morris (bad pass; steal by D. Wright),,28-27,,
0:01.0,,,28-27,,D. Wright misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by Team,,28-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,28-29,2,P. Siakam makes 2-pt shot at rim (assist by F. VanVleet)
11:10.0,Turnover by Team (shot clock),,28-29,,
11:00.0,,,28-29,,C. Miles misses 3-pt shot from 25 ft
10:58.0,Defensive rebound by Team,,28-29,,
10:36.0,Turnover by K. Bazemore (bad pass),,28-29,,
10:36.0,D. Schroder enters the game for I. Taylor,,28-29,,
10:22.0,,,28-29,,Offensive foul by J. Poeltl (drawn by K. Bazemore)
10:22.0,,,28-29,,Turnover by J. Poeltl (offensive foul)
