time,Dallas,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. D. Powell (D. Green gains possession),,,,Jump ball: Z. Pachulia vs. D. Powell (D. Green gains possession)
11:41.0,,,0-2,2,K. Thompson makes 2-pt shot from 21 ft (assist by S. Curry)
11:16.0,W. Matthews misses 2-pt shot from 12 ft (block by D. Green),,0-2,,
11:16.0,Offensive rebound by Team,,0-2,,
11:15.0,Turnover by Team (shot clock),,0-2,,
11:08.0,,,0-2,,Turnover by S. Curry (lost ball; steal by D. Nowitzki)
11:03.0,J. Barea makes 2-pt shot from 1 ft (assist by D. Smith),2,2-2,,
10:49.0,,,2-2,,D. Green misses 2-pt shot from 1 ft
10:44.0,,,2-2,,Offensive rebound by Z. Pachulia
10:44.0,,,2-2,,Z. Pachulia misses 2-pt shot at rim
10:43.0,Defensive rebound by D. Nowitzki,,2-2,,
10:39.0,D. Nowitzki misses 3-pt shot from 25 ft,,2-2,,
10:34.0,,,2-2,,Defensive rebound by K. Durant
10:24.0,,,2-4,2,K. Thompson makes 2-pt shot from 21 ft (assist by K. Durant)
10:08.0,W. Matthews misses 3-pt shot from 25 ft,,2-4,,
10:05.0,Offensive rebound by D. Powell,,2-4,,
10:02.0,D. Smith makes 3-pt shot from 25 ft (assist by W. Matthews),3,5-4,,
9:47.0,,,5-4,,Turnover by Z. Pachulia (lost ball; steal by D. Smith)
9:43.0,D. Smith makes 2-pt shot from 1 ft,2,7-4,,
9:25.0,,,7-4,,Shooting foul by D. Smith (drawn by D. Green)
9:25.0,,,7-5,1,D. Green makes free throw 1 of 2
9:25.0,,,7-5,,D. Green misses free throw 2 of 2
9:22.0,Defensive rebound by D. Powell,,7-5,,
9:09.0,W. Matthews makes 2-pt shot from 13 ft (assist by J. Barea),2,9-5,,
8:55.0,,,9-5,,S. Curry misses 3-pt shot from 25 ft
8:52.0,Defensive rebound by D. Nowitzki,,9-5,,
8:44.0,D. Smith misses 3-pt shot from 24 ft,,9-5,,
8:41.0,,,9-5,,Defensive rebound by Z. Pachulia
8:35.0,,,9-7,2,Z. Pachulia makes 2-pt shot at rim (assist by K. Thompson)
8:17.0,D. Nowitzki makes 2-pt shot from 14 ft (assist by J. Barea),2,11-7,,
8:08.0,,,11-7,,Golden State full timeout
8:01.0,,,11-9,2,S. Curry makes 2-pt shot from 17 ft (assist by Z. Pachulia)
7:45.0,D. Smith makes 2-pt shot from 1 ft,2,13-9,,
7:32.0,,,13-9,,K. Thompson misses 2-pt shot from 1 ft
7:29.0,Defensive rebound by D. Nowitzki,,13-9,,
7:23.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by J. Barea),2,15-9,,
7:10.0,,,15-9,,D. Green misses 2-pt shot from 9 ft
7:08.0,,,15-9,,Offensive rebound by D. Green
7:08.0,,,15-9,,D. Green misses 2-pt shot from 4 ft
7:08.0,,,15-9,,Offensive rebound by Z. Pachulia
7:08.0,,,15-9,,Shooting foul by D. Nowitzki (drawn by Z. Pachulia)
7:08.0,,,15-10,1,Z. Pachulia makes free throw 1 of 2
7:08.0,,,15-11,1,Z. Pachulia makes free throw 2 of 2
6:50.0,W. Matthews misses 3-pt shot from 25 ft,,15-11,,
6:47.0,,,15-11,,Defensive rebound by K. Durant
6:37.0,,,15-11,,D. Green misses 2-pt shot from 2 ft (block by D. Nowitzki)
6:35.0,Defensive rebound by D. Nowitzki,,15-11,,
6:29.0,J. Barea misses 3-pt shot from 26 ft,,15-11,,
