time,Chicago,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Allen vs. C. Felicio (A. Crabbe gains possession),,,,Jump ball: J. Allen vs. C. Felicio (A. Crabbe gains possession)
11:39.0,,,0-0,,A. Crabbe misses 3-pt shot from 22 ft
11:36.0,Defensive rebound by J. Holiday,,0-0,,
11:26.0,C. Payne makes 2-pt shot from 20 ft (assist by L. Markkanen),2,2-0,,
11:14.0,,,2-0,,D. Russell misses 3-pt shot from 26 ft
11:12.0,Defensive rebound by D. Nwaba,,2-0,,
11:07.0,J. Holiday misses 3-pt shot from 24 ft,,2-0,,
11:04.0,,,2-0,,Defensive rebound by R. Hollis-Jefferson
10:47.0,,,2-3,3,A. Crabbe makes 3-pt shot from 24 ft (assist by S. Dinwiddie)
10:25.0,C. Payne misses 3-pt shot from 24 ft,,2-3,,
10:22.0,,,2-3,,Defensive rebound by R. Hollis-Jefferson
10:13.0,,,2-3,,D. Russell misses 3-pt shot from 22 ft
10:10.0,Defensive rebound by C. Felicio,,2-3,,
9:54.0,L. Markkanen misses 2-pt shot from 16 ft,,2-3,,
9:51.0,,,2-3,,Defensive rebound by J. Allen
9:45.0,,,2-3,,S. Dinwiddie misses 3-pt shot from 25 ft
9:43.0,Defensive rebound by C. Payne,,2-3,,
9:38.0,C. Felicio makes 2-pt shot from 3 ft (assist by C. Payne),2,4-3,,
9:17.0,,,4-3,,Shooting foul by C. Felicio (drawn by A. Crabbe)
9:17.0,,,4-4,1,A. Crabbe makes free throw 1 of 3
9:17.0,,,4-5,1,A. Crabbe makes free throw 2 of 3
9:17.0,,,4-6,1,A. Crabbe makes free throw 3 of 3
9:05.0,J. Holiday misses 3-pt shot from 22 ft,,4-6,,
9:02.0,,,4-6,,Defensive rebound by S. Dinwiddie
8:54.0,,,4-8,2,S. Dinwiddie makes 2-pt shot from 1 ft (assist by R. Hollis-Jefferson)
8:39.0,Turnover by D. Nwaba (bad pass; steal by A. Crabbe),,4-8,,
8:33.0,,,4-8,,S. Dinwiddie misses 3-pt shot from 22 ft
8:30.0,Defensive rebound by D. Nwaba,,4-8,,
8:25.0,D. Nwaba misses 2-pt shot from 7 ft (block by A. Crabbe),,4-8,,
8:25.0,,,4-8,,Defensive rebound by Team
8:09.0,,,4-11,3,A. Crabbe makes 3-pt shot from 25 ft (assist by D. Russell)
8:00.0,J. Holiday misses 2-pt shot from 3 ft,,4-11,,
7:57.0,Offensive rebound by D. Nwaba,,4-11,,
7:57.0,D. Nwaba misses 2-pt shot from 1 ft (block by J. Allen),,4-11,,
