time,Atlanta,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Barnes vs. D. Dedmon (D. Schroder gains possession),,,,Jump ball: H. Barnes vs. D. Dedmon (D. Schroder gains possession)
11:44.0,D. Schroder makes 2-pt shot from 18 ft,2,2-0,,
11:28.0,,,2-2,2,D. Smith makes 2-pt shot at rim (assist by W. Matthews)
11:04.0,D. Schroder misses 2-pt shot from 6 ft,,2-2,,
11:02.0,Offensive rebound by E. Ilyasova,,2-2,,
11:00.0,E. Ilyasova misses 2-pt shot from 2 ft,,2-2,,
11:00.0,,,2-2,,Defensive rebound by D. Nowitzki
10:55.0,,,2-4,2,D. Smith makes 2-pt shot from 11 ft
10:32.0,K. Bazemore misses 2-pt shot from 5 ft,,2-4,,
10:30.0,,,2-4,,Defensive rebound by H. Barnes
10:22.0,,,2-7,3,D. Nowitzki makes 3-pt shot from 23 ft (assist by D. Smith)
10:06.0,D. Dedmon misses 2-pt shot from 16 ft,,2-7,,
10:02.0,,,2-7,,Defensive rebound by H. Barnes
9:54.0,,,2-7,,D. Nowitzki misses 3-pt shot from 24 ft
9:51.0,Defensive rebound by D. Schroder,,2-7,,
9:45.0,D. Schroder makes 2-pt shot from 13 ft,2,4-7,,
9:24.0,Personal foul by E. Ilyasova (drawn by Y. Ferrell),,4-7,,
9:16.0,,,4-7,,D. Nowitzki misses 2-pt shot from 20 ft
9:14.0,Defensive rebound by T. Waller-Prince,,4-7,,
8:59.0,T. Waller-Prince makes 2-pt shot from 5 ft,2,6-7,,
8:43.0,,,6-7,,H. Barnes misses 3-pt shot from 24 ft
8:41.0,Defensive rebound by K. Bazemore,,6-7,,
8:33.0,D. Schroder misses 2-pt shot from 5 ft,,6-7,,
8:31.0,,,6-7,,Defensive rebound by H. Barnes
8:24.0,,,6-7,,H. Barnes misses 3-pt shot from 24 ft
8:21.0,Defensive rebound by D. Schroder,,6-7,,
8:13.0,T. Waller-Prince makes 2-pt shot from 21 ft (assist by D. Schroder),2,8-7,,
8:01.0,,,8-7,,Turnover by D. Smith (palming)
7:50.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by K. Bazemore),2,10-7,,
7:29.0,,,10-7,,D. Nowitzki misses 3-pt shot from 24 ft
7:26.0,Defensive rebound by E. Ilyasova,,10-7,,
7:21.0,D. Schroder misses 3-pt shot from 25 ft,,10-7,,
7:18.0,,,10-7,,Defensive rebound by D. Nowitzki
7:04.0,,,10-7,,H. Barnes misses 3-pt shot from 24 ft
7:00.0,Defensive rebound by D. Dedmon,,10-7,,
6:45.0,D. Schroder misses 2-pt shot from 16 ft,,10-7,,
6:42.0,,,10-7,,Defensive rebound by H. Barnes
6:37.0,Violation by E. Ilyasova (kicked ball),,10-7,,
6:37.0,,,10-7,,Dallas full timeout
6:37.0,,,10-7,,N. Noel enters the game for D. Nowitzki
6:37.0,,,10-7,,J. Barea enters the game for D. Smith
6:37.0,J. Collins enters the game for D. Dedmon,,10-7,,
6:21.0,,,10-7,,Turnover by H. Barnes (lost ball; steal by D. Schroder)
6:19.0,J. Collins makes 2-pt shot from 3 ft (assist by T. Waller-Prince),2,12-7,,
6:19.0,Shooting foul by N. Noel (drawn by J. Collins),,12-7,,
6:19.0,M. Belinelli enters the game for K. Bazemore,,12-7,,
6:19.0,J. Collins makes free throw 1 of 1,1,13-7,,
5:59.0,,,13-7,,J. Barea misses 2-pt shot from 6 ft
5:57.0,Defensive rebound by E. Ilyasova,,13-7,,
5:52.0,T. Waller-Prince misses 2-pt shot from 17 ft,,13-7,,
5:49.0,,,13-7,,Defensive rebound by N. Noel
5:33.0,,,13-9,2,N. Noel makes 2-pt shot at rim (assist by J. Barea)
5:16.0,D. Schroder makes 2-pt shot from 18 ft,2,15-9,,
