time,Boston,pts.away,score,pts.home,Orlando
0:44.0,J. Tatum enters the game for A. Horford,,20-20,,
0:31.0,,,20-20,,E. Fournier misses 2-pt shot from 2 ft
0:28.0,Defensive rebound by M. Smart,,20-20,,
0:21.0,A. Baynes makes 2-pt shot from 4 ft (assist by M. Smart),2,22-20,,
0:05.0,,,22-20,,Offensive foul by B. Biyombo (drawn by A. Baynes)
0:05.0,,,22-20,,Turnover by B. Biyombo (offensive foul)
0:05.0,K. Irving enters the game for S. Ojeleye,,22-20,,
0:00.0,T. Rozier misses 3-pt shot from 24 ft (block by A. Gordon),,22-20,,
0:00.0,Offensive rebound by Team,,22-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,22-20,,J. Isaac misses 2-pt shot from 18 ft
11:39.0,Defensive rebound by M. Smart,,22-20,,
11:23.0,Turnover by M. Smart (bad pass),,22-20,,
11:16.0,,,22-20,,S. Mack misses 2-pt shot from 10 ft
11:15.0,,,22-20,,Offensive rebound by B. Biyombo
11:15.0,Personal foul by A. Baynes (drawn by B. Biyombo),,22-20,,
11:15.0,M. Morris enters the game for S. Ojeleye,,22-20,,
11:10.0,,,22-20,,T. Ross misses 2-pt shot from 12 ft
11:06.0,Defensive rebound by J. Tatum,,22-20,,
10:56.0,M. Morris misses 3-pt shot from 26 ft,,22-20,,
10:51.0,Offensive rebound by M. Morris,,22-20,,
10:50.0,J. Tatum makes 3-pt shot from 22 ft (assist by M. Morris),3,25-20,,
10:39.0,Personal foul by J. Tatum (drawn by B. Biyombo),,25-20,,
10:30.0,,,25-20,,M. Hezonja misses 2-pt shot from 13 ft
10:27.0,Defensive rebound by M. Morris,,25-20,,
10:11.0,T. Rozier misses 3-pt shot from 25 ft,,25-20,,
10:08.0,,,25-20,,Defensive rebound by S. Mack
10:04.0,,,25-20,,T. Ross misses 3-pt shot from 25 ft
10:00.0,Defensive rebound by J. Tatum,,25-20,,
9:52.0,A. Baynes misses 2-pt shot from 1 ft (block by J. Isaac),,25-20,,
9:48.0,,,25-20,,Defensive rebound by B. Biyombo
9:42.0,,,25-22,2,S. Mack makes 2-pt shot from 3 ft
9:26.0,M. Smart misses 3-pt shot from 25 ft,,25-22,,
9:24.0,,,25-22,,Defensive rebound by J. Isaac
9:18.0,,,25-24,2,S. Mack makes 2-pt shot from 1 ft
9:04.0,M. Smart misses 2-pt shot from 13 ft,,25-24,,
9:04.0,,,25-24,,Defensive rebound by J. Isaac
8:54.0,,,25-24,,Turnover by T. Ross (bad pass; steal by M. Smart)
8:46.0,M. Morris misses 3-pt shot from 25 ft,,25-24,,
8:43.0,Offensive rebound by A. Baynes,,25-24,,
8:40.0,M. Morris misses 2-pt shot from 15 ft,,25-24,,
8:38.0,,,25-24,,Defensive rebound by J. Isaac
8:34.0,,,25-24,,Shooting foul by M. Smart (drawn by S. Mack)
8:34.0,,,25-25,1,S. Mack makes free throw 1 of 2
8:34.0,,,25-26,1,S. Mack makes free throw 2 of 2
8:16.0,M. Smart makes 2-pt shot from 10 ft,2,27-26,,
8:16.0,Shooting foul by J. Isaac (drawn by M. Smart),,27-26,,
8:16.0,M. Smart makes free throw 1 of 1,1,28-26,,
8:02.0,,,28-26,,T. Ross misses 2-pt shot from 11 ft
7:59.0,Defensive rebound by A. Baynes,,28-26,,
7:51.0,M. Smart makes 3-pt shot from 25 ft (assist by J. Tatum),3,31-26,,
7:42.0,,,31-26,,Orlando full timeout
7:42.0,,,31-26,,J. Simmons enters the game for S. Mack
7:31.0,,,31-26,,T. Ross misses 2-pt shot from 17 ft
7:28.0,Defensive rebound by M. Smart,,31-26,,
7:14.0,M. Morris makes 2-pt shot from 11 ft (assist by M. Smart),2,33-26,,
6:59.0,,,33-26,,Turnover by J. Simmons (lost ball; steal by M. Morris)
6:57.0,J. Tatum makes 2-pt shot from 1 ft (assist by M. Smart),2,35-26,,
6:57.0,Shooting foul by B. Biyombo (drawn by J. Tatum),,35-26,,
6:57.0,,,35-26,,E. Fournier enters the game for M. Hezonja
6:57.0,,,35-26,,N. Vucevic enters the game for B. Biyombo
6:57.0,,,35-26,,A. Gordon enters the game for T. Ross
6:57.0,K. Irving enters the game for M. Smart,,35-26,,
6:57.0,J. Tatum misses free throw 1 of 1,,35-26,,
6:52.0,,,35-26,,Defensive rebound by A. Gordon
6:35.0,,,35-26,,J. Isaac misses 2-pt shot from 15 ft
6:28.0,,,35-26,,Offensive rebound by J. Simmons
6:28.0,,,35-28,2,J. Simmons makes 2-pt shot at rim
6:15.0,J. Tatum misses 3-pt shot from 26 ft,,35-28,,
