time,Boston,pts.away,score,pts.home,Orlando
4:47.0,,,91-77,,E. Fournier misses 3-pt shot from 26 ft
4:43.0,Defensive rebound by M. Smart,,91-77,,
4:30.0,M. Smart misses 3-pt shot from 22 ft,,91-77,,
4:27.0,,,91-77,,Defensive rebound by J. Isaac
4:20.0,,,91-77,,A. Gordon misses 2-pt shot from 16 ft
4:17.0,Defensive rebound by A. Horford,,91-77,,
3:58.0,J. Tatum makes 3-pt shot from 25 ft (assist by M. Smart),3,94-77,,
3:57.0,,,94-77,,Orlando full timeout
3:57.0,,,94-77,,T. Ross enters the game for A. Gordon
3:47.0,,,94-77,,E. Fournier misses 3-pt shot from 25 ft
3:45.0,Defensive rebound by Team,,94-77,,
3:25.0,Shooting foul by E. Fournier (drawn by K. Irving),,94-77,,
3:25.0,K. Irving makes free throw 1 of 2,1,95-77,,
3:25.0,K. Irving misses free throw 2 of 2,,95-77,,
3:23.0,,,95-77,,Defensive rebound by N. Vucevic
3:18.0,,,95-77,,J. Simmons misses 3-pt shot from 25 ft
3:14.0,Defensive rebound by A. Horford,,95-77,,
3:01.0,J. Tatum makes 2-pt shot from 4 ft (assist by A. Horford),2,97-77,,
3:01.0,Shooting foul by T. Ross (drawn by J. Tatum),,97-77,,
3:01.0,,,97-77,,W. Iwundu enters the game for N. Vucevic
3:01.0,,,97-77,,A. Afflalo enters the game for E. Fournier
3:01.0,,,97-77,,M. Hezonja enters the game for J. Simmons
3:01.0,,,97-77,,M. Speights enters the game for T. Ross
3:01.0,D. Theis enters the game for K. Irving,,97-77,,
3:01.0,S. Larkin enters the game for A. Horford,,97-77,,
3:01.0,J. Tatum makes free throw 1 of 1,1,98-77,,
2:43.0,,,98-77,,M. Hezonja misses 3-pt shot from 22 ft
2:38.0,Defensive rebound by D. Theis,,98-77,,
2:33.0,D. Theis makes 2-pt shot from 15 ft (assist by S. Larkin),2,100-77,,
2:21.0,,,100-80,3,M. Speights makes 3-pt shot from 26 ft (assist by W. Iwundu)
2:05.0,Shooting foul by W. Iwundu (drawn by S. Larkin),,100-80,,
2:05.0,S. Larkin makes free throw 1 of 2,1,101-80,,
2:05.0,G. Yabusele enters the game for J. Tatum,,101-80,,
2:05.0,A. Nader enters the game for T. Rozier,,101-80,,
2:05.0,S. Ojeleye enters the game for M. Smart,,101-80,,
2:05.0,S. Larkin makes free throw 2 of 2,1,102-80,,
1:51.0,,,102-82,2,J. Isaac makes 2-pt shot from 19 ft
1:36.0,G. Yabusele misses 3-pt shot from 25 ft,,102-82,,
1:34.0,,,102-82,,Defensive rebound by M. Hezonja
1:24.0,,,102-84,2,M. Speights makes 2-pt shot from 17 ft (assist by W. Iwundu)
1:12.0,S. Larkin makes 2-pt shot from 20 ft,2,104-84,,
1:03.0,,,104-86,2,W. Iwundu makes 2-pt shot from 11 ft
1:03.0,,,104-86,,Shooting foul by S. Larkin (drawn by W. Iwundu)
1:03.0,,,104-86,,W. Iwundu misses free throw 1 of 1
1:00.0,Defensive rebound by S. Ojeleye,,104-86,,
0:45.0,A. Nader misses 2-pt shot from 9 ft,,104-86,,
0:43.0,Offensive rebound by Team,,104-86,,
0:38.0,S. Larkin misses 3-pt shot from 24 ft,,104-86,,
0:35.0,,,104-86,,Defensive rebound by J. Isaac
0:28.0,,,104-88,2,J. Isaac makes 2-pt shot from 3 ft
0:28.0,,,104-88,,Shooting foul by D. Theis (drawn by J. Isaac)
0:28.0,,,104-88,,J. Isaac misses free throw 1 of 1
0:26.0,Defensive rebound by G. Yabusele,,104-88,,
0:03.0,Turnover by Team (shot clock),,104-88,,
0:01.0,,,104-88,,M. Speights misses 3-pt shot from 28 ft
0:01.0,Defensive rebound by Team,,104-88,,
