time,Washington,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Adebayo vs. M. Gortat (G. Dragic gains possession),,,,Jump ball: B. Adebayo vs. M. Gortat (G. Dragic gains possession)
11:44.0,,,0-2,2,J. Johnson makes 2-pt shot from 1 ft (assist by J. Richardson)
11:23.0,B. Beal misses 2-pt shot from 19 ft,,0-2,,
11:20.0,,,0-2,,Defensive rebound by G. Dragic
11:12.0,,,0-4,2,B. Adebayo makes 2-pt shot from 2 ft (assist by G. Dragic)
10:57.0,O. Porter makes 2-pt shot from 20 ft,2,2-4,,
10:42.0,,,2-6,2,T. Johnson makes 2-pt shot from 8 ft
10:29.0,M. Morris misses 3-pt shot from 23 ft,,2-6,,
10:27.0,Offensive rebound by M. Gortat,,2-6,,
10:06.0,,,2-6,,Personal foul by G. Dragic (drawn by O. Porter)
9:58.0,M. Gortat misses 2-pt shot from 12 ft,,2-6,,
9:56.0,,,2-6,,Defensive rebound by B. Adebayo
9:49.0,,,2-8,2,J. Richardson makes 2-pt shot from 15 ft (assist by J. Johnson)
9:38.0,O. Porter misses 3-pt shot from 25 ft,,2-8,,
9:34.0,,,2-8,,Defensive rebound by B. Adebayo
9:19.0,,,2-8,,T. Johnson misses 3-pt shot from 24 ft
9:17.0,Defensive rebound by M. Morris,,2-8,,
9:10.0,Shooting foul by T. Johnson (drawn by T. Satoransky),,2-8,,
9:10.0,T. Satoransky makes free throw 1 of 2,1,3-8,,
9:10.0,T. Satoransky makes free throw 2 of 2,1,4-8,,
9:03.0,Violation by M. Morris (kicked ball),,4-8,,
8:51.0,,,4-10,2,J. Johnson makes 2-pt shot at rim
8:38.0,Turnover by M. Morris (traveling),,4-10,,
8:27.0,,,4-12,2,T. Johnson makes 2-pt shot from 1 ft (assist by J. Johnson)
8:26.0,Washington full timeout,,4-12,,
8:10.0,T. Satoransky makes 2-pt shot from 1 ft (assist by B. Beal),2,6-12,,
7:49.0,,,6-14,2,J. Richardson makes 2-pt shot from 5 ft
7:37.0,B. Beal misses 3-pt shot from 24 ft,,6-14,,
7:34.0,,,6-14,,Defensive rebound by T. Johnson
7:19.0,,,6-14,,J. Johnson misses 3-pt shot from 24 ft
7:17.0,Defensive rebound by B. Beal,,6-14,,
7:12.0,Turnover by M. Gortat (traveling),,6-14,,
6:54.0,,,6-16,2,J. Johnson makes 2-pt shot from 10 ft
6:42.0,,,6-16,,Personal foul by G. Dragic (drawn by T. Satoransky)
6:42.0,,,6-16,,W. Ellington enters the game for G. Dragic
6:35.0,B. Beal makes 2-pt shot from 14 ft,2,8-16,,
6:25.0,,,8-18,2,J. Johnson makes 2-pt shot from 1 ft (assist by T. Johnson)
6:09.0,M. Morris makes 2-pt shot from 1 ft (assist by T. Satoransky),2,10-18,,
