time,Memphis,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. M. Gasol (J. Martin gains possession),,,,Jump ball: M. Turner vs. M. Gasol (J. Martin gains possession)
11:45.0,W. Selden misses 3-pt shot from 26 ft,,0-0,,
11:41.0,Offensive rebound by M. Gasol,,0-0,,
11:32.0,M. Gasol misses 2-pt shot at rim (block by M. Turner),,0-0,,
11:32.0,Offensive rebound by Team,,0-0,,
11:25.0,D. Brooks makes 2-pt shot from 5 ft,2,2-0,,
11:06.0,Personal foul by A. Harrison (drawn by B. Bogdanovic),,2-0,,
10:53.0,,,2-0,,Turnover by B. Bogdanovic (bad pass; steal by W. Selden)
10:49.0,J. Martin makes 3-pt shot from 23 ft (assist by A. Harrison),3,5-0,,
10:33.0,,,5-3,3,D. Collison makes 3-pt shot from 23 ft (assist by B. Bogdanovic)
10:08.0,Turnover by W. Selden (bad pass; steal by V. Oladipo),,5-3,,
10:03.0,,,5-3,,Turnover by V. Oladipo (bad pass; steal by W. Selden)
9:58.0,D. Brooks misses 2-pt shot from 5 ft,,5-3,,
9:54.0,,,5-3,,Defensive rebound by M. Turner
9:51.0,,,5-3,,Turnover by V. Oladipo (lost ball; steal by D. Brooks)
9:40.0,M. Gasol misses 3-pt shot from 22 ft,,5-3,,
9:37.0,,,5-3,,Defensive rebound by V. Oladipo
9:32.0,,,5-3,,Shooting foul by M. Gasol (drawn by M. Turner)
9:32.0,,,5-4,1,M. Turner makes free throw 1 of 2
9:32.0,,,5-4,,M. Turner misses free throw 2 of 2
9:30.0,Defensive rebound by M. Gasol,,5-4,,
9:19.0,A. Harrison makes 2-pt shot at rim,2,7-4,,
9:01.0,,,7-4,,M. Turner misses 2-pt shot from 13 ft
8:59.0,Defensive rebound by M. Gasol,,7-4,,
8:47.0,M. Gasol misses 2-pt shot from 2 ft,,7-4,,
8:45.0,,,7-4,,Defensive rebound by M. Turner
8:32.0,,,7-4,,T. Young misses 2-pt shot from 10 ft
8:29.0,Defensive rebound by A. Harrison,,7-4,,
8:20.0,M. Gasol makes 2-pt shot from 19 ft (assist by W. Selden),2,9-4,,
8:04.0,,,9-4,,T. Young misses 2-pt shot from 3 ft
8:02.0,,,9-4,,Offensive rebound by D. Collison
8:02.0,,,9-6,2,D. Collison makes 2-pt shot from 17 ft
7:46.0,D. Brooks makes 2-pt shot from 2 ft (assist by M. Gasol),2,11-6,,
7:31.0,,,11-6,,Shooting foul by J. Martin (drawn by M. Turner)
7:31.0,,,11-7,1,M. Turner makes free throw 1 of 2
7:31.0,B. McLemore enters the game for W. Selden,,11-7,,
7:31.0,,,11-8,1,M. Turner makes free throw 2 of 2
7:16.0,Turnover by J. Martin (bad pass; steal by T. Young),,11-8,,
6:56.0,,,11-8,,T. Young misses 3-pt shot from 23 ft
6:54.0,,,11-8,,Offensive rebound by M. Turner
