time,Charlotte,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Porzingis vs. D. Howard (M. Williams gains possession),,,,Jump ball: K. Porzingis vs. D. Howard (M. Williams gains possession)
11:44.0,Shooting foul by J. Jack (drawn by M. Williams),,0-0,,
11:44.0,M. Williams makes free throw 1 of 2,1,1-0,,
11:44.0,M. Williams makes free throw 2 of 2,1,2-0,,
11:32.0,Personal foul by D. Bacon (drawn by T. Hardaway),,2-0,,
11:19.0,,,2-0,,C. Lee misses 2-pt shot from 16 ft
11:12.0,,,2-0,,Offensive rebound by E. Kanter
11:12.0,,,2-2,2,E. Kanter makes 2-pt shot at rim
10:58.0,M. Williams makes 3-pt shot from 26 ft (assist by J. Lamb),3,5-2,,
10:43.0,,,5-2,,Shooting foul by K. Walker (drawn by T. Hardaway)
10:43.0,,,5-2,,T. Hardaway misses free throw 1 of 2
10:43.0,,,5-2,,Offensive rebound by Team
10:43.0,,,5-2,,T. Hardaway misses free throw 2 of 2
10:41.0,Defensive rebound by D. Bacon,,5-2,,
10:30.0,J. Lamb misses 2-pt shot from 4 ft,,5-2,,
10:28.0,Offensive rebound by D. Howard,,5-2,,
10:26.0,D. Howard makes 2-pt shot from 2 ft,2,7-2,,
10:16.0,,,7-4,2,K. Porzingis makes 2-pt shot from 14 ft
9:58.0,,,7-4,,Personal foul by T. Hardaway (drawn by J. Lamb)
9:54.0,K. Walker misses 3-pt shot from 25 ft,,7-4,,
9:50.0,,,7-4,,Defensive rebound by C. Lee
9:44.0,,,7-7,3,K. Porzingis makes 3-pt shot from 25 ft (assist by C. Lee)
9:28.0,J. Lamb makes 3-pt shot from 25 ft (assist by K. Walker),3,10-7,,
9:18.0,Personal foul by D. Bacon (drawn by T. Hardaway),,10-7,,
9:13.0,,,10-7,,K. Porzingis misses 3-pt shot from 25 ft
9:09.0,,,10-7,,Offensive rebound by E. Kanter
9:08.0,,,10-9,2,E. Kanter makes 2-pt shot from 1 ft
8:56.0,Shooting foul by K. Porzingis (drawn by D. Howard),,10-9,,
8:56.0,D. Howard makes free throw 1 of 2,1,11-9,,
8:56.0,T. Graham enters the game for D. Bacon,,11-9,,
8:56.0,D. Howard makes free throw 2 of 2,1,12-9,,
8:44.0,,,12-9,,T. Hardaway misses 2-pt shot from 22 ft
8:40.0,Defensive rebound by K. Walker,,12-9,,
8:25.0,M. Williams makes 2-pt shot at rim (assist by J. Lamb),2,14-9,,
8:16.0,,,14-9,,Turnover by K. Porzingis (lost ball; steal by K. Walker)
8:16.0,Turnover by K. Walker (step out of bounds),,14-9,,
8:02.0,,,14-12,3,T. Hardaway makes 3-pt shot from 26 ft (assist by C. Lee)
7:44.0,D. Howard makes 2-pt shot from 2 ft,2,16-12,,
7:44.0,Shooting foul by E. Kanter (drawn by D. Howard),,16-12,,
7:44.0,D. Howard makes free throw 1 of 1,1,17-12,,
7:23.0,,,17-12,,C. Lee misses 2-pt shot from 22 ft
7:20.0,Defensive rebound by T. Graham,,17-12,,
7:11.0,D. Howard misses 2-pt shot from 13 ft,,17-12,,
7:09.0,,,17-12,,Defensive rebound by K. Porzingis
7:03.0,Loose ball foul by M. Williams (drawn by K. Porzingis),,17-12,,
6:59.0,,,17-15,3,K. Porzingis makes 3-pt shot from 25 ft (assist by J. Jack)
6:39.0,Turnover by K. Walker (bad pass; steal by T. Hardaway),,17-15,,
6:33.0,,,17-15,,J. Jack misses 3-pt shot from 25 ft
6:28.0,Defensive rebound by M. Williams,,17-15,,
6:25.0,D. Howard makes 2-pt shot from 1 ft (assist by J. Lamb),2,19-15,,
6:14.0,,,19-18,3,K. Porzingis makes 3-pt shot from 27 ft (assist by C. Lee)
5:58.0,K. Walker misses 3-pt shot from 25 ft,,19-18,,
5:56.0,,,19-18,,Defensive rebound by T. Hardaway
