time,Utah,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. R. Gobert (T. Harris gains possession),,,,Jump ball: A. Drummond vs. R. Gobert (T. Harris gains possession)
11:46.0,,,0-2,2,L. Galloway makes 2-pt shot from 1 ft (assist by A. Drummond)
11:23.0,D. Mitchell makes 2-pt shot from 21 ft,2,2-2,,
11:02.0,Jump ball: A. Drummond vs. J. Ingles (A. Bradley gains possession),,,,Jump ball: A. Drummond vs. J. Ingles (A. Bradley gains possession)
11:00.0,,,2-2,,T. Harris misses 3-pt shot from 26 ft
10:56.0,Defensive rebound by R. Rubio,,2-2,,
10:38.0,J. Ingles misses 3-pt shot from 27 ft,,2-2,,
10:34.0,,,2-2,,Defensive rebound by A. Drummond
10:30.0,,,2-4,2,T. Harris makes 2-pt shot from 1 ft (assist by L. Galloway)
10:16.0,Turnover by D. Mitchell (bad pass),,2-4,,
10:00.0,,,2-4,,A. Drummond misses 2-pt shot at rim
9:57.0,,,2-4,,Offensive rebound by S. Johnson
9:56.0,,,2-4,,S. Johnson misses 2-pt shot at rim (block by R. Gobert)
9:56.0,,,2-4,,Offensive rebound by Team
9:47.0,,,2-4,,Turnover by A. Drummond (bad pass)
9:36.0,R. Rubio misses 2-pt shot from 1 ft,,2-4,,
9:34.0,,,2-4,,Defensive rebound by A. Drummond
9:31.0,,,2-4,,A. Bradley misses 2-pt shot from 15 ft
9:27.0,Defensive rebound by D. Favors,,2-4,,
9:22.0,R. Rubio makes 3-pt shot from 22 ft (assist by J. Ingles),3,5-4,,
9:00.0,,,5-7,3,L. Galloway makes 3-pt shot from 23 ft (assist by T. Harris)
8:47.0,R. Gobert makes 2-pt shot at rim (assist by J. Ingles),2,7-7,,
8:47.0,Shooting foul by S. Johnson (drawn by R. Gobert),,7-7,,
8:47.0,R. Gobert makes free throw 1 of 1,1,8-7,,
8:34.0,,,8-7,,Turnover by A. Drummond (lost ball; steal by D. Mitchell)
8:31.0,Turnover by D. Favors (bad pass),,8-7,,
8:18.0,,,8-7,,A. Bradley misses 3-pt shot from 24 ft
8:15.0,Defensive rebound by D. Favors,,8-7,,
8:01.0,D. Mitchell misses 2-pt shot from 17 ft,,8-7,,
7:58.0,,,8-7,,Defensive rebound by L. Galloway
7:51.0,,,8-9,2,A. Drummond makes 2-pt shot from 1 ft (assist by S. Johnson)
7:51.0,,,8-9,,Shooting foul by D. Favors (drawn by A. Drummond)
7:51.0,,,8-10,1,A. Drummond makes free throw 1 of 1
7:41.0,R. Rubio makes 2-pt shot at rim,2,10-10,,
7:19.0,,,10-10,,A. Bradley misses 2-pt shot from 2 ft (block by D. Mitchell)
