time,LA Clippers,pts.away,score,pts.home,Milwaukee
8:49.0,S. Dekker makes free throw 2 of 2,1,48-36,,
8:26.0,,,48-36,,G. Antetokounmpo misses 2-pt shot from 17 ft
8:24.0,,,48-36,,Offensive rebound by S. Muhammad
8:21.0,,,48-38,2,S. Muhammad makes 2-pt shot from 6 ft
8:09.0,M. Harrell misses 2-pt shot from 3 ft (block by G. Antetokounmpo),,48-38,,
8:09.0,Offensive rebound by Team,,48-38,,
8:04.0,M. Harrell makes 2-pt shot at rim (assist by M. Teodosic),2,50-38,,
7:58.0,Personal foul by M. Harrell (drawn by T. Maker),,50-38,,
7:51.0,,,50-40,2,S. Muhammad makes 2-pt shot from 7 ft
7:37.0,,,50-40,,Personal foul by S. Brown (drawn by M. Teodosic)
7:37.0,,,50-40,,J. Henson enters the game for T. Maker
7:37.0,T. Harris enters the game for S. Thornwell,,50-40,,
7:37.0,D. Jordan enters the game for M. Harrell,,50-40,,
7:37.0,A. Rivers enters the game for S. Dekker,,50-40,,
7:32.0,Turnover by D. Jordan (bad pass; steal by G. Antetokounmpo),,50-40,,
7:18.0,,,50-40,,Turnover by G. Antetokounmpo (lost ball; steal by L. Williams)
7:03.0,A. Rivers misses 3-pt shot from 22 ft,,50-40,,
7:00.0,,,50-40,,Defensive rebound by G. Antetokounmpo
6:58.0,,,50-40,,Turnover by G. Antetokounmpo (bad pass; steal by A. Rivers)
6:57.0,,,50-40,,Personal foul by G. Antetokounmpo (drawn by M. Teodosic)
6:57.0,,,50-40,,E. Bledsoe enters the game for J. Terry
6:49.0,Turnover by D. Jordan (bad pass),,50-40,,
6:37.0,,,50-40,,J. Henson misses 2-pt shot from 17 ft
6:32.0,Defensive rebound by D. Jordan,,50-40,,
6:25.0,M. Teodosic makes 3-pt shot from 26 ft (assist by L. Williams),3,53-40,,
6:04.0,,,53-40,,E. Bledsoe misses 2-pt shot from 1 ft
6:02.0,Defensive rebound by T. Harris,,53-40,,
5:57.0,T. Harris misses 2-pt shot from 12 ft (block by G. Antetokounmpo),,53-40,,
5:53.0,,,53-40,,Defensive rebound by G. Antetokounmpo
5:51.0,,,53-42,2,S. Brown makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
5:39.0,L. Williams makes 2-pt shot from 1 ft (assist by D. Jordan),2,55-42,,
5:39.0,L. Williams makes free throw 1 of 1,1,56-42,,
5:39.0,Shooting foul by S. Brown (drawn by L. Williams),,56-42,,
5:39.0,,,56-42,,K. Middleton enters the game for S. Brown
5:24.0,,,56-44,2,G. Antetokounmpo makes 2-pt shot at rim (assist by S. Muhammad)
5:16.0,Turnover by M. Teodosic (bad pass; steal by S. Muhammad),,56-44,,
5:10.0,,,56-46,2,E. Bledsoe makes 2-pt shot from 1 ft (assist by S. Muhammad)
4:48.0,M. Teodosic makes 2-pt shot from 1 ft,2,58-46,,
4:27.0,,,58-48,2,S. Muhammad makes 2-pt shot from 19 ft
4:06.0,T. Harris misses 3-pt shot from 23 ft,,58-48,,
4:03.0,,,58-48,,Defensive rebound by J. Henson
4:00.0,Personal foul by A. Rivers (drawn by K. Middleton),,58-48,,
4:00.0,LA Clippers full timeout,,58-48,,
4:00.0,,,58-48,,J. Parker enters the game for S. Muhammad
4:00.0,,,58-48,,T. Snell enters the game for G. Antetokounmpo
4:00.0,W. Johnson enters the game for L. Williams,,58-48,,
3:47.0,,,58-50,2,T. Snell makes 2-pt shot from 11 ft
3:23.0,M. Teodosic misses 3-pt shot from 27 ft,,58-50,,
3:22.0,Offensive rebound by D. Jordan,,58-50,,
3:22.0,Shooting foul by T. Snell (drawn by D. Jordan),,58-50,,
3:22.0,D. Jordan makes free throw 1 of 2,1,59-50,,
3:22.0,D. Jordan misses free throw 2 of 2,,59-50,,
3:19.0,,,59-50,,Defensive rebound by J. Parker
3:13.0,,,59-52,2,K. Middleton makes 2-pt shot from 4 ft (assist by E. Bledsoe)
2:48.0,W. Johnson misses 2-pt shot from 3 ft (block by J. Henson),,59-52,,
2:44.0,Offensive rebound by D. Jordan,,59-52,,
2:38.0,D. Jordan makes 2-pt shot from 3 ft,2,61-52,,
2:28.0,,,61-52,,K. Middleton misses 2-pt shot from 6 ft
2:25.0,Defensive rebound by D. Jordan,,61-52,,
2:13.0,Turnover by T. Harris (bad pass; steal by J. Parker),,61-52,,
2:13.0,,,61-52,,Shooting foul by W. Johnson (drawn by J. Henson)
2:13.0,,,61-53,1,J. Henson makes free throw 1 of 2
2:13.0,,,61-54,1,J. Henson makes free throw 2 of 2
1:55.0,T. Harris misses 2-pt shot from 8 ft,,61-54,,
1:53.0,Offensive rebound by D. Jordan,,61-54,,
1:52.0,D. Jordan misses 2-pt shot from 1 ft,,61-54,,
1:52.0,,,61-54,,Defensive rebound by J. Henson
1:43.0,,,61-54,,J. Parker misses 3-pt shot from 27 ft
1:40.0,Defensive rebound by W. Johnson,,61-54,,
1:20.0,A. Rivers misses 2-pt shot from 3 ft,,61-54,,
1:18.0,,,61-54,,Defensive rebound by K. Middleton
1:10.0,,,61-57,3,K. Middleton makes 3-pt shot from 27 ft (assist by J. Henson)
0:46.0,Turnover by T. Harris (bad pass),,61-57,,
0:32.0,,,61-57,,K. Middleton misses 2-pt shot from 14 ft (block by W. Johnson)
0:28.0,Defensive rebound by M. Teodosic,,61-57,,
0:20.0,M. Teodosic makes 3-pt shot from 23 ft (assist by D. Jordan),3,64-57,,
0:01.0,,,64-57,,Shooting foul by A. Rivers (drawn by E. Bledsoe)
0:01.0,,,64-57,,E. Bledsoe misses free throw 1 of 2
0:01.0,,,64-57,,Offensive rebound by Team
