time,LA Clippers,pts.away,score,pts.home,Milwaukee
3:20.0,,,112-102,,E. Bledsoe misses free throw 1 of 2
3:20.0,,,112-102,,Offensive rebound by Team
3:20.0,,,112-103,1,E. Bledsoe makes free throw 2 of 2
3:06.0,LA Clippers full timeout,,112-103,,
3:02.0,S. Thornwell misses 3-pt shot from 21 ft (block by J. Parker),,112-103,,
3:02.0,Offensive rebound by T. Harris,,112-103,,
2:58.0,T. Harris misses 2-pt shot from 13 ft,,112-103,,
2:57.0,,,112-103,,Defensive rebound by E. Bledsoe
2:38.0,,,112-103,,Shooting foul by S. Thornwell (drawn by E. Bledsoe)
2:38.0,,,112-103,,E. Bledsoe misses free throw 1 of 2
2:38.0,,,112-103,,Offensive rebound by Team
2:38.0,W. Johnson enters the game for S. Thornwell,,112-103,,
2:38.0,,,112-104,1,E. Bledsoe makes free throw 2 of 2
2:25.0,L. Williams makes 2-pt shot from 1 ft,2,114-104,,
2:17.0,Personal foul by L. Williams (drawn by K. Middleton),,114-104,,
2:17.0,,,114-105,1,K. Middleton makes free throw 1 of 2
2:17.0,,,114-106,1,K. Middleton makes free throw 2 of 2
1:59.0,Turnover by L. Williams (bad pass),,114-106,,
1:46.0,,,114-109,3,E. Bledsoe makes 3-pt shot from 26 ft (assist by K. Middleton)
1:39.0,,,114-109,,Personal take foul by K. Middleton (drawn by D. Jordan)
1:38.0,,,114-109,,Personal take foul by T. Maker (drawn by D. Jordan)
1:38.0,D. Jordan misses free throw 1 of 2,,114-109,,
1:38.0,Offensive rebound by Team,,114-109,,
1:38.0,D. Jordan makes free throw 2 of 2,1,115-109,,
1:31.0,,,115-109,,T. Maker misses 3-pt shot from 23 ft
1:31.0,Defensive rebound by D. Jordan,,115-109,,
1:31.0,,,115-109,,Personal take foul by J. Parker (drawn by D. Jordan)
1:31.0,D. Jordan makes free throw 1 of 2,1,116-109,,
1:31.0,D. Jordan makes free throw 2 of 2,1,117-109,,
1:31.0,,,117-109,,Milwaukee full timeout
1:27.0,,,117-111,2,K. Middleton makes 2-pt shot at rim
1:25.0,Turnover by D. Jordan (bad pass; steal by K. Middleton),,117-111,,
1:21.0,,,117-113,2,T. Maker makes 2-pt shot at rim (assist by E. Bledsoe)
1:14.0,LA Clippers full timeout,,117-113,,
1:14.0,M. Teodosic enters the game for W. Johnson,,117-113,,
1:00.0,A. Rivers makes 3-pt shot from 22 ft,3,120-113,,
0:53.0,,,120-113,,Turnover by K. Middleton (bad pass; steal by A. Rivers)
0:53.0,,,120-113,,Personal take foul by J. Parker (drawn by D. Jordan)
0:53.0,D. Jordan makes free throw 1 of 2,1,121-113,,
0:53.0,D. Jordan makes free throw 2 of 2,1,122-113,,
0:53.0,,,122-113,,Milwaukee full timeout
0:46.0,,,122-116,3,K. Middleton makes 3-pt shot from 25 ft (assist by E. Bledsoe)
0:41.0,,,122-116,,Personal foul by T. Maker (drawn by T. Harris)
0:41.0,T. Harris makes free throw 1 of 2,1,123-116,,
0:41.0,T. Harris makes free throw 2 of 2,1,124-116,,
0:35.0,,,124-118,2,J. Parker makes 2-pt shot from 1 ft (assist by E. Bledsoe)
0:33.0,,,124-118,,Personal foul by T. Maker (drawn by M. Teodosic)
0:33.0,M. Teodosic misses free throw 1 of 2,,124-118,,
0:33.0,Offensive rebound by Team,,124-118,,
0:33.0,M. Teodosic makes free throw 2 of 2,1,125-118,,
0:29.0,,,125-120,2,E. Bledsoe makes 2-pt shot at rim
0:23.0,T. Harris makes 2-pt shot from 1 ft (assist by D. Jordan),2,127-120,,
0:15.0,,,127-120,,J. Terry misses 3-pt shot from 23 ft
0:12.0,Defensive rebound by T. Harris,,127-120,,
