time,Denver,pts.away,score,pts.home,LA Lakers
2:49.0,W. Barton misses 2-pt shot from 7 ft,,22-28,,
2:49.0,,,22-28,,Defensive rebound by B. Lopez
2:37.0,,,22-28,,B. Lopez misses 3-pt shot from 26 ft
2:34.0,Defensive rebound by W. Barton,,22-28,,
2:15.0,E. Mudiay misses 3-pt shot from 24 ft,,22-28,,
2:13.0,,,22-28,,Defensive rebound by K. Caldwell-Pope
2:01.0,,,22-30,2,J. Randle makes 2-pt shot from 2 ft (assist by B. Lopez)
2:01.0,,,22-30,,Shooting foul by W. Chandler (drawn by J. Randle)
2:01.0,,,22-30,,J. Randle misses free throw 1 of 1
1:58.0,Defensive rebound by W. Barton,,22-30,,
1:36.0,E. Mudiay misses 3-pt shot from 25 ft,,22-30,,
1:31.0,,,22-30,,Defensive rebound by L. Ball
1:26.0,,,22-32,2,J. Clarkson makes 2-pt shot from 5 ft
1:26.0,,,22-32,,Shooting foul by E. Mudiay (drawn by J. Clarkson)
1:26.0,,,22-32,,C. Brewer enters the game for B. Lopez
1:26.0,,,22-32,,J. Clarkson misses free throw 1 of 1
1:23.0,Defensive rebound by W. Chandler,,22-32,,
1:17.0,W. Barton makes 2-pt shot from 4 ft,2,24-32,,
0:47.0,,,24-32,,J. Randle misses 2-pt shot from 15 ft
0:47.0,,,24-32,,Offensive rebound by C. Brewer
0:46.0,,,24-32,,C. Brewer misses 2-pt shot from 1 ft
0:46.0,Defensive rebound by W. Barton,,24-32,,
0:42.0,W. Barton misses 2-pt shot from 2 ft,,24-32,,
0:42.0,Offensive rebound by M. Plumlee,,24-32,,
0:42.0,,,24-32,,Loose ball foul by K. Caldwell-Pope (drawn by M. Plumlee)
0:42.0,M. Plumlee misses free throw 1 of 2,,24-32,,
0:42.0,Offensive rebound by Team,,24-32,,
0:42.0,M. Plumlee misses free throw 2 of 2,,24-32,,
0:40.0,,,24-32,,Defensive rebound by J. Randle
0:33.0,,,24-32,,J. Clarkson misses 3-pt shot from 25 ft
0:29.0,Defensive rebound by W. Barton,,24-32,,
0:13.0,W. Barton makes 2-pt shot from 1 ft,2,26-32,,
0:01.0,,,26-32,,C. Brewer misses 3-pt shot from 22 ft
0:01.0,,,26-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,K. Faried makes 2-pt shot from 12 ft,2,28-32,,
11:22.0,,,28-34,2,J. Clarkson makes 2-pt shot from 1 ft (assist by L. Ball)
11:11.0,,,28-34,,Personal foul by J. Clarkson (drawn by W. Barton)
11:02.0,Turnover by E. Mudiay (bad pass),,28-34,,
10:48.0,,,28-36,2,J. Randle makes 2-pt shot from 1 ft (assist by K. Kuzma)
10:31.0,Turnover by E. Mudiay (bad pass),,28-36,,
10:20.0,,,28-38,2,K. Kuzma makes 2-pt shot from 2 ft (assist by J. Randle)
10:20.0,,,28-38,,Shooting foul by J. Hernangomez (drawn by K. Kuzma)
10:20.0,Denver full timeout,,28-38,,
10:20.0,,,28-38,,K. Kuzma misses free throw 1 of 1
10:17.0,Defensive rebound by K. Faried,,28-38,,
10:03.0,Turnover by W. Barton (bad pass; steal by C. Brewer),,28-38,,
9:58.0,,,28-38,,J. Randle misses 2-pt shot from 2 ft
9:58.0,,,28-38,,Offensive rebound by Team
9:46.0,,,28-40,2,J. Randle makes 2-pt shot from 2 ft (assist by J. Clarkson)
9:39.0,Turnover by N. Jokic (lost ball; steal by J. Clarkson),,28-40,,
9:35.0,,,28-40,,Turnover by C. Brewer (bad pass; steal by E. Mudiay)
9:30.0,W. Barton makes 2-pt shot from 2 ft (assist by E. Mudiay),2,30-40,,
9:09.0,,,30-40,,J. Clarkson misses 2-pt shot from 2 ft
9:05.0,Defensive rebound by N. Jokic,,30-40,,
9:02.0,K. Faried misses 2-pt shot from 2 ft,,30-40,,
8:59.0,,,30-40,,Defensive rebound by J. Clarkson
8:58.0,,,30-42,2,J. Randle makes 2-pt shot from 1 ft (assist by C. Brewer)
8:40.0,Turnover by W. Barton (bad pass; steal by C. Brewer),,30-42,,
8:37.0,,,30-44,2,J. Randle makes 2-pt shot from 1 ft (assist by C. Brewer)
8:37.0,Denver full timeout,,30-44,,
8:37.0,W. Chandler enters the game for E. Mudiay,,30-44,,
8:37.0,P. Millsap enters the game for W. Barton,,30-44,,
8:37.0,J. Murray enters the game for J. Hernangomez,,30-44,,
8:37.0,G. Harris enters the game for K. Faried,,30-44,,
8:21.0,Turnover by N. Jokic (lost ball; steal by C. Brewer),,30-44,,
8:17.0,,,30-46,2,L. Ball makes 2-pt shot from 2 ft
8:02.0,Turnover by W. Chandler (bad pass; steal by C. Brewer),,30-46,,
8:02.0,Personal foul by P. Millsap (drawn by C. Brewer),,30-46,,
7:54.0,,,30-46,,Turnover by L. Ball (bad pass; steal by N. Jokic)
7:49.0,P. Millsap misses 3-pt shot from 26 ft,,30-46,,
7:43.0,,,30-46,,Defensive rebound by L. Ball
7:31.0,,,30-46,,Shooting foul by P. Millsap (drawn by J. Clarkson)
7:31.0,,,30-47,1,J. Clarkson makes free throw 1 of 2
7:31.0,,,30-48,1,J. Clarkson makes free throw 2 of 2
7:17.0,J. Murray misses 3-pt shot from 25 ft,,30-48,,
7:14.0,,,30-48,,Defensive rebound by L. Ball
7:08.0,,,30-50,2,J. Randle makes 2-pt shot from 2 ft (assist by L. Ball)
6:56.0,Shooting foul by L. Ball (drawn by N. Jokic),,30-50,,
6:56.0,N. Jokic makes free throw 1 of 2,1,31-50,,
6:56.0,N. Jokic makes free throw 2 of 2,1,32-50,,
6:49.0,,,32-50,,Turnover by J. Randle (bad pass)
6:25.0,J. Murray misses 2-pt shot from 1 ft,,32-50,,
6:21.0,Offensive rebound by N. Jokic,,32-50,,
6:20.0,N. Jokic misses 2-pt shot from 1 ft,,32-50,,
6:20.0,Offensive rebound by N. Jokic,,32-50,,
6:20.0,N. Jokic misses 2-pt shot from 1 ft,,32-50,,
6:20.0,,,32-50,,Defensive rebound by J. Randle
6:20.0,,,32-50,,Technical foul by Team
6:20.0,Technical foul by N. Jokic,,32-50,,
6:20.0,,,32-51,1,J. Clarkson makes technical free throw
6:20.0,,,32-52,1,J. Clarkson makes technical free throw
6:20.0,,,32-52,,LA Lakers full timeout
6:20.0,,,32-52,,K. Caldwell-Pope enters the game for C. Brewer
6:20.0,,,32-52,,B. Lopez enters the game for J. Clarkson
6:20.0,,,32-52,,B. Ingram enters the game for J. Randle
6:20.0,M. Plumlee enters the game for N. Jokic,,32-52,,
6:15.0,Personal foul by J. Murray,,32-52,,
6:15.0,Technical foul by J. Murray,,32-52,,
6:15.0,,,32-52,,K. Kuzma misses technical free throw
6:15.0,,,32-52,,Offensive rebound by Team
6:02.0,,,32-52,,L. Ball misses 2-pt shot from 8 ft
6:02.0,,,32-52,,Offensive rebound by L. Ball
5:57.0,,,32-52,,K. Caldwell-Pope misses 3-pt shot from 23 ft
5:45.0,,,32-52,,Offensive rebound by L. Ball
5:45.0,,,32-54,2,L. Ball makes 2-pt shot at rim
5:34.0,W. Chandler misses 3-pt shot from 26 ft,,32-54,,
5:30.0,,,32-54,,Defensive rebound by K. Caldwell-Pope
5:28.0,,,32-54,,Turnover by L. Ball (discontinued dribble)
5:15.0,Shooting foul by B. Ingram (drawn by W. Chandler),,32-54,,
5:15.0,W. Chandler makes free throw 1 of 2,1,33-54,,
5:15.0,,,33-54,,C. Brewer enters the game for B. Ingram
5:15.0,W. Chandler makes free throw 2 of 2,1,34-54,,
5:03.0,,,34-54,,B. Lopez misses 2-pt shot from 3 ft
4:56.0,,,34-54,,Offensive rebound by B. Lopez
4:56.0,,,34-56,2,B. Lopez makes 2-pt shot at rim
4:41.0,M. Plumlee makes 2-pt shot from 2 ft (assist by W. Chandler),2,36-56,,
4:32.0,,,36-59,3,K. Kuzma makes 3-pt shot from 25 ft (assist by L. Ball)
4:23.0,,,36-59,,Personal foul by K. Kuzma (drawn by P. Millsap)
4:23.0,,,36-59,,J. Clarkson enters the game for L. Ball
4:23.0,W. Barton enters the game for J. Murray,,36-59,,
4:06.0,G. Harris makes 3-pt shot from 29 ft (assist by P. Millsap),3,39-59,,
3:40.0,,,39-61,2,B. Lopez makes 2-pt shot from 2 ft (assist by K. Kuzma)
3:33.0,Turnover by G. Harris (bad pass),,39-61,,
3:21.0,,,39-61,,Turnover by J. Clarkson (bad pass; steal by M. Plumlee)
3:21.0,,,39-61,,Personal take foul by B. Lopez (drawn by M. Plumlee)
3:21.0,M. Plumlee misses free throw 1 of 2,,39-61,,
3:21.0,Offensive rebound by Team,,39-61,,
3:21.0,E. Mudiay enters the game for P. Millsap,,39-61,,
3:21.0,M. Plumlee misses free throw 2 of 2,,39-61,,
3:17.0,Offensive rebound by M. Plumlee,,39-61,,
3:13.0,G. Harris makes 3-pt shot from 24 ft (assist by M. Plumlee),3,42-61,,
3:13.0,,,42-61,,LA Lakers full timeout
3:13.0,,,42-61,,J. Hart enters the game for K. Kuzma
3:13.0,,,42-61,,J. Randle enters the game for K. Caldwell-Pope
3:13.0,,,42-61,,A. Bogut enters the game for C. Brewer
3:13.0,,,42-61,,B. Ingram enters the game for J. Clarkson
3:13.0,,,42-61,,L. Ball enters the game for B. Lopez
2:52.0,,,42-61,,L. Ball misses 2-pt shot from 2 ft (block by M. Plumlee)
2:46.0,,,42-61,,Offensive rebound by L. Ball
2:44.0,,,42-61,,L. Ball misses 2-pt shot from 16 ft
2:36.0,,,42-61,,Offensive rebound by A. Bogut
2:36.0,,,42-63,2,A. Bogut makes 2-pt shot at rim
2:27.0,W. Chandler misses 2-pt shot from 21 ft,,42-63,,
2:24.0,,,42-63,,Defensive rebound by J. Randle
2:24.0,,,42-63,,J. Randle misses 2-pt shot from 2 ft (block by W. Chandler)
2:24.0,,,42-63,,Offensive rebound by Team
2:13.0,,,42-66,3,L. Ball makes 3-pt shot from 25 ft (assist by J. Randle)
2:00.0,G. Harris misses 2-pt shot from 15 ft,,42-66,,
1:56.0,,,42-66,,Defensive rebound by J. Randle
1:37.0,,,42-66,,L. Ball misses 3-pt shot from 25 ft
1:35.0,Defensive rebound by W. Chandler,,42-66,,
1:31.0,W. Chandler makes 2-pt shot from 2 ft,2,44-66,,
1:10.0,,,44-66,,B. Ingram misses 2-pt shot from 18 ft
1:06.0,,,44-66,,Offensive rebound by J. Hart
1:06.0,,,44-66,,B. Ingram misses 2-pt shot from 2 ft (block by M. Plumlee)
1:06.0,,,44-66,,Offensive rebound by Team
1:06.0,,,44-66,,K. Caldwell-Pope enters the game for B. Ingram
1:01.0,,,44-66,,K. Caldwell-Pope misses 3-pt shot from 23 ft
0:57.0,Defensive rebound by M. Plumlee,,44-66,,
