time,San Antonio,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. P. Gasol (I. Rabb gains possession),,,,Jump ball: M. Gasol vs. P. Gasol (I. Rabb gains possession)
11:51.0,,,0-0,,Turnover by A. Harrison (palming)
11:31.0,K. Anderson misses 3-pt shot from 25 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by Team
11:19.0,,,0-2,2,D. Brooks makes 2-pt shot from 20 ft (assist by M. Gasol)
11:07.0,K. Anderson misses 2-pt shot at rim,,0-2,,
11:04.0,,,0-2,,Defensive rebound by M. Gasol
10:56.0,,,0-2,,A. Harrison misses 2-pt shot from 1 ft
10:52.0,,,0-2,,Offensive rebound by I. Rabb
10:52.0,,,0-2,,I. Rabb misses 2-pt shot at rim
10:52.0,Defensive rebound by P. Gasol,,0-2,,
10:31.0,D. Bertans misses 3-pt shot from 26 ft,,0-2,,
10:29.0,Offensive rebound by P. Gasol,,0-2,,
10:28.0,P. Gasol misses 2-pt shot from 2 ft,,0-2,,
10:26.0,Offensive rebound by P. Gasol,,0-2,,
10:13.0,D. Bertans makes 2-pt shot at rim (assist by D. Green),2,2-2,,
9:50.0,,,2-2,,D. Brooks misses 2-pt shot from 16 ft
9:46.0,Defensive rebound by D. Green,,2-2,,
9:40.0,Shooting foul by I. Rabb (drawn by D. Green),,2-2,,
9:40.0,D. Green makes free throw 1 of 2,1,3-2,,
9:40.0,D. Green makes free throw 2 of 2,1,4-2,,
9:19.0,,,4-2,,D. Brooks misses 2-pt shot from 5 ft (block by D. Green)
9:15.0,Defensive rebound by D. Bertans,,4-2,,
9:11.0,Shooting foul by M. Gasol (drawn by D. Murray),,4-2,,
9:11.0,D. Murray makes free throw 1 of 2,1,5-2,,
9:11.0,D. Murray makes free throw 2 of 2,1,6-2,,
8:57.0,,,6-4,2,I. Rabb makes 2-pt shot from 12 ft (assist by W. Selden)
8:41.0,D. Murray misses 2-pt shot at rim,,6-4,,
8:39.0,,,6-4,,Defensive rebound by I. Rabb
8:22.0,,,6-4,,Turnover by I. Rabb (lost ball; steal by K. Anderson)
8:12.0,D. Bertans misses 3-pt shot from 24 ft,,6-4,,
8:09.0,,,6-4,,Defensive rebound by D. Brooks
8:00.0,,,6-4,,A. Harrison misses 2-pt shot from 1 ft
7:58.0,Defensive rebound by P. Gasol,,6-4,,
7:45.0,D. Green makes 2-pt shot at rim (assist by P. Gasol),2,8-4,,
7:36.0,,,8-4,,Memphis full timeout
7:18.0,,,8-4,,D. Brooks misses 2-pt shot from 21 ft
7:15.0,Defensive rebound by K. Anderson,,8-4,,
7:00.0,Shooting foul by I. Rabb (drawn by P. Gasol),,8-4,,
7:00.0,P. Gasol makes free throw 1 of 2,1,9-4,,
7:00.0,,,9-4,,D. Davis enters the game for I. Rabb
7:00.0,,,9-4,,M. Chalmers enters the game for A. Harrison
7:00.0,P. Gasol misses free throw 2 of 2,,9-4,,
6:57.0,,,9-4,,Defensive rebound by D. Davis
6:46.0,,,9-4,,M. Gasol misses 2-pt shot at rim
6:44.0,Defensive rebound by D. Green,,9-4,,
6:40.0,D. Green misses 3-pt shot from 26 ft,,9-4,,
6:39.0,,,9-4,,Defensive rebound by Team
6:39.0,J. Lauvergne enters the game for D. Bertans,,9-4,,
6:21.0,,,9-4,,W. Selden misses 2-pt shot from 16 ft
6:18.0,Defensive rebound by D. Murray,,9-4,,
6:09.0,P. Gasol misses 2-pt shot from 1 ft,,9-4,,
6:06.0,Offensive rebound by K. Anderson,,9-4,,
6:04.0,D. Green misses 3-pt shot from 25 ft,,9-4,,
6:01.0,,,9-4,,Defensive rebound by D. Brooks
5:57.0,,,9-4,,W. Selden misses 2-pt shot from 1 ft
5:53.0,,,9-4,,Offensive rebound by D. Davis
5:53.0,,,9-6,2,D. Davis makes 2-pt shot at rim
5:32.0,D. Murray makes 3-pt shot from 23 ft (assist by K. Anderson),3,12-6,,
5:21.0,Personal foul by K. Anderson (drawn by D. Brooks),,12-6,,
5:21.0,,,12-6,,M. Henry enters the game for W. Selden
5:21.0,T. Parker enters the game for D. Murray,,12-6,,
5:21.0,P. Mills enters the game for D. Green,,12-6,,
5:07.0,,,12-8,2,M. Gasol makes 2-pt shot from 6 ft
4:51.0,P. Mills makes 2-pt shot from 15 ft (assist by P. Gasol),2,14-8,,
4:36.0,,,14-8,,D. Davis misses 2-pt shot from 8 ft
4:34.0,Defensive rebound by J. Lauvergne,,14-8,,
4:25.0,J. Lauvergne makes 2-pt shot at rim (assist by T. Parker),2,16-8,,
4:03.0,,,16-11,3,M. Gasol makes 3-pt shot from 25 ft (assist by M. Chalmers)
4:02.0,San Antonio full timeout,,16-11,,
4:02.0,,,16-11,,B. McLemore enters the game for D. Brooks
4:02.0,B. Forbes enters the game for K. Anderson,,16-11,,
