time,Brooklyn,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. T. Zeller (R. Anderson gains possession),,,,Jump ball: C. Capela vs. T. Zeller (R. Anderson gains possession)
11:40.0,,,0-2,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
11:19.0,C. LeVert misses 2-pt shot from 12 ft,,0-2,,
11:16.0,,,0-2,,Defensive rebound by T. Ariza
11:05.0,,,0-2,,T. Ariza misses 2-pt shot at rim (block by T. Booker)
11:02.0,Defensive rebound by J. Harris,,0-2,,
10:58.0,S. Dinwiddie misses 3-pt shot from 25 ft,,0-2,,
10:54.0,,,0-2,,Defensive rebound by C. Capela
10:50.0,,,0-2,,C. Paul misses 3-pt shot from 25 ft
10:50.0,Defensive rebound by S. Dinwiddie,,0-2,,
10:40.0,T. Booker misses 2-pt shot from 3 ft,,0-2,,
10:40.0,,,0-2,,Defensive rebound by J. Harden
10:33.0,,,0-2,,R. Anderson misses 3-pt shot from 24 ft
10:33.0,Defensive rebound by J. Harris,,0-2,,
10:24.0,J. Harris makes 2-pt shot at rim (assist by T. Zeller),2,2-2,,
10:14.0,Personal foul by S. Dinwiddie (drawn by C. Capela),,2-2,,
10:09.0,,,2-5,3,J. Harden makes 3-pt shot from 24 ft (assist by C. Capela)
9:49.0,J. Harris makes 3-pt shot from 25 ft (assist by C. LeVert),3,5-5,,
9:27.0,,,5-7,2,J. Harden makes 2-pt shot from 16 ft
9:06.0,S. Dinwiddie makes 3-pt shot from 25 ft (assist by C. LeVert),3,8-7,,
8:47.0,,,8-9,2,R. Anderson makes 2-pt shot from 3 ft (assist by C. Paul)
8:27.0,S. Dinwiddie misses 3-pt shot from 25 ft,,8-9,,
8:23.0,,,8-9,,Defensive rebound by J. Harden
8:17.0,,,8-9,,R. Anderson misses 3-pt shot from 22 ft
8:15.0,Defensive rebound by S. Dinwiddie,,8-9,,
8:09.0,J. Harris misses 3-pt shot from 26 ft,,8-9,,
8:07.0,,,8-9,,Defensive rebound by R. Anderson
7:59.0,,,8-11,2,C. Capela makes 2-pt shot from 1 ft (assist by C. Paul)
7:46.0,Shooting foul by J. Harden (drawn by C. LeVert),,8-11,,
7:46.0,C. LeVert makes free throw 1 of 2,1,9-11,,
7:46.0,C. LeVert misses free throw 2 of 2,,9-11,,
7:44.0,,,9-11,,Defensive rebound by J. Harden
7:29.0,,,9-14,3,J. Harden makes 3-pt shot from 25 ft
7:08.0,T. Booker makes 3-pt shot from 23 ft (assist by C. LeVert),3,12-14,,
6:53.0,,,12-17,3,J. Harden makes 3-pt shot from 25 ft
6:37.0,Turnover by T. Booker (lost ball; steal by J. Harden),,12-17,,
6:31.0,,,12-17,,R. Anderson misses 3-pt shot from 24 ft
6:28.0,,,12-17,,Offensive rebound by C. Capela
6:27.0,,,12-20,3,C. Paul makes 3-pt shot from 23 ft (assist by C. Capela)
6:26.0,Brooklyn full timeout,,12-20,,
6:26.0,,,12-20,,E. Gordon enters the game for C. Paul
6:03.0,T. Zeller misses 3-pt shot from 23 ft,,12-20,,
6:01.0,,,12-20,,Defensive rebound by J. Harden
5:57.0,,,12-20,,Offensive foul by C. Capela (drawn by S. Dinwiddie)
5:57.0,,,12-20,,Turnover by C. Capela (offensive foul)
5:57.0,S. Kilpatrick enters the game for C. LeVert,,12-20,,
5:37.0,S. Kilpatrick misses 3-pt shot from 25 ft,,12-20,,
5:35.0,,,12-20,,Defensive rebound by Team
5:35.0,,,12-20,,P. Tucker enters the game for T. Ariza
5:35.0,,,12-20,,L. Mbah a Moute enters the game for R. Anderson
5:23.0,,,12-22,2,E. Gordon makes 2-pt shot at rim (assist by J. Harden)
5:23.0,,,12-22,,Shooting foul by S. Kilpatrick (drawn by E. Gordon)
5:23.0,,,12-23,1,E. Gordon makes free throw 1 of 1
5:11.0,Turnover by J. Harris (step out of bounds),,12-23,,
5:01.0,,,12-26,3,P. Tucker makes 3-pt shot from 23 ft (assist by C. Capela)
4:51.0,T. Zeller makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,14-26,,
4:51.0,Shooting foul by C. Capela (drawn by T. Zeller),,14-26,,
4:51.0,,,14-26,,T. Black enters the game for C. Capela
4:51.0,Q. Acy enters the game for T. Booker,,14-26,,
4:51.0,T. Zeller makes free throw 1 of 1,1,15-26,,
4:43.0,Personal foul by S. Dinwiddie (drawn by E. Gordon),,15-26,,
4:43.0,J. Allen enters the game for S. Dinwiddie,,15-26,,
4:43.0,I. Whitehead enters the game for T. Zeller,,15-26,,
4:42.0,,,15-26,,Offensive foul by J. Harden (drawn by J. Harris)
4:42.0,,,15-26,,Turnover by J. Harden (offensive foul)
4:30.0,Q. Acy misses 3-pt shot from 23 ft,,15-26,,
4:25.0,,,15-26,,Defensive rebound by L. Mbah a Moute
4:19.0,,,15-29,3,J. Harden makes 3-pt shot from 24 ft (assist by L. Mbah a Moute)
3:58.0,I. Whitehead makes 2-pt shot from 1 ft,2,17-29,,
3:53.0,,,17-32,3,P. Tucker makes 3-pt shot from 24 ft (assist by J. Harden)
3:30.0,Turnover by J. Harris (bad pass; steal by L. Mbah a Moute),,17-32,,
3:23.0,,,17-35,3,J. Harden makes 3-pt shot from 24 ft
3:23.0,,,17-35,,Shooting foul by S. Kilpatrick (drawn by J. Harden)
3:23.0,,,17-36,1,J. Harden makes free throw 1 of 1
3:10.0,Q. Acy misses 3-pt shot from 25 ft,,17-36,,
3:06.0,,,17-36,,Defensive rebound by J. Harden
3:01.0,,,17-38,2,T. Black makes 2-pt shot at rim (assist by J. Harden)
3:01.0,,,17-38,,Shooting foul by I. Whitehead (drawn by T. Black)
3:01.0,C. LeVert enters the game for J. Harris,,17-38,,
3:01.0,,,17-38,,T. Black misses free throw 1 of 1
3:01.0,Defensive rebound by J. Allen,,17-38,,
2:52.0,I. Whitehead misses 3-pt shot from 24 ft,,17-38,,
2:49.0,,,17-38,,Defensive rebound by E. Gordon
2:44.0,,,17-38,,E. Gordon misses 3-pt shot from 28 ft
2:42.0,Defensive rebound by S. Kilpatrick,,17-38,,
2:35.0,S. Kilpatrick makes 2-pt shot from 1 ft,2,19-38,,
2:16.0,,,19-38,,P. Tucker misses 3-pt shot from 25 ft
2:13.0,Defensive rebound by S. Kilpatrick,,19-38,,
1:53.0,C. LeVert misses 3-pt shot from 24 ft,,19-38,,
1:49.0,,,19-38,,Defensive rebound by T. Black
1:41.0,,,19-40,2,J. Harden makes 2-pt shot at rim
1:28.0,I. Whitehead makes 2-pt shot at rim,2,21-40,,
1:28.0,Shooting foul by P. Tucker (drawn by I. Whitehead),,21-40,,
1:28.0,,,21-40,,Houston full timeout
1:28.0,,,21-40,,C. Paul enters the game for J. Harden
1:28.0,I. Whitehead makes free throw 1 of 1,1,22-40,,
