time,Golden State,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. Z. Pachulia (D. Green gains possession),,,,Jump ball: R. Gobert vs. Z. Pachulia (D. Green gains possession)
11:46.0,D. Green misses 2-pt shot from 13 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by D. Favors
11:23.0,,,0-2,2,D. Mitchell makes 2-pt shot from 15 ft
11:10.0,D. Green misses 2-pt shot from 2 ft (block by D. Favors),,0-2,,
11:06.0,Offensive rebound by S. Curry,,0-2,,
10:56.0,Turnover by Team (shot clock),,0-2,,
10:45.0,,,0-5,3,J. Ingles makes 3-pt shot from 25 ft (assist by R. Rubio)
10:33.0,Z. Pachulia misses 2-pt shot from 3 ft,,0-5,,
10:29.0,Offensive rebound by D. Green,,0-5,,
10:29.0,D. Green misses 2-pt shot at rim,,0-5,,
10:28.0,Offensive rebound by Z. Pachulia,,0-5,,
10:27.0,Z. Pachulia misses 2-pt shot from 1 ft,,0-5,,
10:27.0,,,0-5,,Defensive rebound by R. Rubio
10:20.0,,,0-5,,R. Gobert misses 2-pt shot from 4 ft (block by Z. Pachulia)
10:17.0,Defensive rebound by Z. Pachulia,,0-5,,
10:14.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by K. Durant),2,2-5,,
10:00.0,,,2-5,,D. Mitchell misses 3-pt shot from 24 ft
10:00.0,Defensive rebound by Z. Pachulia,,2-5,,
9:44.0,Z. Pachulia misses 2-pt shot from 12 ft,,2-5,,
9:40.0,,,2-5,,Defensive rebound by R. Rubio
9:30.0,,,2-5,,Turnover by R. Rubio (bad pass; steal by Z. Pachulia)
9:23.0,K. Durant makes 2-pt shot from 1 ft (assist by S. Curry),2,4-5,,
9:11.0,Personal foul by K. Thompson (drawn by D. Mitchell),,4-5,,
9:01.0,,,4-5,,D. Favors misses 2-pt shot from 5 ft (block by Z. Pachulia)
8:58.0,Defensive rebound by D. Green,,4-5,,
8:54.0,K. Durant makes 2-pt shot from 16 ft,2,6-5,,
8:37.0,,,6-8,3,J. Ingles makes 3-pt shot from 25 ft (assist by D. Favors)
8:27.0,,,6-8,,Personal foul by D. Mitchell (drawn by K. Thompson)
8:21.0,D. Green makes 2-pt shot from 1 ft (assist by S. Curry),2,8-8,,
7:54.0,,,8-10,2,D. Favors makes 2-pt shot from 22 ft (assist by J. Ingles)
7:41.0,,,8-10,,Personal foul by R. Rubio (drawn by S. Curry)
7:36.0,S. Curry misses 3-pt shot from 25 ft,,8-10,,
7:32.0,,,8-10,,Defensive rebound by Team
7:20.0,,,8-12,2,D. Mitchell makes 2-pt shot from 3 ft
7:14.0,K. Thompson misses 3-pt shot from 25 ft,,8-12,,
7:11.0,,,8-12,,Defensive rebound by D. Favors
7:02.0,,,8-12,,J. Ingles misses 2-pt shot from 21 ft
7:02.0,,,8-12,,Offensive rebound by R. Rubio
7:02.0,,,8-12,,Shooting foul by K. Thompson (drawn by R. Rubio)
7:02.0,,,8-12,,R. Rubio misses free throw 1 of 2
7:02.0,,,8-12,,Offensive rebound by Team
7:02.0,,,8-13,1,R. Rubio makes free throw 2 of 2
6:51.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by D. Green),2,10-13,,
6:42.0,,,10-13,,Utah full timeout
6:38.0,,,10-13,,D. Mitchell misses 3-pt shot from 26 ft
6:34.0,Defensive rebound by D. Green,,10-13,,
6:32.0,,,10-13,,Personal foul by D. Mitchell (drawn by K. Durant)
6:32.0,,,10-13,,J. Jerebko enters the game for D. Favors
6:27.0,K. Thompson makes 2-pt shot from 15 ft (assist by Z. Pachulia),2,12-13,,
6:11.0,,,12-16,3,J. Ingles makes 3-pt shot from 25 ft (assist by R. Rubio)
5:47.0,Turnover by D. Green (bad pass; steal by R. Gobert),,12-16,,
5:42.0,,,12-16,,Turnover by D. Mitchell (bad pass; steal by K. Thompson)
5:38.0,D. Green makes 2-pt shot from 2 ft (assist by K. Thompson),2,14-16,,
5:21.0,,,14-19,3,J. Jerebko makes 3-pt shot from 23 ft (assist by D. Mitchell)
5:04.0,Turnover by Z. Pachulia (bad pass; steal by D. Mitchell),,14-19,,
4:51.0,,,14-19,,D. Mitchell misses 2-pt shot from 2 ft (block by D. Green)
4:51.0,,,14-19,,Offensive rebound by Team
4:51.0,P. McCaw enters the game for K. Thompson,,14-19,,
4:51.0,A. Iguodala enters the game for D. Green,,14-19,,
4:51.0,J. McGee enters the game for Z. Pachulia,,14-19,,
4:44.0,,,14-19,,D. Mitchell misses 2-pt shot from 15 ft
4:39.0,Defensive rebound by J. McGee,,14-19,,
4:34.0,S. Curry makes 2-pt shot from 8 ft,2,16-19,,
4:19.0,,,16-22,3,R. Rubio makes 3-pt shot from 27 ft (assist by D. Mitchell)
4:07.0,K. Durant misses 3-pt shot from 26 ft,,16-22,,
4:03.0,Offensive rebound by J. McGee,,16-22,,
4:02.0,S. Curry misses 3-pt shot from 24 ft,,16-22,,
3:59.0,,,16-22,,Defensive rebound by J. Jerebko
3:57.0,,,16-22,,Shooting foul by P. McCaw (drawn by R. Rubio)
3:57.0,,,16-23,1,R. Rubio makes free throw 1 of 2
3:57.0,,,16-23,,A. Burks enters the game for J. Ingles
3:57.0,,,16-23,,R. O'Neale enters the game for D. Mitchell
3:57.0,,,16-24,1,R. Rubio makes free throw 2 of 2
3:44.0,S. Curry misses 2-pt shot from 2 ft (block by R. Gobert),,16-24,,
3:41.0,,,16-24,,Defensive rebound by R. Gobert
3:36.0,,,16-24,,R. Rubio misses 2-pt shot from 2 ft
3:35.0,,,16-24,,Offensive rebound by R. Gobert
3:35.0,,,16-26,2,R. Gobert makes 2-pt shot at rim
3:35.0,Golden State full timeout,,16-26,,
3:35.0,,,16-26,,D. Mitchell enters the game for R. Rubio
3:12.0,J. McGee makes 2-pt shot from 2 ft (assist by S. Curry),2,18-26,,
2:46.0,,,18-28,2,R. O'Neale makes 2-pt shot from 13 ft
2:39.0,Shooting foul by D. Mitchell (drawn by S. Curry),,18-28,,
2:39.0,S. Curry makes free throw 1 of 2,1,19-28,,
2:39.0,,,19-28,,R. Neto enters the game for D. Mitchell
2:39.0,S. Curry makes free throw 2 of 2,1,20-28,,
2:30.0,Personal foul by S. Curry (drawn by R. Neto),,20-28,,
2:30.0,,,20-28,,J. Johnson enters the game for J. Jerebko
2:30.0,,,20-28,,D. Favors enters the game for R. Gobert
2:22.0,,,20-30,2,D. Favors makes 2-pt shot from 2 ft (assist by R. Neto)
2:01.0,K. Durant misses 2-pt shot from 9 ft,,20-30,,
1:57.0,Offensive rebound by J. McGee,,20-30,,
1:54.0,Shooting foul by R. O'Neale (drawn by K. Durant),,20-30,,
1:54.0,K. Durant makes free throw 1 of 3,1,21-30,,
1:54.0,K. Durant makes free throw 2 of 3,1,22-30,,
1:54.0,K. Durant makes free throw 3 of 3,1,23-30,,
1:43.0,,,23-30,,Turnover by R. Neto (bad pass; steal by K. Durant)
1:42.0,,,23-30,,Personal foul by J. Johnson (drawn by K. Durant)
1:42.0,K. Durant makes free throw 1 of 2,1,24-30,,
1:42.0,K. Durant misses free throw 2 of 2,,24-30,,
1:40.0,,,24-30,,Defensive rebound by J. Johnson
1:32.0,,,24-33,3,A. Burks makes 3-pt shot from 25 ft
1:09.0,J. McGee makes 2-pt shot from 3 ft (assist by P. McCaw),2,26-33,,
0:49.0,,,26-33,,A. Burks misses 3-pt shot from 25 ft (block by J. McGee)
0:45.0,Defensive rebound by S. Curry,,26-33,,
0:45.0,J. McGee makes 2-pt shot from 2 ft (assist by S. Curry),2,28-33,,
0:35.0,,,28-35,2,R. Neto makes 2-pt shot from 2 ft
0:27.0,S. Curry misses 2-pt shot from 1 ft,,28-35,,
0:25.0,,,28-35,,Defensive rebound by A. Burks
0:06.0,,,28-35,,Turnover by A. Burks (lost ball; steal by P. McCaw)
0:02.0,S. Curry makes 2-pt shot from 2 ft,2,30-35,,
0:00.0,,,30-35,,R. O'Neale misses 3-pt shot from 48 ft
0:00.0,,,30-35,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,30-37,2,J. Johnson makes 2-pt shot from 7 ft
11:28.0,K. Thompson makes 3-pt shot from 24 ft (assist by A. Iguodala),3,33-37,,
11:04.0,,,33-37,,R. Neto misses 3-pt shot from 25 ft
11:02.0,Defensive rebound by Team,,33-37,,
11:02.0,,,33-37,,R. Rubio enters the game for R. Neto
10:49.0,D. Green misses 3-pt shot from 25 ft,,33-37,,
10:45.0,,,33-37,,Defensive rebound by A. Burks
10:28.0,,,33-37,,Shooting foul by S. Livingston (drawn by R. O'Neale)
10:28.0,,,33-37,,R. O'Neale misses free throw 1 of 2
10:28.0,,,33-37,,Offensive rebound by Team
10:28.0,,,33-38,1,R. O'Neale makes free throw 2 of 2
10:20.0,D. West makes 2-pt shot from 17 ft (assist by A. Iguodala),2,35-38,,
10:09.0,,,35-40,2,R. Rubio makes 2-pt shot from 18 ft
9:56.0,Turnover by D. Green (lost ball; steal by D. Favors),,35-40,,
9:50.0,,,35-42,2,D. Favors makes 2-pt shot from 1 ft (assist by R. Rubio)
9:37.0,,,35-42,,Personal foul by R. O'Neale (drawn by K. Thompson)
9:35.0,Turnover by K. Thompson (bad pass; steal by D. Favors),,35-42,,
9:33.0,,,35-44,2,D. Favors makes 2-pt shot from 1 ft
9:14.0,D. West misses 2-pt shot from 2 ft,,35-44,,
9:08.0,Offensive rebound by S. Livingston,,35-44,,
9:05.0,K. Thompson makes 2-pt shot from 22 ft (assist by S. Livingston),2,37-44,,
8:43.0,,,37-44,,R. O'Neale misses 2-pt shot from 1 ft
8:41.0,Defensive rebound by K. Thompson,,37-44,,
8:38.0,Shooting foul by D. Favors (drawn by D. Green),,37-44,,
8:38.0,D. Green makes free throw 1 of 2,1,38-44,,
8:38.0,N. Young enters the game for A. Iguodala,,38-44,,
8:38.0,D. Green misses free throw 2 of 2,,38-44,,
8:36.0,,,38-44,,Defensive rebound by J. Johnson
8:21.0,,,38-46,2,R. O'Neale makes 2-pt shot from 1 ft (assist by R. Rubio)
8:09.0,D. Green misses 2-pt shot from 9 ft,,38-46,,
8:08.0,,,38-46,,Defensive rebound by D. Favors
8:08.0,Personal foul by S. Livingston (drawn by D. Favors),,38-46,,
7:51.0,,,38-48,2,R. Rubio makes 2-pt shot from 1 ft
7:39.0,K. Thompson misses 2-pt shot from 6 ft,,38-48,,
7:37.0,Offensive rebound by K. Thompson,,38-48,,
7:36.0,K. Thompson makes 2-pt shot from 2 ft,2,40-48,,
7:23.0,,,40-48,,R. Rubio misses 2-pt shot from 17 ft (block by D. West)
7:20.0,Defensive rebound by D. Green,,40-48,,
7:19.0,K. Thompson misses 3-pt shot from 24 ft,,40-48,,
7:17.0,Offensive rebound by D. Green,,40-48,,
7:15.0,N. Young misses 3-pt shot from 25 ft,,40-48,,
7:15.0,,,40-48,,Defensive rebound by D. Favors
7:06.0,,,40-48,,Utah full timeout
7:06.0,,,40-48,,J. Ingles enters the game for J. Johnson
7:06.0,,,40-48,,R. Gobert enters the game for D. Favors
6:55.0,,,40-50,2,R. Gobert makes 2-pt shot from 2 ft (assist by A. Burks)
6:32.0,K. Thompson makes 2-pt shot from 13 ft,2,42-50,,
6:11.0,,,42-50,,R. Rubio misses 3-pt shot from 25 ft
6:08.0,Defensive rebound by K. Thompson,,42-50,,
6:02.0,D. West misses 2-pt shot from 5 ft,,42-50,,
5:58.0,Offensive rebound by D. West,,42-50,,
5:52.0,K. Thompson makes 2-pt shot from 2 ft (assist by D. West),2,44-50,,
5:38.0,S. Curry enters the game for K. Thompson,,44-50,,
5:38.0,K. Durant enters the game for S. Livingston,,44-50,,
5:32.0,,,44-50,,Turnover by A. Burks (bad pass)
5:29.0,,,44-50,,Personal foul by A. Burks (drawn by N. Young)
5:23.0,Offensive foul by N. Young (drawn by R. O'Neale),,44-50,,
5:23.0,Turnover by N. Young (offensive foul),,44-50,,
5:23.0,,,44-50,,J. Johnson enters the game for R. O'Neale
5:10.0,,,44-52,2,R. Rubio makes 2-pt shot from 2 ft
4:57.0,N. Young makes 2-pt shot from 17 ft,2,46-52,,
4:39.0,,,46-54,2,J. Ingles makes 2-pt shot from 2 ft (assist by J. Johnson)
4:29.0,S. Curry makes 3-pt shot from 25 ft,3,49-54,,
4:09.0,,,49-57,3,J. Ingles makes 3-pt shot from 23 ft (assist by A. Burks)
3:57.0,S. Curry misses 3-pt shot from 24 ft,,49-57,,
3:54.0,,,49-57,,Defensive rebound by A. Burks
3:45.0,,,49-57,,R. Rubio misses 2-pt shot from 2 ft
3:43.0,,,49-57,,Offensive rebound by R. Gobert
3:43.0,,,49-59,2,R. Gobert makes 2-pt shot from 1 ft
3:43.0,Golden State full timeout,,49-59,,
3:43.0,K. Thompson enters the game for D. West,,49-59,,
3:43.0,A. Iguodala enters the game for N. Young,,49-59,,
3:21.0,A. Iguodala misses 3-pt shot from 23 ft,,49-59,,
3:19.0,,,49-59,,Defensive rebound by J. Ingles
3:14.0,,,49-62,3,J. Ingles makes 3-pt shot from 27 ft
2:55.0,D. Green misses 2-pt shot from 3 ft,,49-62,,
2:52.0,,,49-62,,Defensive rebound by J. Johnson
2:46.0,,,49-62,,J. Ingles misses 3-pt shot from 26 ft
2:43.0,Defensive rebound by K. Thompson,,49-62,,
2:28.0,A. Iguodala misses 3-pt shot from 24 ft,,49-62,,
2:26.0,,,49-62,,Defensive rebound by Team
2:04.0,,,49-62,,R. Rubio misses 2-pt shot from 13 ft
2:03.0,Defensive rebound by Team,,49-62,,
1:51.0,K. Thompson misses 2-pt shot from 7 ft,,49-62,,
1:47.0,,,49-62,,Defensive rebound by R. Gobert
1:41.0,Violation by K. Thompson (kicked ball),,49-62,,
1:30.0,,,49-64,2,A. Burks makes 2-pt shot from 14 ft
1:21.0,K. Thompson makes 2-pt shot from 13 ft,2,51-64,,
1:06.0,,,51-64,,Turnover by J. Ingles (bad pass; steal by K. Thompson)
1:02.0,S. Curry makes 2-pt shot at rim (assist by K. Thompson),2,53-64,,
0:47.0,,,53-67,3,J. Johnson makes 3-pt shot from 25 ft (assist by R. Rubio)
0:41.0,,,53-67,,Personal block foul by R. Rubio (drawn by S. Curry)
0:33.0,K. Durant misses 2-pt shot from 10 ft,,53-67,,
0:30.0,,,53-67,,Defensive rebound by R. Rubio
0:25.0,,,53-69,2,R. Gobert makes 2-pt shot from 1 ft (assist by R. Rubio)
0:07.0,K. Thompson makes 3-pt shot from 23 ft (assist by S. Curry),3,56-69,,
0:00.0,,,56-69,,J. Ingles misses 3-pt shot from 25 ft
0:00.0,,,56-69,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,56-69,,R. Rubio misses 3-pt shot from 27 ft
11:32.0,,,56-69,,Offensive rebound by R. Gobert
11:24.0,,,56-71,2,D. Favors makes 2-pt shot from 18 ft (assist by D. Mitchell)
11:02.0,Turnover by S. Curry (bad pass; steal by R. Rubio),,56-71,,
10:56.0,,,56-71,,R. Gobert misses 2-pt shot from 2 ft
10:56.0,Defensive rebound by Team,,56-71,,
10:56.0,,,56-71,,Loose ball foul by D. Favors (drawn by Z. Pachulia)
10:45.0,K. Durant makes 2-pt shot from 1 ft (assist by D. Green),2,58-71,,
10:33.0,,,58-74,3,D. Mitchell makes 3-pt shot from 26 ft
10:18.0,D. Green makes 3-pt shot from 24 ft (assist by Z. Pachulia),3,61-74,,
10:10.0,Personal foul by Z. Pachulia (drawn by R. Gobert),,61-74,,
9:53.0,,,61-76,2,D. Mitchell makes 2-pt shot from 5 ft
9:43.0,D. Green misses 2-pt shot from 5 ft,,61-76,,
9:41.0,,,61-76,,Defensive rebound by R. Gobert
9:36.0,,,61-79,3,J. Ingles makes 3-pt shot from 23 ft (assist by D. Mitchell)
9:20.0,K. Thompson makes 2-pt shot from 17 ft (assist by D. Green),2,63-79,,
8:54.0,,,63-81,2,R. Rubio makes 2-pt shot from 3 ft
8:39.0,,,63-81,,Def 3 sec tech foul by R. Gobert
8:39.0,S. Curry makes technical free throw,1,64-81,,
8:26.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by K. Durant),2,66-81,,
8:12.0,,,66-83,2,R. Rubio makes 2-pt shot from 11 ft
8:00.0,S. Curry misses 2-pt shot from 5 ft,,66-83,,
7:54.0,Offensive rebound by Z. Pachulia,,66-83,,
7:54.0,Z. Pachulia makes 2-pt shot at rim,2,68-83,,
7:40.0,,,68-83,,D. Mitchell misses 3-pt shot from 25 ft
7:37.0,Defensive rebound by D. Green,,68-83,,
7:35.0,Turnover by D. Green (bad pass; steal by D. Mitchell),,68-83,,
7:28.0,,,68-83,,R. Rubio misses 2-pt shot from 18 ft
7:24.0,Defensive rebound by K. Durant,,68-83,,
7:23.0,,,68-83,,Personal foul by R. Rubio (drawn by K. Durant)
7:23.0,,,68-83,,J. Jerebko enters the game for D. Favors
7:16.0,Turnover by S. Curry (bad pass; steal by R. Gobert),,68-83,,
7:09.0,,,68-85,2,J. Jerebko makes 2-pt shot from 5 ft (assist by R. Rubio)
7:09.0,Golden State full timeout,,68-85,,
6:58.0,K. Durant misses 2-pt shot from 14 ft,,68-85,,
6:55.0,,,68-85,,Defensive rebound by D. Mitchell
6:45.0,,,68-87,2,D. Mitchell makes 2-pt shot from 4 ft (assist by J. Ingles)
6:34.0,K. Durant misses 3-pt shot from 25 ft,,68-87,,
6:32.0,,,68-87,,Defensive rebound by J. Jerebko
6:23.0,,,68-87,,Turnover by R. Rubio (bad pass; steal by Z. Pachulia)
6:18.0,,,68-87,,Personal foul by J. Jerebko (drawn by Z. Pachulia)
6:11.0,Turnover by K. Thompson (lost ball; steal by R. Gobert),,68-87,,
6:10.0,Personal foul by D. Green (drawn by D. Mitchell),,68-87,,
6:10.0,A. Iguodala enters the game for D. Green,,68-87,,
6:00.0,,,68-87,,J. Ingles misses 2-pt shot from 6 ft
5:58.0,Defensive rebound by Z. Pachulia,,68-87,,
5:54.0,Shooting foul by R. Rubio (drawn by S. Curry),,68-87,,
5:54.0,S. Curry makes free throw 1 of 2,1,69-87,,
5:54.0,,,69-87,,A. Burks enters the game for R. Rubio
5:54.0,S. Curry makes free throw 2 of 2,1,70-87,,
5:44.0,,,70-87,,Shooting foul by K. Thompson (drawn by D. Mitchell)
5:44.0,,,70-88,1,D. Mitchell makes free throw 1 of 2
5:44.0,,,70-89,1,D. Mitchell makes free throw 2 of 2
5:31.0,S. Curry misses 3-pt shot from 25 ft,,70-89,,
5:28.0,Offensive rebound by Z. Pachulia,,70-89,,
5:21.0,K. Thompson makes 3-pt shot from 23 ft (assist by A. Iguodala),3,73-89,,
4:54.0,,,73-91,2,A. Burks makes 2-pt shot from 9 ft
4:45.0,K. Durant misses 3-pt shot from 24 ft,,73-91,,
4:42.0,,,73-91,,Defensive rebound by D. Mitchell
4:36.0,,,73-91,,D. Mitchell misses 2-pt shot from 5 ft
4:36.0,Defensive rebound by K. Thompson,,73-91,,
4:32.0,K. Durant makes 2-pt shot from 1 ft (assist by K. Thompson),2,75-91,,
4:32.0,Shooting foul by A. Burks (drawn by K. Durant),,75-91,,
4:32.0,J. McGee enters the game for Z. Pachulia,,75-91,,
4:32.0,K. Durant makes free throw 1 of 1,1,76-91,,
4:18.0,,,76-94,3,D. Mitchell makes 3-pt shot from 25 ft
4:04.0,Turnover by S. Curry (step out of bounds),,76-94,,
3:49.0,,,76-94,,Shooting foul by J. McGee (drawn by R. Gobert)
3:49.0,,,76-94,,R. Gobert misses free throw 1 of 2
3:49.0,,,76-94,,Offensive rebound by Team
3:49.0,O. Casspi enters the game for K. Thompson,,76-94,,
3:49.0,,,76-95,1,R. Gobert makes free throw 2 of 2
3:34.0,Turnover by O. Casspi (bad pass; steal by J. Ingles),,76-95,,
3:30.0,,,76-95,,J. Jerebko misses 2-pt shot from 5 ft
3:29.0,Defensive rebound by O. Casspi,,76-95,,
3:26.0,Turnover by O. Casspi (bad pass; steal by A. Burks),,76-95,,
3:24.0,,,76-97,2,J. Jerebko makes 2-pt shot from 1 ft (assist by A. Burks)
3:24.0,Golden State full timeout,,76-97,,
3:24.0,,,76-97,,R. O'Neale enters the game for J. Ingles
3:24.0,,,76-97,,D. Favors enters the game for R. Gobert
3:13.0,,,76-97,,Personal foul by R. O'Neale (drawn by K. Durant)
3:13.0,K. Durant makes free throw 1 of 2,1,77-97,,
3:13.0,K. Durant makes free throw 2 of 2,1,78-97,,
3:10.0,,,78-97,,Turnover by D. Favors (bad pass; steal by A. Iguodala)
3:07.0,J. McGee makes 2-pt shot from 2 ft (assist by A. Iguodala),2,80-97,,
2:53.0,,,80-97,,D. Mitchell misses 2-pt shot from 15 ft
2:51.0,Defensive rebound by A. Iguodala,,80-97,,
2:37.0,S. Curry misses 3-pt shot from 25 ft,,80-97,,
2:32.0,,,80-97,,Defensive rebound by R. O'Neale
2:28.0,,,80-99,2,R. O'Neale makes 2-pt shot from 5 ft
2:28.0,Violation by J. McGee (def goaltending),,80-99,,
2:14.0,K. Durant makes 2-pt shot from 5 ft,2,82-99,,
1:46.0,,,82-101,2,J. Jerebko makes 2-pt shot from 12 ft
1:28.0,,,82-101,,R. Rubio enters the game for D. Mitchell
1:17.0,J. McGee makes 2-pt shot from 5 ft (assist by K. Durant),2,84-101,,
1:01.0,,,84-101,,D. Favors misses 2-pt shot from 16 ft
1:00.0,Defensive rebound by A. Iguodala,,84-101,,
0:53.0,,,84-101,,Personal foul by J. Jerebko (drawn by A. Iguodala)
0:53.0,A. Iguodala makes free throw 1 of 2,1,85-101,,
0:53.0,,,85-101,,J. Johnson enters the game for J. Jerebko
0:53.0,A. Iguodala misses free throw 2 of 2,,85-101,,
0:52.0,,,85-101,,Defensive rebound by D. Favors
0:40.0,,,85-101,,A. Burks misses 2-pt shot from 14 ft (block by J. McGee)
0:36.0,Defensive rebound by K. Durant,,85-101,,
0:33.0,K. Durant misses 3-pt shot from 25 ft,,85-101,,
0:33.0,,,85-101,,Defensive rebound by Team
0:33.0,Loose ball foul by J. McGee (drawn by D. Favors),,85-101,,
0:33.0,,,85-101,,D. Favors misses free throw 1 of 2
0:33.0,,,85-101,,Offensive rebound by Team
0:33.0,,,85-101,,D. Favors misses free throw 2 of 2
0:30.0,Defensive rebound by O. Casspi,,85-101,,
0:24.0,S. Curry misses 3-pt shot from 22 ft,,85-101,,
0:18.0,,,85-101,,Defensive rebound by J. Johnson
0:02.0,,,85-103,2,D. Favors makes 2-pt shot from 2 ft (assist by R. Rubio)
0:00.0,K. Durant misses 3-pt shot from 43 ft,,85-103,,
0:00.0,Offensive rebound by Team,,85-103,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,Turnover by K. Thompson (bad pass; steal by R. O'Neale),,85-103,,
