time,Orlando,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Love vs. B. Biyombo (E. Payton gains possession),,,,Jump ball: K. Love vs. B. Biyombo (E. Payton gains possession)
11:35.0,J. Simmons misses 2-pt shot at rim,,0-0,,
11:30.0,,,0-0,,Defensive rebound by K. Love
11:29.0,,,0-3,3,J. Smith makes 3-pt shot from 23 ft (assist by L. James)
11:22.0,,,0-3,,Personal foul by J. Smith (drawn by E. Fournier)
11:14.0,E. Fournier makes 2-pt shot from 2 ft (assist by B. Biyombo),2,2-3,,
10:58.0,,,2-6,3,I. Thomas makes 3-pt shot from 22 ft (assist by L. James)
10:44.0,A. Gordon misses 2-pt shot from 1 ft,,2-6,,
10:44.0,,,2-6,,Defensive rebound by L. James
10:37.0,,,2-6,,K. Love misses 3-pt shot from 24 ft
10:37.0,Defensive rebound by B. Biyombo,,2-6,,
10:27.0,E. Payton makes 2-pt shot from 1 ft,2,4-6,,
10:12.0,,,4-6,,L. James misses 2-pt shot from 19 ft
10:12.0,Defensive rebound by B. Biyombo,,4-6,,
9:58.0,A. Gordon misses 3-pt shot from 22 ft,,4-6,,
9:55.0,,,4-6,,Defensive rebound by J. Crowder
9:50.0,,,4-6,,Turnover by I. Thomas (bad pass; steal by E. Payton)
9:45.0,E. Fournier misses 2-pt shot from 20 ft,,4-6,,
9:36.0,,,4-6,,Defensive rebound by K. Love
9:31.0,,,4-8,2,I. Thomas makes 2-pt shot from 2 ft
9:24.0,Turnover by E. Payton (bad pass; steal by J. Crowder),,4-8,,
9:15.0,,,4-11,3,I. Thomas makes 3-pt shot from 25 ft
9:03.0,,,4-11,,Personal foul by J. Smith (drawn by E. Fournier)
8:51.0,E. Payton misses 2-pt shot from 18 ft,,4-11,,
8:48.0,,,4-11,,Defensive rebound by K. Love
8:45.0,,,4-13,2,J. Crowder makes 2-pt shot from 2 ft (assist by L. James)
8:45.0,Orlando full timeout,,4-13,,
8:32.0,E. Fournier misses 2-pt shot from 1 ft,,4-13,,
8:29.0,,,4-13,,Defensive rebound by K. Love
8:19.0,,,4-15,2,L. James makes 2-pt shot at rim (assist by K. Love)
7:59.0,,,4-15,,Violation by K. Love (kicked ball)
7:53.0,E. Payton makes 2-pt shot from 1 ft,2,6-15,,
7:36.0,,,6-15,,K. Love misses 2-pt shot from 16 ft
7:33.0,Defensive rebound by A. Gordon,,6-15,,
7:28.0,Shooting foul by K. Love (drawn by A. Gordon),,6-15,,
7:28.0,A. Gordon misses free throw 1 of 2,,6-15,,
7:28.0,Offensive rebound by Team,,6-15,,
7:28.0,A. Gordon makes free throw 2 of 2,1,7-15,,
7:17.0,,,7-15,,Shooting foul by A. Gordon (drawn by L. James)
7:17.0,,,7-15,,L. James misses free throw 1 of 2
7:17.0,,,7-15,,Offensive rebound by Team
7:17.0,,,7-15,,L. James misses free throw 2 of 2
7:14.0,Defensive rebound by A. Gordon,,7-15,,
7:06.0,A. Gordon misses 3-pt shot from 23 ft,,7-15,,
7:03.0,,,7-15,,Defensive rebound by J. Crowder
6:59.0,,,7-18,3,J. Smith makes 3-pt shot from 22 ft (assist by I. Thomas)
6:50.0,Shooting foul by J. Crowder (drawn by J. Simmons),,7-18,,
6:50.0,J. Simmons misses free throw 1 of 2,,7-18,,
6:50.0,Offensive rebound by Team,,7-18,,
6:50.0,J. Simmons misses free throw 2 of 2,,7-18,,
6:48.0,,,7-18,,Defensive rebound by J. Crowder
6:35.0,,,7-18,,L. James misses 2-pt shot from 15 ft
6:33.0,Defensive rebound by B. Biyombo,,7-18,,
6:28.0,E. Payton misses 2-pt shot at rim,,7-18,,
6:26.0,,,7-18,,Defensive rebound by K. Love
6:23.0,,,7-18,,L. James misses 2-pt shot from 1 ft (block by E. Payton)
6:23.0,Defensive rebound by B. Biyombo,,7-18,,
6:13.0,E. Payton makes 2-pt shot at rim (assist by A. Gordon),2,9-18,,
6:13.0,,,9-18,,Cleveland full timeout
6:00.0,,,9-20,2,L. James makes 2-pt shot at rim (assist by I. Thomas)
5:38.0,E. Payton makes 3-pt shot from 25 ft (assist by E. Fournier),3,12-20,,
