time,Golden State,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. J. McGee (D. Green gains possession),,,,Jump ball: L. Aldridge vs. J. McGee (D. Green gains possession)
11:42.0,,,0-2,2,R. Gay makes 2-pt shot from 1 ft (assist by L. Aldridge)
11:21.0,Turnover by K. Durant (lost ball; steal by P. Mills),,0-2,,
11:16.0,,,0-4,2,D. Green makes 2-pt shot at rim (assist by D. Murray)
10:58.0,A. Iguodala misses 2-pt shot from 1 ft,,0-4,,
10:56.0,,,0-4,,Defensive rebound by D. Green
10:46.0,,,0-4,,D. Green misses 3-pt shot from 25 ft (block by D. Green)
10:40.0,Defensive rebound by A. Iguodala,,0-4,,
10:33.0,K. Durant misses 2-pt shot from 13 ft,,0-4,,
10:31.0,Offensive rebound by J. McGee,,0-4,,
10:31.0,,,0-4,,Personal foul by D. Murray (drawn by J. McGee)
10:25.0,K. Thompson misses 2-pt shot from 14 ft,,0-4,,
10:22.0,,,0-4,,Defensive rebound by P. Mills
10:08.0,,,0-4,,P. Mills misses 2-pt shot from 1 ft
10:00.0,,,0-4,,Offensive rebound by L. Aldridge
10:00.0,,,0-6,2,L. Aldridge makes 2-pt shot at rim
9:57.0,K. Thompson makes 2-pt shot from 15 ft (assist by K. Durant),2,2-6,,
9:32.0,,,2-6,,P. Mills misses 3-pt shot from 30 ft
9:31.0,,,2-6,,Offensive rebound by Team
9:31.0,,,2-6,,Turnover by Team (shot clock)
9:15.0,K. Thompson makes 2-pt shot from 17 ft,2,4-6,,
8:59.0,,,4-9,3,P. Mills makes 3-pt shot from 25 ft (assist by D. Murray)
8:47.0,K. Durant makes 2-pt shot from 8 ft,2,6-9,,
8:23.0,,,6-9,,D. Green misses 2-pt shot from 12 ft
8:20.0,Defensive rebound by J. McGee,,6-9,,
8:11.0,J. McGee makes 2-pt shot from 12 ft (assist by A. Iguodala),2,8-9,,
7:46.0,,,8-9,,D. Murray misses 2-pt shot from 6 ft
7:44.0,Defensive rebound by K. Durant,,8-9,,
7:39.0,K. Durant misses 2-pt shot from 16 ft,,8-9,,
7:35.0,,,8-9,,Defensive rebound by L. Aldridge
7:30.0,,,8-9,,Shooting foul by J. McGee (drawn by R. Gay)
7:30.0,,,8-9,,R. Gay misses free throw 1 of 2
7:30.0,,,8-9,,Offensive rebound by Team
7:30.0,,,8-10,1,R. Gay makes free throw 2 of 2
7:17.0,K. Durant makes 2-pt shot from 1 ft (assist by D. Green),2,10-10,,
7:16.0,,,10-10,,San Antonio full timeout
6:56.0,,,10-10,,D. Green misses 3-pt shot from 25 ft
6:54.0,Defensive rebound by D. Green,,10-10,,
6:33.0,K. Durant misses 3-pt shot from 25 ft,,10-10,,
6:29.0,,,10-10,,Defensive rebound by L. Aldridge
6:14.0,,,10-10,,L. Aldridge misses 2-pt shot from 15 ft
6:10.0,Defensive rebound by K. Durant,,10-10,,
5:55.0,A. Iguodala makes 2-pt shot from 1 ft (assist by D. Green),2,12-10,,
5:36.0,,,12-10,,D. Murray misses 2-pt shot at rim (block by J. McGee)
5:34.0,Defensive rebound by K. Durant,,12-10,,
5:28.0,K. Durant misses 3-pt shot from 26 ft,,12-10,,
5:24.0,,,12-10,,Defensive rebound by L. Aldridge
5:16.0,,,12-10,,Turnover by L. Aldridge (bad pass)
5:16.0,,,12-10,,M. Ginobili enters the game for D. Murray
5:16.0,,,12-10,,K. Anderson enters the game for D. Green
5:01.0,A. Iguodala misses 3-pt shot from 26 ft,,12-10,,
4:54.0,,,12-10,,Defensive rebound by R. Gay
4:37.0,,,12-12,2,L. Aldridge makes 2-pt shot at rim (assist by R. Gay)
