time,Brooklyn,pts.away,score,pts.home,Charlotte
3:13.0,D. Cunningham makes 3-pt shot from 22 ft (assist by S. Dinwiddie),3,23-23,,
2:56.0,,,23-26,3,J. Lamb makes 3-pt shot from 25 ft (assist by F. Kaminsky)
2:42.0,Q. Acy misses 3-pt shot from 25 ft,,23-26,,
2:40.0,,,23-26,,Defensive rebound by D. Howard
2:32.0,,,23-28,2,D. Howard makes 2-pt shot from 1 ft (assist by J. Lamb)
2:18.0,A. Crabbe misses 2-pt shot from 11 ft,,23-28,,
2:15.0,,,23-28,,Defensive rebound by D. Howard
2:06.0,,,23-31,3,K. Walker makes 3-pt shot from 24 ft (assist by N. Batum)
1:48.0,,,23-31,,Personal foul by K. Walker (drawn by S. Dinwiddie)
1:48.0,,,23-31,,C. Zeller enters the game for D. Howard
1:48.0,,,23-31,,M. Carter-Williams enters the game for K. Walker
1:48.0,D. Carroll enters the game for S. Dinwiddie,,23-31,,
1:48.0,D. Russell enters the game for A. Crabbe,,23-31,,
1:43.0,Offensive charge foul by J. Harris (drawn by M. Carter-Williams),,23-31,,
1:43.0,Turnover by J. Harris (offensive foul),,23-31,,
1:43.0,,,23-31,,T. Graham enters the game for N. Batum
1:30.0,,,23-31,,Offensive charge foul by M. Carter-Williams (drawn by Q. Acy)
1:30.0,,,23-31,,Turnover by M. Carter-Williams (offensive foul)
1:19.0,J. Harris makes 3-pt shot from 25 ft (assist by D. Cunningham),3,26-31,,
1:06.0,,,26-31,,J. Lamb misses 2-pt shot from 17 ft
1:03.0,Defensive rebound by D. Cunningham,,26-31,,
0:52.0,Offensive foul by D. Russell (drawn by M. Carter-Williams),,26-31,,
0:52.0,Turnover by D. Russell (offensive foul),,26-31,,
0:35.0,,,26-31,,J. Lamb misses 3-pt shot from 26 ft
0:34.0,Defensive rebound by D. Cunningham,,26-31,,
0:34.0,Technical foul by D. Russell,,26-31,,
0:34.0,,,26-32,1,F. Kaminsky makes technical free throw
0:19.0,Q. Acy misses 3-pt shot from 23 ft,,26-32,,
0:17.0,Offensive rebound by D. Carroll,,26-32,,
0:17.0,D. Carroll makes 2-pt shot from 2 ft,2,28-32,,
0:01.0,,,28-32,,C. Zeller misses 2-pt shot from 2 ft (block by D. Carroll)
0:01.0,,,28-32,,Offensive rebound by C. Zeller
0:00.0,Jump ball: D. Howard vs. J. Allen (K. Walker gains possession),,,,Jump ball: D. Howard vs. J. Allen (K. Walker gains possession)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,J. Harris makes 2-pt shot from 1 ft (assist by D. Russell),2,30-32,,
11:26.0,,,30-32,,J. Lamb misses 2-pt shot from 15 ft
11:24.0,Defensive rebound by Q. Acy,,30-32,,
11:14.0,D. Carroll misses 3-pt shot from 26 ft,,30-32,,
11:11.0,,,30-32,,Defensive rebound by J. Lamb
11:01.0,,,30-32,,F. Kaminsky misses 2-pt shot from 7 ft
10:58.0,Defensive rebound by D. Russell,,30-32,,
10:51.0,Shooting foul by T. Graham (drawn by D. Russell),,30-32,,
10:51.0,D. Russell makes free throw 1 of 2,1,31-32,,
10:51.0,D. Russell makes free throw 2 of 2,1,32-32,,
10:41.0,,,32-32,,M. Carter-Williams misses 2-pt shot from 18 ft
10:38.0,Defensive rebound by D. Cunningham,,32-32,,
10:30.0,D. Russell makes 2-pt shot from 16 ft,2,34-32,,
10:19.0,,,34-32,,J. Lamb misses 2-pt shot from 15 ft
10:16.0,Defensive rebound by D. Carroll,,34-32,,
10:10.0,D. Russell misses 3-pt shot from 26 ft,,34-32,,
10:06.0,,,34-32,,Defensive rebound by J. Lamb
10:00.0,,,34-34,2,M. Carter-Williams makes 2-pt shot from 1 ft (assist by J. Lamb)
9:35.0,D. Russell misses 2-pt shot from 20 ft,,34-34,,
9:35.0,Offensive rebound by Team,,34-34,,
9:35.0,Turnover by Team (shot clock),,34-34,,
9:23.0,,,34-36,2,J. Lamb makes 2-pt shot from 2 ft (assist by F. Kaminsky)
9:09.0,D. Carroll misses 3-pt shot from 26 ft,,34-36,,
9:05.0,,,34-36,,Defensive rebound by J. Lamb
8:57.0,Brooklyn full timeout,,34-36,,
8:45.0,,,34-36,,J. Lamb misses 2-pt shot from 20 ft
8:42.0,Defensive rebound by J. Harris,,34-36,,
8:36.0,J. Harris misses 3-pt shot from 28 ft,,34-36,,
8:33.0,,,34-36,,Defensive rebound by C. Zeller
8:24.0,,,34-36,,F. Kaminsky misses 2-pt shot from 8 ft
8:22.0,Defensive rebound by D. Cunningham,,34-36,,
8:01.0,D. Cunningham misses 2-pt shot from 19 ft,,34-36,,
7:59.0,,,34-36,,Defensive rebound by T. Graham
7:44.0,,,34-38,2,J. Lamb makes 2-pt shot from 2 ft (assist by C. Zeller)
7:28.0,Q. Acy misses 3-pt shot from 25 ft,,34-38,,
7:25.0,,,34-38,,Defensive rebound by F. Kaminsky
7:20.0,,,34-38,,Shooting foul by D. Cunningham (drawn by C. Zeller)
7:20.0,,,34-39,1,C. Zeller makes free throw 1 of 2
7:20.0,,,34-39,,K. Walker enters the game for T. Graham
7:20.0,S. Dinwiddie enters the game for J. Harris,,34-39,,
7:20.0,J. Allen enters the game for Q. Acy,,34-39,,
7:20.0,,,34-40,1,C. Zeller makes free throw 2 of 2
7:04.0,D. Carroll misses 2-pt shot from 2 ft,,34-40,,
6:59.0,,,34-40,,Defensive rebound by C. Zeller
6:50.0,,,34-42,2,M. Carter-Williams makes 2-pt shot from 1 ft (assist by K. Walker)
6:25.0,D. Cunningham makes 3-pt shot from 25 ft (assist by S. Dinwiddie),3,37-42,,
6:00.0,,,37-44,2,M. Carter-Williams makes 2-pt shot from 5 ft
5:45.0,Turnover by D. Russell (bad pass; steal by K. Walker),,37-44,,
5:36.0,,,37-44,,F. Kaminsky misses 3-pt shot from 27 ft
5:33.0,Defensive rebound by D. Russell,,37-44,,
5:19.0,D. Russell makes 3-pt shot from 25 ft (assist by D. Cunningham),3,40-44,,
5:18.0,,,40-44,,Charlotte full timeout
5:18.0,,,40-44,,N. Batum enters the game for M. Carter-Williams
5:18.0,,,40-44,,M. Williams enters the game for C. Zeller
5:18.0,,,40-44,,D. Howard enters the game for F. Kaminsky
5:18.0,A. Crabbe enters the game for D. Carroll,,40-44,,
5:06.0,,,40-44,,D. Howard misses 2-pt shot from 7 ft
5:04.0,Defensive rebound by D. Cunningham,,40-44,,
5:00.0,D. Russell misses 2-pt shot from 8 ft,,40-44,,
4:57.0,Offensive rebound by J. Allen,,40-44,,
