time,Sacramento,pts.away,score,pts.home,Portland
0:45.0,S. Labissiere misses 2-pt shot from 16 ft,,26-31,,
0:42.0,,,26-31,,Defensive rebound by E. Davis
0:33.0,,,26-33,2,D. Lillard makes 2-pt shot from 1 ft
0:15.0,F. Mason misses 2-pt shot from 16 ft,,26-33,,
0:12.0,,,26-33,,Defensive rebound by Z. Collins
0:02.0,,,26-36,3,D. Lillard makes 3-pt shot from 27 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,Turnover by B. Bogdanovic (bad pass; steal by Z. Collins),,26-36,,
11:26.0,,,26-36,,Turnover by Z. Collins (lost ball; steal by B. Bogdanovic)
11:22.0,B. Hield makes 2-pt shot at rim,2,28-36,,
11:04.0,,,28-36,,Z. Collins misses 2-pt shot from 15 ft
11:02.0,Defensive rebound by S. Labissiere,,28-36,,
10:48.0,B. Bogdanovic makes 2-pt shot at rim,2,30-36,,
10:24.0,,,30-36,,Turnover by E. Turner (bad pass; steal by B. Bogdanovic)
10:18.0,B. Hield misses 2-pt shot from 10 ft,,30-36,,
10:14.0,Offensive rebound by V. Carter,,30-36,,
10:14.0,Shooting foul by Z. Collins (drawn by S. Labissiere),,30-36,,
10:14.0,S. Labissiere makes free throw 1 of 2,1,31-36,,
10:14.0,,,31-36,,C. McCollum enters the game for P. Connaughton
10:14.0,S. Labissiere makes free throw 2 of 2,1,32-36,,
10:01.0,,,32-39,3,S. Napier makes 3-pt shot from 26 ft (assist by E. Turner)
9:46.0,Shooting foul by Z. Collins (drawn by S. Labissiere),,32-39,,
9:46.0,S. Labissiere makes free throw 1 of 2,1,33-39,,
9:46.0,S. Labissiere makes free throw 2 of 2,1,34-39,,
9:28.0,,,34-39,,C. McCollum misses 2-pt shot from 19 ft
9:24.0,Defensive rebound by B. Hield,,34-39,,
9:13.0,,,34-39,,Personal foul by S. Napier (drawn by F. Mason)
9:07.0,B. Bogdanovic misses 3-pt shot from 25 ft,,34-39,,
9:05.0,,,34-39,,Defensive rebound by Z. Collins
8:52.0,,,34-41,2,E. Turner makes 2-pt shot from 9 ft
8:34.0,Turnover by F. Mason (bad pass; steal by S. Napier),,34-41,,
8:24.0,,,34-41,,Turnover by C. McCollum (bad pass; steal by V. Carter)
8:09.0,S. Labissiere makes 2-pt shot from 6 ft,2,36-41,,
8:01.0,,,36-41,,Shooting foul by V. Carter (drawn by S. Napier)
8:01.0,,,36-42,1,S. Napier makes free throw 1 of 2
8:01.0,,,36-43,1,S. Napier makes free throw 2 of 2
7:51.0,B. Bogdanovic makes 3-pt shot from 24 ft (assist by F. Mason),3,39-43,,
7:34.0,,,39-45,2,Z. Collins makes 2-pt shot from 9 ft
7:24.0,B. Hield misses 3-pt shot from 24 ft,,39-45,,
7:24.0,,,39-45,,Defensive rebound by Z. Collins
7:16.0,,,39-45,,C. McCollum misses 2-pt shot from 4 ft (block by B. Hield)
7:14.0,,,39-45,,Offensive rebound by E. Davis
7:11.0,,,39-47,2,E. Davis makes 2-pt shot from 2 ft (assist by E. Turner)
7:11.0,,,39-47,,Shooting foul by S. Labissiere (drawn by E. Davis)
7:11.0,,,39-47,,E. Davis misses free throw 1 of 1
7:09.0,Defensive rebound by V. Carter,,39-47,,
6:57.0,V. Carter makes 2-pt shot from 4 ft,2,41-47,,
6:44.0,,,41-49,2,E. Davis makes 2-pt shot from 3 ft (assist by E. Turner)
6:25.0,B. Bogdanovic misses 3-pt shot from 25 ft,,41-49,,
6:23.0,,,41-49,,Defensive rebound by C. McCollum
6:17.0,,,41-49,,Turnover by C. McCollum (lost ball; steal by V. Carter)
6:13.0,F. Mason misses 2-pt shot from 2 ft,,41-49,,
6:11.0,,,41-49,,Defensive rebound by E. Davis
6:05.0,,,41-51,2,S. Napier makes 2-pt shot from 13 ft
5:43.0,S. Labissiere misses 2-pt shot from 17 ft,,41-51,,
5:42.0,,,41-51,,Defensive rebound by Z. Collins
5:35.0,,,41-51,,E. Turner misses 2-pt shot from 11 ft
5:32.0,Defensive rebound by V. Carter,,41-51,,
5:28.0,F. Mason makes 2-pt shot from 1 ft,2,43-51,,
5:28.0,,,43-51,,Portland full timeout
5:28.0,,,43-51,,A. Aminu enters the game for E. Turner
5:28.0,,,43-51,,J. Nurkic enters the game for E. Davis
5:28.0,,,43-51,,M. Harkless enters the game for Z. Collins
5:28.0,D. Fox enters the game for B. Bogdanovic,,43-51,,
5:04.0,,,43-51,,A. Aminu misses 2-pt shot from 16 ft
5:03.0,,,43-51,,Offensive rebound by Team
5:03.0,Loose ball foul by S. Labissiere (drawn by J. Nurkic),,43-51,,
5:03.0,,,43-51,,D. Lillard enters the game for C. McCollum
4:55.0,,,43-54,3,S. Napier makes 3-pt shot from 26 ft (assist by D. Lillard)
4:29.0,B. Hield misses 2-pt shot from 2 ft,,43-54,,
4:27.0,,,43-54,,Defensive rebound by J. Nurkic
4:24.0,,,43-54,,Turnover by D. Lillard (bad pass)
4:24.0,Z. Randolph enters the game for V. Carter,,43-54,,
4:15.0,S. Labissiere misses 2-pt shot from 20 ft,,43-54,,
4:10.0,,,43-54,,Defensive rebound by M. Harkless
3:49.0,,,43-56,2,D. Lillard makes 2-pt shot at rim
3:35.0,Turnover by D. Fox (bad pass; steal by S. Napier),,43-56,,
3:31.0,Violation by D. Fox (kicked ball),,43-56,,
3:31.0,W. Cauley-Stein enters the game for S. Labissiere,,43-56,,
3:31.0,J. Jackson enters the game for F. Mason,,43-56,,
3:23.0,,,43-59,3,A. Aminu makes 3-pt shot from 23 ft (assist by D. Lillard)
3:04.0,W. Cauley-Stein makes 2-pt shot from 16 ft (assist by B. Hield),2,45-59,,
2:48.0,,,45-59,,Shooting foul by W. Cauley-Stein (drawn by A. Aminu)
2:48.0,Sacramento full timeout,,45-59,,
2:48.0,,,45-60,1,A. Aminu makes free throw 1 of 2
2:48.0,,,45-61,1,A. Aminu makes free throw 2 of 2
2:31.0,Z. Randolph makes 2-pt shot from 3 ft (assist by D. Fox),2,47-61,,
2:17.0,,,47-61,,Shooting foul by B. Hield (drawn by J. Nurkic)
2:17.0,,,47-62,1,J. Nurkic makes free throw 1 of 2
2:17.0,,,47-62,,C. McCollum enters the game for S. Napier
2:17.0,,,47-62,,J. Nurkic misses free throw 2 of 2
2:15.0,Defensive rebound by W. Cauley-Stein,,47-62,,
2:07.0,Turnover by Z. Randolph (bad pass),,47-62,,
1:58.0,,,47-64,2,D. Lillard makes 2-pt shot from 1 ft (assist by J. Nurkic)
1:58.0,Violation by D. Fox (def goaltending),,47-64,,
1:48.0,J. Jackson misses 3-pt shot from 25 ft,,47-64,,
1:44.0,Offensive rebound by Z. Randolph,,47-64,,
1:44.0,Z. Randolph misses 2-pt shot at rim,,47-64,,
1:44.0,,,47-64,,Defensive rebound by Team
1:30.0,,,47-64,,C. McCollum misses 2-pt shot from 1 ft
1:28.0,,,47-64,,Offensive rebound by A. Aminu
1:27.0,,,47-64,,Turnover by A. Aminu (bad pass; steal by D. Fox)
1:21.0,Z. Randolph makes 2-pt shot from 1 ft (assist by D. Fox),2,49-64,,
1:05.0,,,49-64,,Shooting foul by W. Cauley-Stein (drawn by J. Nurkic)
1:05.0,,,49-65,1,J. Nurkic makes free throw 1 of 2
1:05.0,,,49-66,1,J. Nurkic makes free throw 2 of 2
0:51.0,J. Jackson makes 2-pt shot from 1 ft (assist by Z. Randolph),2,51-66,,
0:33.0,,,51-66,,Turnover by D. Lillard (bad pass; steal by D. Fox)
0:31.0,,,51-66,,Personal foul by M. Harkless (drawn by J. Jackson)
0:26.0,D. Fox makes 2-pt shot from 18 ft,2,53-66,,
0:05.0,,,53-66,,A. Aminu misses 3-pt shot from 24 ft
0:02.0,Defensive rebound by W. Cauley-Stein,,53-66,,
0:00.0,Z. Randolph misses 3-pt shot from 23 ft,,53-66,,
0:00.0,Offensive rebound by Team,,53-66,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,53-66,,Personal foul by J. Nurkic (drawn by W. Cauley-Stein)
11:39.0,Z. Randolph makes 2-pt shot from 3 ft (assist by B. Bogdanovic),2,55-66,,
11:26.0,,,55-66,,D. Lillard misses 2-pt shot from 20 ft
11:22.0,,,55-66,,Offensive rebound by J. Nurkic
11:20.0,,,55-68,2,J. Nurkic makes 2-pt shot from 2 ft
11:12.0,Offensive foul by Z. Randolph (drawn by D. Lillard),,55-68,,
11:12.0,Turnover by Z. Randolph (offensive foul),,55-68,,
10:58.0,,,55-68,,Turnover by D. Lillard (bad pass; steal by W. Cauley-Stein)
10:45.0,Z. Randolph makes 2-pt shot from 1 ft (assist by W. Cauley-Stein),2,57-68,,
10:25.0,,,57-68,,C. McCollum misses 3-pt shot from 24 ft
10:22.0,,,57-68,,Offensive rebound by A. Aminu
10:20.0,,,57-70,2,J. Nurkic makes 2-pt shot from 1 ft (assist by C. McCollum)
10:03.0,W. Cauley-Stein makes 2-pt shot from 3 ft,2,59-70,,
10:03.0,Shooting foul by A. Aminu (drawn by W. Cauley-Stein),,59-70,,
10:03.0,W. Cauley-Stein makes free throw 1 of 1,1,60-70,,
9:50.0,,,60-70,,Turnover by J. Nurkic (bad pass; steal by J. Jackson)
9:46.0,D. Fox misses 2-pt shot at rim,,60-70,,
9:43.0,Offensive rebound by W. Cauley-Stein,,60-70,,
9:43.0,W. Cauley-Stein makes 2-pt shot at rim,2,62-70,,
9:30.0,,,62-70,,D. Lillard misses 3-pt shot from 25 ft
9:27.0,,,62-70,,Offensive rebound by A. Aminu
9:24.0,,,62-70,,C. McCollum misses 3-pt shot from 27 ft
9:22.0,Defensive rebound by W. Cauley-Stein,,62-70,,
9:13.0,Z. Randolph misses 2-pt shot from 1 ft,,62-70,,
9:12.0,,,62-70,,Defensive rebound by J. Nurkic
9:09.0,,,62-70,,Shooting foul by W. Cauley-Stein (drawn by A. Aminu)
9:09.0,,,62-70,,A. Aminu misses free throw 1 of 2
9:09.0,,,62-70,,Offensive rebound by Team
9:09.0,,,62-71,1,A. Aminu makes free throw 2 of 2
8:55.0,D. Fox misses 3-pt shot from 22 ft,,62-71,,
8:52.0,,,62-71,,Defensive rebound by D. Lillard
8:45.0,,,62-71,,Turnover by C. McCollum (bad pass; steal by J. Jackson)
8:35.0,Z. Randolph makes 2-pt shot from 3 ft (assist by D. Fox),2,64-71,,
8:08.0,,,64-71,,Turnover by C. McCollum (lost ball; steal by D. Fox)
8:04.0,J. Jackson misses 2-pt shot from 1 ft,,64-71,,
8:02.0,,,64-71,,Defensive rebound by A. Aminu
7:59.0,,,64-73,2,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard)
7:36.0,B. Bogdanovic misses 2-pt shot from 4 ft,,64-73,,
7:34.0,,,64-73,,Defensive rebound by J. Nurkic
7:21.0,,,64-73,,C. McCollum misses 3-pt shot from 24 ft
7:21.0,Defensive rebound by W. Cauley-Stein,,64-73,,
