time,Sacramento,pts.away,score,pts.home,Portland
1:51.0,,,97-113,,J. Layman misses 3-pt shot from 24 ft
1:49.0,Defensive rebound by W. Cauley-Stein,,97-113,,
1:39.0,D. Fox misses 3-pt shot from 22 ft,,97-113,,
1:37.0,,,97-113,,Defensive rebound by M. Leonard
1:27.0,,,97-113,,Turnover by C. Swanigan (turnover)
1:13.0,B. Bogdanovic misses 3-pt shot from 25 ft,,97-113,,
1:10.0,,,97-113,,Defensive rebound by P. Connaughton
1:01.0,,,97-113,,P. Connaughton misses 3-pt shot from 28 ft
0:59.0,Defensive rebound by S. Labissiere,,97-113,,
0:51.0,,,97-113,,Personal foul by M. Leonard (drawn by B. Hield)
0:51.0,B. Hield makes free throw 1 of 2,1,98-113,,
0:51.0,B. Hield makes free throw 2 of 2,1,99-113,,
0:37.0,,,99-116,3,S. Napier makes 3-pt shot from 25 ft
0:21.0,B. Hield misses 2-pt shot from 15 ft,,99-116,,
0:15.0,,,99-116,,Defensive rebound by M. Leonard
