time,Indiana,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Randle vs. D. Sabonis (T. Ennis gains possession),,,,Jump ball: J. Randle vs. D. Sabonis (T. Ennis gains possession)
11:37.0,,,0-0,,J. Randle misses 2-pt shot from 19 ft
11:33.0,Defensive rebound by V. Oladipo,,0-0,,
11:20.0,B. Bogdanovic misses 2-pt shot from 4 ft,,0-0,,
11:17.0,Offensive rebound by B. Bogdanovic,,0-0,,
11:11.0,T. Young makes 2-pt shot from 18 ft (assist by D. Collison),2,2-0,,
10:55.0,,,2-2,2,T. Ennis makes 2-pt shot from 2 ft
10:39.0,D. Sabonis misses 2-pt shot from 20 ft,,2-2,,
10:37.0,,,2-2,,Defensive rebound by Team
10:37.0,Loose ball foul by T. Young (drawn by T. Ennis),,2-2,,
10:20.0,,,2-2,,J. Randle misses 2-pt shot from 5 ft
10:18.0,Defensive rebound by D. Sabonis,,2-2,,
10:10.0,D. Sabonis misses 3-pt shot from 26 ft,,2-2,,
10:07.0,,,2-2,,Defensive rebound by K. Kuzma
10:01.0,,,2-4,2,J. Randle makes 2-pt shot from 1 ft (assist by K. Kuzma)
9:36.0,T. Young makes 2-pt shot from 21 ft,2,4-4,,
9:19.0,,,4-4,,C. Brewer misses 2-pt shot from 2 ft
9:17.0,Defensive rebound by T. Young,,4-4,,
9:14.0,T. Young makes 2-pt shot from 3 ft,2,6-4,,
9:01.0,,,6-4,,T. Ennis misses 2-pt shot from 3 ft (block by D. Collison)
8:58.0,Defensive rebound by D. Collison,,6-4,,
8:54.0,V. Oladipo misses 2-pt shot from 18 ft,,6-4,,
8:51.0,,,6-4,,Defensive rebound by J. Randle
8:39.0,,,6-6,2,J. Hart makes 2-pt shot from 2 ft (assist by J. Randle)
8:30.0,V. Oladipo misses 2-pt shot from 1 ft,,6-6,,
8:28.0,,,6-6,,Defensive rebound by J. Randle
8:24.0,,,6-6,,Shooting foul by D. Sabonis (drawn by T. Ennis)
8:24.0,,,6-6,,T. Ennis misses free throw 1 of 2
8:24.0,,,6-6,,Offensive rebound by Team
8:24.0,,,6-6,,T. Ennis misses free throw 2 of 2
8:22.0,Defensive rebound by D. Sabonis,,6-6,,
8:03.0,D. Sabonis misses 2-pt shot from 2 ft,,6-6,,
8:02.0,,,6-6,,Defensive rebound by J. Randle
7:54.0,,,6-6,,K. Kuzma misses 2-pt shot from 12 ft
7:52.0,Defensive rebound by D. Sabonis,,6-6,,
7:40.0,V. Oladipo misses 2-pt shot from 18 ft,,6-6,,
7:36.0,,,6-6,,Defensive rebound by C. Brewer
7:17.0,,,6-6,,J. Randle misses 2-pt shot from 7 ft (block by D. Sabonis)
7:16.0,,,6-6,,Offensive rebound by C. Brewer
7:16.0,,,6-6,,C. Brewer misses 3-pt shot from 25 ft
7:15.0,,,6-6,,Offensive rebound by Team
7:15.0,,,6-6,,Turnover by Team (shot clock)
7:01.0,T. Young misses 2-pt shot from 7 ft (block by K. Kuzma),,6-6,,
7:01.0,,,6-6,,Defensive rebound by C. Brewer
6:53.0,,,6-8,2,T. Ennis makes 2-pt shot from 1 ft
6:36.0,D. Collison misses 2-pt shot from 13 ft,,6-8,,
6:36.0,Offensive rebound by D. Sabonis,,6-8,,
6:28.0,T. Young misses 3-pt shot from 26 ft,,6-8,,
6:25.0,,,6-8,,Defensive rebound by J. Hart
6:17.0,,,6-8,,K. Kuzma misses 3-pt shot from 26 ft
6:17.0,Defensive rebound by V. Oladipo,,6-8,,
6:05.0,D. Collison misses 2-pt shot from 1 ft (block by J. Randle),,6-8,,
6:02.0,,,6-8,,Defensive rebound by J. Hart
5:59.0,,,6-8,,Offensive charge foul by K. Kuzma (drawn by V. Oladipo)
5:59.0,,,6-8,,Turnover by K. Kuzma (offensive foul)
5:59.0,,,6-8,,LA Lakers full timeout
5:47.0,Turnover by B. Bogdanovic (lost ball; steal by C. Brewer),,6-8,,
5:43.0,,,6-8,,Turnover by C. Brewer (bad pass; steal by V. Oladipo)
5:39.0,V. Oladipo makes 2-pt shot at rim,2,8-8,,
5:27.0,,,8-8,,K. Kuzma misses 2-pt shot from 16 ft
5:24.0,Defensive rebound by D. Collison,,8-8,,
5:18.0,D. Collison misses 2-pt shot from 16 ft,,8-8,,
5:15.0,Offensive rebound by D. Sabonis,,8-8,,
5:02.0,D. Collison misses 3-pt shot from 26 ft,,8-8,,
4:58.0,Offensive rebound by T. Young,,8-8,,
4:52.0,T. Young makes 2-pt shot from 1 ft,2,10-8,,
4:52.0,,,10-8,,Violation by J. Randle (def goaltending)
4:41.0,,,10-8,,J. Randle misses 2-pt shot from 2 ft
4:39.0,Defensive rebound by D. Sabonis,,10-8,,
4:38.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by V. Oladipo),3,13-8,,
4:38.0,,,13-8,,LA Lakers full timeout
4:38.0,,,13-8,,J. Clarkson enters the game for C. Brewer
4:38.0,,,13-8,,L. Nance enters the game for J. Randle
4:38.0,C. Joseph enters the game for B. Bogdanovic,,13-8,,
4:29.0,,,13-10,2,J. Clarkson makes 2-pt shot from 2 ft (assist by T. Ennis)
4:04.0,D. Collison makes 2-pt shot from 21 ft,2,15-10,,
3:45.0,,,15-12,2,L. Nance makes 2-pt shot from 16 ft (assist by T. Ennis)
3:37.0,V. Oladipo makes 3-pt shot from 25 ft,3,18-12,,
3:23.0,,,18-12,,K. Kuzma misses 3-pt shot from 25 ft
3:21.0,Defensive rebound by D. Sabonis,,18-12,,
3:16.0,Shooting foul by T. Ennis (drawn by D. Sabonis),,18-12,,
3:16.0,D. Sabonis misses free throw 1 of 2,,18-12,,
3:16.0,Offensive rebound by Team,,18-12,,
3:16.0,,,18-12,,B. Lopez enters the game for K. Kuzma
3:16.0,,,18-12,,A. Caruso enters the game for T. Ennis
3:16.0,L. Stephenson enters the game for D. Collison,,18-12,,
3:16.0,D. Sabonis makes free throw 2 of 2,1,19-12,,
3:07.0,,,19-12,,Turnover by J. Clarkson (out of bounds lost ball)
3:07.0,A. Jefferson enters the game for D. Sabonis,,19-12,,
3:07.0,T. Leaf enters the game for T. Young,,19-12,,
2:45.0,L. Stephenson misses 2-pt shot from 2 ft,,19-12,,
2:43.0,,,19-12,,Defensive rebound by L. Nance
2:33.0,,,19-12,,Shooting foul by A. Jefferson (drawn by L. Nance)
2:33.0,,,19-12,,L. Nance misses free throw 1 of 2
2:33.0,,,19-12,,Offensive rebound by Team
2:33.0,,,19-12,,C. Brewer enters the game for J. Hart
2:33.0,,,19-12,,L. Nance misses free throw 2 of 2
2:30.0,Defensive rebound by A. Jefferson,,19-12,,
2:09.0,C. Joseph makes 2-pt shot from 1 ft,2,21-12,,
1:57.0,,,21-12,,A. Caruso misses 3-pt shot from 25 ft
1:52.0,,,21-12,,Offensive rebound by L. Nance
1:48.0,,,21-12,,J. Clarkson misses 2-pt shot from 3 ft
1:46.0,Defensive rebound by A. Jefferson,,21-12,,
1:38.0,L. Stephenson misses 2-pt shot from 2 ft (block by L. Nance),,21-12,,
1:35.0,,,21-12,,Defensive rebound by A. Caruso
1:35.0,,,21-14,2,J. Clarkson makes 2-pt shot from 2 ft
1:35.0,,,21-14,,Shooting foul by V. Oladipo (drawn by J. Clarkson)
1:35.0,J. Young enters the game for V. Oladipo,,21-14,,
1:35.0,,,21-14,,J. Clarkson misses free throw 1 of 1
