time,Milwaukee,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. J. Henson (M. Williams gains possession),,,,Jump ball: D. Howard vs. J. Henson (M. Williams gains possession)
11:48.0,,,0-0,,Shooting foul by M. Dellavedova (drawn by D. Howard)
11:48.0,,,0-0,,D. Howard misses free throw 1 of 2
11:48.0,,,0-0,,Offensive rebound by Team
11:48.0,,,0-1,1,D. Howard makes free throw 2 of 2
11:32.0,E. Bledsoe makes 2-pt shot from 15 ft,2,2-1,,
11:09.0,,,2-3,2,M. Williams makes 2-pt shot from 6 ft (assist by K. Walker)
10:43.0,M. Dellavedova misses 2-pt shot from 3 ft (block by M. Kidd-Gilchrist),,2-3,,
10:39.0,,,2-3,,Defensive rebound by M. Kidd-Gilchrist
10:32.0,,,2-6,3,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum)
10:09.0,K. Middleton misses 2-pt shot from 10 ft,,2-6,,
10:07.0,,,2-6,,Defensive rebound by D. Howard
9:58.0,,,2-6,,K. Walker misses 2-pt shot from 18 ft
9:53.0,,,2-6,,Offensive rebound by D. Howard
9:52.0,,,2-6,,D. Howard misses 2-pt shot from 1 ft (block by K. Middleton)
9:52.0,Defensive rebound by E. Bledsoe,,2-6,,
9:46.0,E. Bledsoe misses 2-pt shot from 13 ft,,2-6,,
9:43.0,,,2-6,,Defensive rebound by D. Howard
9:31.0,,,2-8,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by N. Batum)
9:06.0,T. Snell makes 2-pt shot from 5 ft,2,4-8,,
8:57.0,,,4-8,,Turnover by K. Walker (bad pass)
8:45.0,K. Middleton misses 3-pt shot from 24 ft,,4-8,,
8:41.0,Offensive rebound by M. Dellavedova,,4-8,,
8:36.0,M. Dellavedova misses 2-pt shot from 20 ft,,4-8,,
8:33.0,,,4-8,,Defensive rebound by N. Batum
8:24.0,,,4-8,,Offensive foul by M. Williams (drawn by M. Dellavedova)
8:24.0,,,4-8,,Turnover by M. Williams (offensive foul)
8:13.0,E. Bledsoe makes 2-pt shot from 12 ft,2,6-8,,
8:00.0,,,6-8,,N. Batum misses 2-pt shot from 16 ft
8:00.0,,,6-8,,Offensive rebound by Team
7:58.0,,,6-8,,M. Williams misses 2-pt shot from 14 ft
7:56.0,,,6-8,,Offensive rebound by M. Kidd-Gilchrist
7:54.0,,,6-8,,K. Walker misses 3-pt shot from 25 ft
7:51.0,Defensive rebound by T. Snell,,6-8,,
7:46.0,Shooting foul by N. Batum (drawn by J. Henson),,6-8,,
7:46.0,J. Henson makes free throw 1 of 2,1,7-8,,
7:46.0,S. Brown enters the game for K. Middleton,,7-8,,
7:46.0,M. Brogdon enters the game for M. Dellavedova,,7-8,,
7:46.0,J. Henson makes free throw 2 of 2,1,8-8,,
7:32.0,Personal foul by J. Henson (drawn by D. Howard),,8-8,,
7:24.0,,,8-8,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft
7:20.0,,,8-8,,Offensive rebound by N. Batum
7:20.0,,,8-10,2,N. Batum makes 2-pt shot at rim
7:12.0,J. Henson makes 2-pt shot from 7 ft (assist by E. Bledsoe),2,10-10,,
6:59.0,,,10-12,2,D. Howard makes 2-pt shot from 1 ft (assist by M. Williams)
6:37.0,M. Brogdon makes 2-pt shot from 1 ft,2,12-12,,
6:22.0,,,12-12,,N. Batum misses 2-pt shot from 10 ft
6:20.0,Defensive rebound by J. Henson,,12-12,,
6:10.0,T. Snell makes 2-pt shot from 1 ft (assist by M. Brogdon),2,14-12,,
5:59.0,,,14-12,,Turnover by K. Walker (lost ball; steal by M. Brogdon)
5:56.0,M. Brogdon makes 2-pt shot at rim,2,16-12,,
5:56.0,,,16-12,,Charlotte full timeout
5:56.0,,,16-12,,T. Graham enters the game for M. Kidd-Gilchrist
5:56.0,D. Liggins enters the game for E. Bledsoe,,16-12,,
5:44.0,,,16-12,,Turnover by D. Howard (traveling)
5:34.0,S. Brown misses 2-pt shot from 3 ft,,16-12,,
5:32.0,,,16-12,,Defensive rebound by M. Williams
5:26.0,,,16-12,,Turnover by K. Walker (bad pass; steal by D. Liggins)
5:20.0,M. Brogdon misses 3-pt shot from 25 ft,,16-12,,
5:16.0,,,16-12,,Defensive rebound by M. Williams
5:10.0,,,16-14,2,K. Walker makes 2-pt shot from 17 ft (assist by N. Batum)
4:52.0,T. Snell misses 3-pt shot from 24 ft,,16-14,,
4:48.0,Offensive rebound by D. Liggins,,16-14,,
4:45.0,Turnover by M. Brogdon (bad pass),,16-14,,
4:45.0,,,16-14,,F. Kaminsky enters the game for M. Williams
4:45.0,T. Maker enters the game for J. Henson,,16-14,,
4:27.0,,,16-14,,K. Walker misses 2-pt shot from 14 ft
4:24.0,Defensive rebound by S. Brown,,16-14,,
4:14.0,D. Liggins misses 3-pt shot from 22 ft,,16-14,,
4:11.0,,,16-14,,Defensive rebound by D. Howard
4:00.0,,,16-14,,Offensive foul by D. Howard (drawn by D. Liggins)
4:00.0,,,16-14,,Turnover by D. Howard (offensive foul)
3:47.0,S. Brown misses 2-pt shot from 18 ft,,16-14,,
3:44.0,Offensive rebound by T. Maker,,16-14,,
3:44.0,Shooting foul by D. Howard (drawn by T. Maker),,16-14,,
3:44.0,T. Maker makes free throw 1 of 2,1,17-14,,
3:44.0,,,17-14,,M. Carter-Williams enters the game for K. Walker
3:44.0,K. Middleton enters the game for T. Snell,,17-14,,
3:44.0,T. Maker makes free throw 2 of 2,1,18-14,,
3:26.0,,,18-17,3,T. Graham makes 3-pt shot from 23 ft (assist by M. Carter-Williams)
3:01.0,K. Middleton makes 2-pt shot from 10 ft,2,20-17,,
2:43.0,,,20-17,,D. Howard misses 2-pt shot from 2 ft
2:43.0,,,20-17,,Offensive rebound by D. Howard
2:43.0,,,20-19,2,D. Howard makes 2-pt shot from 2 ft
2:43.0,,,20-19,,Shooting foul by T. Maker (drawn by D. Howard)
2:43.0,Milwaukee full timeout,,20-19,,
2:43.0,,,20-19,,J. Lamb enters the game for N. Batum
2:43.0,,,20-19,,D. Howard misses free throw 1 of 1
2:38.0,Defensive rebound by K. Middleton,,20-19,,
2:32.0,K. Middleton misses 2-pt shot from 18 ft,,20-19,,
2:29.0,,,20-19,,Defensive rebound by J. Lamb
2:14.0,,,20-19,,Turnover by M. Carter-Williams (lost ball; steal by D. Liggins)
2:03.0,K. Middleton misses 2-pt shot from 10 ft,,20-19,,
2:01.0,Offensive rebound by T. Maker,,20-19,,
1:54.0,T. Maker makes 3-pt shot from 24 ft (assist by D. Liggins),3,23-19,,
1:29.0,,,23-19,,F. Kaminsky misses 2-pt shot from 8 ft
1:26.0,Defensive rebound by T. Maker,,23-19,,
1:21.0,Turnover by K. Middleton (bad pass),,23-19,,
1:21.0,,,23-19,,J. O'Bryant enters the game for D. Howard
1:04.0,,,23-19,,Shooting foul by D. Liggins (drawn by J. O'Bryant)
1:04.0,,,23-20,1,J. O'Bryant makes free throw 1 of 2
1:04.0,,,23-20,,J. O'Bryant misses free throw 2 of 2
1:02.0,Defensive rebound by T. Maker,,23-20,,
0:46.0,D. Liggins misses 3-pt shot from 25 ft,,23-20,,
0:45.0,,,23-20,,Defensive rebound by Team
0:27.0,,,23-22,2,J. O'Bryant makes 2-pt shot from 8 ft
0:01.0,K. Middleton misses 3-pt shot from 34 ft,,23-22,,
0:01.0,,,23-22,,Defensive rebound by F. Kaminsky
0:01.0,Personal foul by T. Maker (drawn by F. Kaminsky),,23-22,,
0:01.0,,,23-23,1,F. Kaminsky makes free throw 1 of 2
0:01.0,,,23-24,1,F. Kaminsky makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,M. Brogdon misses 2-pt shot from 1 ft,,23-24,,
11:43.0,,,23-24,,Defensive rebound by F. Kaminsky
11:29.0,,,23-26,2,M. Carter-Williams makes 2-pt shot from 18 ft
11:13.0,S. Kilpatrick misses 2-pt shot from 20 ft,,23-26,,
11:10.0,,,23-26,,Defensive rebound by J. Lamb
10:59.0,,,23-26,,F. Kaminsky misses 2-pt shot from 13 ft
10:55.0,Defensive rebound by D. Wilson,,23-26,,
10:41.0,K. Middleton makes 3-pt shot from 24 ft,3,26-26,,
