time,Golden State,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. Z. Pachulia (P. Mills gains possession),,,,Jump ball: L. Aldridge vs. Z. Pachulia (P. Mills gains possession)
11:46.0,,,0-3,3,D. Green makes 3-pt shot from 25 ft (assist by D. Murray)
11:28.0,N. Young misses 3-pt shot from 25 ft,,0-3,,
11:25.0,,,0-3,,Defensive rebound by P. Mills
11:17.0,Personal foul by Z. Pachulia (drawn by L. Aldridge),,0-3,,
11:03.0,,,0-5,2,P. Mills makes 2-pt shot at rim
10:36.0,Z. Pachulia misses 2-pt shot from 6 ft,,0-5,,
10:34.0,,,0-5,,Defensive rebound by L. Aldridge
10:23.0,,,0-5,,L. Aldridge misses 2-pt shot from 17 ft
10:18.0,Defensive rebound by D. Green,,0-5,,
10:13.0,Shooting foul by D. Green (drawn by N. Young),,0-5,,
10:13.0,N. Young makes free throw 1 of 2,1,1-5,,
10:13.0,N. Young makes free throw 2 of 2,1,2-5,,
9:56.0,,,2-5,,K. Anderson misses 3-pt shot from 23 ft
9:53.0,Defensive rebound by A. Iguodala,,2-5,,
9:49.0,A. Iguodala misses 2-pt shot from 7 ft (block by P. Mills),,2-5,,
9:49.0,Offensive rebound by Team,,2-5,,
9:46.0,Q. Cook misses 3-pt shot from 26 ft,,2-5,,
9:43.0,,,2-5,,Defensive rebound by K. Anderson
9:32.0,,,2-5,,K. Anderson misses 3-pt shot from 22 ft
9:27.0,,,2-5,,Offensive rebound by K. Anderson
9:25.0,,,2-8,3,P. Mills makes 3-pt shot from 25 ft (assist by K. Anderson)
9:07.0,Shooting foul by L. Aldridge (drawn by N. Young),,2-8,,
9:07.0,N. Young makes free throw 1 of 2,1,3-8,,
9:07.0,N. Young makes free throw 2 of 2,1,4-8,,
8:53.0,,,4-11,3,P. Mills makes 3-pt shot from 25 ft (assist by L. Aldridge)
8:41.0,A. Iguodala makes 2-pt shot from 3 ft (assist by Q. Cook),2,6-11,,
8:24.0,,,6-13,2,D. Green makes 2-pt shot from 13 ft (assist by D. Murray)
8:13.0,Turnover by Z. Pachulia (bad pass; steal by K. Anderson),,6-13,,
8:03.0,,,6-15,2,L. Aldridge makes 2-pt shot from 1 ft (assist by K. Anderson)
7:46.0,D. Green misses 3-pt shot from 26 ft,,6-15,,
7:42.0,,,6-15,,Defensive rebound by L. Aldridge
7:27.0,,,6-18,3,D. Green makes 3-pt shot from 23 ft (assist by D. Murray)
7:17.0,Golden State full timeout,,6-18,,
7:04.0,Z. Pachulia misses 2-pt shot at rim (block by L. Aldridge),,6-18,,
7:01.0,,,6-18,,Defensive rebound by D. Green
6:45.0,,,6-18,,L. Aldridge misses 2-pt shot from 7 ft
6:43.0,Defensive rebound by Z. Pachulia,,6-18,,
6:39.0,D. Green misses 2-pt shot from 13 ft,,6-18,,
6:39.0,,,6-18,,Defensive rebound by L. Aldridge
6:20.0,,,6-20,2,L. Aldridge makes 2-pt shot at rim (assist by K. Anderson)
5:56.0,Q. Cook misses 3-pt shot from 24 ft,,6-20,,
5:51.0,,,6-20,,Defensive rebound by K. Anderson
5:37.0,,,6-20,,Offensive charge foul by L. Aldridge (drawn by D. Green)
5:37.0,,,6-20,,Turnover by L. Aldridge (offensive foul)
5:37.0,,,6-20,,P. Gasol enters the game for K. Anderson
5:37.0,,,6-20,,R. Gay enters the game for L. Aldridge
5:37.0,K. Looney enters the game for D. Green,,6-20,,
5:37.0,J. McGee enters the game for Z. Pachulia,,6-20,,
5:25.0,Q. Cook makes 3-pt shot from 24 ft (assist by J. McGee),3,9-20,,
5:21.0,,,9-20,,San Antonio full timeout
5:06.0,,,9-20,,R. Gay misses 2-pt shot from 11 ft (block by J. McGee)
5:03.0,,,9-20,,Offensive rebound by P. Mills
5:01.0,,,9-20,,P. Mills misses 3-pt shot from 25 ft
4:59.0,,,9-20,,Offensive rebound by P. Gasol
4:54.0,,,9-20,,R. Gay misses 2-pt shot from 15 ft
4:51.0,,,9-20,,Offensive rebound by P. Gasol
4:39.0,,,9-20,,P. Gasol misses 2-pt shot from 3 ft (block by A. Iguodala)
4:39.0,,,9-20,,Offensive rebound by Team
4:39.0,,,9-20,,M. Ginobili enters the game for D. Murray
4:39.0,,,9-20,,T. Parker enters the game for D. Green
4:31.0,,,9-20,,R. Gay misses 3-pt shot from 23 ft
4:26.0,Defensive rebound by K. Looney,,9-20,,
4:12.0,A. Iguodala makes 2-pt shot from 1 ft,2,11-20,,
4:12.0,Shooting foul by P. Gasol (drawn by A. Iguodala),,11-20,,
4:12.0,,,11-20,,B. Forbes enters the game for P. Mills
4:12.0,P. McCaw enters the game for N. Young,,11-20,,
4:12.0,A. Iguodala makes free throw 1 of 1,1,12-20,,
3:55.0,,,12-23,3,R. Gay makes 3-pt shot from 23 ft (assist by T. Parker)
3:31.0,K. Looney makes 2-pt shot from 1 ft (assist by P. McCaw),2,14-23,,
3:07.0,,,14-23,,M. Ginobili misses 2-pt shot from 10 ft
3:04.0,Defensive rebound by K. Looney,,14-23,,
3:02.0,A. Iguodala makes 2-pt shot from 1 ft (assist by Q. Cook),2,16-23,,
3:02.0,,,16-23,,San Antonio full timeout
3:02.0,S. Livingston enters the game for A. Iguodala,,16-23,,
2:51.0,,,16-23,,Turnover by B. Forbes (traveling)
2:45.0,Q. Cook misses 3-pt shot from 25 ft,,16-23,,
2:44.0,Offensive rebound by Team,,16-23,,
2:44.0,,,16-23,,Loose ball foul by T. Parker (drawn by K. Looney)
2:39.0,P. McCaw makes 2-pt shot from 10 ft (assist by Q. Cook),2,18-23,,
2:28.0,,,18-23,,P. Gasol misses 2-pt shot from 17 ft
2:28.0,Defensive rebound by P. McCaw,,18-23,,
2:13.0,S. Livingston makes 2-pt shot from 12 ft,2,20-23,,
2:03.0,,,20-23,,Shooting foul by J. McGee (drawn by M. Ginobili)
2:03.0,,,20-24,1,M. Ginobili makes free throw 1 of 2
2:03.0,,,20-24,,B. Paul enters the game for B. Forbes
2:03.0,,,20-25,1,M. Ginobili makes free throw 2 of 2
1:50.0,P. McCaw misses 2-pt shot from 14 ft,,20-25,,
1:47.0,,,20-25,,Defensive rebound by R. Gay
1:35.0,,,20-25,,T. Parker misses 2-pt shot at rim
1:32.0,,,20-25,,Offensive rebound by R. Gay
1:32.0,,,20-27,2,R. Gay makes 2-pt shot at rim
1:19.0,Q. Cook misses 2-pt shot from 8 ft,,20-27,,
1:19.0,,,20-27,,Defensive rebound by Team
1:19.0,Loose ball foul by J. McGee (drawn by P. Gasol),,20-27,,
1:01.0,,,20-27,,Turnover by R. Gay (lost ball; steal by K. Looney)
0:51.0,Turnover by Q. Cook (lost ball; steal by M. Ginobili),,20-27,,
0:49.0,Personal foul by P. McCaw (drawn by T. Parker),,20-27,,
0:49.0,,,20-27,,T. Parker misses free throw 1 of 2
0:49.0,,,20-27,,Offensive rebound by Team
0:49.0,D. Green enters the game for J. McGee,,20-27,,
0:49.0,,,20-28,1,T. Parker makes free throw 2 of 2
0:42.0,Shooting foul by B. Paul (drawn by P. McCaw),,20-28,,
0:42.0,P. McCaw misses free throw 1 of 2,,20-28,,
0:42.0,Offensive rebound by Team,,20-28,,
0:42.0,P. McCaw makes free throw 2 of 2,1,21-28,,
0:34.0,,,21-28,,T. Parker misses 2-pt shot at rim (block by K. Looney)
0:33.0,Defensive rebound by Team,,21-28,,
0:10.0,S. Livingston misses 2-pt shot from 16 ft,,21-28,,
0:08.0,,,21-28,,Defensive rebound by T. Parker
0:00.0,,,21-30,2,R. Gay makes 2-pt shot from 14 ft (assist by T. Parker)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,S. Livingston makes 2-pt shot from 14 ft,2,23-30,,
11:27.0,,,23-30,,P. Gasol misses 2-pt shot at rim
11:24.0,Defensive rebound by D. West,,23-30,,
11:23.0,Turnover by D. West (bad pass; steal by R. Gay),,23-30,,
11:20.0,,,23-32,2,R. Gay makes 2-pt shot from 1 ft
11:03.0,P. McCaw misses 3-pt shot from 25 ft,,23-32,,
11:00.0,,,23-32,,Defensive rebound by Team
10:48.0,Personal block foul by P. McCaw (drawn by P. Mills),,23-32,,
10:41.0,,,23-32,,P. Mills misses 2-pt shot from 1 ft
10:40.0,Defensive rebound by Team,,23-32,,
10:22.0,D. Green misses 3-pt shot from 25 ft,,23-32,,
10:18.0,,,23-32,,Defensive rebound by P. Gasol
10:03.0,,,23-34,2,P. Gasol makes 2-pt shot from 1 ft (assist by R. Gay)
