time,Cleveland,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. T. Thompson (D. Cousins gains possession),,,,Jump ball: A. Davis vs. T. Thompson (D. Cousins gains possession)
11:43.0,,,0-2,2,E. Moore makes 2-pt shot from 3 ft (assist by D. Cousins)
11:21.0,K. Love makes 3-pt shot from 28 ft (assist by L. James),3,3-2,,
11:09.0,,,3-2,,D. Cousins misses 2-pt shot from 18 ft
11:04.0,Defensive rebound by K. Love,,3-2,,
10:54.0,Shooting foul by J. Holiday (drawn by L. James),,3-2,,
10:54.0,L. James makes free throw 1 of 2,1,4-2,,
10:54.0,L. James makes free throw 2 of 2,1,5-2,,
10:46.0,,,5-2,,Turnover by E. Moore (bad pass; steal by J. Smith)
10:44.0,Turnover by J. Smith (traveling),,5-2,,
10:32.0,,,5-4,2,A. Davis makes 2-pt shot from 1 ft (assist by D. Cousins)
10:10.0,I. Shumpert makes 2-pt shot from 17 ft,2,7-4,,
9:52.0,,,7-6,2,J. Holiday makes 2-pt shot from 4 ft (assist by D. Cousins)
9:41.0,Turnover by K. Love (lost ball; steal by A. Davis),,7-6,,
9:28.0,,,7-9,3,E. Moore makes 3-pt shot from 27 ft (assist by A. Davis)
9:28.0,,,7-9,,Technical foul by D. Cousins
9:28.0,Technical foul by T. Thompson,,7-9,,
9:17.0,K. Love misses 2-pt shot from 14 ft,,7-9,,
9:12.0,,,7-9,,Defensive rebound by J. Holiday
9:11.0,,,7-9,,D. Cunningham misses 3-pt shot from 27 ft
9:05.0,Defensive rebound by I. Shumpert,,7-9,,
8:52.0,L. James makes 2-pt shot from 1 ft,2,9-9,,
8:43.0,,,9-12,3,E. Moore makes 3-pt shot from 23 ft (assist by D. Cousins)
8:34.0,I. Shumpert makes 3-pt shot from 28 ft,3,12-12,,
8:26.0,,,12-12,,D. Cousins misses 2-pt shot from 3 ft
8:21.0,Defensive rebound by K. Love,,12-12,,
8:21.0,Turnover by I. Shumpert (bad pass),,12-12,,
8:08.0,,,12-14,2,D. Cousins makes 2-pt shot at rim (assist by J. Holiday)
7:49.0,K. Love misses 2-pt shot from 4 ft (block by A. Davis),,12-14,,
7:47.0,Offensive rebound by T. Thompson,,12-14,,
7:41.0,Turnover by L. James (bad pass),,12-14,,
7:25.0,Personal foul by L. James (drawn by D. Cunningham),,12-14,,
7:19.0,,,12-16,2,J. Holiday makes 2-pt shot from 2 ft
7:19.0,,,12-16,,Shooting foul by T. Thompson (drawn by J. Holiday)
7:19.0,,,12-17,1,J. Holiday makes free throw 1 of 1
6:59.0,T. Thompson misses 2-pt shot from 6 ft,,12-17,,
6:53.0,,,12-17,,Defensive rebound by A. Davis
6:40.0,,,12-17,,D. Cousins misses 2-pt shot from 8 ft
6:40.0,,,12-17,,Offensive rebound by Team
6:40.0,,,12-17,,Loose ball foul by A. Davis (drawn by K. Love)
6:40.0,,,12-17,,New Orleans full timeout
6:24.0,L. James misses 2-pt shot from 18 ft,,12-17,,
6:19.0,,,12-17,,Defensive rebound by E. Moore
6:10.0,Personal foul by K. Love (drawn by A. Davis),,12-17,,
5:58.0,,,12-17,,A. Davis misses 2-pt shot from 8 ft
5:54.0,Defensive rebound by K. Love,,12-17,,
5:47.0,L. James makes 2-pt shot from 14 ft,2,14-17,,
5:33.0,,,14-19,2,A. Davis makes 2-pt shot from 9 ft (assist by J. Holiday)
5:11.0,K. Love makes 3-pt shot from 25 ft (assist by L. James),3,17-19,,
4:57.0,,,17-22,3,D. Cousins makes 3-pt shot from 24 ft (assist by J. Holiday)
4:42.0,L. James misses 2-pt shot from 8 ft,,17-22,,
4:37.0,,,17-22,,Defensive rebound by A. Davis
4:35.0,,,17-24,2,A. Davis makes 2-pt shot from 2 ft
4:19.0,Turnover by I. Shumpert (bad pass; steal by D. Cunningham),,17-24,,
4:15.0,,,17-26,2,E. Moore makes 2-pt shot from 2 ft (assist by D. Cunningham)
4:15.0,Cleveland full timeout,,17-26,,
4:15.0,,,17-26,,C. Diallo enters the game for D. Cousins
4:15.0,,,17-26,,J. Nelson enters the game for E. Moore
4:15.0,D. Wade enters the game for J. Smith,,17-26,,
4:15.0,K. Korver enters the game for I. Shumpert,,17-26,,
4:08.0,,,17-26,,Personal foul by D. Cunningham (drawn by L. James)
4:08.0,J. Crowder enters the game for T. Thompson,,17-26,,
4:01.0,K. Love makes free throw 1 of 1,1,18-26,,
3:56.0,L. James misses 2-pt shot from 5 ft (block by D. Cunningham),,18-26,,
3:50.0,,,18-26,,Defensive rebound by C. Diallo
3:45.0,,,18-26,,A. Davis misses 2-pt shot from 16 ft
3:38.0,Defensive rebound by K. Love,,18-26,,
3:36.0,D. Wade misses 2-pt shot from 17 ft,,18-26,,
3:27.0,,,18-26,,Defensive rebound by A. Davis
3:23.0,,,18-26,,C. Diallo misses 2-pt shot from 6 ft
3:17.0,Defensive rebound by K. Love,,18-26,,
3:05.0,,,18-26,,Personal foul by C. Diallo (drawn by K. Love)
3:05.0,J. Green enters the game for K. Love,,18-26,,
2:58.0,J. Crowder misses 2-pt shot from 15 ft,,18-26,,
2:52.0,,,18-26,,Defensive rebound by A. Davis
2:46.0,,,18-29,3,J. Holiday makes 3-pt shot from 29 ft (assist by J. Nelson)
2:36.0,D. Wade misses 2-pt shot from 9 ft,,18-29,,
2:29.0,Offensive rebound by J. Crowder,,18-29,,
2:26.0,J. Green misses 3-pt shot from 29 ft,,18-29,,
2:22.0,,,18-29,,Defensive rebound by J. Nelson
2:11.0,,,18-29,,J. Holiday misses 3-pt shot from 27 ft
2:06.0,Defensive rebound by J. Crowder,,18-29,,
2:02.0,Shooting foul by C. Diallo (drawn by L. James),,18-29,,
2:02.0,L. James makes free throw 1 of 2,1,19-29,,
2:02.0,L. James makes free throw 2 of 2,1,20-29,,
1:49.0,,,20-31,2,D. Cunningham makes 2-pt shot from 2 ft (assist by C. Diallo)
1:31.0,K. Korver misses 3-pt shot from 27 ft,,20-31,,
1:26.0,,,20-31,,Defensive rebound by J. Holiday
1:19.0,,,20-33,2,A. Davis makes 2-pt shot from 3 ft (assist by J. Nelson)
0:57.0,L. James misses 3-pt shot from 24 ft,,20-33,,
0:56.0,Jump ball: A. Davis vs. J. Green (C. Diallo gains possession),,,,Jump ball: A. Davis vs. J. Green (C. Diallo gains possession)
0:56.0,,,20-33,,Offensive rebound by Team
0:43.0,,,20-33,,J. Nelson misses 3-pt shot from 28 ft
0:37.0,Defensive rebound by J. Crowder,,20-33,,
0:34.0,J. Crowder misses 3-pt shot from 28 ft,,20-33,,
0:26.0,,,20-33,,Defensive rebound by D. Cunningham
0:22.0,,,20-33,,Offensive charge foul by C. Diallo (drawn by J. Crowder)
0:22.0,,,20-33,,Turnover by C. Diallo (offensive foul)
0:22.0,,,20-33,,J. Smith enters the game for C. Diallo
0:22.0,,,20-33,,I. Clark enters the game for J. Holiday
