time,Houston,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. T. Black (P. Tucker gains possession),,,,Jump ball: R. Gobert vs. T. Black (P. Tucker gains possession)
11:33.0,T. Ariza misses 3-pt shot from 25 ft,,0-0,,
11:30.0,Offensive rebound by T. Black,,0-0,,
11:22.0,Turnover by J. Harden (lost ball; steal by D. Mitchell),,0-0,,
11:03.0,,,0-0,,Turnover by R. Rubio (bad pass; steal by T. Black)
10:50.0,T. Black misses 2-pt shot from 4 ft,,0-0,,
10:48.0,,,0-0,,Defensive rebound by D. Favors
10:44.0,Personal foul by T. Black (drawn by R. Rubio),,0-0,,
10:33.0,,,0-3,3,D. Mitchell makes 3-pt shot from 22 ft (assist by R. Gobert)
10:05.0,T. Black makes 2-pt shot from 6 ft,2,2-3,,
9:50.0,,,2-3,,Shooting foul by P. Tucker (drawn by D. Mitchell)
9:50.0,,,2-4,1,D. Mitchell makes free throw 1 of 2
9:50.0,,,2-5,1,D. Mitchell makes free throw 2 of 2
9:28.0,J. Harden makes 2-pt shot from 1 ft,2,4-5,,
9:03.0,,,4-5,,D. Mitchell misses 3-pt shot from 28 ft
9:01.0,,,4-5,,Offensive rebound by R. Gobert
8:58.0,,,4-5,,D. Mitchell misses 3-pt shot from 25 ft
8:55.0,Defensive rebound by J. Harden,,4-5,,
8:52.0,T. Black makes 2-pt shot from 3 ft (assist by J. Harden),2,6-5,,
8:52.0,,,6-5,,Violation by D. Mitchell (def goaltending)
8:52.0,Shooting foul by R. Rubio (drawn by T. Black),,6-5,,
8:52.0,T. Black misses free throw 1 of 1,,6-5,,
8:52.0,,,6-5,,Defensive rebound by D. Favors
8:40.0,,,6-5,,J. Ingles misses 3-pt shot from 25 ft
8:38.0,Defensive rebound by T. Ariza,,6-5,,
8:19.0,J. Harden misses 3-pt shot from 25 ft,,6-5,,
8:13.0,,,6-5,,Defensive rebound by R. Rubio
8:07.0,,,6-7,2,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles)
7:43.0,C. Paul makes 3-pt shot from 23 ft,3,9-7,,
7:28.0,,,9-7,,Turnover by D. Mitchell (step out of bounds)
7:21.0,P. Tucker misses 3-pt shot from 25 ft,,9-7,,
7:16.0,,,9-7,,Defensive rebound by D. Mitchell
7:06.0,,,9-7,,D. Favors misses 2-pt shot from 6 ft
7:03.0,Defensive rebound by C. Paul,,9-7,,
6:57.0,J. Harden makes 2-pt shot from 2 ft,2,11-7,,
6:40.0,,,11-7,,D. Favors misses 2-pt shot from 16 ft
6:38.0,Defensive rebound by C. Paul,,11-7,,
6:34.0,Shooting foul by D. Favors (drawn by J. Harden),,11-7,,
6:34.0,,,11-7,,Utah full timeout
6:34.0,,,11-7,,J. Crowder enters the game for R. Rubio
6:34.0,L. Mbah a Moute enters the game for T. Black,,11-7,,
6:34.0,N. Hilario enters the game for C. Paul,,11-7,,
6:34.0,J. Harden misses free throw 1 of 3,,11-7,,
6:34.0,Offensive rebound by Team,,11-7,,
6:34.0,J. Harden misses free throw 2 of 3,,11-7,,
6:34.0,Offensive rebound by Team,,11-7,,
6:34.0,J. Harden makes free throw 3 of 3,1,12-7,,
6:17.0,,,12-7,,J. Ingles misses 2-pt shot from 16 ft
6:14.0,Defensive rebound by N. Hilario,,12-7,,
6:04.0,Turnover by J. Harden (bad pass),,12-7,,
6:04.0,,,12-7,,R. O'Neale enters the game for J. Ingles
5:47.0,,,12-7,,J. Crowder misses 3-pt shot from 25 ft
5:44.0,Defensive rebound by J. Harden,,12-7,,
5:28.0,N. Hilario makes 2-pt shot from 8 ft,2,14-7,,
5:12.0,,,14-7,,Turnover by D. Favors (bad pass; steal by P. Tucker)
5:08.0,Turnover by J. Harden (lost ball; steal by R. O'Neale),,14-7,,
5:02.0,,,14-9,2,D. Favors makes 2-pt shot from 1 ft (assist by R. O'Neale)
4:59.0,Turnover by N. Hilario (bad pass),,14-9,,
4:59.0,,,14-9,,J. Jerebko enters the game for D. Favors
4:59.0,G. Green enters the game for T. Ariza,,14-9,,
4:59.0,J. Johnson enters the game for P. Tucker,,14-9,,
4:49.0,,,14-9,,D. Mitchell misses 3-pt shot from 25 ft
4:45.0,Defensive rebound by L. Mbah a Moute,,14-9,,
4:32.0,G. Green misses 3-pt shot from 24 ft,,14-9,,
4:28.0,Offensive rebound by J. Harden,,14-9,,
4:20.0,Shooting foul by R. Gobert (drawn by N. Hilario),,14-9,,
4:20.0,N. Hilario makes free throw 1 of 2,1,15-9,,
4:20.0,N. Hilario makes free throw 2 of 2,1,16-9,,
4:00.0,,,16-11,2,J. Jerebko makes 2-pt shot from 3 ft (assist by D. Mitchell)
4:00.0,,,16-11,,Shooting foul by G. Green (drawn by J. Jerebko)
4:00.0,,,16-12,1,J. Jerebko makes free throw 1 of 1
3:51.0,G. Green misses 3-pt shot from 24 ft,,16-12,,
3:49.0,,,16-12,,Defensive rebound by R. Gobert
3:36.0,,,16-14,2,R. Gobert makes 2-pt shot from 2 ft (assist by R. O'Neale)
3:10.0,J. Harden misses 3-pt shot from 25 ft,,16-14,,
3:09.0,Offensive rebound by Team,,16-14,,
3:08.0,Turnover by Team (shot clock),,16-14,,
2:48.0,,,16-16,2,J. Crowder makes 2-pt shot from 3 ft
2:22.0,J. Harden misses 3-pt shot from 27 ft,,16-16,,
2:18.0,,,16-16,,Defensive rebound by J. Crowder
2:13.0,,,16-19,3,J. Crowder makes 3-pt shot from 25 ft
2:12.0,Houston full timeout,,16-19,,
2:12.0,,,16-19,,D. Favors enters the game for R. Gobert
2:12.0,,,16-19,,J. Ingles enters the game for D. Mitchell
2:12.0,C. Paul enters the game for J. Harden,,16-19,,
2:01.0,J. Johnson makes 3-pt shot from 26 ft (assist by C. Paul),3,19-19,,
1:40.0,,,19-19,,J. Crowder misses 2-pt shot from 21 ft
1:37.0,Defensive rebound by J. Johnson,,19-19,,
1:25.0,,,19-19,,Personal foul by J. Ingles (drawn by J. Johnson)
1:22.0,G. Green misses 3-pt shot from 25 ft,,19-19,,
1:19.0,,,19-19,,Defensive rebound by D. Favors
0:59.0,,,19-19,,J. Crowder misses 2-pt shot from 3 ft
0:57.0,Defensive rebound by C. Paul,,19-19,,
0:53.0,G. Green misses 3-pt shot from 23 ft,,19-19,,
0:53.0,,,19-19,,Defensive rebound by J. Jerebko
0:40.0,,,19-21,2,R. O'Neale makes 2-pt shot from 1 ft (assist by J. Crowder)
0:31.0,,,19-21,,Personal foul by J. Ingles (drawn by N. Hilario)
0:31.0,N. Hilario misses free throw 1 of 2,,19-21,,
0:31.0,Offensive rebound by Team,,19-21,,
0:31.0,,,19-21,,D. Mitchell enters the game for J. Ingles
0:31.0,N. Hilario misses free throw 2 of 2,,19-21,,
0:29.0,,,19-21,,Defensive rebound by J. Jerebko
0:08.0,,,19-21,,Turnover by D. Mitchell (lost ball; steal by C. Paul)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,19-24,3,J. Crowder makes 3-pt shot from 25 ft (assist by A. Burks)
11:15.0,C. Paul misses 2-pt shot from 4 ft (block by R. Rubio),,19-24,,
11:12.0,Offensive rebound by Team,,19-24,,
11:05.0,T. Black misses 2-pt shot from 18 ft,,19-24,,
11:02.0,,,19-24,,Defensive rebound by J. Jerebko
10:59.0,,,19-26,2,A. Burks makes 2-pt shot from 1 ft (assist by R. Rubio)
10:42.0,T. Ariza misses 3-pt shot from 25 ft,,19-26,,
10:40.0,,,19-26,,Defensive rebound by D. Favors
10:29.0,,,19-29,3,A. Burks makes 3-pt shot from 22 ft (assist by R. Rubio)
10:27.0,Houston full timeout,,19-29,,
10:17.0,T. Black makes 2-pt shot from 1 ft (assist by C. Paul),2,21-29,,
10:01.0,,,21-31,2,A. Burks makes 2-pt shot from 1 ft (assist by R. Rubio)
9:38.0,C. Paul misses 3-pt shot from 27 ft,,21-31,,
9:35.0,,,21-31,,Defensive rebound by J. Jerebko
9:30.0,,,21-31,,Turnover by R. Rubio (bad pass)
9:30.0,P. Tucker enters the game for L. Mbah a Moute,,21-31,,
9:20.0,C. Paul misses 3-pt shot from 25 ft,,21-31,,
9:16.0,,,21-31,,Defensive rebound by J. Jerebko
8:57.0,,,21-34,3,R. Rubio makes 3-pt shot from 25 ft (assist by J. Crowder)
8:29.0,,,21-34,,Personal foul by R. Rubio (drawn by C. Paul)
8:21.0,Shooting foul by J. Jerebko (drawn by P. Tucker),,21-34,,
8:21.0,P. Tucker makes free throw 1 of 2,1,22-34,,
8:21.0,,,22-34,,R. Gobert enters the game for D. Favors
8:21.0,,,22-34,,D. Mitchell enters the game for J. Jerebko
8:21.0,P. Tucker makes free throw 2 of 2,1,23-34,,
8:09.0,,,23-36,2,R. Gobert makes 2-pt shot from 1 ft (assist by J. Crowder)
7:49.0,P. Tucker misses 2-pt shot from 2 ft,,23-36,,
7:48.0,Offensive rebound by T. Black,,23-36,,
7:48.0,T. Black makes 2-pt shot at rim,2,25-36,,
7:37.0,Personal foul by J. Johnson (drawn by R. Rubio),,25-36,,
7:37.0,,,25-36,,R. O'Neale enters the game for J. Crowder
7:37.0,J. Harden enters the game for C. Paul,,25-36,,
7:37.0,G. Green enters the game for J. Johnson,,25-36,,
7:29.0,,,25-36,,R. Rubio misses 3-pt shot from 26 ft
7:28.0,,,25-36,,Offensive rebound by Team
7:28.0,Loose ball foul by J. Harden (drawn by R. Gobert),,25-36,,
7:23.0,,,25-36,,D. Mitchell misses 3-pt shot from 25 ft
7:20.0,Defensive rebound by P. Tucker,,25-36,,
7:02.0,Shooting foul by D. Mitchell (drawn by J. Harden),,25-36,,
7:02.0,J. Harden makes free throw 1 of 2,1,26-36,,
7:02.0,,,26-36,,J. Ingles enters the game for R. Rubio
7:02.0,J. Harden makes free throw 2 of 2,1,27-36,,
6:39.0,,,27-38,2,D. Mitchell makes 2-pt shot from 14 ft
6:20.0,P. Tucker misses 2-pt shot from 4 ft,,27-38,,
6:18.0,,,27-38,,Defensive rebound by A. Burks
6:16.0,,,27-38,,Turnover by A. Burks (bad pass)
6:16.0,,,27-38,,D. Favors enters the game for A. Burks
6:03.0,P. Tucker misses 2-pt shot from 21 ft,,27-38,,
5:59.0,,,27-38,,Defensive rebound by R. O'Neale
5:53.0,,,27-38,,R. O'Neale misses 2-pt shot from 2 ft (block by T. Black)
5:53.0,,,27-38,,Offensive rebound by Team
5:39.0,,,27-38,,J. Ingles misses 3-pt shot from 26 ft
5:35.0,,,27-38,,Offensive rebound by D. Favors
5:34.0,,,27-40,2,D. Favors makes 2-pt shot from 5 ft
5:12.0,J. Harden makes 2-pt shot from 2 ft,2,29-40,,
4:50.0,,,29-42,2,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles)
