time,LA Lakers,pts.away,score,pts.home,Boston
8:53.0,,,83-89,,S. Larkin misses 3-pt shot from 29 ft
8:51.0,Defensive rebound by Team,,83-89,,
8:51.0,,,83-89,,Loose ball foul by D. Theis (drawn by J. Clarkson)
8:36.0,J. Randle makes 2-pt shot from 9 ft,2,85-89,,
8:36.0,Shooting foul by D. Theis (drawn by J. Randle),,85-89,,
8:36.0,J. Randle makes free throw 1 of 1,1,86-89,,
8:19.0,,,86-89,,T. Rozier misses 2-pt shot from 19 ft
8:19.0,,,86-89,,Offensive rebound by Team
8:19.0,Loose ball foul by J. Randle (drawn by D. Theis),,86-89,,
8:19.0,,,86-89,,M. Morris enters the game for S. Ojeleye
8:07.0,,,86-91,2,M. Morris makes 2-pt shot from 10 ft
7:50.0,J. Clarkson misses 2-pt shot from 2 ft,,86-91,,
7:50.0,Offensive rebound by J. Clarkson,,86-91,,
7:46.0,J. Clarkson makes 2-pt shot at rim,2,88-91,,
7:30.0,,,88-94,3,M. Smart makes 3-pt shot from 27 ft (assist by M. Morris)
7:13.0,J. Clarkson misses 2-pt shot from 2 ft (block by D. Theis),,88-94,,
7:13.0,,,88-94,,Defensive rebound by Team
7:13.0,L. Ball enters the game for C. Brewer,,88-94,,
7:11.0,Turnover by L. Ball (bad pass; steal by D. Theis),,88-94,,
7:07.0,,,88-94,,M. Morris misses 2-pt shot from 2 ft
7:04.0,,,88-94,,Offensive rebound by M. Smart
7:00.0,,,88-94,,Shooting foul by J. Clarkson (drawn by T. Rozier)
7:00.0,,,88-95,1,T. Rozier makes free throw 1 of 2
7:00.0,K. Caldwell-Pope enters the game for J. Clarkson,,88-95,,
7:00.0,,,88-96,1,T. Rozier makes free throw 2 of 2
6:45.0,K. Kuzma makes 2-pt shot from 16 ft (assist by L. Ball),2,90-96,,
6:28.0,,,90-96,,M. Morris misses 2-pt shot from 15 ft
6:25.0,,,90-96,,Offensive rebound by T. Rozier
6:18.0,,,90-96,,T. Rozier misses 3-pt shot from 24 ft
6:16.0,,,90-96,,Offensive rebound by Team
6:16.0,,,90-96,,Boston full timeout
6:16.0,,,90-96,,K. Irving enters the game for S. Larkin
6:16.0,B. Lopez enters the game for J. Randle,,90-96,,
6:02.0,,,90-98,2,K. Irving makes 2-pt shot from 1 ft
5:44.0,Offensive charge foul by B. Lopez (drawn by M. Smart),,90-98,,
5:44.0,Turnover by B. Lopez (offensive foul),,90-98,,
5:44.0,,,90-98,,A. Baynes enters the game for M. Morris
5:44.0,,,90-98,,S. Ojeleye enters the game for D. Theis
5:28.0,,,90-100,2,K. Irving makes 2-pt shot from 12 ft
5:16.0,L. Ball makes 2-pt shot from 3 ft,2,92-100,,
5:03.0,,,92-100,,K. Irving misses 3-pt shot from 29 ft
5:00.0,Defensive rebound by B. Ingram,,92-100,,
4:53.0,B. Lopez misses 3-pt shot from 25 ft,,92-100,,
4:48.0,,,92-100,,Defensive rebound by K. Irving
4:40.0,,,92-102,2,M. Smart makes 2-pt shot from 11 ft
4:29.0,L. Ball misses 2-pt shot from 2 ft,,92-102,,
4:26.0,,,92-102,,Defensive rebound by K. Irving
4:20.0,,,92-102,,K. Irving misses 2-pt shot from 2 ft (block by L. Ball)
4:20.0,,,92-102,,Offensive rebound by Team
4:17.0,,,92-102,,A. Baynes misses 2-pt shot from 17 ft
4:14.0,,,92-102,,Offensive rebound by A. Baynes
4:14.0,Personal foul by B. Lopez (drawn by A. Baynes),,92-102,,
4:00.0,,,92-102,,M. Smart misses 2-pt shot from 2 ft
3:58.0,Defensive rebound by B. Ingram,,92-102,,
3:55.0,L. Ball misses 2-pt shot from 2 ft,,92-102,,
3:54.0,Offensive rebound by B. Ingram,,92-102,,
3:54.0,B. Ingram makes 2-pt shot at rim,2,94-102,,
3:30.0,,,94-102,,K. Irving misses 3-pt shot from 26 ft
3:27.0,,,94-102,,Offensive rebound by S. Ojeleye
3:08.0,,,94-102,,Shooting foul by K. Kuzma (drawn by A. Baynes)
3:08.0,,,94-102,,A. Baynes misses free throw 1 of 2
3:08.0,,,94-102,,Offensive rebound by Team
3:08.0,,,94-102,,J. Brown enters the game for T. Rozier
3:08.0,LA Lakers full timeout,,94-102,,
3:08.0,J. Clarkson enters the game for B. Lopez,,94-102,,
3:08.0,,,94-103,1,A. Baynes makes free throw 2 of 2
2:51.0,K. Caldwell-Pope misses 2-pt shot from 15 ft,,94-103,,
2:49.0,,,94-103,,Defensive rebound by J. Brown
2:27.0,,,94-105,2,A. Baynes makes 2-pt shot from 1 ft (assist by K. Irving)
2:20.0,L. Ball misses 2-pt shot from 4 ft,,94-105,,
2:19.0,,,94-105,,Defensive rebound by Team
2:14.0,,,94-105,,Offensive charge foul by K. Irving (drawn by K. Caldwell-Pope)
2:14.0,,,94-105,,Turnover by K. Irving (offensive foul)
1:58.0,J. Clarkson misses 3-pt shot from 27 ft,,94-105,,
1:52.0,Offensive rebound by L. Ball,,94-105,,
1:49.0,K. Kuzma misses 3-pt shot from 26 ft,,94-105,,
1:45.0,,,94-105,,Defensive rebound by A. Baynes
1:24.0,,,94-105,,J. Brown misses 2-pt shot from 7 ft
1:20.0,Defensive rebound by J. Clarkson,,94-105,,
1:16.0,Turnover by J. Clarkson (lost ball; steal by K. Irving),,94-105,,
0:59.0,,,94-105,,Turnover by M. Smart (bad pass; steal by B. Ingram)
0:52.0,Shooting foul by A. Baynes (drawn by K. Kuzma),,94-105,,
0:52.0,K. Kuzma makes free throw 1 of 2,1,95-105,,
0:52.0,,,95-105,,M. Morris enters the game for A. Baynes
0:52.0,K. Kuzma makes free throw 2 of 2,1,96-105,,
0:32.0,,,96-107,2,M. Morris makes 2-pt shot from 10 ft (assist by K. Irving)
0:24.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,96-107,,
0:22.0,,,96-107,,Defensive rebound by J. Brown
0:00.0,,,96-107,,Turnover by Team (shot clock)
