time,LA Lakers,pts.away,score,pts.home,Boston
6:28.0,,,11-14,,K. Irving misses 3-pt shot from 26 ft
6:28.0,Defensive rebound by K. Kuzma,,11-14,,
6:18.0,B. Lopez misses 2-pt shot from 11 ft,,11-14,,
6:14.0,,,11-14,,Defensive rebound by K. Irving
6:09.0,,,11-14,,A. Baynes misses 2-pt shot from 18 ft
6:08.0,,,11-14,,Offensive rebound by Team
6:08.0,,,11-14,,M. Smart enters the game for J. Tatum
5:57.0,,,11-14,,J. Brown misses 3-pt shot from 24 ft
5:56.0,,,11-14,,Offensive rebound by A. Baynes
5:56.0,,,11-16,2,A. Baynes makes 2-pt shot at rim
5:41.0,Turnover by B. Lopez (bad pass; steal by M. Morris),,11-16,,
5:34.0,LA Lakers full timeout,,11-16,,
5:34.0,,,11-16,,S. Ojeleye enters the game for M. Morris
5:34.0,,,11-16,,D. Theis enters the game for A. Baynes
5:34.0,C. Brewer enters the game for K. Kuzma,,11-16,,
5:34.0,A. Bogut enters the game for B. Lopez,,11-16,,
5:33.0,,,11-18,2,K. Irving makes 2-pt shot at rim
5:25.0,Turnover by A. Bogut (bad pass),,11-18,,
5:10.0,,,11-20,2,D. Theis makes 2-pt shot from 11 ft (assist by K. Irving)
4:59.0,Personal foul by B. Ingram (drawn by D. Theis),,11-20,,
4:59.0,Turnover by B. Ingram (turnover),,11-20,,
4:39.0,,,11-20,,Shooting foul by A. Bogut (drawn by D. Theis)
4:39.0,,,11-21,1,D. Theis makes free throw 1 of 2
4:39.0,J. Clarkson enters the game for L. Ball,,11-21,,
4:39.0,,,11-22,1,D. Theis makes free throw 2 of 2
4:29.0,Offensive foul by C. Brewer (drawn by J. Brown),,11-22,,
4:29.0,Turnover by C. Brewer (bad pass),,11-22,,
4:15.0,,,11-22,,D. Theis misses 3-pt shot from 25 ft
4:12.0,Defensive rebound by A. Bogut,,11-22,,
4:08.0,Turnover by K. Caldwell-Pope (bad pass; steal by J. Brown),,11-22,,
4:01.0,,,11-22,,Turnover by J. Brown (lost ball; steal by C. Brewer)
3:59.0,B. Ingram misses 2-pt shot from 5 ft,,11-22,,
3:59.0,,,11-22,,Defensive rebound by Team
3:59.0,Loose ball foul by A. Bogut (drawn by M. Smart),,11-22,,
3:59.0,,,11-22,,M. Smart misses free throw 1 of 2
3:59.0,,,11-22,,Offensive rebound by Team
3:59.0,,,11-23,1,M. Smart makes free throw 2 of 2
3:43.0,Turnover by B. Ingram (bad pass),,11-23,,
3:33.0,,,11-23,,K. Irving misses 2-pt shot from 14 ft
3:30.0,Defensive rebound by A. Bogut,,11-23,,
3:19.0,,,11-23,,Def 3 sec tech foul by D. Theis
3:19.0,J. Clarkson misses technical free throw,,11-23,,
3:19.0,Offensive rebound by Team,,11-23,,
3:19.0,,,11-23,,T. Rozier enters the game for K. Irving
3:14.0,J. Clarkson misses 2-pt shot from 18 ft,,11-23,,
3:14.0,,,11-23,,Defensive rebound by T. Rozier
3:04.0,,,11-26,3,T. Rozier makes 3-pt shot from 25 ft
2:50.0,J. Clarkson makes 2-pt shot from 5 ft,2,13-26,,
2:37.0,,,13-26,,S. Ojeleye misses 3-pt shot from 26 ft
2:34.0,Defensive rebound by C. Brewer,,13-26,,
2:31.0,C. Brewer makes 2-pt shot from 3 ft,2,15-26,,
2:31.0,Shooting foul by D. Theis (drawn by C. Brewer),,15-26,,
2:31.0,J. Hart enters the game for K. Caldwell-Pope,,15-26,,
2:31.0,C. Brewer makes free throw 1 of 1,1,16-26,,
2:07.0,,,16-26,,J. Brown misses 2-pt shot at rim
2:06.0,,,16-26,,Offensive rebound by J. Brown
2:06.0,,,16-28,2,J. Brown makes 2-pt shot at rim
1:55.0,Turnover by A. Bogut (bad pass),,16-28,,
1:38.0,,,16-28,,T. Rozier misses 2-pt shot from 2 ft (block by A. Bogut)
1:34.0,Defensive rebound by C. Brewer,,16-28,,
1:33.0,C. Brewer misses 2-pt shot from 2 ft,,16-28,,
1:26.0,Offensive rebound by C. Brewer,,16-28,,
1:26.0,C. Brewer misses 2-pt shot at rim,,16-28,,
1:25.0,,,16-28,,Defensive rebound by D. Theis
1:17.0,,,16-28,,Offensive charge foul by D. Theis (drawn by C. Brewer)
1:17.0,,,16-28,,Turnover by D. Theis (offensive foul)
0:57.0,Turnover by J. Clarkson (lost ball; steal by D. Theis),,16-28,,
0:45.0,,,16-28,,T. Rozier misses 2-pt shot from 2 ft
0:44.0,,,16-28,,Offensive rebound by D. Theis
0:44.0,,,16-30,2,D. Theis makes 2-pt shot at rim
0:30.0,J. Clarkson misses 2-pt shot from 2 ft (block by D. Theis),,16-30,,
0:28.0,,,16-30,,Defensive rebound by M. Smart
0:10.0,,,16-30,,M. Smart misses 2-pt shot from 4 ft
0:08.0,Defensive rebound by A. Bogut,,16-30,,
0:02.0,Offensive foul by J. Clarkson (drawn by M. Smart),,16-30,,
0:02.0,Turnover by J. Clarkson (offensive foul),,16-30,,
0:00.0,,,16-33,3,T. Rozier makes 3-pt shot from 29 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,16-33,,M. Morris misses 3-pt shot from 25 ft
11:34.0,,,16-33,,Offensive rebound by D. Theis
11:33.0,Personal foul by C. Brewer (drawn by D. Theis),,16-33,,
11:30.0,Personal foul by J. Clarkson (drawn by M. Smart),,16-33,,
11:22.0,,,16-35,2,S. Ojeleye makes 2-pt shot from 1 ft (assist by M. Smart)
11:22.0,,,16-35,,Shooting foul by C. Brewer (drawn by S. Ojeleye)
11:22.0,J. Hart enters the game for C. Brewer,,16-35,,
11:22.0,,,16-35,,S. Ojeleye misses free throw 1 of 1
11:12.0,Defensive rebound by J. Randle,,16-35,,
11:10.0,J. Clarkson makes 2-pt shot from 20 ft,2,18-35,,
10:49.0,,,18-37,2,M. Morris makes 2-pt shot from 1 ft
10:35.0,L. Ball misses 2-pt shot from 3 ft,,18-37,,
10:32.0,,,18-37,,Defensive rebound by S. Ojeleye
10:25.0,,,18-37,,S. Ojeleye misses 2-pt shot from 1 ft
10:22.0,Defensive rebound by J. Randle,,18-37,,
10:19.0,Turnover by L. Ball (bad pass; steal by M. Smart),,18-37,,
10:15.0,,,18-37,,Shooting foul by J. Randle (drawn by S. Ojeleye)
10:15.0,,,18-38,1,S. Ojeleye makes free throw 1 of 2
10:15.0,,,18-39,1,S. Ojeleye makes free throw 2 of 2
10:04.0,J. Randle misses 2-pt shot from 3 ft,,18-39,,
10:02.0,Offensive rebound by J. Randle,,18-39,,
10:02.0,J. Randle misses 2-pt shot at rim,,18-39,,
10:02.0,,,18-39,,Defensive rebound by Team
9:50.0,,,18-39,,Turnover by S. Ojeleye (lost ball; steal by J. Clarkson)
9:44.0,K. Kuzma misses 2-pt shot from 2 ft (block by D. Theis),,18-39,,
9:40.0,Offensive rebound by K. Kuzma,,18-39,,
9:28.0,L. Ball makes 3-pt shot from 26 ft (assist by J. Randle),3,21-39,,
9:13.0,,,21-39,,D. Theis misses 2-pt shot from 3 ft
9:12.0,Defensive rebound by Team,,21-39,,
9:12.0,,,21-39,,J. Tatum enters the game for S. Ojeleye
9:01.0,L. Ball misses 3-pt shot from 26 ft,,21-39,,
8:57.0,,,21-39,,Defensive rebound by T. Rozier
8:48.0,,,21-39,,J. Tatum misses 2-pt shot at rim
8:46.0,Defensive rebound by L. Ball,,21-39,,
8:42.0,K. Kuzma misses 2-pt shot from 6 ft,,21-39,,
8:38.0,Offensive rebound by J. Randle,,21-39,,
8:36.0,J. Randle makes 2-pt shot from 1 ft,2,23-39,,
8:18.0,,,23-39,,Shooting foul by K. Kuzma (drawn by J. Tatum)
8:18.0,,,23-40,1,J. Tatum makes free throw 1 of 3
8:18.0,,,23-41,1,J. Tatum makes free throw 2 of 3
8:18.0,,,23-41,,K. Irving enters the game for M. Smart
8:18.0,,,23-42,1,J. Tatum makes free throw 3 of 3
8:09.0,J. Clarkson makes 3-pt shot from 26 ft (assist by K. Kuzma),3,26-42,,
7:45.0,,,26-44,2,K. Irving makes 2-pt shot from 2 ft
7:36.0,Shooting foul by D. Theis (drawn by J. Randle),,26-44,,
7:36.0,J. Randle makes free throw 1 of 2,1,27-44,,
7:36.0,,,27-44,,S. Ojeleye enters the game for D. Theis
7:36.0,J. Randle makes free throw 2 of 2,1,28-44,,
7:20.0,,,28-46,2,M. Morris makes 2-pt shot at rim (assist by S. Ojeleye)
7:10.0,,,28-46,,Personal foul by M. Morris (drawn by J. Randle)
7:10.0,K. Caldwell-Pope enters the game for J. Hart,,28-46,,
7:05.0,K. Kuzma misses 2-pt shot from 2 ft,,28-46,,
7:01.0,,,28-46,,Defensive rebound by S. Ojeleye
6:54.0,,,28-46,,Turnover by J. Tatum (bad pass; steal by K. Caldwell-Pope)
6:53.0,Turnover by K. Caldwell-Pope (bad pass; steal by J. Tatum),,28-46,,
6:52.0,,,28-48,2,J. Tatum makes 2-pt shot from 1 ft
