time,Sacramento,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. J. Sampson (J. Holiday gains possession),,,,Jump ball: A. Davis vs. J. Sampson (J. Holiday gains possession)
11:45.0,,,0-0,,Turnover by D. Cousins (lost ball; steal by D. Fox)
11:31.0,D. Fox makes 3-pt shot from 26 ft (assist by G. Hill),3,3-0,,
11:14.0,,,3-0,,D. Cousins misses 2-pt shot from 16 ft
11:10.0,Defensive rebound by Z. Randolph,,3-0,,
10:56.0,Z. Randolph misses 2-pt shot from 7 ft,,3-0,,
10:52.0,,,3-0,,Defensive rebound by A. Davis
10:48.0,,,3-2,2,E. Moore makes 2-pt shot at rim (assist by A. Davis)
10:23.0,Turnover by J. Sampson (turnover),,3-2,,
10:06.0,,,3-2,,I. Clark misses 2-pt shot from 7 ft
10:03.0,Defensive rebound by Z. Randolph,,3-2,,
9:58.0,D. Fox misses 2-pt shot from 1 ft,,3-2,,
9:58.0,,,3-2,,Defensive rebound by E. Moore
9:51.0,,,3-5,3,I. Clark makes 3-pt shot from 23 ft (assist by D. Cousins)
9:27.0,G. Temple misses 2-pt shot from 20 ft,,3-5,,
9:23.0,Offensive rebound by Z. Randolph,,3-5,,
9:21.0,Z. Randolph makes 2-pt shot from 2 ft,2,5-5,,
9:14.0,Personal foul by J. Sampson (drawn by A. Davis),,5-5,,
9:10.0,,,5-5,,Turnover by D. Cousins (bad pass)
8:59.0,G. Hill misses 3-pt shot from 26 ft,,5-5,,
8:54.0,Offensive rebound by Z. Randolph,,5-5,,
8:47.0,Z. Randolph makes 2-pt shot from 5 ft,2,7-5,,
8:34.0,,,7-5,,J. Holiday misses 2-pt shot from 8 ft
8:32.0,Defensive rebound by G. Temple,,7-5,,
8:17.0,Z. Randolph makes 3-pt shot from 25 ft (assist by D. Fox),3,10-5,,
8:07.0,,,10-7,2,D. Cousins makes 2-pt shot from 1 ft
8:07.0,,,10-7,,Shooting foul by J. Sampson (drawn by D. Cousins)
8:07.0,,,10-8,1,D. Cousins makes free throw 1 of 1
7:55.0,Z. Randolph makes 2-pt shot from 16 ft (assist by G. Hill),2,12-8,,
7:43.0,,,12-10,2,J. Holiday makes 2-pt shot from 1 ft (assist by I. Clark)
7:20.0,G. Temple misses 2-pt shot from 5 ft,,12-10,,
7:16.0,Offensive rebound by J. Sampson,,12-10,,
7:16.0,K. Koufos enters the game for J. Sampson,,12-10,,
7:05.0,Z. Randolph misses 2-pt shot from 2 ft,,12-10,,
7:04.0,Offensive rebound by K. Koufos,,12-10,,
7:04.0,Shooting foul by E. Moore (drawn by K. Koufos),,12-10,,
7:04.0,K. Koufos misses free throw 1 of 2,,12-10,,
7:04.0,Offensive rebound by Team,,12-10,,
7:04.0,K. Koufos misses free throw 2 of 2,,12-10,,
7:02.0,,,12-10,,Defensive rebound by D. Cousins
6:57.0,,,12-12,2,E. Moore makes 2-pt shot at rim (assist by D. Cousins)
6:31.0,G. Temple misses 3-pt shot from 43 ft,,12-12,,
6:30.0,Offensive rebound by Team,,12-12,,
6:30.0,Turnover by Team (shot clock),,12-12,,
6:30.0,,,12-12,,New Orleans full timeout
6:18.0,,,12-12,,Shooting foul by K. Koufos (drawn by A. Davis)
6:18.0,,,12-13,1,A. Davis makes free throw 1 of 2
6:18.0,,,12-13,,D. Miller enters the game for E. Moore
6:18.0,,,12-14,1,A. Davis makes free throw 2 of 2
5:59.0,G. Hill makes 2-pt shot from 5 ft,2,14-14,,
5:48.0,,,14-14,,Turnover by J. Holiday (bad pass; steal by G. Hill)
5:47.0,Turnover by G. Hill (bad pass),,14-14,,
5:47.0,,,14-14,,D. Cunningham enters the game for A. Davis
5:39.0,,,14-14,,Turnover by D. Cousins (bad pass; steal by Z. Randolph)
5:26.0,K. Koufos makes 2-pt shot from 5 ft (assist by Z. Randolph),2,16-14,,
5:11.0,,,16-17,3,D. Cousins makes 3-pt shot from 25 ft (assist by I. Clark)
4:53.0,,,16-17,,Personal foul by I. Clark (drawn by G. Temple)
4:53.0,B. Bogdanovic enters the game for G. Hill,,16-17,,
4:40.0,Z. Randolph makes 2-pt shot from 5 ft,2,18-17,,
4:30.0,,,18-17,,Turnover by J. Holiday (bad pass; steal by K. Koufos)
4:21.0,D. Fox misses 3-pt shot from 26 ft,,18-17,,
4:18.0,,,18-17,,Defensive rebound by I. Clark
4:14.0,,,18-20,3,D. Miller makes 3-pt shot from 25 ft (assist by J. Holiday)
3:51.0,Turnover by G. Temple (bad pass; steal by D. Cousins),,18-20,,
3:45.0,,,18-22,2,D. Cousins makes 2-pt shot at rim
3:45.0,,,18-22,,Shooting foul by G. Temple (drawn by D. Cousins)
3:45.0,V. Carter enters the game for Z. Randolph,,18-22,,
3:45.0,,,18-23,1,D. Cousins makes free throw 1 of 1
3:41.0,Sacramento full timeout,,18-23,,
3:41.0,,,18-23,,O. Asik enters the game for D. Cousins
3:41.0,,,18-23,,J. Nelson enters the game for I. Clark
3:41.0,B. Hield enters the game for G. Temple,,18-23,,
3:34.0,B. Bogdanovic misses 2-pt shot from 15 ft,,18-23,,
3:30.0,,,18-23,,Defensive rebound by O. Asik
3:24.0,,,18-23,,D. Miller misses 3-pt shot from 25 ft
3:18.0,Defensive rebound by K. Koufos,,18-23,,
3:08.0,B. Hield misses 2-pt shot from 6 ft,,18-23,,
3:03.0,,,18-23,,Defensive rebound by D. Cunningham
2:49.0,,,18-23,,J. Nelson misses 3-pt shot from 25 ft
2:45.0,Defensive rebound by K. Koufos,,18-23,,
2:40.0,D. Fox misses 2-pt shot from 12 ft,,18-23,,
2:40.0,Offensive rebound by Team,,18-23,,
2:40.0,,,18-23,,E. Moore enters the game for J. Holiday
2:27.0,B. Hield makes 2-pt shot from 2 ft (assist by K. Koufos),2,20-23,,
2:12.0,,,20-23,,J. Nelson misses 3-pt shot from 23 ft
2:08.0,,,20-23,,Offensive rebound by D. Cunningham
2:04.0,,,20-25,2,D. Cunningham makes 2-pt shot from 1 ft (assist by E. Moore)
1:47.0,Turnover by B. Hield (offensive goaltending),,20-25,,
1:47.0,F. Mason enters the game for D. Fox,,20-25,,
1:34.0,,,20-25,,O. Asik misses 2-pt shot from 1 ft
1:32.0,,,20-25,,Offensive rebound by Team
1:30.0,,,20-25,,E. Moore misses 2-pt shot from 21 ft
1:21.0,Defensive rebound by F. Mason,,20-25,,
