time,San Antonio,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. P. Gasol (K. Anderson gains possession),,,,Jump ball: M. Gasol vs. P. Gasol (K. Anderson gains possession)
11:35.0,L. Aldridge makes 3-pt shot from 23 ft (assist by T. Parker),3,3-0,,
11:15.0,,,3-0,,M. Gasol misses 2-pt shot from 12 ft
11:12.0,Defensive rebound by L. Aldridge,,3-0,,
10:57.0,Shooting foul by T. Evans (drawn by P. Gasol),,3-0,,
10:57.0,P. Gasol makes free throw 1 of 2,1,4-0,,
10:57.0,P. Gasol misses free throw 2 of 2,,4-0,,
10:54.0,,,4-0,,Defensive rebound by M. Gasol
10:39.0,,,4-2,2,M. Gasol makes 2-pt shot from 17 ft (assist by D. Brooks)
10:14.0,P. Gasol makes 2-pt shot from 20 ft (assist by D. Green),2,6-2,,
9:49.0,,,6-4,2,J. Green makes 2-pt shot from 16 ft
9:21.0,L. Aldridge misses 3-pt shot from 23 ft,,6-4,,
9:20.0,,,6-4,,Defensive rebound by T. Evans
9:06.0,,,6-4,,Turnover by D. Brooks (bad pass; steal by D. Green)
8:59.0,,,6-4,,Personal foul by B. McLemore (drawn by T. Parker)
8:53.0,Turnover by D. Green (lost ball; steal by B. McLemore),,6-4,,
8:48.0,,,6-6,2,B. McLemore makes 2-pt shot at rim (assist by T. Evans)
8:21.0,T. Parker misses 3-pt shot from 24 ft (block by B. McLemore),,6-6,,
8:21.0,Offensive rebound by Team,,6-6,,
8:21.0,Turnover by Team (shot clock),,6-6,,
8:06.0,,,6-8,2,B. McLemore makes 2-pt shot from 15 ft (assist by D. Brooks)
7:44.0,Turnover by T. Parker (lost ball; steal by B. McLemore),,6-8,,
7:38.0,,,6-8,,Shooting foul by D. Green (drawn by J. Green)
7:38.0,,,6-8,,J. Green misses free throw 1 of 2
7:38.0,,,6-8,,Offensive rebound by Team
7:38.0,San Antonio full timeout,,6-8,,
7:38.0,,,6-8,,J. Green misses free throw 2 of 2
7:35.0,Defensive rebound by P. Gasol,,6-8,,
7:24.0,T. Parker misses 2-pt shot from 1 ft,,6-8,,
7:22.0,Offensive rebound by T. Parker,,6-8,,
7:20.0,T. Parker makes 2-pt shot at rim,2,8-8,,
6:58.0,,,8-8,,M. Gasol misses 2-pt shot from 4 ft (block by P. Gasol)
6:58.0,,,8-8,,Offensive rebound by Team
6:58.0,,,8-8,,B. Wright enters the game for J. Green
6:58.0,,,8-8,,M. Chalmers enters the game for T. Evans
6:58.0,P. Mills enters the game for T. Parker,,8-8,,
6:53.0,,,8-8,,B. McLemore misses 2-pt shot from 2 ft (block by P. Gasol)
6:50.0,Defensive rebound by D. Green,,8-8,,
6:33.0,D. Green misses 2-pt shot from 7 ft,,8-8,,
6:30.0,Offensive rebound by D. Green,,8-8,,
6:27.0,P. Gasol misses 2-pt shot from 3 ft,,8-8,,
6:24.0,,,8-8,,Defensive rebound by M. Gasol
6:19.0,,,8-11,3,B. McLemore makes 3-pt shot from 25 ft (assist by M. Gasol)
6:00.0,Shooting foul by D. Brooks (drawn by L. Aldridge),,8-11,,
6:00.0,L. Aldridge makes free throw 1 of 2,1,9-11,,
6:00.0,,,9-11,,C. Parsons enters the game for B. McLemore
6:00.0,,,9-11,,J. Ennis enters the game for D. Brooks
6:00.0,R. Gay enters the game for D. Green,,9-11,,
6:00.0,M. Ginobili enters the game for P. Gasol,,9-11,,
6:00.0,L. Aldridge makes free throw 2 of 2,1,10-11,,
5:38.0,,,10-13,2,M. Gasol makes 2-pt shot from 20 ft (assist by J. Ennis)
5:29.0,L. Aldridge makes 2-pt shot from 19 ft (assist by P. Mills),2,12-13,,
