time,Minnesota,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. K. Towns (L. Markkanen gains possession),,,,Jump ball: R. Lopez vs. K. Towns (L. Markkanen gains possession)
11:40.0,,,0-0,,Turnover by R. Lopez (bad pass; steal by J. Butler)
11:28.0,J. Teague makes 2-pt shot from 6 ft,2,2-0,,
11:11.0,,,2-3,3,J. Grant makes 3-pt shot from 24 ft
10:55.0,J. Butler misses 3-pt shot from 25 ft,,2-3,,
10:52.0,,,2-3,,Defensive rebound by Z. LaVine
10:34.0,,,2-3,,Turnover by J. Holiday (lost ball; steal by J. Butler)
10:31.0,Shooting foul by Z. LaVine (drawn by J. Butler),,2-3,,
10:31.0,J. Butler makes free throw 1 of 2,1,3-3,,
10:31.0,J. Butler makes free throw 2 of 2,1,4-3,,
10:21.0,,,4-3,,L. Markkanen misses 3-pt shot from 25 ft
10:17.0,Defensive rebound by K. Towns,,4-3,,
10:09.0,T. Gibson misses 2-pt shot from 6 ft,,4-3,,
10:09.0,,,4-3,,Defensive rebound by R. Lopez
10:00.0,,,4-3,,Z. LaVine misses 2-pt shot from 17 ft
10:00.0,Defensive rebound by J. Butler,,4-3,,
9:38.0,J. Butler misses 2-pt shot from 4 ft,,4-3,,
9:35.0,,,4-3,,Defensive rebound by J. Grant
9:28.0,,,4-5,2,R. Lopez makes 2-pt shot from 19 ft (assist by J. Grant)
9:10.0,A. Wiggins makes 2-pt shot from 2 ft,2,6-5,,
9:01.0,Personal foul by K. Towns (drawn by Z. LaVine),,6-5,,
8:53.0,,,6-5,,Z. LaVine misses 3-pt shot from 24 ft
8:52.0,,,6-5,,Offensive rebound by Team
8:52.0,Loose ball foul by K. Towns (drawn by R. Lopez),,6-5,,
8:52.0,G. Dieng enters the game for K. Towns,,6-5,,
8:42.0,,,6-5,,R. Lopez misses 2-pt shot from 10 ft
8:40.0,Defensive rebound by T. Gibson,,6-5,,
8:23.0,T. Gibson misses 2-pt shot from 20 ft,,6-5,,
8:20.0,,,6-5,,Defensive rebound by Z. LaVine
8:16.0,,,6-7,2,Z. LaVine makes 2-pt shot at rim
7:59.0,T. Gibson makes 2-pt shot from 3 ft (assist by J. Butler),2,8-7,,
7:53.0,,,8-7,,R. Lopez misses 2-pt shot from 4 ft
7:53.0,Defensive rebound by J. Butler,,8-7,,
7:42.0,J. Butler makes 2-pt shot from 1 ft,2,10-7,,
7:36.0,,,10-9,2,J. Grant makes 2-pt shot from 2 ft
7:27.0,J. Teague misses 2-pt shot from 2 ft,,10-9,,
7:27.0,,,10-9,,Defensive rebound by J. Grant
7:14.0,,,10-11,2,R. Lopez makes 2-pt shot from 4 ft (assist by Z. LaVine)
6:59.0,J. Butler makes 2-pt shot at rim,2,12-11,,
6:47.0,,,12-11,,Turnover by R. Lopez (traveling)
6:47.0,,,12-11,,Chicago full timeout
6:32.0,J. Butler misses 2-pt shot from 8 ft,,12-11,,
6:29.0,,,12-11,,Defensive rebound by J. Holiday
6:26.0,,,12-11,,Z. LaVine misses 2-pt shot from 2 ft (block by A. Wiggins)
6:22.0,Defensive rebound by J. Butler,,12-11,,
6:14.0,A. Wiggins makes 2-pt shot from 7 ft (assist by J. Butler),2,14-11,,
5:47.0,,,14-13,2,Z. LaVine makes 2-pt shot from 2 ft
5:42.0,,,14-13,,Personal foul by J. Grant (drawn by J. Teague)
5:37.0,J. Butler misses 3-pt shot from 24 ft,,14-13,,
5:34.0,,,14-13,,Defensive rebound by L. Markkanen
5:22.0,,,14-15,2,J. Grant makes 2-pt shot from 16 ft
5:07.0,A. Wiggins makes 2-pt shot from 22 ft (assist by J. Teague),2,16-15,,
4:52.0,,,16-15,,Z. LaVine misses 2-pt shot from 1 ft (block by G. Dieng)
4:50.0,Defensive rebound by J. Teague,,16-15,,
4:45.0,A. Wiggins makes 2-pt shot from 1 ft (assist by J. Teague),2,18-15,,
4:32.0,,,18-17,2,R. Lopez makes 2-pt shot from 6 ft (assist by J. Holiday)
4:22.0,A. Wiggins makes 2-pt shot at rim (assist by T. Gibson),2,20-17,,
4:00.0,,,20-20,3,L. Markkanen makes 3-pt shot from 24 ft (assist by J. Grant)
