time,Orlando,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. N. Vucevic (M. Williams gains possession),,,,Jump ball: D. Howard vs. N. Vucevic (M. Williams gains possession)
11:45.0,,,0-0,,K. Walker misses 2-pt shot from 2 ft
11:43.0,,,0-0,,Offensive rebound by D. Howard
11:41.0,,,0-0,,Turnover by D. Howard (bad pass; steal by T. Ross)
11:40.0,Shooting foul by J. Lamb (drawn by T. Ross),,0-0,,
11:40.0,T. Ross makes free throw 1 of 2,1,1-0,,
11:40.0,T. Ross makes free throw 2 of 2,1,2-0,,
11:28.0,,,2-0,,Turnover by D. Howard (bad pass; steal by E. Fournier)
11:20.0,Turnover by A. Gordon (bad pass; steal by J. Lamb),,2-0,,
11:13.0,,,2-0,,D. Howard misses 2-pt shot from 6 ft
11:10.0,Defensive rebound by N. Vucevic,,2-0,,
10:51.0,N. Vucevic misses 3-pt shot from 26 ft,,2-0,,
10:48.0,,,2-0,,Defensive rebound by M. Kidd-Gilchrist
10:42.0,,,2-0,,Shooting foul by N. Vucevic (drawn by M. Kidd-Gilchrist)
10:42.0,,,2-0,,M. Kidd-Gilchrist misses free throw 1 of 2
10:42.0,,,2-0,,Offensive rebound by Team
10:42.0,,,2-1,1,M. Kidd-Gilchrist makes free throw 2 of 2
10:33.0,E. Fournier makes 2-pt shot from 1 ft,2,4-1,,
10:18.0,,,4-1,,D. Howard misses 2-pt shot from 9 ft
10:15.0,Defensive rebound by A. Gordon,,4-1,,
9:53.0,A. Gordon misses 3-pt shot from 26 ft,,4-1,,
9:50.0,,,4-1,,Defensive rebound by M. Kidd-Gilchrist
9:41.0,,,4-1,,K. Walker misses 2-pt shot from 14 ft
9:38.0,Defensive rebound by N. Vucevic,,4-1,,
9:31.0,D. Augustin misses 2-pt shot from 2 ft,,4-1,,
9:28.0,,,4-1,,Defensive rebound by K. Walker
9:25.0,,,4-3,2,D. Howard makes 2-pt shot from 1 ft (assist by J. Lamb)
9:12.0,N. Vucevic misses 2-pt shot from 1 ft,,4-3,,
9:10.0,,,4-3,,Defensive rebound by M. Kidd-Gilchrist
9:01.0,,,4-3,,Turnover by D. Howard (bad pass)
8:53.0,E. Fournier makes 2-pt shot from 1 ft (assist by D. Augustin),2,6-3,,
8:40.0,,,6-5,2,M. Williams makes 2-pt shot from 8 ft (assist by K. Walker)
8:28.0,N. Vucevic misses 3-pt shot from 25 ft,,6-5,,
8:25.0,,,6-5,,Defensive rebound by J. Lamb
8:18.0,,,6-7,2,D. Howard makes 2-pt shot from 1 ft (assist by J. Lamb)
8:02.0,T. Ross misses 3-pt shot from 24 ft,,6-7,,
