time,Miami,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. K. Olynyk (G. Dragic gains possession),,,,Jump ball: P. Gasol vs. K. Olynyk (G. Dragic gains possession)
11:38.0,J. Richardson makes 3-pt shot from 25 ft (assist by G. Dragic),3,3-0,,
11:18.0,,,3-0,,L. Aldridge misses 2-pt shot at rim
11:16.0,Defensive rebound by J. Johnson,,3-0,,
11:06.0,G. Dragic misses 3-pt shot from 25 ft,,3-0,,
11:02.0,,,3-0,,Defensive rebound by R. Gay
10:54.0,,,3-2,2,P. Gasol makes 2-pt shot from 5 ft (assist by T. Parker)
10:40.0,J. Johnson makes 3-pt shot from 23 ft (assist by D. Waiters),3,6-2,,
10:26.0,,,6-2,,L. Aldridge misses 2-pt shot from 17 ft
10:22.0,Defensive rebound by K. Olynyk,,6-2,,
10:13.0,Shooting foul by L. Aldridge (drawn by J. Johnson),,6-2,,
10:13.0,J. Johnson misses free throw 1 of 2,,6-2,,
10:13.0,Offensive rebound by Team,,6-2,,
10:13.0,J. Johnson makes free throw 2 of 2,1,7-2,,
9:58.0,,,7-2,,P. Gasol misses 2-pt shot from 16 ft
9:55.0,,,7-2,,Offensive rebound by T. Parker
9:46.0,,,7-4,2,L. Aldridge makes 2-pt shot from 2 ft (assist by P. Gasol)
9:31.0,J. Richardson misses 3-pt shot from 22 ft,,7-4,,
9:28.0,,,7-4,,Defensive rebound by P. Gasol
9:21.0,,,7-6,2,T. Parker makes 2-pt shot from 1 ft
9:09.0,J. Johnson makes 3-pt shot from 25 ft (assist by G. Dragic),3,10-6,,
8:54.0,,,10-6,,Turnover by T. Parker (bad pass; steal by G. Dragic)
8:48.0,D. Waiters makes 2-pt shot from 2 ft (assist by J. Richardson),2,12-6,,
8:48.0,,,12-6,,San Antonio full timeout
8:28.0,,,12-9,3,D. Green makes 3-pt shot from 22 ft (assist by R. Gay)
8:14.0,J. Richardson misses 3-pt shot from 25 ft,,12-9,,
8:12.0,,,12-9,,Defensive rebound by R. Gay
8:00.0,,,12-9,,P. Gasol misses 2-pt shot from 9 ft
7:52.0,,,12-9,,Offensive rebound by L. Aldridge
7:52.0,,,12-11,2,L. Aldridge makes 2-pt shot at rim
7:36.0,D. Waiters makes 2-pt shot from 16 ft (assist by K. Olynyk),2,14-11,,
7:13.0,,,14-13,2,P. Gasol makes 2-pt shot from 6 ft (assist by T. Parker)
6:55.0,J. Johnson makes 2-pt shot from 1 ft,2,16-13,,
6:38.0,,,16-15,2,R. Gay makes 2-pt shot from 9 ft (assist by T. Parker)
6:23.0,D. Waiters makes 3-pt shot from 23 ft (assist by G. Dragic),3,19-15,,
6:09.0,,,19-17,2,T. Parker makes 2-pt shot from 3 ft
6:08.0,Miami full timeout,,19-17,,
6:08.0,,,19-17,,P. Mills enters the game for P. Gasol
6:08.0,,,19-17,,M. Ginobili enters the game for T. Parker
6:08.0,,,19-17,,D. Bertans enters the game for R. Gay
6:08.0,,,19-17,,R. Gay enters the game for D. Green
5:49.0,J. Richardson makes 2-pt shot from 2 ft (assist by J. Johnson),2,21-17,,
5:35.0,,,21-20,3,R. Gay makes 3-pt shot from 23 ft (assist by M. Ginobili)
5:18.0,G. Dragic misses 2-pt shot from 1 ft,,21-20,,
5:17.0,Offensive rebound by J. Johnson,,21-20,,
5:17.0,J. Johnson misses 2-pt shot at rim,,21-20,,
5:17.0,Offensive rebound by Team,,21-20,,
5:17.0,Shooting foul by P. Mills (drawn by G. Dragic),,21-20,,
5:17.0,G. Dragic makes free throw 1 of 2,1,22-20,,
5:17.0,T. Johnson enters the game for J. Richardson,,22-20,,
5:17.0,G. Dragic makes free throw 2 of 2,1,23-20,,
5:10.0,Personal foul by K. Olynyk (drawn by D. Bertans),,23-20,,
5:10.0,,,23-20,,B. Paul enters the game for R. Gay
5:10.0,J. Richardson enters the game for G. Dragic,,23-20,,
5:06.0,,,23-20,,P. Mills misses 3-pt shot from 24 ft
5:04.0,Defensive rebound by D. Waiters,,23-20,,
4:49.0,T. Johnson makes 3-pt shot from 23 ft (assist by J. Johnson),3,26-20,,
4:32.0,,,26-20,,L. Aldridge misses 2-pt shot from 1 ft
4:30.0,Defensive rebound by K. Olynyk,,26-20,,
4:26.0,Turnover by J. Johnson (out of bounds lost ball),,26-20,,
4:16.0,,,26-20,,Turnover by D. Bertans (lost ball; steal by K. Olynyk)
4:12.0,K. Olynyk misses 2-pt shot from 1 ft (block by D. Bertans),,26-20,,
4:10.0,Offensive rebound by J. Richardson,,26-20,,
4:00.0,T. Johnson makes 2-pt shot from 22 ft,2,28-20,,
3:43.0,,,28-23,3,P. Mills makes 3-pt shot from 22 ft (assist by B. Paul)
3:22.0,J. Richardson makes 2-pt shot from 11 ft (assist by J. Johnson),2,30-23,,
3:07.0,Personal foul by J. Johnson (drawn by L. Aldridge),,30-23,,
3:07.0,,,30-23,,P. Gasol enters the game for L. Aldridge
3:07.0,B. Adebayo enters the game for K. Olynyk,,30-23,,
3:07.0,J. Winslow enters the game for J. Johnson,,30-23,,
3:07.0,W. Ellington enters the game for J. Richardson,,30-23,,
2:59.0,,,30-23,,D. Bertans misses 3-pt shot from 26 ft
2:56.0,Defensive rebound by B. Adebayo,,30-23,,
2:48.0,B. Adebayo misses 2-pt shot from 3 ft,,30-23,,
2:45.0,,,30-23,,Defensive rebound by D. Bertans
2:41.0,,,30-25,2,D. Bertans makes 2-pt shot at rim (assist by M. Ginobili)
2:19.0,Turnover by J. Winslow (bad pass; steal by D. Bertans),,30-25,,
2:05.0,,,30-27,2,B. Paul makes 2-pt shot at rim (assist by P. Mills)
1:48.0,T. Johnson misses 3-pt shot from 25 ft,,30-27,,
1:45.0,,,30-27,,Defensive rebound by P. Gasol
1:38.0,,,30-27,,P. Mills misses 2-pt shot from 1 ft (block by D. Waiters)
1:38.0,,,30-27,,Offensive rebound by Team
1:29.0,,,30-27,,B. Paul misses 2-pt shot from 22 ft
1:26.0,Defensive rebound by T. Johnson,,30-27,,
1:07.0,T. Johnson makes 2-pt shot from 1 ft (assist by D. Waiters),2,32-27,,
0:54.0,,,32-27,,Turnover by P. Mills (bad pass; steal by B. Adebayo)
0:44.0,W. Ellington makes 3-pt shot from 23 ft (assist by D. Waiters),3,35-27,,
0:35.0,,,35-27,,B. Forbes enters the game for M. Ginobili
0:24.0,,,35-27,,Turnover by P. Mills (bad pass)
0:06.0,Offensive foul by B. Adebayo (drawn by P. Mills),,35-27,,
0:06.0,Turnover by B. Adebayo (offensive foul),,35-27,,
0:06.0,,,35-27,,R. Gay enters the game for D. Bertans
0:00.0,,,35-27,,B. Paul misses 3-pt shot from 28 ft
0:00.0,,,35-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,35-29,2,R. Gay makes 2-pt shot from 15 ft
11:20.0,W. Ellington misses 3-pt shot from 24 ft,,35-29,,
11:20.0,,,35-29,,Defensive rebound by D. Green
11:08.0,,,35-31,2,P. Mills makes 2-pt shot from 18 ft (assist by D. Green)
10:51.0,G. Dragic misses 2-pt shot from 16 ft,,35-31,,
10:46.0,Offensive rebound by J. Winslow,,35-31,,
10:46.0,J. Winslow misses 2-pt shot at rim,,35-31,,
10:44.0,,,35-31,,Defensive rebound by R. Gay
10:39.0,,,35-31,,P. Gasol misses 2-pt shot at rim
10:32.0,,,35-31,,Offensive rebound by P. Gasol
10:32.0,,,35-33,2,P. Gasol makes 2-pt shot at rim
10:24.0,,,35-33,,T. Parker enters the game for P. Mills
10:16.0,Turnover by G. Dragic (bad pass),,35-33,,
10:05.0,,,35-33,,R. Gay misses 2-pt shot at rim (block by B. Adebayo)
10:01.0,Defensive rebound by G. Dragic,,35-33,,
10:00.0,T. Johnson makes 2-pt shot from 1 ft (assist by G. Dragic),2,37-33,,
9:37.0,,,37-33,,P. Gasol misses 2-pt shot from 12 ft (block by B. Adebayo)
9:32.0,Defensive rebound by J. Winslow,,37-33,,
9:26.0,Turnover by J. Winslow (bad pass),,37-33,,
9:08.0,,,37-33,,Turnover by P. Gasol (bad pass; steal by W. Ellington)
8:57.0,G. Dragic makes 2-pt shot from 10 ft,2,39-33,,
8:57.0,,,39-33,,San Antonio full timeout
8:57.0,,,39-33,,L. Aldridge enters the game for P. Gasol
8:40.0,,,39-35,2,L. Aldridge makes 2-pt shot from 18 ft (assist by T. Parker)
8:25.0,J. Winslow makes 3-pt shot from 25 ft (assist by G. Dragic),3,42-35,,
8:09.0,,,42-35,,D. Green misses 3-pt shot from 22 ft
8:06.0,Defensive rebound by G. Dragic,,42-35,,
8:04.0,W. Ellington misses 3-pt shot from 24 ft,,42-35,,
8:02.0,Offensive rebound by Team,,42-35,,
8:02.0,,,42-35,,Loose ball foul by D. Green (drawn by W. Ellington)
7:50.0,Turnover by B. Adebayo (turnover),,42-35,,
7:42.0,,,42-38,3,B. Forbes makes 3-pt shot from 23 ft (assist by T. Parker)
7:23.0,T. Johnson makes 2-pt shot from 14 ft (assist by J. Winslow),2,44-38,,
7:05.0,,,44-38,,L. Aldridge misses 2-pt shot from 15 ft
6:58.0,,,44-38,,Offensive rebound by D. Green
6:58.0,,,44-40,2,D. Green makes 2-pt shot at rim
6:52.0,Turnover by G. Dragic (bad pass),,44-40,,
6:52.0,,,44-40,,M. Ginobili enters the game for B. Forbes
6:34.0,,,44-42,2,M. Ginobili makes 2-pt shot from 8 ft (assist by T. Parker)
6:28.0,Miami full timeout,,44-42,,
6:28.0,,,44-42,,D. Bertans enters the game for R. Gay
6:28.0,K. Olynyk enters the game for B. Adebayo,,44-42,,
6:28.0,J. Johnson enters the game for J. Winslow,,44-42,,
6:21.0,G. Dragic misses 3-pt shot from 25 ft,,44-42,,
6:16.0,,,44-42,,Defensive rebound by M. Ginobili
6:06.0,,,44-44,2,L. Aldridge makes 2-pt shot at rim
5:49.0,K. Olynyk makes 2-pt shot from 1 ft (assist by T. Johnson),2,46-44,,
5:32.0,,,46-47,3,D. Bertans makes 3-pt shot from 25 ft (assist by T. Parker)
