time,Utah,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. R. Gobert (A. Aminu gains possession),,,,Jump ball: J. Nurkic vs. R. Gobert (A. Aminu gains possession)
11:40.0,,,0-0,,J. Nurkic misses 2-pt shot from 22 ft
11:39.0,Defensive rebound by Team,,0-0,,
11:19.0,J. Ingles misses 2-pt shot from 5 ft,,0-0,,
11:16.0,,,0-0,,Defensive rebound by J. Nurkic
11:03.0,,,0-0,,Turnover by A. Aminu (bad pass; steal by R. Rubio)
10:51.0,D. Favors makes 2-pt shot from 7 ft (assist by R. Rubio),2,2-0,,
10:35.0,,,2-0,,C. McCollum misses 2-pt shot from 19 ft
10:33.0,Defensive rebound by R. Gobert,,2-0,,
10:27.0,Turnover by R. Gobert (bad pass),,2-0,,
10:17.0,,,2-3,3,D. Lillard makes 3-pt shot from 26 ft (assist by J. Nurkic)
10:01.0,J. Ingles misses 3-pt shot from 23 ft,,2-3,,
9:56.0,,,2-3,,Defensive rebound by A. Aminu
9:52.0,,,2-6,3,D. Lillard makes 3-pt shot from 26 ft
9:37.0,Turnover by R. Rubio (bad pass; steal by E. Turner),,2-6,,
9:29.0,,,2-8,2,E. Turner makes 2-pt shot from 3 ft
9:29.0,Utah full timeout,,2-8,,
9:11.0,R. Gobert makes 2-pt shot at rim (assist by D. Mitchell),2,4-8,,
8:58.0,,,4-8,,J. Nurkic misses 2-pt shot from 1 ft (block by D. Favors)
8:56.0,Defensive rebound by R. Rubio,,4-8,,
8:54.0,J. Ingles makes 2-pt shot at rim (assist by R. Rubio),2,6-8,,
8:36.0,,,6-10,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard)
8:22.0,D. Mitchell misses 2-pt shot from 12 ft,,6-10,,
8:18.0,Offensive rebound by D. Mitchell,,6-10,,
8:18.0,D. Mitchell misses 2-pt shot at rim (block by E. Turner),,6-10,,
8:15.0,,,6-10,,Defensive rebound by J. Nurkic
8:09.0,,,6-10,,D. Lillard misses 2-pt shot from 2 ft
8:07.0,Defensive rebound by R. Gobert,,6-10,,
8:01.0,R. Rubio misses 2-pt shot from 16 ft,,6-10,,
7:56.0,Offensive rebound by R. Gobert,,6-10,,
7:49.0,D. Favors misses 2-pt shot from 17 ft,,6-10,,
7:46.0,,,6-10,,Defensive rebound by A. Aminu
7:42.0,Personal foul by R. Rubio (drawn by A. Aminu),,6-10,,
7:35.0,,,6-12,2,C. McCollum makes 2-pt shot from 15 ft
7:17.0,Turnover by J. Ingles (lost ball; steal by C. McCollum),,6-12,,
7:14.0,,,6-12,,Turnover by C. McCollum (bad pass; steal by D. Mitchell)
7:10.0,J. Ingles makes 3-pt shot from 25 ft (assist by D. Mitchell),3,9-12,,
6:53.0,,,9-14,2,J. Nurkic makes 2-pt shot from 21 ft (assist by D. Lillard)
6:26.0,D. Mitchell misses 3-pt shot from 30 ft,,9-14,,
6:25.0,Offensive rebound by Team,,9-14,,
6:24.0,Turnover by Team (shot clock),,9-14,,
6:12.0,,,9-17,3,C. McCollum makes 3-pt shot from 30 ft (assist by D. Lillard)
6:00.0,D. Mitchell misses 3-pt shot from 25 ft,,9-17,,
5:58.0,,,9-17,,Defensive rebound by J. Nurkic
5:49.0,,,9-17,,E. Turner misses 2-pt shot from 13 ft
5:46.0,,,9-17,,Offensive rebound by A. Aminu
5:42.0,,,9-17,,C. McCollum misses 3-pt shot from 26 ft
5:38.0,Defensive rebound by D. Mitchell,,9-17,,
5:34.0,Shooting foul by E. Turner (drawn by D. Mitchell),,9-17,,
5:34.0,D. Mitchell makes free throw 1 of 2,1,10-17,,
5:34.0,J. Crowder enters the game for D. Favors,,10-17,,
5:34.0,D. Mitchell makes free throw 2 of 2,1,11-17,,
5:18.0,,,11-17,,J. Nurkic misses 2-pt shot from 8 ft
5:15.0,Defensive rebound by J. Ingles,,11-17,,
5:11.0,Shooting foul by J. Nurkic (drawn by R. Gobert),,11-17,,
5:11.0,R. Gobert makes free throw 1 of 2,1,12-17,,
5:11.0,,,12-17,,W. Baldwin enters the game for E. Turner
5:11.0,D. Exum enters the game for R. Rubio,,12-17,,
5:11.0,R. Gobert makes free throw 2 of 2,1,13-17,,
4:58.0,,,13-17,,J. Nurkic misses 2-pt shot from 3 ft
4:56.0,Defensive rebound by J. Crowder,,13-17,,
4:53.0,Turnover by D. Exum (lost ball; steal by D. Lillard),,13-17,,
4:42.0,,,13-19,2,C. McCollum makes 2-pt shot from 7 ft (assist by J. Nurkic)
4:24.0,J. Ingles misses 2-pt shot from 1 ft (block by W. Baldwin),,13-19,,
4:20.0,,,13-19,,Defensive rebound by W. Baldwin
4:13.0,,,13-19,,D. Lillard misses 3-pt shot from 25 ft
4:11.0,Defensive rebound by J. Ingles,,13-19,,
4:08.0,J. Crowder misses 3-pt shot from 24 ft,,13-19,,
4:05.0,,,13-19,,Defensive rebound by J. Nurkic
4:00.0,,,13-19,,Shooting foul by D. Exum (drawn by D. Lillard)
4:00.0,,,13-20,1,D. Lillard makes free throw 1 of 2
4:00.0,,,13-20,,E. Davis enters the game for A. Aminu
4:00.0,,,13-20,,Z. Collins enters the game for J. Nurkic
4:00.0,R. O'Neale enters the game for J. Ingles,,13-20,,
4:00.0,,,13-21,1,D. Lillard makes free throw 2 of 2
3:48.0,D. Mitchell misses 2-pt shot from 1 ft,,13-21,,
3:48.0,Offensive rebound by Team,,13-21,,
3:48.0,Loose ball foul by R. Gobert (drawn by E. Davis),,13-21,,
3:48.0,Turnover by R. Gobert (turnover),,13-21,,
3:31.0,,,13-21,,Z. Collins misses 3-pt shot from 26 ft
3:28.0,Defensive rebound by R. Gobert,,13-21,,
3:07.0,Shooting foul by W. Baldwin (drawn by D. Mitchell),,13-21,,
3:07.0,,,13-21,,Portland full timeout
3:07.0,,,13-21,,P. Connaughton enters the game for C. McCollum
3:07.0,D. Favors enters the game for R. Gobert,,13-21,,
3:07.0,D. Mitchell misses free throw 1 of 2,,13-21,,
3:07.0,Offensive rebound by Team,,13-21,,
3:07.0,D. Mitchell makes free throw 2 of 2,1,14-21,,
2:52.0,,,14-23,2,E. Davis makes 2-pt shot from 1 ft (assist by D. Lillard)
2:38.0,D. Favors makes 2-pt shot at rim (assist by D. Mitchell),2,16-23,,
2:12.0,,,16-25,2,Z. Collins makes 2-pt shot from 10 ft
1:59.0,D. Mitchell misses 3-pt shot from 25 ft,,16-25,,
1:55.0,Offensive rebound by D. Favors,,16-25,,
