time,Philadelphia,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. A. Johnson (D. Cousins gains possession),,,,Jump ball: A. Davis vs. A. Johnson (D. Cousins gains possession)
11:41.0,,,0-2,2,A. Davis makes 2-pt shot from 11 ft (assist by R. Rondo)
11:33.0,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft (assist by B. Simmons),2,2-2,,
11:15.0,,,2-4,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
11:10.0,B. Simmons makes 2-pt shot from 1 ft,2,4-4,,
10:56.0,,,4-4,,J. Holiday misses 2-pt shot from 4 ft
10:56.0,Defensive rebound by B. Simmons,,4-4,,
10:47.0,Turnover by D. Saric (bad pass; steal by J. Holiday),,4-4,,
10:43.0,,,4-4,,Shooting foul by D. Saric (drawn by A. Davis)
10:43.0,,,4-4,,A. Davis misses free throw 1 of 2
10:43.0,,,4-4,,Offensive rebound by Team
10:43.0,,,4-5,1,A. Davis makes free throw 2 of 2
10:31.0,J. Redick misses 2-pt shot from 20 ft,,4-5,,
10:27.0,,,4-5,,Defensive rebound by D. Cousins
10:22.0,,,4-5,,E. Moore misses 3-pt shot from 23 ft
10:20.0,,,4-5,,Offensive rebound by Team
10:18.0,,,4-5,,J. Holiday misses 3-pt shot from 22 ft
10:15.0,Defensive rebound by J. Redick,,4-5,,
10:01.0,T. Luwawu-Cabarrot misses 2-pt shot from 2 ft (block by R. Rondo),,4-5,,
9:57.0,Offensive rebound by D. Saric,,4-5,,
9:53.0,D. Saric misses 2-pt shot from 3 ft (block by D. Cousins),,4-5,,
9:47.0,Offensive rebound by T. Luwawu-Cabarrot,,4-5,,
9:45.0,T. Luwawu-Cabarrot misses 2-pt shot from 1 ft (block by A. Davis),,4-5,,
9:40.0,Offensive rebound by D. Saric,,4-5,,
9:38.0,T. Luwawu-Cabarrot misses 3-pt shot from 23 ft,,4-5,,
9:36.0,,,4-5,,Defensive rebound by D. Cousins
9:25.0,,,4-5,,R. Rondo misses 2-pt shot from 18 ft
9:19.0,Defensive rebound by D. Saric,,4-5,,
9:13.0,D. Saric makes 3-pt shot from 25 ft (assist by B. Simmons),3,7-5,,
8:59.0,,,7-7,2,A. Davis makes 2-pt shot from 13 ft
8:42.0,Offensive foul by D. Saric (drawn by E. Moore),,7-7,,
8:42.0,Turnover by D. Saric (offensive foul),,7-7,,
8:42.0,T. Booker enters the game for D. Saric,,7-7,,
8:28.0,,,7-7,,J. Holiday misses 2-pt shot from 2 ft (block by B. Simmons)
8:25.0,Defensive rebound by A. Johnson,,7-7,,
8:21.0,B. Simmons makes 2-pt shot from 10 ft,2,9-7,,
8:08.0,,,9-9,2,J. Holiday makes 2-pt shot from 14 ft
7:54.0,Turnover by T. Luwawu-Cabarrot (bad pass; steal by R. Rondo),,9-9,,
7:48.0,,,9-11,2,R. Rondo makes 2-pt shot at rim
7:30.0,J. Redick makes 3-pt shot from 25 ft (assist by B. Simmons),3,12-11,,
7:20.0,Personal foul by A. Johnson (drawn by D. Cousins),,12-11,,
7:20.0,J. Bayless enters the game for J. Redick,,12-11,,
7:20.0,R. Holmes enters the game for A. Johnson,,12-11,,
7:04.0,,,12-11,,D. Cousins misses 3-pt shot from 24 ft
7:01.0,Defensive rebound by J. Bayless,,12-11,,
6:59.0,Shooting foul by E. Moore (drawn by B. Simmons),,12-11,,
6:59.0,,,12-11,,New Orleans full timeout
6:59.0,B. Simmons makes free throw 1 of 2,1,13-11,,
6:59.0,B. Simmons makes free throw 2 of 2,1,14-11,,
