time,Oklahoma City,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. S. Adams (C. Anthony gains possession),,,,Jump ball: J. Embiid vs. S. Adams (C. Anthony gains possession)
11:40.0,P. George makes 3-pt shot from 23 ft (assist by A. Roberson),3,3-0,,
11:18.0,,,3-0,,Shooting foul by P. George (drawn by B. Simmons)
11:18.0,,,3-0,,B. Simmons misses free throw 1 of 2
11:18.0,,,3-0,,Offensive rebound by Team
11:18.0,,,3-0,,B. Simmons misses free throw 2 of 2
11:15.0,Defensive rebound by C. Anthony,,3-0,,
10:55.0,P. George makes 3-pt shot from 25 ft (assist by R. Westbrook),3,6-0,,
10:27.0,,,6-3,3,J. Redick makes 3-pt shot from 24 ft (assist by D. Saric)
10:10.0,S. Adams misses 2-pt shot from 9 ft,,6-3,,
10:07.0,,,6-3,,Defensive rebound by B. Simmons
10:02.0,,,6-6,3,J. Redick makes 3-pt shot from 23 ft (assist by B. Simmons)
9:42.0,C. Anthony makes 2-pt shot from 9 ft (assist by R. Westbrook),2,8-6,,
9:31.0,,,8-8,2,J. Embiid makes 2-pt shot at rim (assist by B. Simmons)
9:16.0,P. George misses 2-pt shot from 15 ft (block by R. Covington),,8-8,,
9:10.0,,,8-8,,Defensive rebound by J. Redick
8:55.0,,,8-8,,Turnover by J. Embiid (out of bounds lost ball)
8:42.0,C. Anthony makes 2-pt shot from 12 ft,2,10-8,,
8:28.0,,,10-10,2,D. Saric makes 2-pt shot from 16 ft (assist by J. Embiid)
8:03.0,C. Anthony makes 2-pt shot from 15 ft (assist by R. Westbrook),2,12-10,,
7:44.0,,,12-12,2,J. Embiid makes 2-pt shot from 11 ft
7:28.0,S. Adams misses 2-pt shot from 5 ft,,12-12,,
7:25.0,,,12-12,,Defensive rebound by J. Embiid
7:20.0,,,12-12,,D. Saric misses 3-pt shot from 25 ft
7:18.0,Defensive rebound by P. George,,12-12,,
7:10.0,Turnover by P. George (lost ball; steal by D. Saric),,12-12,,
7:06.0,,,12-12,,Turnover by D. Saric (lost ball; steal by P. George)
7:02.0,R. Westbrook makes 2-pt shot from 16 ft (assist by P. George),2,14-12,,
6:50.0,,,14-12,,J. Embiid misses 3-pt shot from 27 ft
6:50.0,Defensive rebound by A. Roberson,,14-12,,
6:35.0,R. Westbrook misses 2-pt shot from 15 ft,,14-12,,
6:35.0,Offensive rebound by R. Westbrook,,14-12,,
6:34.0,Shooting foul by J. Embiid (drawn by R. Westbrook),,14-12,,
6:34.0,,,14-12,,Philadelphia full timeout
6:34.0,,,14-12,,J. Bayless enters the game for D. Saric
6:34.0,,,14-12,,T. Booker enters the game for J. Redick
6:34.0,,,14-12,,A. Johnson enters the game for J. Embiid
6:34.0,R. Westbrook makes free throw 1 of 2,1,15-12,,
6:34.0,R. Westbrook makes free throw 2 of 2,1,16-12,,
6:12.0,,,16-12,,Turnover by B. Simmons (bad pass; steal by P. George)
6:06.0,C. Anthony misses 3-pt shot from 24 ft,,16-12,,
6:00.0,,,16-12,,Defensive rebound by T. Booker
5:53.0,,,16-12,,R. Covington misses 2-pt shot from 21 ft
5:51.0,Defensive rebound by A. Roberson,,16-12,,
