time,Washington,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. M. Gortat (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. M. Gortat (R. Westbrook gains possession)
11:44.0,,,0-2,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
11:27.0,Turnover by J. Wall (bad pass; steal by C. Anthony),,0-2,,
11:21.0,,,0-2,,R. Westbrook misses 3-pt shot from 24 ft
11:16.0,,,0-2,,Offensive rebound by S. Adams
11:13.0,,,0-2,,Turnover by R. Westbrook (bad pass; steal by M. Morris)
11:09.0,B. Beal misses 2-pt shot from 2 ft,,0-2,,
11:06.0,,,0-2,,Defensive rebound by C. Anthony
10:54.0,,,0-4,2,S. Adams makes 2-pt shot at rim (assist by A. Roberson)
10:39.0,B. Beal misses 2-pt shot from 20 ft,,0-4,,
10:37.0,,,0-4,,Defensive rebound by C. Anthony
10:31.0,,,0-4,,Turnover by S. Adams (lost ball; steal by O. Porter)
10:30.0,Turnover by O. Porter (step out of bounds),,0-4,,
10:23.0,,,0-4,,C. Anthony misses 2-pt shot from 15 ft
10:20.0,,,0-4,,Offensive rebound by S. Adams
10:05.0,,,0-6,2,C. Anthony makes 2-pt shot from 1 ft
9:45.0,J. Wall misses 3-pt shot from 27 ft,,0-6,,
9:45.0,,,0-6,,Defensive rebound by Team
9:33.0,,,0-6,,S. Adams misses 2-pt shot from 11 ft
9:29.0,Defensive rebound by M. Morris,,0-6,,
9:20.0,B. Beal misses 2-pt shot from 1 ft,,0-6,,
9:19.0,,,0-6,,Defensive rebound by R. Westbrook
9:15.0,,,0-6,,R. Westbrook misses 2-pt shot from 2 ft
9:13.0,,,0-6,,Offensive rebound by S. Adams
9:13.0,,,0-8,2,S. Adams makes 2-pt shot from 2 ft
9:13.0,Washington full timeout,,0-8,,
8:49.0,M. Morris misses 2-pt shot from 11 ft,,0-8,,
8:47.0,,,0-8,,Defensive rebound by P. George
8:33.0,,,0-8,,R. Westbrook misses 2-pt shot from 20 ft
8:31.0,Defensive rebound by B. Beal,,0-8,,
8:16.0,Turnover by M. Gortat (lost ball; steal by A. Roberson),,0-8,,
8:06.0,,,0-10,2,R. Westbrook makes 2-pt shot at rim (assist by P. George)
7:52.0,O. Porter misses 3-pt shot from 24 ft,,0-10,,
7:48.0,Offensive rebound by B. Beal,,0-10,,
7:38.0,B. Beal makes 2-pt shot from 2 ft,2,2-10,,
7:22.0,,,2-10,,P. George misses 2-pt shot from 16 ft
7:20.0,Defensive rebound by M. Morris,,2-10,,
7:16.0,J. Wall misses 2-pt shot from 1 ft (block by A. Roberson),,2-10,,
7:16.0,Offensive rebound by Team,,2-10,,
7:12.0,M. Morris misses 2-pt shot from 17 ft,,2-10,,
7:09.0,Offensive rebound by O. Porter,,2-10,,
7:08.0,J. Wall misses 3-pt shot from 25 ft,,2-10,,
7:04.0,Offensive rebound by O. Porter,,2-10,,
7:03.0,O. Porter misses 2-pt shot from 7 ft,,2-10,,
7:01.0,,,2-10,,Defensive rebound by C. Anthony
6:55.0,,,2-10,,C. Anthony misses 3-pt shot from 25 ft
6:52.0,Defensive rebound by M. Gortat,,2-10,,
6:42.0,J. Wall misses 3-pt shot from 22 ft,,2-10,,
6:39.0,,,2-10,,Defensive rebound by C. Anthony
6:35.0,,,2-10,,P. George misses 2-pt shot from 1 ft (block by J. Wall)
6:32.0,Defensive rebound by B. Beal,,2-10,,
6:26.0,O. Porter makes 2-pt shot at rim (assist by B. Beal),2,4-10,,
6:03.0,,,4-12,2,S. Adams makes 2-pt shot from 10 ft (assist by R. Westbrook)
5:51.0,Offensive foul by M. Morris (drawn by A. Roberson),,4-12,,
5:51.0,Turnover by M. Morris (offensive foul),,4-12,,
5:51.0,I. Mahinmi enters the game for M. Gortat,,4-12,,
5:41.0,,,4-12,,Turnover by R. Westbrook (lost ball; steal by M. Morris)
5:36.0,J. Wall makes 3-pt shot from 25 ft,3,7-12,,
5:22.0,Personal foul by I. Mahinmi (drawn by R. Westbrook),,7-12,,
5:22.0,,,7-12,,Oklahoma City full timeout
5:16.0,,,7-14,2,R. Westbrook makes 2-pt shot from 7 ft
4:49.0,M. Morris makes 2-pt shot at rim (assist by J. Wall),2,9-14,,
4:49.0,Shooting foul by P. George (drawn by M. Morris),,9-14,,
4:49.0,M. Morris misses free throw 1 of 1,,9-14,,
4:47.0,,,9-14,,Defensive rebound by R. Westbrook
4:37.0,,,9-14,,Shooting foul by I. Mahinmi (drawn by R. Westbrook)
4:37.0,,,9-14,,R. Westbrook misses free throw 1 of 2
4:37.0,,,9-14,,Offensive rebound by Team
4:37.0,,,9-15,1,R. Westbrook makes free throw 2 of 2
4:22.0,O. Porter misses 2-pt shot from 2 ft,,9-15,,
4:20.0,,,9-15,,Defensive rebound by S. Adams
4:16.0,,,9-15,,A. Roberson misses 2-pt shot from 1 ft
4:13.0,Defensive rebound by B. Beal,,9-15,,
4:08.0,,,9-15,,Personal foul by A. Roberson (drawn by B. Beal)
4:01.0,B. Beal makes 2-pt shot from 20 ft (assist by I. Mahinmi),2,11-15,,
3:52.0,T. Satoransky enters the game for J. Wall,,11-15,,
3:42.0,,,11-17,2,P. George makes 2-pt shot at rim
3:26.0,Turnover by B. Beal (bad pass; steal by S. Adams),,11-17,,
3:14.0,,,11-17,,C. Anthony misses 2-pt shot from 17 ft
3:12.0,Defensive rebound by M. Morris,,11-17,,
3:01.0,M. Morris misses 2-pt shot from 10 ft,,11-17,,
2:58.0,Offensive rebound by I. Mahinmi,,11-17,,
2:57.0,I. Mahinmi makes 2-pt shot at rim,2,13-17,,
2:32.0,,,13-17,,P. George misses 2-pt shot from 17 ft
2:32.0,,,13-17,,Offensive rebound by Team
2:32.0,Loose ball foul by I. Mahinmi (drawn by C. Anthony),,13-17,,
2:32.0,,,13-17,,R. Felton enters the game for R. Westbrook
2:32.0,K. Oubre enters the game for O. Porter,,13-17,,
2:32.0,M. Scott enters the game for I. Mahinmi,,13-17,,
2:32.0,,,13-17,,J. Grant enters the game for C. Anthony
2:17.0,,,13-17,,Shooting foul by T. Satoransky (drawn by J. Grant)
2:17.0,,,13-17,,J. Grant misses free throw 1 of 2
2:17.0,,,13-17,,Offensive rebound by Team
2:17.0,,,13-18,1,J. Grant makes free throw 2 of 2
2:04.0,,,13-18,,T. Ferguson enters the game for A. Roberson
1:56.0,B. Beal misses 3-pt shot from 24 ft,,13-18,,
1:52.0,,,13-18,,Defensive rebound by J. Grant
1:49.0,,,13-18,,P. George misses 2-pt shot from 15 ft
1:44.0,,,13-18,,Offensive rebound by T. Ferguson
1:44.0,,,13-18,,T. Ferguson misses 2-pt shot at rim
1:43.0,Defensive rebound by M. Morris,,13-18,,
1:33.0,Shooting foul by R. Felton (drawn by M. Morris),,13-18,,
1:33.0,M. Morris makes free throw 1 of 2,1,14-18,,
1:33.0,,,14-18,,P. Patterson enters the game for S. Adams
1:33.0,M. Morris makes free throw 2 of 2,1,15-18,,
1:17.0,,,15-20,2,P. George makes 2-pt shot at rim
0:50.0,K. Oubre makes 3-pt shot from 25 ft (assist by T. Satoransky),3,18-20,,
0:34.0,,,18-22,2,J. Grant makes 2-pt shot from 1 ft (assist by P. George)
0:16.0,,,18-22,,Violation by J. Grant (kicked ball)
0:06.0,B. Beal makes 2-pt shot from 16 ft,2,20-22,,
0:00.0,,,20-25,3,P. George makes 3-pt shot from 25 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,,,20-25,,Technical foul by P. George
12:00.0,B. Beal misses technical free throw,,20-25,,
12:00.0,Offensive rebound by Team,,20-25,,
11:36.0,K. Oubre makes 2-pt shot from 2 ft (assist by B. Beal),2,22-25,,
11:23.0,,,22-25,,Turnover by R. Felton (bad pass; steal by K. Oubre)
11:13.0,Turnover by B. Beal (bad pass; steal by P. Patterson),,22-25,,
11:06.0,,,22-25,,J. Huestis misses 3-pt shot from 23 ft
11:03.0,,,22-25,,Offensive rebound by R. Felton
10:56.0,,,22-27,2,T. Ferguson makes 2-pt shot at rim (assist by R. Felton)
10:32.0,M. Scott misses 2-pt shot from 9 ft (block by P. Patterson),,22-27,,
10:27.0,,,22-27,,Defensive rebound by P. Patterson
