time,Atlanta,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Baynes vs. M. Plumlee (D. Schroder gains possession),,,,Jump ball: A. Baynes vs. M. Plumlee (D. Schroder gains possession)
11:43.0,Turnover by D. Schroder (out of bounds lost ball),,0-0,,
11:25.0,,,0-0,,A. Horford misses 2-pt shot from 10 ft
11:22.0,Defensive rebound by T. Waller-Prince,,0-0,,
11:08.0,K. Bazemore misses 2-pt shot from 6 ft,,0-0,,
11:07.0,,,0-0,,Defensive rebound by Team
10:49.0,,,0-2,2,J. Tatum makes 2-pt shot from 8 ft
10:34.0,D. Schroder misses 2-pt shot from 6 ft,,0-2,,
10:32.0,,,0-2,,Defensive rebound by T. Rozier
10:22.0,,,0-4,2,T. Rozier makes 2-pt shot from 13 ft (assist by A. Horford)
10:06.0,D. Schroder makes 2-pt shot from 14 ft (assist by T. Waller-Prince),2,2-4,,
9:45.0,,,2-6,2,T. Rozier makes 2-pt shot from 20 ft
9:28.0,Turnover by D. Schroder (bad pass; steal by T. Rozier),,2-6,,
9:23.0,,,2-6,,Turnover by T. Rozier (bad pass; steal by T. Waller-Prince)
9:19.0,T. Waller-Prince makes 2-pt shot from 1 ft,2,4-6,,
9:03.0,,,4-8,2,A. Baynes makes 2-pt shot from 18 ft (assist by A. Horford)
8:48.0,Shooting foul by J. Tatum (drawn by M. Plumlee),,4-8,,
8:48.0,M. Plumlee makes free throw 1 of 2,1,5-8,,
8:48.0,M. Plumlee misses free throw 2 of 2,,5-8,,
8:48.0,,,5-8,,Defensive rebound by A. Horford
8:36.0,,,5-8,,J. Brown misses 2-pt shot from 2 ft (block by K. Bazemore)
8:30.0,Defensive rebound by K. Bazemore,,5-8,,
8:26.0,D. Schroder misses 2-pt shot from 9 ft,,5-8,,
8:24.0,,,5-8,,Defensive rebound by J. Brown
8:20.0,,,5-10,2,J. Tatum makes 2-pt shot from 1 ft (assist by J. Brown)
8:07.0,Turnover by T. Waller-Prince (lost ball; steal by J. Tatum),,5-10,,
8:04.0,,,5-10,,J. Tatum misses 2-pt shot from 1 ft
8:01.0,Defensive rebound by T. Waller-Prince,,5-10,,
7:58.0,Atlanta full timeout,,5-10,,
7:49.0,T. Waller-Prince misses 2-pt shot from 15 ft,,5-10,,
7:46.0,,,5-10,,Defensive rebound by T. Rozier
7:33.0,,,5-12,2,A. Baynes makes 2-pt shot from 4 ft (assist by A. Horford)
7:19.0,T. Waller-Prince misses 3-pt shot from 23 ft,,5-12,,
7:16.0,Offensive rebound by Team,,5-12,,
7:16.0,D. Dedmon enters the game for T. Waller-Prince,,5-12,,
7:16.0,M. Belinelli enters the game for M. Plumlee,,5-12,,
7:08.0,D. Dedmon makes 2-pt shot from 1 ft (assist by K. Bazemore),2,7-12,,
6:47.0,,,7-14,2,T. Rozier makes 2-pt shot from 8 ft
6:31.0,D. Schroder misses 2-pt shot from 9 ft,,7-14,,
6:28.0,Offensive rebound by D. Dedmon,,7-14,,
6:19.0,E. Ilyasova makes 3-pt shot from 23 ft (assist by K. Bazemore),3,10-14,,
5:59.0,,,10-14,,A. Horford misses 2-pt shot from 13 ft
5:57.0,Defensive rebound by K. Bazemore,,10-14,,
5:52.0,Shooting foul by A. Baynes (drawn by K. Bazemore),,10-14,,
5:52.0,K. Bazemore makes free throw 1 of 3,1,11-14,,
5:52.0,K. Bazemore makes free throw 2 of 3,1,13-14,,
5:52.0,K. Bazemore makes free throw 3 of 3,1,14-14,,
5:51.0,M. Belinelli makes technical free throw,1,12-14,,
5:51.0,,,12-14,,A. Nader enters the game for T. Rozier
5:51.0,,,12-14,,D. Theis enters the game for A. Baynes
5:37.0,,,12-14,,Turnover by J. Brown (lost ball; steal by K. Bazemore)
5:30.0,D. Schroder makes 2-pt shot from 1 ft,2,16-14,,
5:06.0,,,16-14,,A. Horford misses 2-pt shot from 6 ft
5:03.0,Defensive rebound by D. Dedmon,,16-14,,
4:55.0,D. Schroder makes 2-pt shot from 4 ft,2,18-14,,
4:49.0,,,18-14,,Turnover by A. Nader (step out of bounds)
4:49.0,J. Collins enters the game for E. Ilyasova,,18-14,,
4:49.0,T. Waller-Prince enters the game for K. Bazemore,,18-14,,
4:38.0,D. Schroder makes 3-pt shot from 27 ft,3,21-14,,
4:15.0,,,21-14,,J. Tatum misses 2-pt shot from 2 ft
4:13.0,Defensive rebound by D. Schroder,,21-14,,
4:07.0,Turnover by D. Schroder (bad pass; steal by D. Theis),,21-14,,
4:01.0,,,21-16,2,A. Nader makes 2-pt shot from 1 ft
4:00.0,Atlanta full timeout,,21-16,,
4:00.0,,,21-16,,K. Allen enters the game for J. Tatum
4:00.0,,,21-16,,S. Ojeleye enters the game for J. Brown
4:00.0,,,21-17,1,A. Horford makes technical free throw
3:47.0,D. Schroder misses 2-pt shot from 2 ft,,21-17,,
3:42.0,,,21-17,,Defensive rebound by K. Allen
3:29.0,,,21-17,,Turnover by K. Allen (bad pass; steal by T. Waller-Prince)
3:17.0,Turnover by J. Collins (turnover),,21-17,,
3:17.0,M. Delaney enters the game for D. Schroder,,21-17,,
3:06.0,,,21-19,2,A. Horford makes 2-pt shot from 19 ft (assist by A. Nader)
2:51.0,T. Waller-Prince misses 2-pt shot from 11 ft,,21-19,,
2:51.0,,,21-19,,Defensive rebound by A. Horford
2:42.0,,,21-19,,A. Horford misses 2-pt shot from 2 ft
2:42.0,,,21-19,,Offensive rebound by D. Theis
2:41.0,,,21-19,,D. Theis misses 2-pt shot at rim
2:41.0,Defensive rebound by T. Waller-Prince,,21-19,,
2:29.0,T. Waller-Prince misses 3-pt shot from 25 ft,,21-19,,
2:25.0,,,21-19,,Defensive rebound by S. Ojeleye
2:08.0,,,21-19,,K. Allen misses 2-pt shot from 14 ft
2:06.0,Defensive rebound by T. Waller-Prince,,21-19,,
2:02.0,Shooting foul by A. Nader (drawn by M. Belinelli),,21-19,,
2:02.0,M. Belinelli makes free throw 1 of 3,1,22-19,,
2:02.0,M. Belinelli makes free throw 2 of 3,1,23-19,,
2:02.0,M. Belinelli makes free throw 3 of 3,1,24-19,,
1:44.0,,,24-19,,A. Nader misses 3-pt shot from 26 ft
1:42.0,Defensive rebound by D. Dedmon,,24-19,,
1:35.0,Shooting foul by A. Nader (drawn by M. Belinelli),,24-19,,
1:35.0,M. Belinelli makes free throw 1 of 2,1,25-19,,
1:35.0,,,25-19,,T. Rozier enters the game for A. Nader
1:35.0,M. Belinelli makes free throw 2 of 2,1,26-19,,
1:35.0,,,26-19,,J. Tatum enters the game for A. Horford
1:25.0,Personal foul by T. Waller-Prince (drawn by J. Tatum),,26-19,,
1:19.0,,,26-21,2,J. Tatum makes 2-pt shot from 20 ft (assist by T. Rozier)
1:09.0,M. Belinelli makes 3-pt shot from 29 ft (assist by M. Delaney),3,29-21,,
0:59.0,,,29-21,,Shooting foul by J. Collins (drawn by D. Theis)
0:59.0,,,29-22,1,D. Theis makes free throw 1 of 2
0:59.0,,,29-23,1,D. Theis makes free throw 2 of 2
0:42.0,T. Waller-Prince makes 3-pt shot from 23 ft (assist by M. Delaney),3,32-23,,
0:34.0,,,32-26,3,T. Rozier makes 3-pt shot from 26 ft (assist by D. Theis)
0:19.0,Turnover by M. Delaney (bad pass),,32-26,,
0:07.0,,,32-26,,Offensive foul by D. Theis (drawn by M. Delaney)
0:07.0,,,32-26,,Turnover by D. Theis (offensive foul)
0:02.0,M. Belinelli misses 3-pt shot from 25 ft,,32-26,,
0:02.0,Offensive rebound by Team,,32-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,32-26,,J. Tatum misses 3-pt shot from 25 ft
11:41.0,Defensive rebound by M. Muscala,,32-26,,
11:32.0,T. Waller-Prince misses 2-pt shot from 1 ft,,32-26,,
11:32.0,,,32-26,,Defensive rebound by A. Nader
11:21.0,,,32-29,3,T. Rozier makes 3-pt shot from 27 ft
11:05.0,T. Waller-Prince makes 3-pt shot from 25 ft (assist by M. Delaney),3,35-29,,
10:51.0,,,35-31,2,T. Rozier makes 2-pt shot from 2 ft (assist by D. Theis)
10:37.0,T. Waller-Prince makes 3-pt shot from 26 ft (assist by M. Delaney),3,38-31,,
10:21.0,,,38-31,,Turnover by T. Rozier (bad pass; steal by T. Dorsey)
10:06.0,M. Delaney misses 2-pt shot from 14 ft,,38-31,,
10:04.0,,,38-31,,Defensive rebound by Team
9:48.0,,,38-33,2,J. Tatum makes 2-pt shot from 15 ft
9:29.0,T. Dorsey misses 3-pt shot from 24 ft,,38-33,,
9:27.0,,,38-33,,Defensive rebound by T. Rozier
9:18.0,,,38-33,,D. Theis misses 3-pt shot from 25 ft
9:15.0,Defensive rebound by T. Dorsey,,38-33,,
9:04.0,M. Delaney misses 3-pt shot from 25 ft,,38-33,,
9:01.0,,,38-33,,Defensive rebound by D. Theis
8:49.0,,,38-33,,J. Tatum misses 2-pt shot from 2 ft
8:47.0,Defensive rebound by M. Muscala,,38-33,,
8:41.0,M. Delaney misses 2-pt shot from 2 ft,,38-33,,
8:39.0,,,38-33,,Defensive rebound by A. Nader
8:30.0,,,38-33,,T. Rozier misses 3-pt shot from 26 ft
8:28.0,Defensive rebound by M. Delaney,,38-33,,
8:21.0,J. Collins makes 2-pt shot at rim (assist by M. Delaney),2,40-33,,
8:01.0,,,40-33,,Shooting foul by T. Dorsey (drawn by A. Nader)
8:01.0,,,40-33,,A. Nader misses free throw 1 of 2
8:01.0,,,40-33,,Offensive rebound by Team
8:01.0,,,40-33,,J. Brown enters the game for J. Tatum
8:01.0,E. Ilyasova enters the game for M. Delaney,,40-33,,
8:01.0,D. Schroder enters the game for T. Waller-Prince,,40-33,,
8:01.0,K. Bazemore enters the game for J. Collins,,40-33,,
8:01.0,,,40-34,1,A. Nader makes free throw 2 of 2
7:46.0,K. Bazemore misses 2-pt shot from 2 ft (block by D. Theis),,40-34,,
7:45.0,,,40-34,,Defensive rebound by S. Ojeleye
7:38.0,,,40-34,,A. Nader misses 2-pt shot from 2 ft
7:38.0,Defensive rebound by E. Ilyasova,,40-34,,
7:21.0,E. Ilyasova misses 3-pt shot from 22 ft,,40-34,,
7:18.0,,,40-34,,Defensive rebound by T. Rozier
7:14.0,,,40-37,3,S. Ojeleye makes 3-pt shot from 22 ft (assist by J. Brown)
6:56.0,Shooting foul by D. Theis (drawn by K. Bazemore),,40-37,,
6:56.0,,,40-37,,Boston full timeout
6:56.0,,,40-37,,A. Horford enters the game for T. Rozier
6:56.0,,,40-37,,K. Allen enters the game for D. Theis
6:56.0,K. Bazemore makes free throw 1 of 2,1,41-37,,
6:56.0,K. Bazemore makes free throw 2 of 2,1,42-37,,
6:50.0,,,42-37,,Offensive foul by K. Allen (drawn by K. Bazemore)
6:50.0,,,42-37,,Turnover by K. Allen (offensive foul)
6:30.0,E. Ilyasova makes 2-pt shot from 15 ft (assist by K. Bazemore),2,44-37,,
6:16.0,,,44-39,2,J. Brown makes 2-pt shot at rim (assist by A. Horford)
6:09.0,,,44-39,,Personal foul by J. Brown (drawn by K. Bazemore)
6:00.0,K. Bazemore misses 2-pt shot from 15 ft,,44-39,,
5:57.0,,,44-39,,Defensive rebound by A. Nader
5:51.0,,,44-39,,Offensive foul by A. Horford (drawn by E. Ilyasova)
5:51.0,,,44-39,,Turnover by A. Horford (offensive foul)
5:33.0,D. Schroder makes 2-pt shot at rim,2,46-39,,
5:27.0,Personal foul by T. Dorsey (drawn by A. Nader),,46-39,,
5:27.0,,,46-39,,T. Rozier enters the game for S. Ojeleye
5:27.0,,,46-39,,A. Baynes enters the game for K. Allen
5:27.0,J. Collins enters the game for M. Muscala,,46-39,,
5:15.0,,,46-41,2,A. Horford makes 2-pt shot from 1 ft
5:02.0,D. Schroder makes 2-pt shot from 19 ft,2,48-41,,
4:40.0,,,48-41,,J. Brown misses 2-pt shot from 2 ft
4:40.0,,,48-41,,Offensive rebound by Team
