time,Minnesota,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. K. Towns (T. Gibson gains possession),,,,Jump ball: Z. Pachulia vs. K. Towns (T. Gibson gains possession)
11:38.0,J. Teague misses 3-pt shot from 25 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by Z. Pachulia
11:22.0,,,0-3,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry)
11:02.0,J. Butler misses 3-pt shot from 25 ft,,0-3,,
10:59.0,,,0-3,,Defensive rebound by S. Curry
10:56.0,,,0-3,,K. Thompson misses 2-pt shot from 16 ft
10:51.0,Defensive rebound by A. Wiggins,,0-3,,
10:45.0,A. Wiggins makes 2-pt shot from 15 ft,2,2-3,,
10:37.0,,,2-5,2,D. Green makes 2-pt shot from 2 ft (assist by S. Curry)
10:24.0,K. Towns misses 3-pt shot from 25 ft,,2-5,,
10:21.0,,,2-5,,Defensive rebound by D. Green
10:18.0,,,2-5,,K. Thompson misses 3-pt shot from 25 ft
10:12.0,,,2-5,,Offensive rebound by A. Iguodala
10:09.0,Personal foul by J. Teague (drawn by S. Curry),,2-5,,
10:07.0,,,2-5,,Turnover by S. Curry (bad pass; steal by J. Teague)
10:01.0,J. Teague makes 2-pt shot from 2 ft,2,4-5,,
9:37.0,,,4-5,,A. Iguodala misses 3-pt shot from 25 ft
9:34.0,,,4-5,,Offensive rebound by Team
9:34.0,,,4-5,,Turnover by Z. Pachulia (turnover)
9:20.0,K. Towns makes 2-pt shot from 1 ft (assist by J. Teague),2,6-5,,
9:13.0,,,6-5,,D. Green misses 2-pt shot from 11 ft
9:10.0,Defensive rebound by K. Towns,,6-5,,
9:00.0,,,6-5,,Personal foul by A. Iguodala (drawn by K. Towns)
8:51.0,J. Butler makes 2-pt shot from 9 ft,2,8-5,,
8:42.0,,,8-5,,Turnover by S. Curry (bad pass)
8:23.0,Turnover by T. Gibson (bad pass; steal by K. Thompson),,8-5,,
8:09.0,,,8-5,,Z. Pachulia misses 2-pt shot from 8 ft
8:05.0,Defensive rebound by K. Towns,,8-5,,
7:54.0,J. Teague misses 2-pt shot from 2 ft (block by D. Green),,8-5,,
