time,Houston,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Porzingis vs. C. Capela (E. Kanter gains possession),,,,Jump ball: K. Porzingis vs. C. Capela (E. Kanter gains possession)
11:39.0,,,0-0,,Turnover by K. Porzingis (out of bounds lost ball)
11:21.0,T. Ariza makes 3-pt shot from 22 ft (assist by J. Harden),3,3-0,,
11:02.0,,,3-0,,J. Jack misses 2-pt shot from 21 ft
11:00.0,Defensive rebound by T. Ariza,,3-0,,
10:51.0,J. Harden misses 2-pt shot from 1 ft,,3-0,,
10:51.0,C. Capela misses 2-pt shot at rim,,3-0,,
10:51.0,,,3-0,,Defensive rebound by C. Lee
10:45.0,Defensive rebound by C. Capela,,3-0,,
10:37.0,,,3-0,,T. Hardaway misses 3-pt shot from 27 ft
10:37.0,Defensive rebound by E. Gordon,,3-0,,
10:25.0,E. Gordon misses 2-pt shot from 2 ft (block by K. Porzingis),,3-0,,
10:25.0,Offensive rebound by C. Capela,,3-0,,
10:20.0,C. Capela misses 2-pt shot from 2 ft,,3-0,,
10:20.0,,,3-0,,Defensive rebound by J. Jack
10:15.0,,,3-2,2,T. Hardaway makes 2-pt shot at rim (assist by J. Jack)
10:09.0,Turnover by J. Harden (bad pass; steal by T. Hardaway),,3-2,,
10:03.0,,,3-5,3,T. Hardaway makes 3-pt shot from 26 ft
9:49.0,T. Ariza makes 2-pt shot from 5 ft,2,5-5,,
9:34.0,,,5-5,,K. Porzingis misses 2-pt shot from 16 ft
9:29.0,Defensive rebound by C. Capela,,5-5,,
9:24.0,R. Anderson misses 3-pt shot from 22 ft,,5-5,,
9:20.0,,,5-5,,Defensive rebound by E. Kanter
9:17.0,,,5-8,3,C. Lee makes 3-pt shot from 24 ft
8:56.0,E. Gordon makes 3-pt shot from 33 ft (assist by J. Harden),3,8-8,,
8:35.0,,,8-8,,K. Porzingis misses 2-pt shot from 7 ft
8:31.0,Defensive rebound by T. Ariza,,8-8,,
8:24.0,Shooting foul by E. Kanter (drawn by J. Harden),,8-8,,
8:24.0,J. Harden misses free throw 1 of 2,,8-8,,
8:24.0,Offensive rebound by Team,,8-8,,
8:24.0,J. Harden makes free throw 2 of 2,1,9-8,,
8:09.0,,,9-10,2,E. Kanter makes 2-pt shot at rim (assist by K. Porzingis)
7:56.0,J. Harden misses 3-pt shot from 26 ft,,9-10,,
7:56.0,,,9-10,,Defensive rebound by C. Lee
7:49.0,,,9-12,2,K. Porzingis makes 2-pt shot from 11 ft
7:36.0,T. Ariza misses 3-pt shot from 25 ft,,9-12,,
7:34.0,Offensive rebound by Team,,9-12,,
7:26.0,J. Harden misses 3-pt shot from 25 ft,,9-12,,
7:21.0,,,9-12,,Defensive rebound by E. Kanter
7:17.0,,,9-12,,T. Hardaway misses 3-pt shot from 25 ft
7:14.0,Defensive rebound by C. Capela,,9-12,,
7:04.0,E. Gordon misses 2-pt shot from 14 ft,,9-12,,
7:01.0,,,9-12,,Defensive rebound by T. Hardaway
6:58.0,,,9-12,,T. Hardaway misses 2-pt shot from 1 ft
6:55.0,Defensive rebound by J. Harden,,9-12,,
6:52.0,Turnover by J. Harden (lost ball; steal by T. Hardaway),,9-12,,
6:48.0,,,9-14,2,E. Kanter makes 2-pt shot at rim (assist by T. Hardaway)
6:33.0,R. Anderson makes 3-pt shot from 22 ft (assist by J. Harden),3,12-14,,
6:14.0,,,12-14,,K. Porzingis misses 2-pt shot from 9 ft
6:11.0,Defensive rebound by T. Ariza,,12-14,,
